Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;;
63;Carl Hoffmann;Kamera;6;85;4;0.419808;0.455399;2118.278532;0.377001;62;;
64;Hans Müller;Drehbuch;6;84;4;0.413693;0.44777;1692.952462;0.358415;55;;
66;Paul Frank;Drehbuch;6;81;4;0.426747;0.463248;4061.865523;0.463321;69;;
67;Georg Jacoby;Regie;6;73;4;0.438949;0.475205;4286.600341;0.496681;70;;
68;Felix Bressart;Darsteller;6;86;4;0.454218;0.490244;4615.181214;0.659263;79;;
69;Curt Courant;Kamera;6;89;4;0.41734;0.455106;8789.754941;0.315799;70;;
70;Curt J. Braun;Drehbuch;6;90;4;0.445665;0.482908;4855.777786;0.546858;79;;
71;Heinz Fenchel;Bauten;6;76;4;0.420585;0.454225;3192.556834;0.324825;55;;
72;Margo Lion;Darsteller;6;99;3;0.449012;0.489143;10029.815456;0.537539;92;;
73;Emil Hasler;Bauten;6;80;4;0.435082;0.46853;4206.382209;0.410474;60;;
74;Fritz Maurischat;Bauten;6;83;4;0.420274;0.457086;11048.99742;0.334539;63;;
75;Paul May;Schnitt;6;75;4;0.428841;0.465889;5526.724186;0.41322;68;;
76;Eduard Hoesch;Kamera;6;74;4;0.423565;0.460461;6040.467355;0.340645;68;;
77;Willy Winterstein;Kamera;6;66;4;0.421521;0.455913;3479.885996;0.410136;57;;
78;Viktor Gertler;Schnitt;6;86;4;0.407607;0.440801;1136.625328;0.320098;50;;
79;Werner Brandes;Kamera;6;79;4;0.420118;0.454886;4599.483698;0.365434;61;;
80;Adele Sandrock;Darsteller;6;89;4;0.43861;0.475499;2874.922978;0.559167;72;;
81;Werner Schlichting;Bauten;6;79;4;0.414599;0.447917;2321.586834;0.307741;54;;
82;Albert Paulig;Darsteller;6;86;4;0.438103;0.475646;3675.401723;0.565643;74;;
83;Andrej Andrejew;Bauten;6;88;4;0.436923;0.471758;5145.400169;0.370693;67;;
84;Will Meisel;Musik;6;76;4;0.430303;0.464495;1660.16624;0.489181;60;;
85;Walter Jurmann;Musik;5;82;4;0.43642;0.470804;3718.10948;0.396491;64;;
86;Fritz Kampers;Darsteller;5;72;3;0.437259;0.471244;5303.452294;0.428956;65;;
87;Fritz Kortner;Drehbuch/Regie/Darsteller;5;66;4;0.398457;0.428184;1388.696388;0.185341;39;;
88;Heinz Goldberg;Drehbuch;5;71;4;0.428679;0.461781;3720.211618;0.317387;58;;
89;Willy Hameister;Kamera;5;67;4;0.414296;0.446376;1106.792229;0.424694;48;;
90;Paul Henckels;Darsteller;5;61;4;0.442368;0.474325;2891.394266;0.478281;57;;
91;Bruno Mondi;Kamera;5;70;4;0.398457;0.429651;2447.065083;0.318755;46;;
92;Alwin Elling;Schnitt;5;71;4;0.450615;0.483275;3687.955699;0.48406;64;;
93;Heinrich Gärtner;Kamera;5;68;4;0.400705;0.431631;2618.196359;0.317964;45;;
94;Otto Hunte;Bauten;5;71;4;0.444097;0.476012;3457.002349;0.447787;59;;
95;Georg C. Klaren;Drehbuch/Regie;5;64;4;0.407023;0.439407;3095.123149;0.211566;48;;
96;Billy Wilder;Drehbuch;5;70;4;0.401555;0.436913;2024.844075;0.345008;56;;
97;Viktor Gluck;Kamera;5;65;4;0.405569;0.438234;2747.413157;0.220308;51;;
98;Hans Steinhoff;Regie;5;56;4;0.429977;0.461708;1876.198229;0.410355;51;;
99;Fritz Grünbaum;Darsteller/Drehbuch;5;70;4;0.44549;0.478506;4803.241254;0.415084;65;;
100;Charlotte Ander;Darsteller;5;63;4;0.432927;0.465009;2617.319248;0.377704;56;;
101;Otto Erdmann;Bauten;5;76;4;0.439458;0.474912;2859.514437;0.503827;68;;
102;Johannes Riemann;Darsteller;5;71;4;0.420118;0.457526;2939.112668;0.462185;67;;
103;Emeric Pressburger;Drehbuch;5;68;4;0.409222;0.440654;2335.271027;0.268945;46;;
104;Erich Schönfelder;Regie;5;57;4;0.407461;0.436766;688.48783;0.304806;39;;
105;Kurt Lilien;Darsteller;5;66;4;0.411147;0.442928;4386.247991;0.253056;49;;
106;Maria Paudler;Darsteller;5;69;4;0.434251;0.46985;3975.481133;0.473127;67;;
107;Ewald Daub;Kamera;5;67;4;0.389308;0.41564;898.653245;0.15392;32;;
108;Julius von Borsody;Bauten;5;64;4;0.414599;0.44689;3563.065917;0.260971;51;;
109;Max Brenner;Schnitt;5;75;4;0.433422;0.468163;4875.44135;0.377322;63;;
110;Friedrich Zelnik;Regie/Drehbuch/Produzent;5;69;4;0.407899;0.43662;886.003247;0.237906;37;;
111;Ferdinand Hart;Darsteller;5;66;4;0.404703;0.43596;1468.1431;0.228315;45;;
112;Jacek Rotmil;Bauten;5;68;4;0.421053;0.457306;3148.071348;0.410683;64;;
113;Franz Planer;Kamera;5;70;4;0.421521;0.45826;5377.080616;0.439086;65;;
115;Frederik Fuglsang;Kamera;5;68;4;0.436587;0.46919;3007.899914;0.372319;58;;
116;Gerda Maurus;Darsteller;5;73;4;0.420274;0.456573;2531.542108;0.426359;64;;
117;Berthe Ostyn;Darsteller;5;69;4;0.434583;0.469263;3138.340987;0.488636;64;;
118;Liane Haid;Darsteller;5;68;3;0.44375;0.475352;4302.471294;0.420973;60;;
119;Victor Trivas;Drehbuch/Bauten/Regie;5;71;4;0.375165;0.401408;2013.411522;0.104047;31;;
120;Artur Günther;Bauten;5;75;4;0.413994;0.44821;1062.606374;0.463392;56;;
121;Robert A. Dietrich;Bauten;5;67;4;0.403696;0.434052;2327.671837;0.200562;44;;
122;Gustaf Gründgens;Darsteller;5;66;4;0.42949;0.464129;4387.40983;0.3465;62;;
123;Gustav A. Knauer;Bauten;5;71;4;0.415813;0.448797;1736.144433;0.336009;52;;
124;Armand Bernard;Darsteller;5;75;4;0.413843;0.450117;7213.343223;0.323508;65;;
125;Giuseppe Becce;Musik;5;74;4;0.382492;0.412559;2979.498626;0.133425;49;;
126;Guido Seeber;Kamera;5;65;4;0.41566;0.449164;2651.85398;0.331716;53;;
127;Trude Berliner;Darsteller;5;62;4;0.414901;0.450484;3224.471616;0.395627;60;;
128;Senta Söneland;Darsteller;5;73;4;0.428356;0.463468;2544.655497;0.428668;62;;
129;Hans J. Salter;Musik;5;71;4;0.428841;0.461121;3514.948335;0.333763;54;;
130;Hans Karl Gottschalk;Kamera;5;75;4;0.412941;0.446229;6640.427633;0.370441;52;;
131;Theodor Loos;Darsteller;5;68;4;0.435082;0.470584;7780.950259;0.374645;67;;
132;Hans Sohnle;Bauten;5;76;4;0.439458;0.474912;2859.514437;0.503827;68;;
133;Friedrich Fehér;Darsteller/Musik/Regie/Schnitt;4;36;5;0.330329;0.345217;0;0.028281;9;;
134;Willy Fritsch;Darsteller;4;54;4;0.407899;0.43882;783.047666;0.326889;45;;
135;Johannes Brandt;Drehbuch;4;50;4;0.389041;0.417547;2434.738549;0.16088;41;;
136;Hans Adalbert Schlettow;Darsteller;4;55;4;0.402266;0.434933;3759.220265;0.224996;52;;
137;Curt Melnitz;Produzent;4;64;4;0.398876;0.430311;1647.573663;0.199865;47;;
138;Henry Kosterlitz;Drehbuch;4;63;4;0.39762;0.430238;1952.445101;0.225874;51;;
139;Walter Robert Lach;Kamera;4;54;4;0.425947;0.45738;1682.684303;0.372938;50;;
140;Adolf Schlasy;Kamera;4;62;4;0.432432;0.463542;3568.537078;0.367975;51;;
141;Hans Albers;Darsteller;4;55;4;0.395543;0.427597;1985.26164;0.265351;44;;
142;Hermann Millakowsky;Produzent;4;58;4;0.420118;0.451071;2367.092465;0.292467;47;;
143;Hermann Warm;Bauten;4;59;3;0.420118;0.450704;2610.955632;0.263208;48;;
144;Walter Reisch;Drehbuch;4;53;4;0.408927;0.43838;918.958946;0.246081;40;;
145;Hermann Vallentin;Darsteller;4;59;4;0.416575;0.449384;2067.902437;0.311955;52;;
146;Charlotte Susa;Darsteller;4;53;4;0.424991;0.455986;2095.449703;0.321685;47;;
147;Friedrich Kayßler;Darsteller;4;62;4;0.420897;0.453565;2880.332399;0.294082;53;;
148;Bernhard Schwidewski;Bauten;4;52;4;0.405714;0.43772;1291.199162;0.289506;44;;
149;Adolf Lantz;Drehbuch;4;54;4;0.432103;0.462075;1889.326441;0.326286;48;;
150;Wilhelm Dieterle;Regie/Darsteller/Drehbuch;4;47;4;0.346553;0.367811;664.381693;0.049605;22;;
151;Alfred Junge;Bauten;4;56;4;0.392401;0.422242;2886.291319;0.194723;36;;
152;Karl Puth;Kamera;4;56;4;0.421991;0.455106;2090.892911;0.371809;54;;
153;Leo Leux;Musik;4;57;4;0.400141;0.430678;1321.345498;0.237699;43;;
154;Walter Wassermann;Drehbuch;4;54;4;0.424039;0.455546;1334.109893;0.406638;49;;
155;Lilian Harvey;Darsteller;4;61;4;0.408486;0.440067;1114.99407;0.316488;46;;
156;Alfred Abel;Darsteller;4;58;4;0.413994;0.448797;6000.387376;0.244495;57;;
157;Géza Pollatschik;Schnitt;4;58;4;0.416728;0.449531;5975.205438;0.248371;53;;
158;Lucien Aguettand;Bauten;4;44;4;0.361783;0.387104;4391.984287;0.093423;30;;
159;Ernst Fellner;Schnitt;4;64;4;0.389842;0.418207;1737.824965;0.170773;39;;
160;Anny Ahlers;Darsteller;4;54;4;0.422462;0.454225;1242.914529;0.394149;49;;
163;Walter Schlee;Drehbuch;4;54;4;0.424039;0.455546;1334.109893;0.406638;49;;
164;Dolly Haas;Darsteller;4;56;4;0.404847;0.4386;4269.095163;0.224928;52;;
165;Maly Delschaft;Darsteller;4;57;4;0.425947;0.45826;1125.118258;0.438827;50;;
166;Marc Roland;Musik;4;52;4;0.410256;0.440654;3109.459307;0.261684;45;;
167;Marcel Vandal;Produzent;4;67;4;0.396233;0.427377;1604.090583;0.208853;45;;
169;Karl Hasselmann;Kamera;4;50;4;0.40644;0.437427;3992.819363;0.25887;44;;
172;Werner Schmidt-Boelcke;Musik;4;57;4;0.395405;0.427523;1664.48848;0.268745;47;;
173;Marta Eggerth;Darsteller;4;58;4;0.412941;0.443295;1236.993171;0.355731;44;;
174;Otto Baecker;Kamera;4;57;4;0.392401;0.421655;525.588265;0.232647;36;;
175;Henrik Galeen;Drehbuch;4;54;4;0.369311;0.389745;178.113683;0.090997;20;;
176;Ladislaus Vajda;Drehbuch;4;63;4;0.398317;0.430458;2657.61059;0.200873;52;;
177;Charles Delac;Produzent;4;67;4;0.396233;0.427377;1604.090583;0.208853;45;;
178;Bruno Granichstaedten;Drehbuch/Musik;4;52;4;0.392265;0.41652;429.81617;0.152503;24;;
180;Paul Kemp;Darsteller;4;48;4;0.429165;0.458113;3181.661865;0.295895;44;;
181;Fritz Odemar;Darsteller;4;56;4;0.414901;0.448063;2414.839184;0.309119;53;;
183;Giovanni Vitrotti;Kamera;4;60;4;0.407607;0.43706;2868.466185;0.222203;41;;
185;Fritz Wenneis;Musik;4;54;4;0.369311;0.389745;178.113683;0.090997;20;;
186;Carl Drews;Kamera;4;54;4;0.418262;0.450778;2871.593007;0.282811;52;;
187;Paul Heidemann;Darsteller;4;49;4;0.420429;0.451731;3591.056654;0.324458;47;;
188;Paul Graetz;Darsteller;4;63;4;0.409075;0.445569;5798.664098;0.279438;60;;
189;Willy Prager;Darsteller/Drehbuch;4;57;4;0.427068;0.460754;2152.981967;0.423356;54;;
190;Georg Bruckbauer;Kamera;4;51;4;0.407899;0.438013;1959.432248;0.241338;41;;
192;Hans May;Musik;4;56;4;0.412491;0.442342;777.942683;0.354332;41;;
193;Henri Garat;Darsteller;4;57;4;0.379426;0.411092;729.869361;0.278931;46;;
194;Andrew Marton;Schnitt/Regie;4;55;4;0.411147;0.439481;1289.873687;0.278993;37;;
196;Renate Müller;Darsteller;4;57;4;0.427068;0.459287;6079.552677;0.310229;53;;
1188;Max Obal;Regie/Drehbuch;3;38;4;0.377158;0.400528;279.88622;0.169039;25;;
200;Georg Muschner;Kamera;3;46;4;0.390915;0.419894;321.937154;0.262432;37;;
201;Erwin Scharf;Bauten;3;40;4;0.40996;0.4386;436.563688;0.271318;36;;
202;Alexander Roda-Roda;Darsteller/Drehbuch;3;33;4;0.384694;0.410798;892.584345;0.137062;25;;
203;Karl Ludwig Diehl;Darsteller;3;44;4;0.413843;0.443002;1129.042535;0.293607;40;;
204;Harald Paulsen;Darsteller;3;41;4;0.391589;0.420408;2159.555704;0.156047;38;;
205;Ernö Metzner;Bauten;3;45;4;0.414901;0.444762;1988.755946;0.297066;44;;
206;Hans-Joachim Wilke;Produzent;3;40;4;0.389708;0.417327;591.444395;0.170118;32;;
207;Karol Rathaus;Musik;3;45;4;0.39308;0.420188;1105.341088;0.14684;32;;
208;Hans Waßmann;Darsteller;3;41;4;0.401413;0.430311;673.511711;0.275683;38;;
209;Leopold Blonder;Bauten;3;53;4;0.364921;0.390258;1976.802668;0.097832;35;;
210;Gerhard Bienert;Darsteller/Drehbuch;3;41;5;0.337292;0.359096;6347.087032;0.048187;23;;
211;Laslo Benedek;Schnitt;3;47;4;0.389308;0.417694;1375.907272;0.175294;37;;
212;Hans Stüwe;Darsteller;3;40;4;0.399157;0.42723;1161.720899;0.207796;37;;
213;Gerhard Hoffmann;Musik;3;31;4;0.398177;0.424516;277.483304;0.237275;27;;
214;Ladislao Vajda;Schnitt;3;39;4;0.413392;0.440434;789.001644;0.275813;33;;
215;Walther Ruttmann;Drehbuch/Regie/Schnitt;3;39;5;0.264309;0.276585;0;0.006927;10;;
216;Erich Zander;Bauten;3;49;4;0.412491;0.443148;1985.071553;0.268495;45;;
217;Georges C. Stilly;Kamera/Schnitt;3;42;4;0.325875;0.346538;3996.26652;0.031614;23;;
218;Ernst Busch;Darsteller;3;43;4;0.38108;0.409991;3963.78401;0.130925;41;;
219;Georges Péclet;Darsteller;3;47;4;0.407753;0.437867;6754.319936;0.196196;43;;
220;Ernst Dumcke;Darsteller;3;32;4;0.39651;0.423636;758.469531;0.197257;30;;
221;Hans Rehmann;Darsteller;3;36;4;0.407314;0.436693;1052.507701;0.242942;36;;
222;Harry Hardt;Darsteller;3;42;4;0.400847;0.430531;1962.53644;0.23995;39;;
223;Hansi Arnstaedt;Darsteller;3;31;4;0.401272;0.42833;947.737615;0.221067;29;;
224;Ernst Neubach;Drehbuch;3;35;4;0.406004;0.434712;523.553625;0.28306;35;;
225;Eugen Rex;Darsteller;3;26;4;0.389441;0.414613;224.037536;0.208741;24;;
226;Julius Haimann;Produzent;3;40;4;0.39105;0.4163;207.396382;0.157299;27;;
227;Harry Kahn;Drehbuch;3;50;4;0.402694;0.431265;1290.622127;0.197939;38;;
228;Iván Petrovich;Darsteller;3;41;4;0.413542;0.441828;1836.528271;0.241414;37;;
229;Grete Mosheim;Darsteller;3;29;4;0.389976;0.417254;937.145159;0.186573;28;;
230;Hans Jacoby;Bauten;3;43;4;0.399017;0.428257;1772.246205;0.205428;41;;
231;Fritz Friedmann-Frederich;Drehbuch/Regie;3;39;4;0.39105;0.416373;445.729445;0.15687;25;;
232;Hans Friedländer;Produzent;3;40;4;0.389708;0.417327;591.444395;0.170118;32;;
233;Willy Zeunert;Schnitt;3;43;4;0.387713;0.414613;281.016811;0.240654;31;;
234;Friedrich Raff;Drehbuch;3;42;4;0.40644;0.434566;681.686039;0.215734;34;;
235;Emmerich Kálmán;Musik;3;39;4;0.402124;0.42833;934.584513;0.203746;30;;
236;Friedl Haerlin;Darsteller;3;47;4;0.401413;0.432512;4601.260041;0.203459;45;;
237;Heinz Rühmann;Darsteller;3;46;4;0.402266;0.433832;2152.534093;0.259456;42;;
238;Fritz Löhner-Beda;Drehbuch;3;38;4;0.38108;0.405957;1886.137785;0.121025;30;;
239;Wladimir Sokoloff;Darsteller;3;42;4;0.369071;0.398474;4031.898909;0.116907;40;;
240;Franz Seitz Sr.;Drehbuch/Produzent/Regie;3;33;4;0.336792;0.351379;0;0.036346;11;;
241;Wolfgang Loë-Bagier;Schnitt;3;52;4;0.406731;0.43728;614.034932;0.270245;39;;
242;István Székely;Regie/Schnitt;3;45;4;0.386526;0.412412;322.45027;0.184458;28;;
243;Franz Koehn;Bauten;3;47;4;0.392401;0.419821;2027.813251;0.170686;36;;
244;Harry Liedtke;Darsteller;3;38;4;0.394034;0.423122;785.235328;0.269052;36;;
245;Franz Grothe;Musik;3;46;3;0.417954;0.447477;1186.959815;0.360598;44;;
246;Albert Bassermann;Darsteller;3;42;4;0.408633;0.437793;2163.090894;0.243504;40;;
247;Florelle;Darsteller;3;43;4;0.375413;0.405443;1647.898244;0.195145;37;;
248;Jessie Vihrog;Darsteller;3;43;4;0.411594;0.441461;1141.057991;0.309052;41;;
249;Fritz Spira;Darsteller;3;38;4;0.415813;0.444322;1100.020066;0.327136;38;;
250;Felix Pfitzner;Produzent;3;44;4;0.404414;0.431485;1806.395223;0.20531;34;;
252;Hans Rameau;Drehbuch;3;42;4;0.39308;0.421068;672.906485;0.197676;34;;
253;G. W. Pabst;Regie;3;50;4;0.382106;0.409771;604.914599;0.155604;39;;
254;Gabriel Levy;Produzent;3;40;4;0.4;0.427303;346.629207;0.243225;32;;
255;Fritz Falkenstein;Drehbuch;3;41;4;0.411743;0.440948;927.891109;0.325118;38;;
256;Karl Etlinger;Darsteller;3;43;4;0.410701;0.440141;908.849974;0.308199;40;;
257;Karl Forest;Drehbuch/Darsteller;3;33;4;0.356001;0.377274;66.961284;0.082807;18;;
258;Géza von Bolváry;Regie;3;40;4;0.39105;0.4163;207.396382;0.157299;27;;
259;Hermann Speelmans;Darsteller;3;43;4;0.400282;0.430311;1822.901599;0.212435;36;;
260;Anna Sten;Darsteller;3;49;4;0.428033;0.457453;2294.123929;0.325271;44;;
261;Lien Deyers;Darsteller;3;43;4;0.400847;0.430531;2345.448726;0.264968;40;;
262;Oskar Karlweis;Darsteller;3;39;4;0.39513;0.423122;1087.603182;0.198326;36;;
263;Paul Falkenberg;Schnitt;3;41;4;0.408339;0.436693;1326.73363;0.230571;37;;
264;Paul Dessau;Musik;3;52;4;0.393352;0.424149;3610.109504;0.209813;39;;
265;Alfred Zeisler;Regie;3;39;4;0.391724;0.419601;330.560504;0.251566;32;;
266;Walter Kollo;Musik;3;36;4;0.392265;0.420261;563.064515;0.253125;34;;
267;Alfred Schirokauer;Drehbuch;3;38;4;0.396648;0.424589;1279.599342;0.182503;37;;
268;Oskar Sima;Darsteller;3;42;4;0.405859;0.435446;1754.487342;0.249898;40;;
269;Oskar Marion;Darsteller;3;43;4;0.409665;0.439774;1020.704551;0.308179;41;;
270;Oskar Homolka;Darsteller;3;41;4;0.405859;0.435593;2237.619427;0.25578;41;;
271;Edgar Roell;Produzent;3;43;4;0.378288;0.403903;390.926784;0.142367;31;;
272;Olga Limburg;Darsteller;3;39;4;0.4;0.429064;2182.919633;0.270609;38;;
273;Claire Rommer;Darsteller;3;41;4;0.410256;0.439554;540.115763;0.328191;39;;
274;Conrad Veidt;Darsteller;3;44;4;0.404847;0.435226;2567.431305;0.246103;44;;
275;Mihály Eisemann;Musik;3;42;4;0.419653;0.449237;1236.042864;0.310286;41;;
276;Max Schipper;Darsteller;3;41;4;0.412192;0.441388;933.518324;0.299327;40;;
277;Max Heilbronner;Bauten;3;41;4;0.400141;0.428697;753.849428;0.213975;37;;
278;Max Ehrlich;Darsteller;3;42;4;0.41627;0.445936;1063.551767;0.33136;40;;
279;Walter Janssen;Darsteller;3;41;4;0.409517;0.438527;504.686051;0.286734;38;;
280;Carl Otto Bartning;Schnitt;3;42;4;0.398177;0.42745;2413.54773;0.233619;39;;
281;Paul Otto;Darsteller;3;41;4;0.405136;0.435666;2002.162943;0.217243;41;;
282;Carl Balhaus;Darsteller;3;39;4;0.359039;0.379768;374.753301;0.082717;22;;
283;Anton Pointner;Darsteller;3;40;4;0.417801;0.446303;920.470734;0.310076;37;;
284;Rudolf Forster;Darsteller;3;49;4;0.389976;0.423049;1683.384906;0.238362;46;;
285;Arnold Fanck;Drehbuch/Regie/Schnitt;3;42;5;0.318118;0.334595;0;0.028231;14;;
286;Arnold Lippschitz;Drehbuch;3;36;4;0.383395;0.408304;75.397155;0.229911;25;;
287;Tibor von Halmay;Darsteller;3;43;4;0.40528;0.435446;1801.803319;0.248482;42;;
288;Robert Stolz;Musik;3;40;4;0.396648;0.424076;585.832774;0.211552;33;;
289;Trude von Molo;Darsteller;3;44;4;0.403409;0.433685;1708.476393;0.227507;44;;
290;Robert Land;Regie;3;39;4;0.426587;0.454445;833.668032;0.306188;38;;
291;Benno von Arent;Bauten;3;41;4;0.384433;0.411092;328.680166;0.173163;29;;
292;Bernhard Minetti;Darsteller;3;43;4;0.375041;0.400602;983.509905;0.113462;30;;
293;René Métain;Schnitt;3;39;4;0.387185;0.410945;583.190534;0.134473;24;;
294;Ralph Erwin;Musik;3;42;4;0.398736;0.425543;601.56413;0.212994;31;;
295;Botho Höfer;Bauten;3;39;4;0.391724;0.419821;605.386602;0.194073;31;;
296;Brigitte Helm;Darsteller;3;38;4;0.402694;0.430825;694.980332;0.217123;32;;
297;Philipp Lothar Othello Mayring;Drehbuch/Regie;3;44;4;0.391185;0.41674;202.173252;0.197895;27;;
298;Dina Gralla;Darsteller;3;37;4;0.402694;0.431338;2228.531432;0.242661;37;;
299;Gustl Stark-Gstettenbaur;Darsteller;3;24;4;0.380442;0.405663;1857.971165;0.177001;24;;
300;Léo Lania;Drehbuch;3;48;4;0.389308;0.418427;1260.691667;0.1674;39;;
301;Lucien Baroux;Darsteller;3;42;4;0.379426;0.40625;485.446199;0.188529;34;;
