Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;;
0;Willi A. Herrmann;Bauten;16;212;3;0.47671;0.523621;12436.78051;1;136;;
1;Franz Schulz;Drehbuch;12;162;3;0.47711;0.518046;15450.682584;0.722594;116;;
2;Otto Wallburg;Darsteller;12;165;4;0.497591;0.541006;24037.721525;0.94901;143;;
3;Erich Pommer;Produzent;11;155;4;0.430793;0.472931;4383.440333;0.504173;86;;
4;Artur Guttmann;Musik;11;161;4;0.480338;0.520393;13098.062422;0.837794;114;;
5;Robert Neppach;Bauten;11;146;4;0.465574;0.509977;18089.32042;0.666204;116;;
6;Franz Schroedter;Bauten;11;146;3;0.472153;0.514965;15652.849601;0.706479;118;;
7;Herbert Lippschitz;Bauten;11;138;3;0.456225;0.495892;5612.986804;0.702126;95;;
8;Reinhold Schünzel;Drehbuch/Regie/Darsteller;11;145;3;0.430956;0.46831;5213.823561;0.425345;74;;
9;Willy Goldberger;Kamera;11;146;3;0.482378;0.52186;11786.050775;0.827073;116;;
10;Erich Kettelhut;Bauten;10;138;4;0.437428;0.476746;4999.985457;0.499607;79;;
11;Ernö Verebes;Darsteller;10;133;4;0.460852;0.504695;10272.243687;0.749134;109;;
12;Konstantin Tschet;Kamera;10;140;4;0.433588;0.474545;5150.256193;0.53912;83;;
13;Max Adalbert;Darsteller;10;116;4;0.454946;0.496992;9277.662288;0.66559;100;;
14;Paul Hörbiger;Darsteller;10;126;4;0.477311;0.518559;11638.805047;0.872025;115;;
15;Ralph Arthur Roberts;Darsteller;10;120;4;0.465765;0.505795;8956.458803;0.826337;101;;
16;Lucie Englisch;Darsteller;9;113;4;0.450436;0.48951;3848.235122;0.757352;87;;
17;Walter Röhrig;Bauten;9;133;4;0.45151;0.492151;5782.892555;0.582199;93;;
18;Bobby E. Lüthge;Drehbuch;9;132;4;0.452049;0.496479;6442.901348;0.801761;105;;
19;Karl Noti;Drehbuch;9;128;4;0.454582;0.495819;8638.860973;0.688504;98;;
20;Richard Eichberg;Produzent/Regie/Drehbuch;9;115;4;0.392265;0.420114;1611.821072;0.252265;36;;
21;Robert Herlth;Bauten;9;133;4;0.45151;0.492151;5782.892555;0.582199;93;;
22;Robert Liebmann;Drehbuch;9;126;4;0.428033;0.466843;3717.942484;0.454881;75;;
23;Ida Wüst;Darsteller;9;104;4;0.460105;0.498239;6630.153135;0.702486;89;;
24;Siegfried Arno;Darsteller;9;127;4;0.461789;0.503301;8056.975038;0.756439;104;;
25;Friedl Behn-Grund;Kamera;9;131;3;0.467682;0.505428;11111.022341;0.611756;97;;
26;Georg Alexander;Darsteller;9;117;4;0.451152;0.491564;10122.838592;0.633001;92;;
27;Fritz Schulz;Darsteller;9;121;3;0.474916;0.511737;8661.761249;0.768044;100;;
28;Hermann Thimig;Darsteller;8;88;4;0.455128;0.490684;6726.490661;0.540292;78;;
29;Szöke Szakall;Darsteller;8;105;4;0.465192;0.501247;11591.148802;0.605708;88;;
30;Rudolf Katscher;Drehbuch;8;120;4;0.452049;0.491784;7443.80048;0.550911;89;;
31;Hans Brausewetter;Darsteller;8;105;3;0.470004;0.505428;7767.266258;0.696271;91;;
32;Reimar Kuntze;Kamera;8;116;4;0.463295;0.502421;17307.459227;0.477506;96;;
33;Otto Heller;Kamera;8;101;4;0.433257;0.468383;8381.732393;0.340403;65;;
34;Heinrich Richter;Bauten;8;110;4;0.442712;0.483788;11688.616201;0.432773;91;;
35;Otto Stransky;Musik;8;110;3;0.468454;0.502494;5811.659164;0.63525;85;;
36;Julius Falkenstein;Darsteller;8;111;4;0.468647;0.508289;7964.04079;0.762298;102;;
37;Werner Richard Heymann;Musik;8;113;4;0.415356;0.452612;3000.800565;0.422257;68;;
38;Herbert Selpin;Schnitt/Regie;8;114;4;0.461601;0.5011;11511.389905;0.617528;96;;
39;Friedrich Hollaender;Musik/Darsteller;8;118;4;0.427872;0.46941;7056.778333;0.484515;83;;
40;Nicolas Farkas;Kamera;7;93;4;0.422462;0.461414;10240.397983;0.312025;74;;
41;Carl Boese;Regie;7;99;4;0.456592;0.488483;2868.420527;0.595904;68;;
42;Gretl Theimer;Darsteller;7;92;4;0.454764;0.489877;5988.893272;0.492283;75;;
43;Hans Behrendt;Regie;7;84;3;0.458065;0.489437;5858.356872;0.44697;68;;
44;Günther Rittau;Kamera;7;97;4;0.404558;0.438747;1269.205089;0.341584;55;;
45;Otto Kanturek;Kamera;7;100;4;0.450258;0.488776;7358.417115;0.512185;85;;
46;Hilde Hildebrand;Darsteller;7;84;4;0.446892;0.478873;4402.647295;0.415908;61;;
47;Fritz Arno Wagner;Kamera;7;107;4;0.424673;0.464862;6718.822674;0.35215;81;;
48;Egon Eis;Drehbuch;7;108;4;0.448126;0.485915;5815.895953;0.512033;80;;
49;Seymour Nebenzahl;Produzent;7;110;4;0.437765;0.478653;7824.610306;0.42672;88;;
50;Hans Junkermann;Darsteller;7;92;4;0.41627;0.452685;5104.811357;0.38258;65;;
51;Gustav Fröhlich;Darsteller;6;82;4;0.437091;0.476012;16897.626499;0.412146;79;;
52;Hans H. Zerlett;Drehbuch;6;76;4;0.416117;0.44777;5479.083957;0.26974;50;;
53;Robert Siodmak;Regie/Drehbuch;6;84;4;0.392401;0.421655;525.588265;0.232647;36;;
54;Hanns Schwarz;Regie;6;83;4;0.397759;0.429064;823.127792;0.300551;46;;
55;Arnold Pressburger;Produzent;6;80;4;0.417647;0.453932;9458.067332;0.27801;65;;
56;Bernhard Wentzel;Kamera;6;82;4;0.419188;0.457673;3232.131131;0.46288;68;;
57;Betty Bird;Darsteller;6;76;4;0.44375;0.477186;5825.534159;0.425895;64;;
58;Annie Markart;Darsteller;6;82;4;0.437091;0.471978;3812.84866;0.47498;63;;
59;Felix Günther;Musik;6;84;3;0.430466;0.467576;4047.121063;0.462747;73;;
60;Käthe von Nagy;Darsteller;6;86;4;0.431939;0.468016;3741.654696;0.444044;67;;
61;Paul Westermeier;Darsteller;6;65;4;0.405859;0.439334;884.328569;0.410567;50;;
62;Fritz Rasp;Darsteller;6;85;3;0.431939;0.468016;8075.23981;0.357751;70;;
