Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
1417,Lothar Müthel,Darsteller,1,7,7,0.324354,0.344844,0,0.058052,7
1418,Lotte Lorring,Darsteller,1,10,7,0.311625,0.328575,0,0.028117,9
1419,Lotte Paulsen,Darsteller,1,9,7,0.309003,0.326328,0,0.04523,9
1420,Lotte Reineken,Darsteller,1,6,8,0.263167,0.275368,0,0.006018,6
1421,Lotte Richter,Darsteller,1,9,7,0.294802,0.311125,0,0.019705,9
1422,Lotte Werkmeister,Darsteller,1,5,8,0.184966,0.191424,0,0.002351,5
1423,Louis Pukow,Darsteller,1,7,8,0.219483,0.228263,0,0.002486,5
1424,Lu Synd,Darsteller,1,5,6,0.268752,0.281416,0,0.007248,5
1425,Lucie Friedrich,Darsteller,1,6,6,0.291295,0.304652,0,0.011252,5
1426,Ludmilla Hell,Darsteller,1,10,6,0.323996,0.344202,0,0.060773,9
1612,Artur Holz,Regie/Drehbuch,3,30,7,0.333107,0.358709,178.344065,0.132884,21
1429,Ludwig Boris,Bauten,1,9,6,0.310505,0.327377,0,0.028056,8
1665,Gerhard Dammann,Darsteller/Drehbuch/Regie,6,0,0,0,0,0,0,0
1432,Ludwig George Reck,Darsteller,1,3,8,0.212467,0.219851,0,0.001314,3
1433,Ludwig Kainer,Bauten,1,10,6,0.328048,0.348389,0,0.074703,10
1434,Ludwig Kirschner,Bauten,1,12,7,0.317759,0.335654,0,0.043864,12
1435,Ludwig Max,Darsteller,1,7,6,0.294921,0.310211,0,0.021276,7
1436,Ludwig Stiehl,Darsteller,1,11,6,0.298881,0.31391,0,0.02814,10
1437,Ludwig Trautmann,Darsteller,1,11,6,0.291932,0.307204,0,0.020513,10
1438,Ludwig Wenng,Darsteller,1,7,6,0.257584,0.269889,0,0.007068,7
1441,Ly Corder,Darsteller,1,9,6,0.292746,0.30843,0,0.026205,9
1442,Lydia Savitzky,Darsteller,1,11,7,0.311229,0.33073,0,0.066281,10
1443,Lys Andersen,Darsteller,1,9,7,0.319556,0.337413,0,0.037307,8
1444,M. Egeskov,Darsteller,1,3,8,0.212222,0.219523,0,0.001276,3
1445,Lorenz Bätz,Regie,1,8,6,0.310571,0.3274,0,0.028343,7
1446,Loo Beel,Darsteller,1,10,7,0.312487,0.330878,0,0.053868,10
1447,Lo Sanders,Darsteller,1,7,6,0.322857,0.339551,0,0.036635,7
1448,Leopold Iwald,Darsteller,1,7,1,1,1,0,0.003078,7
1449,Kurt Pfeiffer,Darsteller,1,5,7,0.288039,0.301844,0,0.011544,5
1450,Kurt Prenzel,Darsteller,1,10,7,0.312553,0.329993,0,0.040567,10
1451,Kurt Salden,Darsteller,1,5,7,0.266075,0.278246,0,0.006668,5
1452,Kurt Stieler,Darsteller,1,9,7,0.336927,0.357222,0,0.078464,9
1453,Kurt Waschneck,Bauten,1,10,6,0.315642,0.333764,0,0.045511,10
1454,Kurt Wenkhaus,Darsteller,1,8,7,0.318586,0.336437,0,0.043876,7
1455,Käthe Dorsch,Darsteller,1,10,6,0.315642,0.333764,0,0.045511,10
1456,Käthe Richter,Darsteller,1,10,6,0.335312,0.355355,0,0.081378,10
