Source,Target,Type,Id,Label,Weight
14,1061,Undirected,13755,,1
113,203,Undirected,13756,,1
28,84,Undirected,13757,,1
426,324,Undirected,13758,,1
171,89,Undirected,13759,,1
225,194,Undirected,13760,,3
24,57,Undirected,13761,,3
227,598,Undirected,13762,,1
873,943,Undirected,13763,,1
750,129,Undirected,13764,,1
1106,2,Undirected,27860,,1
489,251,Undirected,13766,,1
213,21,Undirected,13767,,1
74,173,Undirected,13768,,1
186,55,Undirected,13769,,1
0,620,Undirected,13770,,1
447,158,Undirected,13771,,1
1078,662,Undirected,13772,,1
472,62,Undirected,13773,,1
171,823,Undirected,13774,,1
16,442,Undirected,13775,,1
187,95,Undirected,13776,,1
862,73,Undirected,13777,,1
74,600,Undirected,13778,,1
882,292,Undirected,13779,,1
105,152,Undirected,13780,,1
237,967,Undirected,13781,,1
811,82,Undirected,13782,,1
266,130,Undirected,13783,,1
459,362,Undirected,13784,,1
200,184,Undirected,13785,,2
451,91,Undirected,13786,,1
597,691,Undirected,13787,,1
727,184,Undirected,13788,,1
161,943,Undirected,13789,,1
1089,463,Undirected,13790,,1
72,361,Undirected,13791,,1
1012,384,Undirected,13792,,1
205,27,Undirected,13793,,1
813,35,Undirected,13794,,1
182,441,Undirected,13795,,1
950,33,Undirected,13796,,1
125,13,Undirected,13797,,1
466,519,Undirected,13798,,1
461,425,Undirected,13799,,1
201,84,Undirected,13800,,1
413,622,Undirected,13801,,1
187,282,Undirected,13802,,1
113,400,Undirected,13803,,1
42,21,Undirected,13804,,4
447,103,Undirected,13805,,1
920,428,Undirected,13806,,1
14,146,Undirected,13807,,1
31,1109,Undirected,27971,,4
85,19,Undirected,13809,,1
1037,30,Undirected,13810,,1
307,113,Undirected,13811,,1
477,528,Undirected,13812,,1
44,40,Undirected,13813,,2
806,56,Undirected,13814,,1
945,440,Undirected,13815,,1
7,226,Undirected,13816,,1
813,15,Undirected,13817,,1
885,6,Undirected,13818,,1
981,435,Undirected,13819,,1
405,585,Undirected,13820,,2
727,271,Undirected,13821,,1
25,146,Undirected,13822,,2
1027,283,Undirected,13823,,1
198,415,Undirected,13824,,1
450,386,Undirected,13825,,1
1071,129,Undirected,13826,,1
1109,632,Undirected,27966,,3
814,822,Undirected,13828,,1
851,198,Undirected,13829,,1
79,115,Undirected,13830,,2
63,249,Undirected,13831,,1
359,84,Undirected,13832,,1
1105,508,Undirected,27786,,1
141,3,Undirected,13834,,2
44,193,Undirected,13835,,1
383,564,Undirected,13836,,1
42,339,Undirected,13837,,1
64,122,Undirected,13838,,1
217,95,Undirected,13839,,2
953,1103,Undirected,27718,,2
974,126,Undirected,13841,,1
185,34,Undirected,13842,,1
138,65,Undirected,13843,,1
371,22,Undirected,13844,,1
1070,77,Undirected,13845,,1
674,318,Undirected,13846,,1
463,550,Undirected,13847,,1
252,121,Undirected,13848,,2
160,91,Undirected,13849,,1
178,520,Undirected,13850,,1
18,143,Undirected,13851,,2
851,644,Undirected,13852,,1
118,236,Undirected,13853,,2
326,103,Undirected,13854,,1
11,697,Undirected,13855,,1
1098,1054,Undirected,27546,,2
805,382,Undirected,13857,,1
64,3,Undirected,13858,,1
137,2,Undirected,13859,,2
322,225,Undirected,13860,,2
144,539,Undirected,13861,,1
323,106,Undirected,13862,,1
3,1,Undirected,13863,,4
805,635,Undirected,13864,,1
396,167,Undirected,13865,,1
49,32,Undirected,13866,,4
216,428,Undirected,13867,,2
1037,168,Undirected,13868,,1
73,391,Undirected,13869,,1
1114,1102,Undirected,28119,,18
247,296,Undirected,13871,,3
119,13,Undirected,13872,,1
61,311,Undirected,13873,,1
89,1010,Undirected,13874,,1
320,47,Undirected,13875,,3
117,665,Undirected,13876,,1
34,82,Undirected,13877,,1
92,233,Undirected,13878,,2
1105,624,Undirected,27787,,2
194,100,Undirected,13880,,1
986,46,Undirected,13881,,1
882,12,Undirected,13882,,1
