Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
0,Frida Richard,Darsteller,15,165,4,0.458812,0.517919,20287.475228,1,125
1,Robert Liebmann,Drehbuch,13,145,4,0.444341,0.49278,13139.336113,0.685088,94
2,Reinhold Schünzel,Darsteller/Drehbuch/Regie,12,112,5,0.396031,0.4377,3672.358877,0.425225,50
3,Wilhelm Diegelmann,Darsteller,11,105,4,0.444548,0.491388,18645.229835,0.619729,89
5,Hermann Picha,Darsteller,10,101,4,0.459472,0.503914,21538.53253,0.682415,93
6,Jacek Rotmil,Bauten,10,108,5,0.437243,0.482933,11636.304076,0.627568,77
7,Robert A. Dietrich,Bauten,10,96,4,0.437443,0.480689,15125.65791,0.480641,74
8,Olga Tschechowa,Darsteller,9,78,4,0.426916,0.467206,6107.06284,0.462815,61
9,Willi A. Herrmann,Bauten,9,91,4,0.430949,0.470598,10090.404917,0.460713,66
10,Fritz Kampers,Darsteller,9,86,4,0.429404,0.469381,6485.327369,0.511989,64
11,Grete Reinwald,Darsteller,9,81,4,0.429789,0.472338,15223.619682,0.424749,69
12,Kurt Richter,Bauten,9,104,5,0.426157,0.46945,6613.270472,0.594296,71
13,Erich Kaiser-Titz,Darsteller,9,96,4,0.437243,0.481298,13331.61506,0.508545,77
14,Willy Schmidt-Gentner,Musik,9,105,4,0.442699,0.488692,10928.826397,0.668048,86
15,Gustav A. Knauer,Bauten,9,96,4,0.435059,0.478601,11169.995352,0.525736,75
16,Richard Eichberg,Produzent/Regie,8,85,5,0.388483,0.422651,765.179765,0.328693,36
17,Hans Junkermann,Darsteller,8,83,5,0.409577,0.449008,3641.652305,0.424971,53
18,Carl Auen,Darsteller,8,68,4,0.405245,0.447025,11364.408135,0.335992,58
19,Lia Eibenschütz,Darsteller,8,89,5,0.429404,0.474322,7540.361108,0.596756,74
20,Bernhard Schwidewski,Bauten,8,96,5,0.431726,0.474408,6427.026534,0.525499,70
21,Eduard von Winterstein,Darsteller,8,81,5,0.421099,0.462143,4635.310198,0.481896,59
22,Alfons Fryland,Darsteller,8,72,4,0.431337,0.468337,12353.96759,0.440344,59
23,Hans Mierendorff,Darsteller,8,90,5,0.431337,0.476235,7939.143321,0.610501,75
24,Giuseppe Becce,Musik,8,99,4,0.436645,0.484168,10392.472189,0.619376,84
25,Botho Höfer,Bauten,8,99,5,0.4254,0.468754,5662.812477,0.533576,69
26,Margarete Kupfer,Darsteller,8,86,4,0.447037,0.48817,6946.045318,0.697692,77
27,Bruno Kastner,Darsteller,8,83,4,0.433288,0.473469,5880.584746,0.57827,63
28,Karl Beckersachs,Darsteller,7,70,5,0.415799,0.45588,4399.02799,0.405389,54
29,Wilhelm Dieterle,Darsteller,7,66,4,0.422771,0.461117,4960.870982,0.451206,55
30,Philipp Manning,Darsteller,7,69,4,0.40269,0.443981,9257.589971,0.359011,55
31,Ferdinand Martini,Darsteller,7,59,5,0.345101,0.378375,2931.427788,0.127009,39
32,Hans Albers,Darsteller,7,70,4,0.432897,0.470859,6531.2697,0.505576,62
33,Harry Hardt,Darsteller,7,69,4,0.421841,0.463814,11097.531144,0.423738,66
34,Robert Scholz,Darsteller,7,65,4,0.406104,0.44572,7754.681489,0.339125,56
35,Ruth Goetz,Drehbuch,7,73,5,0.413466,0.451444,2350.104239,0.415255,45
36,Maly Delschaft,Darsteller,7,76,5,0.433092,0.473887,5939.930945,0.55403,63
37,Mary Parker,Darsteller,7,64,4,0.405245,0.444068,5431.946944,0.32512,52
38,Carl Boese,Regie,7,69,5,0.425967,0.465449,5454.481365,0.521952,57
39,Jenny Jugo,Darsteller,7,69,4,0.394563,0.435369,4754.19685,0.326791,53
40,Robert Garrison,Darsteller,7,73,4,0.428827,0.46912,6806.387884,0.521393,62
41,Jack Mylong-Münz,Darsteller,7,62,6,0.318484,0.353914,2133.192707,0.108519,37
42,Maria Minzenti,Darsteller,7,64,6,0.325076,0.36016,1271.545881,0.115895,35
43,Franz Seitz Sr.,Regie/Drehbuch,6,58,6,0.31976,0.349896,405.042672,0.091233,24
44,Franz Schroedter,Bauten,6,71,4,0.400837,0.439544,2030.55878,0.405674,47
45,Axel Graatkjær,Kamera,6,72,4,0.411512,0.447895,2256.835582,0.392249,42
46,Rudolf Lettinger,Darsteller,6,62,4,0.414719,0.451896,6325.663489,0.418831,50
47,Rudolf Walther-Fein,Regie,6,61,5,0.396687,0.434047,919.945739,0.371936,38
48,Harry Halm,Darsteller,6,67,4,0.422958,0.463727,4797.608759,0.542164,60
49,Paul Holzki,Kamera,6,68,4,0.415979,0.452505,7252.715496,0.346143,48
50,Hans Sohnle,Bauten,6,75,4,0.40714,0.446155,2439.42137,0.43369,47
51,Otto Kanturek,Kamera,6,61,5,0.405074,0.443354,2591.617367,0.367958,46
52,Rolf Randolf,Regie/Darsteller,6,35,5,0.369314,0.39499,230.573441,0.140952,16
53,Erna Morena,Darsteller,6,66,5,0.398668,0.43944,3556.634381,0.381215,49
