Source,Target,Type,Id,Label,Weight
94,44,Undirected,10226,,1
123,167,Undirected,10227,,1
282,295,Undirected,10228,,1
1217,447,Undirected,10229,,1
362,149,Undirected,10230,,1
978,1130,Undirected,10231,,1
4,91,Undirected,10232,,1
625,150,Undirected,10233,,1
89,668,Undirected,10234,,1
74,802,Undirected,10235,,1
474,1014,Undirected,10236,,1
103,535,Undirected,10237,,1
961,911,Undirected,10238,,1
71,173,Undirected,10239,,1
93,442,Undirected,10240,,1
999,94,Undirected,10241,,1
48,696,Undirected,10242,,1
30,304,Undirected,10243,,1
938,817,Undirected,10244,,1
5,368,Undirected,10245,,1
79,306,Undirected,10246,,1
272,10,Undirected,10247,,1
36,637,Undirected,10248,,1
502,837,Undirected,10249,,1
7,1065,Undirected,10250,,1
142,446,Undirected,10251,,1
185,2,Undirected,10252,,1
17,2,Undirected,10253,,1
109,528,Undirected,10254,,1
31,617,Undirected,10255,,1
352,657,Undirected,10256,,1
257,34,Undirected,10257,,1
527,458,Undirected,10258,,1
1029,497,Undirected,10259,,1
55,141,Undirected,10260,,1
245,182,Undirected,10261,,1
167,563,Undirected,10262,,1
923,72,Undirected,10263,,1
934,747,Undirected,10264,,1
196,130,Undirected,10265,,1
3,211,Undirected,10266,,1
169,77,Undirected,10267,,1
209,765,Undirected,10268,,1
46,436,Undirected,10269,,1
456,495,Undirected,10270,,1
53,11,Undirected,10271,,3
214,1235,Undirected,10272,,1
695,466,Undirected,10273,,1
537,928,Undirected,10274,,2
258,1302,Undirected,10275,,2
409,360,Undirected,10276,,1
3,26,Undirected,10277,,1
185,1103,Undirected,10278,,1
609,546,Undirected,10279,,1
1308,3,Undirected,10280,,6
33,62,Undirected,10281,,1
494,1219,Undirected,10282,,1
277,687,Undirected,10283,,3
492,639,Undirected,10284,,1
1226,319,Undirected,10285,,1
421,508,Undirected,10286,,2
143,215,Undirected,10287,,1
1184,26,Undirected,10288,,1
103,1307,Undirected,10289,,1
8,98,Undirected,10290,,5
683,140,Undirected,10291,,1
584,753,Undirected,10292,,1
36,1065,Undirected,10293,,1
471,429,Undirected,10294,,1
558,91,Undirected,10295,,1
83,4,Undirected,10296,,2
275,352,Undirected,10297,,1
57,36,Undirected,10298,,1
20,741,Undirected,10299,,1
861,189,Undirected,10300,,1
54,861,Undirected,10301,,1
119,545,Undirected,10302,,1
64,56,Undirected,10303,,2
1170,202,Undirected,10304,,1
472,419,Undirected,10305,,1
470,445,Undirected,10306,,1
871,643,Undirected,10307,,1
102,239,Undirected,10308,,1
25,118,Undirected,10309,,1
642,582,Undirected,10310,,1
303,249,Undirected,10311,,1
991,44,Undirected,10312,,1
102,56,Undirected,10313,,1
1252,746,Undirected,10314,,1
297,549,Undirected,10315,,2
249,59,Undirected,10316,,1
27,1216,Undirected,10317,,1
123,232,Undirected,10318,,1
13,21,Undirected,10319,,3
208,1319,Undirected,10320,,2
992,544,Undirected,10321,,1
793,41,Undirected,10322,,1
16,342,Undirected,10323,,2
460,1285,Undirected,10324,,3
1203,1,Undirected,10325,,1
783,374,Undirected,10326,,1
129,34,Undirected,10327,,1
603,22,Undirected,10328,,1
569,556,Undirected,10329,,1
288,5,Undirected,10330,,3
78,434,Undirected,10331,,1
1075,104,Undirected,10332,,1
1178,588,Undirected,10333,,1
65,745,Undirected,10334,,1
404,781,Undirected,10335,,1
260,304,Undirected,10336,,1
232,120,Undirected,10337,,1
187,153,Undirected,10338,,1
1252,1069,Undirected,10339,,1
13,1112,Undirected,10340,,1
1278,233,Undirected,10341,,2
103,380,Undirected,10342,,1
37,2,Undirected,10343,,1
173,388,Undirected,10344,,1
1289,68,Undirected,10345,,4
1105,753,Undirected,10346,,1
215,133,Undirected,10347,,1
1011,637,Undirected,10348,,1
94,29,Undirected,10349,,2
135,1076,Undirected,10350,,1
959,1154,Undirected,10351,,1
223,11,Undirected,10352,,1
214,801,Undirected,10353,,1
191,95,Undirected,10354,,2
199,20,Undirected,10355,,1
78,550,Undirected,10356,,1
81,1165,Undirected,10357,,1
1256,753,Undirected,10358,,1
158,359,Undirected,10359,,1
212,246,Undirected,10360,,3
285,699,Undirected,10361,,1
270,698,Undirected,10362,,1
995,280,Undirected,10363,,2
598,118,Undirected,10364,,1
127,582,Undirected,10365,,1
29,215,Undirected,10366,,1
1042,1275,Undirected,10367,,1
422,743,Undirected,10368,,1
1046,686,Undirected,10369,,1
837,22,Undirected,10370,,1
296,198,Undirected,10371,,1
1224,692,Undirected,10372,,1
1057,320,Undirected,10373,,1
317,68,Undirected,10374,,1
177,426,Undirected,10375,,2
62,725,Undirected,10376,,1
1269,665,Undirected,10377,,1
529,1175,Undirected,10378,,1
331,540,Undirected,10379,,1
32,1189,Undirected,10380,,1
594,742,Undirected,10381,,1
502,1297,Undirected,10382,,2
848,357,Undirected,10383,,1
996,124,Undirected,10384,,1
406,427,Undirected,10385,,2
84,1262,Undirected,10386,,1
102,172,Undirected,10387,,1
1280,128,Undirected,10388,,4
122,183,Undirected,10389,,1
200,1304,Undirected,10390,,3
1012,807,Undirected,10391,,1
319,140,Undirected,10392,,2
127,154,Undirected,10393,,4
1002,786,Undirected,10394,,1
1287,106,Undirected,10395,,2
37,10,Undirected,10396,,2
404,365,Undirected,10397,,1
399,654,Undirected,10398,,1
435,659,Undirected,10399,,1
413,320,Undirected,10400,,1
878,33,Undirected,10401,,1
64,397,Undirected,10402,,2
450,1061,Undirected,10403,,2
38,279,Undirected,10404,,1
529,209,Undirected,10405,,1
237,271,Undirected,10406,,1
1152,453,Undirected,10407,,1
30,191,Undirected,10408,,3
10,291,Undirected,10409,,1
28,540,Undirected,10410,,1
238,25,Undirected,10411,,1
632,377,Undirected,10412,,1
569,79,Undirected,10413,,1
1022,43,Undirected,10414,,1
265,100,Undirected,10415,,1
177,1045,Undirected,10416,,1
1276,571,Undirected,10417,,1
135,202,Undirected,10418,,4
1051,119,Undirected,10419,,1
128,742,Undirected,10420,,1
101,460,Undirected,10421,,1
995,141,Undirected,10422,,1
29,167,Undirected,10423,,2
4,1124,Undirected,10424,,1
87,14,Undirected,10425,,1
301,358,Undirected,10426,,1
7,79,Undirected,10427,,1
7,515,Undirected,10428,,2
9,4,Undirected,10429,,5
84,107,Undirected,10430,,1
1,108,Undirected,10431,,1
878,25,Undirected,10432,,1
43,803,Undirected,10433,,1
72,615,Undirected,10434,,1
38,35,Undirected,10435,,1
1031,323,Undirected,10436,,1
1241,156,Undirected,10437,,1
181,125,Undirected,10438,,1
969,74,Undirected,10439,,1
175,120,Undirected,10440,,1
317,830,Undirected,10441,,1
262,586,Undirected,10442,,1
1188,1299,Undirected,10443,,2
879,108,Undirected,10444,,1
2,804,Undirected,10445,,1
55,0,Undirected,10446,,3
185,832,Undirected,10447,,1
1211,442,Undirected,10448,,1
108,1078,Undirected,10449,,1
152,1285,Undirected,10450,,3
986,371,Undirected,10451,,1
638,118,Undirected,10452,,1
340,325,Undirected,10453,,1
155,503,Undirected,10454,,1
1002,121,Undirected,10455,,1
