Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree
0;Wilhelm Diegelmann;Darsteller;13;105;4;0.423932;0.472614;29788.999891;0.687974;87
1;Hans Dreier;Bauten;11;126;5;0.41945;0.461509;10169.346537;0.837996;66
2;Eduard von Winterstein;Darsteller;11;114;4;0.442462;0.485887;20866.98201;1;84
3;Fritz Greiner;Darsteller;10;76;5;0.386745;0.430427;11708.561266;0.512836;65
4;Erich Kaiser-Titz;Darsteller;10;86;5;0.436428;0.477806;16113.204423;0.739235;69
5;Hermann Vallentin;Darsteller;10;101;4;0.447048;0.493028;26525.783373;0.979716;94
6;Friedrich Zelnik;Regie/Darsteller;9;67;5;0.370703;0.400521;1203.050289;0.323397;30
7;Ruth Goetz;Drehbuch;9;70;4;0.415237;0.455645;12111.655996;0.604642;60
8;Emil Jannings;Darsteller;8;92;5;0.37098;0.40578;7445.452314;0.349747;42
9;Anton Pointner;Darsteller;8;71;5;0.408567;0.44328;4909.399112;0.532675;42
10;Franz Seitz Sr.;Regie/Drehbuch;8;70;4;0.365647;0.397009;3899.387763;0.338249;35
11;Otto Tober;Kamera;8;79;5;0.399678;0.439079;7070.776463;0.556963;57
12;Dary Holm;Darsteller;8;67;4;0.376471;0.413558;9474.783083;0.346503;51
13;Wilhelm Dieterle;Darsteller/Drehbuch/Regie;7;69;5;0.386293;0.426949;5524.500465;0.536885;51
14;Karl Huszar-Puffy;Darsteller/Drehbuch;7;68;5;0.366864;0.393128;579.797548;0.258485;21
15;Wilhelm Kaiser-Heyl;Darsteller;7;68;4;0.406724;0.44464;14719.800883;0.457676;58
16;Gertrud Welcker;Darsteller;7;61;5;0.415237;0.454452;11132.27291;0.579678;56
17;Alfons Fryland;Darsteller;7;66;5;0.414023;0.454788;12357.937049;0.642457;62
18;Olga Engl;Darsteller;7;66;5;0.393339;0.432191;8653.382649;0.479622;53
19;Lia Eibenschütz;Darsteller;7;62;5;0.412646;0.450756;10999.376196;0.572064;54
20;Charlotte Ander;Darsteller;7;84;5;0.377186;0.412702;4651.049625;0.352198;40
21;Heinrich Richter;Bauten;6;50;5;0.395219;0.432611;9196.813736;0.3999;48
23;Sophus Wangøe;Kamera;6;73;5;0.357349;0.384392;1273.420065;0.212811;24
24;Alfred Fekete;Drehbuch/Regie;6;50;6;0.379786;0.414516;4304.439595;0.380007;34
25;Hans Junkermann;Darsteller;6;51;5;0.378771;0.410097;4308.158769;0.353783;35
