Source,Target,Type,Id,Label,Weight
833,0,Undirected,11968,,1
163,1077,Undirected,11969,,1
154,1139,Undirected,11970,,2
163,1117,Undirected,11971,,1
6,397,Undirected,11972,,2
205,14,Undirected,11973,,2
366,0,Undirected,11974,,1
254,24,Undirected,11975,,2
568,611,Undirected,11976,,1
240,993,Undirected,11977,,1
496,25,Undirected,11978,,1
1173,195,Undirected,11979,,1
443,483,Undirected,11980,,1
56,48,Undirected,11981,,2
776,1012,Undirected,11982,,1
1149,1094,Undirected,11983,,2
11,683,Undirected,11984,,1
142,133,Undirected,11985,,1
69,210,Undirected,11986,,1
56,387,Undirected,11987,,1
506,1152,Undirected,11988,,1
222,1018,Undirected,11989,,1
328,358,Undirected,11990,,1
525,625,Undirected,11991,,1
817,79,Undirected,11992,,1
168,1030,Undirected,11993,,1
149,504,Undirected,11994,,2
86,712,Undirected,11995,,1
586,636,Undirected,11996,,1
11,279,Undirected,11997,,1
221,407,Undirected,11998,,1
189,997,Undirected,11999,,1
8,48,Undirected,12000,,3
286,63,Undirected,12001,,1
251,1097,Undirected,12002,,1
81,69,Undirected,12003,,1
118,512,Undirected,12004,,1
26,231,Undirected,12005,,1
8,514,Undirected,12006,,1
731,217,Undirected,12007,,1
747,97,Undirected,12008,,1
111,1,Undirected,12009,,1
486,575,Undirected,12010,,1
1047,19,Undirected,12011,,1
1106,174,Undirected,12012,,1
239,1049,Undirected,12013,,1
863,449,Undirected,12014,,1
890,369,Undirected,12015,,1
345,229,Undirected,12016,,1
992,501,Undirected,12017,,1
969,1019,Undirected,12018,,1
21,722,Undirected,12019,,1
136,1156,Undirected,12020,,2
26,239,Undirected,12021,,1
32,516,Undirected,12022,,1
152,286,Undirected,12023,,1
56,10,Undirected,12024,,1
429,557,Undirected,12025,,1
785,1134,Undirected,12026,,1
200,752,Undirected,12027,,1
456,100,Undirected,12028,,1
350,18,Undirected,12029,,1
8,82,Undirected,12030,,1
603,53,Undirected,12031,,1
19,657,Undirected,12032,,1
833,941,Undirected,12033,,1
802,146,Undirected,12034,,1
932,1115,Undirected,12035,,1
1166,252,Undirected,12036,,2
203,128,Undirected,12037,,1
324,1005,Undirected,12038,,1
94,129,Undirected,12039,,1
159,1019,Undirected,12040,,1
73,260,Undirected,12041,,1
100,246,Undirected,12042,,1
861,646,Undirected,12043,,1
271,1053,Undirected,12044,,1
11,363,Undirected,12045,,1
110,1,Undirected,12046,,1
342,43,Undirected,12047,,1
243,2,Undirected,12048,,2
103,51,Undirected,12049,,1
4,84,Undirected,12050,,1
869,6,Undirected,12051,,1
234,1046,Undirected,12052,,1
179,301,Undirected,12053,,1
164,24,Undirected,12054,,1
313,4,Undirected,12055,,1
947,13,Undirected,12056,,2
23,643,Undirected,12057,,1
272,111,Undirected,12058,,1
396,75,Undirected,12059,,1
1155,191,Undirected,12060,,2
21,106,Undirected,12061,,1
302,942,Undirected,12062,,1
751,697,Undirected,12063,,1
423,461,Undirected,12064,,1
31,206,Undirected,12065,,1
1079,1150,Undirected,12066,,3
792,68,Undirected,12067,,1
37,962,Undirected,12068,,3
438,207,Undirected,12069,,1
449,58,Undirected,12070,,1
343,492,Undirected,12071,,1
769,2,Undirected,12072,,1
1050,1168,Undirected,12073,,4
499,42,Undirected,12074,,1
90,43,Undirected,12075,,1
159,3,Undirected,12076,,1
1060,368,Undirected,12077,,1
911,655,Undirected,12078,,1
385,55,Undirected,12079,,1
471,449,Undirected,12080,,1
11,1002,Undirected,12081,,1
151,374,Undirected,12082,,1
107,30,Undirected,12083,,3
854,1169,Undirected,12084,,2
1029,596,Undirected,12085,,1
73,294,Undirected,12086,,1
879,22,Undirected,12087,,1
81,239,Undirected,12088,,1
395,31,Undirected,12089,,1
314,123,Undirected,12090,,1
860,68,Undirected,12091,,1
154,411,Undirected,12092,,1
678,199,Undirected,12093,,1
45,1142,Undirected,12094,,1
305,517,Undirected,12095,,1
20,3,Undirected,12096,,4
1071,9,Undirected,12097,,1
97,106,Undirected,12098,,1
22,282,Undirected,12099,,1
116,15,Undirected,12100,,1
1018,235,Undirected,12101,,1
272,1,Undirected,12102,,1
23,484,Undirected,12103,,1
935,48,Undirected,12104,,1
385,28,Undirected,12105,,1
245,445,Undirected,12106,,2
746,1,Undirected,12107,,1
1052,135,Undirected,12108,,1
472,2,Undirected,12109,,2
47,158,Undirected,12110,,1
11,291,Undirected,12111,,1
413,22,Undirected,12112,,1
1141,517,Undirected,12113,,2
70,1097,Undirected,12114,,1
148,352,Undirected,12115,,1
826,0,Undirected,12116,,1
207,1077,Undirected,12117,,1
207,1117,Undirected,12118,,1
232,281,Undirected,12119,,1
404,653,Undirected,12120,,1
358,76,Undirected,12121,,1
253,144,Undirected,12122,,1
100,1058,Undirected,12123,,1
788,649,Undirected,12124,,1
764,225,Undirected,12125,,1
229,79,Undirected,12126,,2
836,964,Undirected,12127,,1
144,153,Undirected,12128,,1
252,25,Undirected,12129,,1
945,10,Undirected,12130,,1
172,15,Undirected,12131,,1
239,139,Undirected,12132,,1
22,548,Undirected,12133,,1
1163,421,Undirected,12134,,1
6,1134,Undirected,12135,,2
29,891,Undirected,12136,,1
1169,146,Undirected,12137,,2
39,291,Undirected,12138,,1
837,449,Undirected,12139,,1
34,80,Undirected,12140,,1
279,622,Undirected,12141,,1
967,0,Undirected,12142,,1
430,410,Undirected,12143,,1
210,22,Undirected,12144,,1
675,6,Undirected,12145,,1
105,446,Undirected,12146,,1
187,18,Undirected,12147,,2
499,513,Undirected,12148,,1
863,837,Undirected,12149,,1
75,472,Undirected,12150,,1
745,1011,Undirected,12151,,1
435,90,Undirected,12152,,1
230,55,Undirected,12153,,1
772,631,Undirected,12154,,1
534,683,Undirected,12155,,1
180,828,Undirected,12156,,1
94,270,Undirected,12157,,1
446,95,Undirected,12158,,1
755,7,Undirected,12159,,1
254,156,Undirected,12160,,1
451,625,Undirected,12161,,1
1022,3,Undirected,12162,,1
107,1000,Undirected,12163,,3
143,326,Undirected,12164,,1
26,731,Undirected,12165,,1
9,1160,Undirected,12166,,1
7,36,Undirected,12167,,3
217,128,Undirected,12168,,2
213,257,Undirected,12169,,1
302,239,Undirected,12170,,1
342,673,Undirected,12171,,1
308,1134,Undirected,12172,,2
468,548,Undirected,12173,,1
262,235,Undirected,12174,,2
751,1086,Undirected,12175,,1
33,4,Undirected,12176,,1
73,15,Undirected,12177,,1
60,79,Undirected,12178,,2
393,21,Undirected,12179,,1
751,1161,Undirected,12180,,1
889,221,Undirected,12181,,1
62,46,Undirected,12182,,2
189,412,Undirected,12183,,1
171,234,Undirected,12184,,1
986,249,Undirected,12185,,1
490,469,Undirected,12186,,1
823,533,Undirected,12187,,1
505,3,Undirected,12188,,2
136,211,Undirected,12189,,1
559,215,Undirected,12190,,1
298,459,Undirected,12191,,1
75,421,Undirected,12192,,1
345,45,Undirected,12193,,1
56,1,Undirected,12194,,1
474,18,Undirected,12195,,1
79,574,Undirected,12196,,1
864,466,Undirected,12197,,1
2,407,Undirected,12198,,1
369,0,Undirected,12199,,1
49,106,Undirected,12200,,1
232,475,Undirected,12201,,1
1128,282,Undirected,12202,,1
746,697,Undirected,12203,,1
643,15,Undirected,12204,,1
405,534,Undirected,12205,,1
362,48,Undirected,12206,,1
306,2,Undirected,12207,,1
31,179,Undirected,12208,,1
855,1136,Undirected,12209,,1
173,602,Undirected,12210,,1
26,92,Undirected,12211,,1
20,270,Undirected,12212,,1
963,1,Undirected,12213,,1
173,326,Undirected,12214,,1
252,155,Undirected,12215,,1
105,90,Undirected,12216,,1
94,473,Undirected,12217,,1
153,212,Undirected,12218,,1
597,399,Undirected,12219,,2
754,1,Undirected,12220,,1
220,122,Undirected,12221,,1
216,532,Undirected,12222,,1
931,39,Undirected,12223,,1
806,5,Undirected,12224,,1
109,1074,Undirected,12225,,1
19,18,Undirected,12226,,2
742,350,Undirected,12227,,1
408,122,Undirected,12228,,1
442,239,Undirected,12229,,1
182,22,Undirected,12230,,1
391,390,Undirected,12231,,1
85,74,Undirected,12232,,2
413,263,Undirected,12233,,3
104,187,Undirected,12234,,2
271,14,Undirected,12235,,1
60,147,Undirected,12236,,2
222,302,Undirected,12237,,1
817,6,Undirected,12238,,1
27,50,Undirected,12239,,1
747,684,Undirected,12240,,1
93,249,Undirected,12241,,1
41,1127,Undirected,12242,,1
398,118,Undirected,12243,,1
95,44,Undirected,12244,,1
14,1,Undirected,12245,,1
113,397,Undirected,12246,,2
4,664,Undirected,12247,,1
197,52,Undirected,12248,,2
127,260,Undirected,12249,,1
31,63,Undirected,12250,,1
302,612,Undirected,12251,,1
12,566,Undirected,12252,,1
1051,208,Undirected,12253,,1
1126,333,Undirected,12254,,1
85,1053,Undirected,12255,,1
169,1152,Undirected,12256,,1
194,199,Undirected,12257,,3
757,300,Undirected,12258,,1
405,1162,Undirected,12259,,2
433,1,Undirected,12260,,1
182,326,Undirected,12261,,1
419,0,Undirected,12262,,2
47,75,Undirected,12263,,1
123,592,Undirected,12264,,1
249,161,Undirected,12265,,1
881,598,Undirected,12266,,1
35,15,Undirected,12267,,2
334,84,Undirected,12268,,1
854,933,Undirected,12269,,1
76,146,Undirected,12270,,1
833,834,Undirected,12271,,1
81,241,Undirected,12272,,1
8,694,Undirected,12273,,1
19,3,Undirected,12274,,2
8,1168,Undirected,12275,,4
862,1174,Undirected,12276,,3
22,18,Undirected,12277,,1
105,757,Undirected,12278,,1
149,357,Undirected,12279,,1
328,24,Undirected,12280,,1
1158,101,Undirected,12281,,2
43,99,Undirected,12282,,1
26,1159,Undirected,12283,,2
351,212,Undirected,12284,,1
12,582,Undirected,12285,,1
32,69,Undirected,12286,,1
153,22,Undirected,12287,,1
262,110,Undirected,12288,,1
1053,1021,Undirected,12289,,1
1016,605,Undirected,12290,,1
902,156,Undirected,12291,,1
837,26,Undirected,12292,,1
566,702,Undirected,12293,,1
8,286,Undirected,12294,,1
368,54,Undirected,12295,,1
349,25,Undirected,12296,,1
316,15,Undirected,12297,,1
209,1085,Undirected,12298,,1
81,162,Undirected,12299,,2
236,228,Undirected,12300,,1
370,224,Undirected,12301,,1
23,421,Undirected,12302,,2
913,55,Undirected,12303,,1
138,90,Undirected,12304,,1
1133,384,Undirected,12305,,3
343,51,Undirected,12306,,1
24,195,Undirected,12307,,1
1100,237,Undirected,12308,,1
35,457,Undirected,12309,,1
87,460,Undirected,12310,,1
369,532,Undirected,12311,,1
921,1172,Undirected,12312,,2
921,1011,Undirected,12313,,1
68,174,Undirected,12314,,1
606,18,Undirected,12315,,1
92,355,Undirected,12316,,1
385,62,Undirected,12317,,1
97,84,Undirected,12318,,1
1163,152,Undirected,12319,,3
831,50,Undirected,12320,,1
112,364,Undirected,12321,,1
290,647,Undirected,12322,,1
537,519,Undirected,12323,,1
22,3,Undirected,12324,,2
141,114,Undirected,12325,,1
337,10,Undirected,12326,,1
288,626,Undirected,12327,,1
27,10,Undirected,12328,,2
746,1086,Undirected,12329,,1
705,459,Undirected,12330,,1
37,596,Undirected,12331,,3
746,1161,Undirected,12332,,1
472,12,Undirected,12333,,1
8,616,Undirected,12334,,1
913,28,Undirected,12335,,1
1076,146,Undirected,12336,,1
6,190,Undirected,12337,,1
554,190,Undirected,12338,,1
24,199,Undirected,12339,,2
4,404,Undirected,12340,,1
31,400,Undirected,12341,,1
38,512,Undirected,12342,,1
864,368,Undirected,12343,,1
1137,1,Undirected,12344,,2
11,406,Undirected,12345,,1
258,2,Undirected,12346,,1
818,145,Undirected,12347,,1
894,361,Undirected,12348,,1
91,61,Undirected,12349,,1
163,1061,Undirected,12350,,1
271,159,Undirected,12351,,1
72,1136,Undirected,12352,,1
73,21,Undirected,12353,,1
134,1051,Undirected,12354,,1
480,63,Undirected,12355,,1
20,123,Undirected,12356,,1
26,448,Undirected,12357,,1
419,792,Undirected,12358,,1
1168,1106,Undirected,12359,,3
1144,473,Undirected,12360,,2
242,300,Undirected,12361,,1
437,323,Undirected,12362,,1
47,279,Undirected,12363,,1
249,6,Undirected,12364,,1
103,158,Undirected,12365,,1
257,106,Undirected,12366,,1
816,86,Undirected,12367,,1
137,25,Undirected,12368,,1
315,111,Undirected,12369,,1
403,960,Undirected,12370,,1
236,235,Undirected,12371,,1
849,312,Undirected,12372,,1
367,384,Undirected,12373,,1
246,462,Undirected,12374,,1
119,114,Undirected,12375,,1
697,199,Undirected,12376,,1
771,22,Undirected,12377,,1
8,15,Undirected,12378,,1
1140,107,Undirected,12379,,9
427,441,Undirected,12380,,1
26,259,Undirected,12381,,1
472,159,Undirected,12382,,1
68,379,Undirected,12383,,1
22,102,Undirected,12384,,1
268,154,Undirected,12385,,2
942,612,Undirected,12386,,1
189,346,Undirected,12387,,1
987,30,Undirected,12388,,1
863,75,Undirected,12389,,1
33,583,Undirected,12390,,1
69,116,Undirected,12391,,2
144,43,Undirected,12392,,1
421,501,Undirected,12393,,1
1163,940,Undirected,12394,,1
186,24,Undirected,12395,,1
1152,51,Undirected,12396,,1
277,25,Undirected,12397,,1
878,142,Undirected,12398,,1
229,6,Undirected,12399,,1
462,331,Undirected,12400,,1
396,236,Undirected,12401,,1
108,450,Undirected,12402,,1
1073,473,Undirected,12403,,1
83,162,Undirected,12404,,1
557,450,Undirected,12405,,1
47,304,Undirected,12406,,1
205,66,Undirected,12407,,2
171,7,Undirected,12408,,1
219,323,Undirected,12409,,1
36,1142,Undirected,12410,,3
247,43,Undirected,12411,,1
14,15,Undirected,12412,,2
267,493,Undirected,12413,,1
103,1077,Undirected,12414,,1
56,165,Undirected,12415,,1
103,1117,Undirected,12416,,1
34,199,Undirected,12417,,1
7,172,Undirected,12418,,1
16,991,Undirected,12419,,1
104,39,Undirected,12420,,1
85,1149,Undirected,12421,,2
126,138,Undirected,12422,,1
135,177,Undirected,12423,,1
416,434,Undirected,12424,,1
481,1123,Undirected,12425,,1
239,978,Undirected,12426,,1
194,1107,Undirected,12427,,3
308,164,Undirected,12428,,1
8,165,Undirected,12429,,1
989,719,Undirected,12430,,1
81,289,Undirected,12431,,1
249,0,Undirected,12432,,1
16,220,Undirected,12433,,2
54,238,Undirected,12434,,1
33,707,Undirected,12435,,1
1128,3,Undirected,12436,,1
890,791,Undirected,12437,,1
416,31,Undirected,12438,,1
228,677,Undirected,12439,,1
15,624,Undirected,12440,,1
1162,425,Undirected,12441,,2
1077,510,Undirected,12442,,1
170,236,Undirected,12443,,2
423,1,Undirected,12444,,1
16,27,Undirected,12445,,1
227,5,Undirected,12446,,1
227,563,Undirected,12447,,1
60,6,Undirected,12448,,1
362,1,Undirected,12449,,1
613,162,Undirected,12450,,1
156,312,Undirected,12451,,1
182,947,Undirected,12452,,1
689,14,Undirected,12453,,1
85,14,Undirected,12454,,2
216,482,Undirected,12455,,1
204,15,Undirected,12456,,1
221,617,Undirected,12457,,1
386,6,Undirected,12458,,1
213,188,Undirected,12459,,1
1163,86,Undirected,12460,,2
480,282,Undirected,12461,,1
388,971,Undirected,12462,,1
180,96,Undirected,12463,,1
8,1116,Undirected,12464,,1
294,155,Undirected,12465,,1
109,362,Undirected,12466,,1
377,969,Undirected,12467,,1
263,636,Undirected,12468,,3
37,1029,Undirected,12469,,3
845,136,Undirected,12470,,1
222,274,Undirected,12471,,1
92,1125,Undirected,12472,,1
104,79,Undirected,12473,,3
39,615,Undirected,12474,,1
322,21,Undirected,12475,,1
73,63,Undirected,12476,,1
924,123,Undirected,12477,,1
23,152,Undirected,12478,,1
142,363,Undirected,12479,,1
372,27,Undirected,12480,,1
730,108,Undirected,12481,,1
524,648,Undirected,12482,,1
8,206,Undirected,12483,,1
232,511,Undirected,12484,,1
242,181,Undirected,12485,,1
1091,1031,Undirected,12486,,1
438,46,Undirected,12487,,1
430,12,Undirected,12488,,1
1157,249,Undirected,12489,,2
23,36,Undirected,12490,,1
1173,658,Undirected,12491,,1
1167,761,Undirected,12492,,2
134,536,Undirected,12493,,1
203,724,Undirected,12494,,1
950,299,Undirected,12495,,1
854,375,Undirected,12496,,1
247,1,Undirected,12497,,1
8,218,Undirected,12498,,1
941,0,Undirected,12499,,1
357,441,Undirected,12500,,1
288,9,Undirected,12501,,1
196,434,Undirected,12502,,1
19,221,Undirected,12503,,1
27,1,Undirected,12504,,1
1039,15,Undirected,12505,,1
356,112,Undirected,12506,,1
26,852,Undirected,12507,,1
33,682,Undirected,12508,,1
1158,332,Undirected,12509,,2
170,60,Undirected,12510,,1
945,220,Undirected,12511,,1
365,58,Undirected,12512,,1
41,1053,Undirected,12513,,1
456,481,Undirected,12514,,2
56,369,Undirected,12515,,1
1167,567,Undirected,12516,,2
302,274,Undirected,12517,,3
525,99,Undirected,12518,,1
97,58,Undirected,12519,,1
40,1100,Undirected,12520,,1
32,68,Undirected,12521,,1
78,955,Undirected,12522,,1
56,386,Undirected,12523,,1
208,98,Undirected,12524,,1
892,305,Undirected,12525,,1
386,0,Undirected,12526,,1
31,1084,Undirected,12527,,1
7,1136,Undirected,12528,,1
29,1153,Undirected,12529,,2
488,2,Undirected,12530,,1
672,600,Undirected,12531,,1
35,179,Undirected,12532,,1
261,112,Undirected,12533,,1
108,576,Undirected,12534,,1
31,108,Undirected,12535,,1
376,172,Undirected,12536,,1
630,201,Undirected,12537,,1
205,988,Undirected,12538,,1
913,62,Undirected,12539,,1
1089,1016,Undirected,12540,,1
427,216,Undirected,12541,,1
8,386,Undirected,12542,,1
1015,1,Undirected,12543,,1
308,206,Undirected,12544,,1
84,504,Undirected,12545,,1
28,692,Undirected,12546,,1
765,433,Undirected,12547,,1
1039,93,Undirected,12548,,1
163,72,Undirected,12549,,1
309,335,Undirected,12550,,1
134,69,Undirected,12551,,1
985,1,Undirected,12552,,1
163,324,Undirected,12553,,1
92,502,Undirected,12554,,1
32,252,Undirected,12555,,1
12,42,Undirected,12556,,1
16,994,Undirected,12557,,2
31,249,Undirected,12558,,1
