Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
0,Werner Schmidt-Boelcke,Musik,23,272,4,0.534091,0.590506,54715.662546,1,214
1,Willy Schmidt-Gentner,Musik,20,267,4,0.501455,0.565683,44590.496572,0.844957,198
2,Gustav A. Knauer,Bauten,20,219,4,0.497115,0.540619,13390.716352,0.784567,130
3,Willy Schiller,Bauten,18,200,4,0.4945,0.536267,11638.221859,0.751045,122
4,Bernhard Homola,Musik,17,190,3,0.499517,0.546744,25238.949774,0.784801,146
5,Hansheinrich Dransmann,Musik,14,168,4,0.487276,0.538685,27325.267131,0.696112,145
6,Pasquale Perris,Musik,13,151,3,0.486131,0.530142,13764.879771,0.683074,123
7,Fritz Kampers,Darsteller,13,149,3,0.485218,0.526596,12192.73418,0.682755,114
8,Albert Paulig,Darsteller,12,135,4,0.495686,0.533204,13076.980474,0.624331,110
9,Max Heilbronner,Bauten,12,125,3,0.478704,0.51902,10002.404334,0.592201,105
10,Max Grix,Kamera,12,129,3,0.470642,0.506931,9633.794969,0.452097,86
11,Heinrich Richter,Bauten,11,118,3,0.471285,0.507415,8773.772724,0.465814,86
12,Georg C. Klaren,Drehbuch,10,122,4,0.470856,0.510558,5423.271567,0.632767,94
13,Reinhold Schünzel,Darsteller/Produzent/Regie/Drehbuch,10,98,4,0.433543,0.462444,1453.178171,0.277468,40
14,Robert Neppach,Bauten,10,127,4,0.470642,0.506286,6883.174924,0.476367,82
15,Walter Reisch,Drehbuch,10,133,4,0.477598,0.518536,11711.398231,0.589733,104
16,Edmund Heuberger,Regie/Drehbuch,10,94,4,0.419473,0.450113,1157.192109,0.248287,41
17,Willi A. Herrmann,Bauten,9,110,4,0.444158,0.485977,6343.669246,0.39437,83
18,Willy Goldberger,Kamera,9,103,4,0.475621,0.51225,8121.275602,0.54047,89
19,Herbert Juttke,Drehbuch,9,109,4,0.467662,0.504916,3996.016496,0.592175,84
20,Charles Stumar,Kamera,9,101,4,0.454905,0.489201,5373.327918,0.394165,67
21,Paul Henckels,Darsteller,9,118,3,0.484536,0.520309,9674.917461,0.592578,96
22,Livio C. Pavanelli,Darsteller,8,98,4,0.470642,0.506931,5365.280612,0.564521,84
23,Frederik Fuglsang,Kamera,8,94,4,0.464093,0.501289,5386.520616,0.530307,82
24,Otto Stenzeel,Musik,8,105,4,0.453111,0.49597,6682.176992,0.472956,92
25,Walter Ulfig,Musik,8,93,4,0.454905,0.493553,8069.311514,0.45842,82
26,Anton Pointner,Darsteller,8,88,4,0.459351,0.496857,8507.109134,0.420713,79
27,Hans Albers,Darsteller,8,101,3,0.485218,0.519826,10047.109745,0.547353,93
28,Gerhard Dammann,Darsteller,8,79,4,0.448395,0.484446,8197.753416,0.345245,70
29,Betty Bird,Darsteller,7,85,4,0.4715,0.504674,5875.949506,0.488196,75
30,Robert Garrison,Darsteller,7,73,4,0.441315,0.476306,7832.788946,0.289759,62
31,Friedl Behn-Grund,Kamera,7,82,4,0.456109,0.492102,4999.255433,0.442138,73
32,Franz Schroedter,Bauten,7,85,4,0.435368,0.473807,4617.232397,0.374937,69
33,August Rinaldi,Bauten,7,68,4,0.435185,0.471228,6329.672186,0.293543,62
34,Erna Morena,Darsteller,7,82,4,0.446267,0.482672,4488.111248,0.396211,68
35,Botho Höfer,Bauten,7,88,4,0.432094,0.4647,1195.919014,0.31523,51
36,Hans Minzloff,Bauten,7,88,4,0.432094,0.4647,1195.919014,0.31523,51
37,Hanns Beck-Gaden,Darsteller/Drehbuch/Regie,7,53,4,0.365888,0.388459,2368.485936,0.061622,23
38,Alexander Murski,Darsteller,7,79,4,0.453907,0.489039,3242.104338,0.464312,69
39,Julius Falkenstein,Darsteller,7,68,4,0.440938,0.475016,4169.011078,0.320552,59
40,Fritz Schulz,Darsteller/Regie,7,62,4,0.441503,0.47421,2971.847572,0.310125,51
41,Giuseppe Becce,Musik,7,93,4,0.443206,0.484687,7810.467906,0.348955,82
42,Marcella Albani,Darsteller,7,73,4,0.42604,0.463894,4507.517578,0.296164,65
43,Ladislaus Vajda,Drehbuch,7,95,4,0.44454,0.486783,7769.809634,0.377957,86
44,Harry Hardt,Darsteller,7,85,3,0.451528,0.48775,6118.845477,0.392876,73
45,Harry Liedtke,Darsteller,7,85,4,0.428157,0.46196,1618.85184,0.312917,53
46,Kurt Vespermann,Darsteller,7,83,3,0.469147,0.503224,6089.690969,0.457363,78
47,Andrej Andrejew,Bauten,7,83,4,0.445882,0.481061,3910.19438,0.38239,64
48,Victor Abel,Drehbuch,6,66,4,0.435552,0.465748,1131.640324,0.282455,44
49,Nicolas Farkas,Kamera,6,65,4,0.419133,0.455593,2291.107864,0.26758,56
50,Walter Wassermann,Drehbuch,6,64,4,0.432274,0.463572,1418.288899,0.308227,47
51,Rolf von Goth,Darsteller,6,67,4,0.437765,0.474452,5743.111074,0.338973,65
52,Raimondo van Riel,Darsteller,6,67,4,0.437025,0.470825,2356.65901,0.347409,55
53,Walter Robert Lach,Kamera,6,66,4,0.443206,0.47558,5015.270447,0.334568,56
54,Siegfried Arno,Darsteller,6,65,4,0.42798,0.46059,2604.619607,0.266923,51
55,Leopold Blonder,Bauten,6,62,4,0.421697,0.457608,4100.15416,0.243411,54
56,Bobby E. Lüthge,Drehbuch,6,75,4,0.458333,0.491618,4565.571266,0.380265,66
57,Ludwig Reiber,Bauten,6,57,4,0.404222,0.435848,1476.053773,0.158171,41
58,Olga Limburg,Darsteller,6,61,4,0.449565,0.482592,3960.165318,0.35205,60
59,Carl Auen,Darsteller,6,60,4,0.390631,0.42529,2862551,0.185401,49
60,Carl Drews,Kamera,6,70,4,0.418963,0.452369,1830.493352,0.272534,48
61,Oskar Marion,Darsteller,6,63,4,0.418454,0.453014,6340.697315,0.259475,55
62,Curt Blachnitzky,Regie/Drehbuch,6,60,4,0.370742,0.397566,452.090766,0.11566,32
63,Paul Rehkopf,Darsteller,6,66,4,0.418793,0.454465,3705.838632,0.251416,55
64,Vera Schmiterlöw,Darsteller,6,62,4,0.425339,0.460268,5155.773846,0.266118,55
65,Wilhelm Dieterle,Darsteller/Regie,6,68,4,0.397845,0.423759,562.53485,0.130453,26
