Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
0,Fritz Kampers,Darsteller,13,160,3,0.48368,0.531357,15015.729847,0.908362,125
1,Carl Boese,Regie/Drehbuch/Produzent,14,182,3,0.492199,0.529823,8668.719194,0.9406,103
2,Franz Grothe,Musik,12,148,3,0.481536,0.525051,15075.65754,0.886449,111
3,Walter Wassermann,Drehbuch,11,144,3,0.491952,0.527607,6654.881775,0.946106,97
4,Otto Wallburg,Darsteller,11,147,3,0.493192,0.535958,13285.89311,1,119
5,Reimar Kuntze,Kamera,10,130,3,0.47545,0.517894,11030.719019,0.743771,103
6,Paul Hörbiger,Darsteller,10,125,3,0.481062,0.523688,10120.402218,0.930068,108
7,Walter Röhrig,Bauten,10,140,3,0.431598,0.474778,4436.033061,0.458832,81
8,Eduard Künneke,Musik,10,133,3,0.487537,0.527948,10757.59686,0.917699,107
9,Robert Herlth,Bauten,10,140,3,0.431598,0.474778,4436.033061,0.458832,81
10,Franz Schroedter,Bauten,9,126,3,0.46884,0.510907,7314.564322,0.703569,97
11,Franz Koch,Kamera,9,114,3,0.451107,0.487048,8323.80596,0.505663,68
12,Ida Wüst,Darsteller,9,122,3,0.487294,0.528119,10599.524227,0.912042,108
13,Hilde Hildebrand,Darsteller,9,117,3,0.477539,0.517042,6710.644597,0.811473,96
14,Liane Haid,Darsteller,9,119,3,0.493939,0.530334,14459.983096,0.877544,101
15,Artur Günther,Bauten,9,112,3,0.435053,0.473415,4880.182855,0.47366,68
16,Viktor de Kowa,Darsteller,9,113,3,0.478942,0.517382,10716.033195,0.690605,94
17,Hans Sohnle,Bauten,9,128,3,0.46884,0.511929,9070.023048,0.67389,100
18,Friedl Behn-Grund,Kamera,8,106,3,0.447597,0.485855,5025.107676,0.580358,73
19,Fritz Arno Wagner,Kamera,8,112,3,0.462193,0.501704,9655.299042,0.526362,85
20,Franz Seitz Sr.,Regie/Produzent,8,98,4,0.379806,0.407294,489.820359,0.165657,32
21,Hildegard Grebner,Schnitt,8,105,3,0.456157,0.490457,3575.239949,0.615661,66
22,Jakob Tiedtke,Darsteller,8,92,3,0.451315,0.488923,5183.963726,0.612027,73
23,Bobby E. Lüthge,Drehbuch,8,110,3,0.479882,0.520791,9889.96332,0.811734,102
24,Hugo von Kaweczynski,Kamera,8,102,3,0.464608,0.50392,10572.110706,0.68707,86
25,Olga Tschechowa,Darsteller,8,98,3,0.450691,0.490798,7991.370448,0.503381,80
26,Max Seefelder,Bauten,8,110,3,0.454039,0.488753,6907.001348,0.415032,66
27,Otto Erdmann,Bauten,8,114,3,0.467272,0.50835,7645.243924,0.651073,93
28,Carl Hoffmann,Kamera,8,108,4,0.451732,0.490968,7636.433823,0.491717,77
29,Willy Hameister,Kamera,8,100,3,0.408692,0.443933,2260.936032,0.376457,54
30,Georg C. Klaren,Drehbuch,8,108,3,0.48998,0.526244,8085.587576,0.87397,97
31,Friedel Buckow,Schnitt,7,92,3,0.453618,0.492161,5216.948887,0.503964,77
32,Georg Jacoby,Regie,7,82,3,0.451524,0.485344,1530.198273,0.631425,62
33,Erich Kettelhut,Bauten,7,98,3,0.450276,0.490116,5704.996141,0.590234,79
34,Emil Hasler,Bauten,7,95,3,0.440342,0.478698,5014.011947,0.436611,70
35,Ella Ensink,Schnitt,7,113,4,0.441535,0.482362,7156.35873,0.492219,75
36,Carl Drews,Kamera,7,92,3,0.463507,0.499659,3906.341043,0.712155,76
37,Fritz Maurischat,Bauten,7,110,3,0.427074,0.470348,10345.593832,0.436114,80
38,Georg Alexander,Darsteller,7,99,3,0.48368,0.520109,5903.381413,0.948205,92
39,Hans H. Zerlett,Drehbuch,7,105,4,0.433703,0.471881,4452.31907,0.438591,66
41,Robert Baberske,Kamera,7,87,3,0.485119,0.517723,8125.315338,0.638656,82
42,Paul Otto,Darsteller,7,91,3,0.472921,0.507839,5652.637262,0.724915,79
43,Julius Falkenstein,Darsteller,7,85,3,0.442534,0.482277,5279.175323,0.665275,75
44,Paul Kemp,Darsteller,7,100,3,0.46929,0.50818,7819.913801,0.7028,88
45,Gustaf Gründgens,Darsteller/Regie,6,83,4,0.45425,0.490542,5099.837254,0.504146,68
46,Ewald Daub,Kamera,6,75,3,0.443135,0.476994,2426.131383,0.476326,58
47,Bronislau Kaper,Musik,6,99,4,0.443336,0.483896,3508.704426,0.606452,75
48,Willi A. Herrmann,Bauten,6,78,3,0.411963,0.445808,1284.588248,0.366906,50
49,Walter Reisch,Drehbuch,6,87,4,0.392613,0.428766,1365.907215,0.304443,54
50,Walter Jurmann,Musik,6,99,4,0.443336,0.483896,3508.704426,0.606452,75
51,Eduard Hoesch,Kamera,6,75,3,0.428196,0.46319,4135.973406,0.423817,56
52,Szöke Szakall,Darsteller,6,77,3,0.445761,0.484322,5589.215332,0.532558,73
53,Paul Henckels,Darsteller,6,84,3,0.443537,0.481766,5084.655349,0.467225,71
54,Erich Zander,Bauten,6,87,3,0.460235,0.495058,4554.177398,0.557019,70
55,Ery Bos,Darsteller,6,83,3,0.455519,0.493013,5725.194174,0.593777,75
56,Max Gülstorff,Darsteller,6,82,3,0.463727,0.499489,4596.148193,0.663282,75
57,Max Knaake,Bauten,6,86,4,0.442935,0.481851,3788.924762,0.509043,70
58,Gustav A. Knauer,Bauten,6,74,3,0.430647,0.466087,4295.891937,0.418577,58
59,Franz Planer,Kamera,6,82,4,0.422827,0.461571,3792.90882,0.376498,63
60,Ludwig Reiber,Bauten,6,79,3,0.440541,0.476142,4454.190664,0.478443,62
61,Kurt Vespermann,Darsteller,6,84,3,0.453828,0.48756,1765.089285,0.648716,63
62,Heinz Rühmann,Darsteller,6,80,3,0.45425,0.491309,4917.858397,0.571593,73
63,Friedrich Hollaender,Musik/Regie,6,86,4,0.36411,0.389826,85.642476,0.15056,25
64,Heinz Fenchel,Bauten,6,89,4,0.420826,0.458333,4479.660353,0.328817,59
65,Hans Steinhoff,Regie,6,84,3,0.451107,0.48773,3647.950303,0.612942,70
66,Hans Brausewetter,Darsteller,6,77,3,0.453618,0.489434,5266.594778,0.50432,69
67,Fritz Odemar,Darsteller,6,77,3,0.478708,0.507669,4539.08556,0.659732,66
68,Fritz Servos,Darsteller/Drehbuch,6,64,4,0.359691,0.380879,153.363096,0.104957,22
69,Géza von Bolváry,Regie,6,70,3,0.424111,0.457396,2316.965695,0.333541,50
70,Brigitte Helm,Darsteller,6,82,3,0.461756,0.496592,4666.149125,0.570822,71
71,Adele Sandrock,Darsteller,6,83,3,0.481062,0.514145,7077.766963,0.763271,80
73,Paul Hartmann,Darsteller,5,68,3,0.458294,0.49182,5526.67155,0.437977,65
74,Margarete Kupfer,Darsteller,5,67,3,0.436023,0.469836,1736.288881,0.521463,55
75,Max Mellin,Bauten,5,71,3,0.432935,0.46711,1646.746813,0.488618,55
76,Ernst Erich Buder,Musik,5,68,4,0.410924,0.447768,2772.061629,0.35087,54
77,Milo Harbich,Schnitt,5,67,3,0.451941,0.486367,3405.684851,0.520162,64
78,Olga Limburg,Darsteller,5,64,3,0.429513,0.463701,1854.982247,0.473504,54
80,Alberto Giacalone,Produzent,5,61,4,0.40818,0.440014,1702.784022,0.311506,43
81,Werner Bohne,Kamera,5,66,3,0.429513,0.466087,3888.911195,0.422965,61
82,Philipp Lothar Othello Mayring,Drehbuch,5,74,3,0.444142,0.47955,2645.297644,0.505051,63
83,Ralph Arthur Roberts,Darsteller,5,69,3,0.447392,0.483981,3383.072278,0.641133,68
84,Richard Angst,Kamera,5,82,4,0.398858,0.436691,4389.793024,0.225069,58
85,Robert Liebmann,Drehbuch,5,75,4,0.396433,0.428511,779.407899,0.272565,44
86,Roger von Norman,Schnitt,5,74,3,0.439748,0.473415,2057.5742,0.491958,56
87,Theo Lingen,Darsteller,5,67,3,0.442334,0.478698,3015.047598,0.555432,65
88,Magda Schneider,Darsteller,5,66,3,0.446372,0.480743,2211.367474,0.567985,61
89,Arnold Fanck,Drehbuch/Regie/Schnitt,5,91,4,0.341242,0.364519,61.789914,0.089838,26
90,Lothar Philipp August Mayring,Drehbuch,5,74,3,0.444142,0.47955,2645.297644,0.505051,63
91,Franz Wachsmann,Musik,5,73,4,0.417058,0.451772,2951.240648,0.386198,52
92,Karl Puth,Kamera,5,73,4,0.419923,0.458674,4352.353943,0.356858,60
93,Joseph Dalmann,Drehbuch,5,65,4,0.379806,0.407294,489.820359,0.165657,32
94,Johannes Riemann,Darsteller/Drehbuch,5,62,3,0.439353,0.473074,2561.038589,0.476211,56
1039,Richard Oswald,"Regie, Produzent",4,44,4,0.376733,0.400222,58.005557,0.138925,18
96,Gabriel Levy,Produzent,5,70,4,0.418306,0.45288,1121.092201,0.350649,50
97,Gerhard Lamprecht,Regie,5,69,3,0.429513,0.465746,3533.560382,0.398493,60
98,Hermann Thimig,Darsteller,5,64,3,0.451941,0.484663,3188.089369,0.494208,59
99,Herbert Windt,Musik,5,62,4,0.41127,0.446063,2701.145008,0.258486,49
100,Herbert Selpin,Regie/Schnitt/Drehbuch,5,37,3,0.413181,0.437798,255.167716,0.204274,23
101,Giuseppe Becce,Musik,5,70,3,0.439748,0.475801,6284.182148,0.40753,63
102,Gottlieb Madl,Schnitt,5,67,3,0.440938,0.470007,1919.362399,0.351437,43
103,Gregor Rabinowitsch,Produzent,5,80,3,0.442734,0.476653,2407.633899,0.450299,58
105,Theodor Loos,Darsteller,5,74,3,0.448418,0.484492,5225.699846,0.459418,67
106,Arnold Pressburger,Produzent,5,80,3,0.442734,0.476653,2407.633899,0.450299,58
107,Werner Brandes,Kamera,5,67,4,0.399347,0.436861,2464.803451,0.253789,55
108,Bruno Mondi,Kamera,5,68,3,0.450899,0.486196,3776.442395,0.56865,66
109,Werner Schlichting,Bauten,5,75,3,0.425217,0.4591,2654.0968,0.364325,52
110,Bruno Timm,Kamera,5,81,4,0.419023,0.45714,2118.412915,0.442521,58
111,Else Baum,Schnitt,4,54,3,0.428947,0.461827,1149.2155,0.4418,50
112,Otto Hunte,Bauten,4,53,4,0.388558,0.420501,960.11918,0.181421,41
113,Curt Courant,Kamera,4,58,4,0.414407,0.44879,2383.101984,0.327974,49
114,Willy Zeyn jun.,Schnitt,4,56,4,0.399184,0.433027,2243.517615,0.274874,48
115,Karl Vollbrecht,Bauten,4,59,4,0.398046,0.430215,1708.169132,0.206065,42
116,Erich Pommer,Produzent,4,62,4,0.379658,0.409765,529.380427,0.223041,39
117,Reinhold Schünzel,Regie/Drehbuch,4,51,4,0.385343,0.412662,363.753628,0.218611,29
118,Hertha Thiele,Darsteller,4,62,3,0.429701,0.46319,4842.354437,0.300696,52
119,Otto Gülstorff,Bauten,4,46,4,0.375144,0.400392,1061.300325,0.130731,27
120,Otto Heller,Kamera,4,68,4,0.389176,0.418967,481.698761,0.241233,37
121,Lien Deyers,Darsteller,4,54,3,0.422098,0.454158,1182.299526,0.404482,46
122,Dolly Haas,Darsteller,4,54,3,0.427822,0.460804,1644.9196,0.440983,50
123,Renate Müller,Darsteller,4,53,3,0.406315,0.436094,750.637997,0.296647,38
124,Otto Kanturek,Kamera,4,63,4,0.408692,0.442825,1353.908111,0.324022,47
125,Herbert Körner,Kamera,4,45,4,0.399021,0.43047,2343.702306,0.188835,41
126,Willi Depenau,Bauten,4,57,4,0.408692,0.441377,1439.891715,0.34876,44
127,Werner Schmidt-Boelcke,Musik,4,52,4,0.417949,0.452198,2295.157253,0.320239,49
128,Erich Czerwonski,Bauten,4,48,3,0.431979,0.462849,2160.512437,0.414475,45
129,Paul Dessau,Musik,4,66,4,0.365062,0.396046,1177.182806,0.138268,44
130,E. W. Emo,Regie,4,48,3,0.409891,0.440354,1523.871356,0.304142,40
131,Kurt Neubert,Kamera,4,61,4,0.396594,0.429703,2192.357045,0.228215,45
132,Kurt Bernhardt,Drehbuch/Regie,4,52,4,0.376154,0.398603,86.791314,0.110557,20
133,Georg Bruckbauer,Kamera,4,56,3,0.422827,0.458248,2804.723882,0.352758,56
135,Alexander Mügge,Bauten,4,48,4,0.402801,0.431834,1627.18132,0.233586,35
136,Eduard von Borsody,Schnitt,4,51,4,0.395471,0.425443,513.729678,0.224816,35
137,Otto Baecker,Kamera,4,59,4,0.412137,0.446915,1503.697714,0.37594,50
138,Oskar Sima,Darsteller,4,55,4,0.424111,0.459952,2323.212227,0.43733,55
139,Wolfgang Becker,Schnitt,4,54,4,0.404801,0.439076,1843.242771,0.25602,46
140,Fritz Zeckendorf,Drehbuch,4,55,4,0.397238,0.429789,1114.782886,0.251137,42
141,Karl Platen,Darsteller,4,49,4,0.426515,0.459441,3145.287479,0.30378,47
142,Adolf Trotz,Drehbuch/Regie,4,42,4,0.373853,0.394427,86.626647,0.097127,16
143,Karin Hardt,Darsteller,4,51,3,0.41231,0.444104,2226.879364,0.302163,44
145,Martha Dübber,Schnitt,4,53,3,0.435053,0.466939,899.204408,0.502216,49
1043,Gustav Althoff,Produzent/Musik,9,110,3,0.397399,0.427914,1170.153618,0.287166,41
148,Anton Pointner,Darsteller,4,53,3,0.419383,0.452965,1798.358669,0.411756,50
149,Carl de Vogt,Darsteller,4,41,4,0.406822,0.437457,2840.8443,0.200364,38
150,Hans-Otto Borgmann,Musik,4,52,4,0.406484,0.441547,2302.933224,0.283353,49
151,Josef Pelz von Felinau,Drehbuch,4,51,4,0.404299,0.439928,3512.222548,0.267212,50
152,Putty Krafft,Schnitt,4,54,3,0.431407,0.463701,1533.558029,0.412763,49
153,Mady Christians,Darsteller,4,55,3,0.424663,0.454499,1763.660369,0.324761,40
154,Luise Ullrich,Darsteller,4,54,3,0.431407,0.464383,2662.724311,0.375013,51
156,Gustav Diessl,Darsteller,4,69,3,0.431979,0.468303,6377.403396,0.378098,61
157,Guido Seeber,Kamera,4,56,4,0.401808,0.433112,549.095603,0.277517,40
158,Victor Janson,Regie,4,61,3,0.417058,0.449046,986.531216,0.385797,45
159,Ursula Grabley,Darsteller,4,53,3,0.431407,0.464383,2135.95583,0.41765,51
160,Toni Thoms,Musik,4,52,4,0.369475,0.394001,290.254822,0.137291,26
161,Johannes Meyer,Regie,4,52,3,0.434281,0.464554,1084.297895,0.440311,44
162,Henry Kosterlitz,Drehbuch/Regie,4,47,4,0.401973,0.431919,6124.119285,0.193011,36
1054,Gerhard Dammann,Darsteller/Regie,6,63,4,0.372571,0.399284,1181.163645,0.144272,32
164,Konstantin Tschet,Kamera,4,54,4,0.420284,0.453732,1864.901827,0.341828,47
165,Friedl Hanses,Darsteller,3,34,4,0.326762,0.345603,8.901494,0.056626,15
166,Karl Schulz,Produzent,3,46,3,0.402469,0.43047,160.832312,0.318155,33
167,Carl Esmond,Darsteller,3,42,3,0.431027,0.460634,1495.220142,0.3412,41
168,Franziska Gaal,Darsteller,3,33,3,0.400164,0.425699,366.959942,0.214282,26
169,Käte Haack,Darsteller,3,36,3,0.413706,0.442399,472.503659,0.357982,35
170,Franz Rauch,Drehbuch,3,37,4,0.402635,0.432601,657.093522,0.313093,36
171,Karl Noti,Drehbuch,3,35,4,0.389641,0.416326,457.423764,0.224648,29
172,Lilian Harvey,Darsteller,3,46,4,0.36411,0.389826,85.642476,0.15056,25
173,Botho Höfer,Bauten,3,36,4,0.395311,0.422546,985.966324,0.170261,29
174,Franz Doelle,Musik,3,42,4,0.413706,0.4447,1402.868538,0.324474,39
175,Lucie Englisch,Darsteller,3,41,3,0.389641,0.41377,77.909073,0.243734,24
176,Ludwig Stössel,Darsteller,3,39,3,0.421915,0.451602,3203.661036,0.307299,39
177,Willy Fritsch,Darsteller,3,40,3,0.415993,0.444274,455.728142,0.327054,34
178,Marianne Hoppe,Darsteller,3,37,4,0.389641,0.418967,1928.652428,0.150799,34
179,Marta Eggerth,Darsteller,3,42,4,0.401313,0.43226,1026.576902,0.294863,39
180,Mathias Wieman,Darsteller,3,42,4,0.380989,0.407209,1066.716094,0.163732,27
181,Erwin Scharf,Bauten,3,46,4,0.386714,0.416837,719.113624,0.21823,37
182,Franz Lehár,Musik,3,44,4,0.396594,0.426892,844.136653,0.25582,36
183,Willy Winterstein,Kamera,3,37,4,0.413706,0.443933,1457.59323,0.254271,37
184,Karl Hasselmann,Kamera,3,35,4,0.393403,0.421779,1429.096943,0.14655,33
185,Gibson Gowland,Darsteller,3,50,4,0.34966,0.374574,175.587435,0.103464,31
186,Wolf Albach-Retty,Darsteller,3,43,4,0.404801,0.43635,921.676434,0.321726,38
187,Herbert B. Fredersdorf,Schnitt,3,38,3,0.418664,0.44683,322.606389,0.355693,34
188,Wolfgang Liebeneiner,Darsteller,3,38,4,0.417592,0.447768,1554.81918,0.290042,36
189,Wolfgang Loë-Bagier,Schnitt,3,41,3,0.42137,0.451091,1010.586165,0.318126,39
190,Henri-Georges Clouzot,Regie,3,44,4,0.393087,0.425187,1173.931829,0.243438,39
191,Heinz Salfner,Darsteller,3,41,4,0.39372,0.425784,1856.719657,0.212504,40
