Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;;
0;Erich Pommer;Produzent;16;233;4;0.450862;0.503027;10910.036992;0.676079;123;;
1;Paul Hörbiger;Darsteller;15;199;3;0.499522;0.546208;19954.387268;1;146;;
2;Willi A. Herrmann;Bauten;14;196;4;0.487873;0.536488;17581.229274;0.806304;140;;
3;Ida Wüst;Darsteller;13;158;3;0.500478;0.539516;13657.019937;0.855504;123;;
4;Willy Goldberger;Kamera;12;160;3;0.489242;0.529955;14313.077537;0.760103;117;;
5;Werner Richard Heymann;Musik;11;159;4;0.416401;0.45921;2642.929771;0.431324;80;;
6;Reimar Kuntze;Kamera;11;161;3;0.46551;0.51195;14093.07488;0.593634;115;;
7;Anton Pointner;Darsteller;10;135;3;0.486965;0.527725;10815.092945;0.797539;115;;
8;Otto Baecker;Kamera;10;150;4;0.412136;0.452279;1895.544381;0.398066;71;;
9;Hans H. Zerlett;Drehbuch;10;137;3;0.43063;0.474028;8656.14995;0.425663;87;;
10;Günther Rittau;Kamera;10;150;4;0.412136;0.452279;1895.544381;0.398066;71;;
11;Herbert Lippschitz;Bauten;10;142;4;0.461606;0.503983;7327.602443;0.587283;99;;
12;Erich Kettelhut;Bauten;10;150;4;0.412136;0.452279;1895.544381;0.398066;71;;
13;Konstantin Tschet;Kamera;10;150;4;0.4472;0.489882;6938.616018;0.604117;91;;
14;Carl Boese;Regie;10;139;3;0.465924;0.509082;9915.495059;0.644145;105;;
15;Georg Alexander;Darsteller;9;111;3;0.468009;0.505577;4251.365419;0.701724;89;;
16;Carl Drews;Kamera;9;115;4;0.478281;0.516252;8811.02876;0.658408;98;;
17;Otto Hunte;Bauten;9;128;3;0.470112;0.510357;9801.149684;0.582203;99;;
18;Franz Schroedter;Bauten;9;117;3;0.453403;0.49283;4990.297817;0.544152;85;;
19;Fritz Kampers;Darsteller;9;104;3;0.46059;0.500478;7678.272896;0.587326;91;;
20;Robert Liebmann;Drehbuch;9;121;4;0.413766;0.455784;3977.825478;0.379155;76;;
21;Magda Schneider;Darsteller;9;127;3;0.472022;0.508286;6144.797822;0.597053;88;;
22;Theodor Loos;Darsteller;9;121;4;0.470324;0.512588;11841.342286;0.584205;105;;
23;Jakob Tiedtke;Darsteller;9;121;3;0.480257;0.519758;6646.757396;0.846241;105;;
24;Friedrich Zelnik;Regie/Produzent/Drehbuch;9;111;4;0.428162;0.459528;1731.138406;0.290302;48;;
25;Fritz Zeckendorf;Drehbuch;8;115;4;0.448734;0.486456;2880.824611;0.570412;75;;
26;Erwin Scharf;Bauten;8;104;3;0.464476;0.503505;8221.318735;0.554902;91;;
27;Friedl Behn-Grund;Kamera;8;107;4;0.442658;0.486297;8882.196387;0.460434;88;;
28;Artur Guttmann;Musik;8;97;3;0.451056;0.48805;6133.903999;0.471049;76;;
29;Otto Kanturek;Kamera;8;121;3;0.473947;0.512588;7885.329372;0.600312;97;;
30;Philipp Lothar Othello Mayring;Drehbuch;8;116;4;0.438023;0.478011;2409.833722;0.569646;77;;
31;Hans Sohnle;Bauten;8;125;3;0.445486;0.485341;3740.062046;0.563184;82;;
32;Otto Heller;Kamera;8;99;4;0.400459;0.43499;1846.19568;0.249963;54;;
33;Lothar Philipp August Mayring;Drehbuch;8;116;4;0.438023;0.478011;2409.833722;0.569646;77;;
34;Julius Falkenstein;Darsteller;8;98;4;0.460996;0.499681;7016.129688;0.577535;86;;
35;Carl Hoffmann;Kamera;8;104;4;0.44135;0.482473;7747.883222;0.485352;83;;
36;Irma von Cube;Drehbuch;8;117;4;0.442658;0.481676;5403.507637;0.446023;76;;
38;Heinrich Gärtner;Kamera;8;112;3;0.456968;0.497291;9516.134399;0.553646;90;;
39;Oskar Sima;Darsteller;8;114;3;0.490619;0.52645;9974.042601;0.764021;103;;
40;Otto Erdmann;Bauten;8;125;3;0.445486;0.485341;3740.062046;0.563184;82;;
41;Ernö Verebes;Darsteller;7;92;3;0.457168;0.494264;4017.380101;0.635008;80;;
42;Arnold Pressburger;Produzent;7;104;3;0.426765;0.463512;2577.494602;0.372751;65;;
43;Rolf Marbot;Musik;7;109;3;0.440236;0.477374;3698.6136;0.458361;71;;
44;Curt J. Braun;Drehbuch;7;90;4;0.451836;0.489324;5022.503481;0.5089;76;;
45;Ernö Metzner;Bauten;7;88;4;0.424169;0.458572;4412.095457;0.277555;55;;
46;Robert Neppach;Bauten/Produzent;7;86;4;0.441537;0.479924;4639.573075;0.399765;74;;
47;Else Baum;Schnitt;7;103;4;0.44247;0.48327;5503.150564;0.516099;82;;
48;Werner Bohne;Kamera;7;104;4;0.438758;0.475382;2022.509131;0.471357;66;;
49;Bert Reisfeld;Musik;7;109;3;0.440236;0.477374;3698.6136;0.458361;71;;
50;Emeric Pressburger;Drehbuch/Schnitt;7;103;4;0.437657;0.478171;6495.198262;0.400118;79;;
51;Werner Schlichting;Bauten;7;90;4;0.412298;0.446781;1298.730979;0.31639;53;;
52;Bobby E. Lüthge;Drehbuch;7;99;4;0.452814;0.488368;3013.884596;0.535484;72;;
53;Adele Sandrock;Darsteller;7;61;4;0.432768;0.466858;4136.027925;0.349587;58;;
54;Fritz Arno Wagner;Kamera;7;92;4;0.422285;0.457935;1749.785618;0.419571;58;;
55;Paul Kemp;Darsteller;7;94;4;0.457168;0.497132;7758.828546;0.51289;87;;
56;Lilian Harvey;Darsteller;7;102;4;0.405426;0.4424;1610.336676;0.352743;61;;
57;Marta Eggerth;Darsteller;7;91;3;0.45978;0.494105;2153.500695;0.640466;73;;
59;Hermann Thimig;Darsteller;7;81;4;0.438943;0.474586;2952.296995;0.473753;65;;
60;Heinrich Richter;Bauten;7;104;3;0.461199;0.502549;11592.944312;0.488134;96;;
