Source,Target,Type,Id,Label,Weight
86,56,Undirected,12685,,1
939,663,Undirected,12686,,1
0,225,Undirected,12687,,1
237,160,Undirected,12688,,1
1026,1056,Undirected,12689,,2
773,102,Undirected,12690,,1
393,8,Undirected,12691,,1
403,8,Undirected,12692,,2
101,80,Undirected,12693,,2
50,231,Undirected,12694,,1
232,88,Undirected,12695,,2
263,357,Undirected,12696,,1
807,220,Undirected,12697,,1
1068,284,Undirected,12698,,2
51,7,Undirected,12699,,1
484,526,Undirected,12700,,1
432,317,Undirected,12701,,1
34,57,Undirected,12702,,1
38,102,Undirected,12703,,1
99,962,Undirected,12704,,1
70,199,Undirected,12705,,1
2,199,Undirected,12706,,3
350,118,Undirected,12707,,1
592,378,Undirected,12708,,1
195,370,Undirected,12709,,3
406,19,Undirected,12710,,1
40,57,Undirected,12711,,1
1045,0,Undirected,12712,,4
43,620,Undirected,12713,,1
75,120,Undirected,12714,,2
1083,296,Undirected,12715,,1
399,294,Undirected,12716,,1
210,62,Undirected,12717,,1
12,1075,Undirected,12718,,2
4,467,Undirected,12719,,2
109,153,Undirected,12720,,1
176,187,Undirected,12721,,1
530,143,Undirected,12722,,1
207,19,Undirected,12723,,2
545,86,Undirected,12724,,1
34,260,Undirected,12725,,1
0,219,Undirected,12726,,1
1000,617,Undirected,12727,,1
125,204,Undirected,12728,,1
577,166,Undirected,12729,,1
1083,229,Undirected,12730,,1
498,53,Undirected,12731,,1
871,925,Undirected,12732,,1
178,8,Undirected,12733,,1
35,1060,Undirected,12734,,2
58,1051,Undirected,12735,,1
84,335,Undirected,12736,,1
986,90,Undirected,12737,,1
217,243,Undirected,12738,,1
385,734,Undirected,12739,,1
743,136,Undirected,12740,,1
794,444,Undirected,12741,,2
178,69,Undirected,12742,,1
0,113,Undirected,12743,,3
730,160,Undirected,12744,,1
420,255,Undirected,12745,,1
1076,6,Undirected,12746,,2
906,88,Undirected,12747,,1
333,566,Undirected,12748,,1
359,783,Undirected,12749,,1
1073,581,Undirected,12750,,1
468,138,Undirected,12751,,1
18,353,Undirected,12752,,1
758,975,Undirected,12753,,1
268,84,Undirected,12754,,1
267,631,Undirected,12755,,1
360,16,Undirected,12756,,1
61,1081,Undirected,12757,,1
46,285,Undirected,12758,,1
832,513,Undirected,12759,,1
22,673,Undirected,12760,,1
420,172,Undirected,12761,,2
110,5,Undirected,12762,,3
63,156,Undirected,12763,,1
561,698,Undirected,12764,,1
292,1038,Undirected,12765,,1
19,477,Undirected,12766,,1
343,3,Undirected,12767,,3
18,286,Undirected,12768,,1
309,3,Undirected,12769,,1
301,543,Undirected,12770,,1
1013,8,Undirected,12771,,1
547,560,Undirected,12772,,1
1033,749,Undirected,12773,,1
7,509,Undirected,12774,,1
954,88,Undirected,12775,,1
206,153,Undirected,12776,,1
28,265,Undirected,12777,,1
74,109,Undirected,12778,,1
73,952,Undirected,12779,,1
2,86,Undirected,12780,,1
0,62,Undirected,12781,,2
1050,124,Undirected,12782,,1
453,1047,Undirected,12783,,1
55,1065,Undirected,12784,,3
14,6,Undirected,12785,,3
1055,153,Undirected,12786,,2
979,220,Undirected,12787,,1
870,881,Undirected,12788,,1
278,396,Undirected,12789,,3
54,25,Undirected,12790,,2
62,566,Undirected,12791,,1
371,47,Undirected,12792,,3
241,113,Undirected,12793,,2
306,389,Undirected,12794,,1
174,27,Undirected,12795,,1
151,203,Undirected,12796,,2
158,319,Undirected,12797,,1
206,9,Undirected,12798,,1
122,16,Undirected,12799,,1
7,361,Undirected,12800,,1
22,928,Undirected,12801,,1
65,54,Undirected,12802,,1
29,222,Undirected,12803,,1
164,1070,Undirected,12804,,1
542,581,Undirected,12805,,1
86,653,Undirected,12806,,1
118,338,Undirected,12807,,1
2,24,Undirected,12808,,4
1073,288,Undirected,12809,,1
263,13,Undirected,12810,,1
12,16,Undirected,12811,,1
34,21,Undirected,12812,,1
845,81,Undirected,12813,,1
0,257,Undirected,12814,,3
301,253,Undirected,12815,,1
846,693,Undirected,12816,,1
42,924,Undirected,12817,,1
1029,509,Undirected,12818,,1
110,1,Undirected,12819,,2
845,129,Undirected,12820,,1
284,244,Undirected,12821,,1
208,54,Undirected,12822,,1
542,3,Undirected,12823,,1
358,93,Undirected,12824,,1
40,21,Undirected,12825,,1
366,942,Undirected,12826,,1
720,1018,Undirected,12827,,1
1074,567,Undirected,12828,,3
214,513,Undirected,12829,,1
82,1066,Undirected,12830,,2
50,1,Undirected,12831,,2
172,382,Undirected,12832,,1
5,657,Undirected,12833,,1
86,127,Undirected,12834,,1
58,204,Undirected,12835,,1
11,380,Undirected,12836,,1
33,136,Undirected,12837,,1
72,1048,Undirected,12838,,2
91,41,Undirected,12839,,1
22,1049,Undirected,12840,,1
855,631,Undirected,12841,,1
318,699,Undirected,12842,,1
99,154,Undirected,12843,,1
319,56,Undirected,12844,,1
87,84,Undirected,12845,,1
110,367,Undirected,12846,,1
108,303,Undirected,12847,,1
108,132,Undirected,12848,,1
502,665,Undirected,12849,,1
0,507,Undirected,12850,,1
955,614,Undirected,12851,,1
961,130,Undirected,12852,,1
97,80,Undirected,12853,,1
13,419,Undirected,12854,,2
155,554,Undirected,12855,,2
215,679,Undirected,12856,,1
73,211,Undirected,12857,,1
90,434,Undirected,12858,,1
514,20,Undirected,12859,,1
845,79,Undirected,12860,,1
469,45,Undirected,12861,,1
254,858,Undirected,12862,,1
995,524,Undirected,12863,,2
744,98,Undirected,12864,,1
1030,941,Undirected,12865,,1
313,582,Undirected,12866,,1
354,533,Undirected,12867,,1
181,643,Undirected,12868,,1
0,323,Undirected,12869,,1
1041,186,Undirected,12870,,1
18,1019,Undirected,12871,,1
91,431,Undirected,12872,,1
1076,114,Undirected,12873,,2
27,171,Undirected,12874,,1
146,163,Undirected,12875,,1
832,154,Undirected,12876,,1
869,72,Undirected,12877,,1
304,405,Undirected,12878,,2
728,287,Undirected,12879,,1
324,76,Undirected,12880,,1
67,132,Undirected,12881,,1
750,58,Undirected,12882,,1
145,23,Undirected,12883,,1
319,132,Undirected,12884,,1
34,547,Undirected,12885,,1
27,671,Undirected,12886,,1
69,207,Undirected,12887,,1
223,87,Undirected,12888,,1
52,336,Undirected,12889,,1
1047,626,Undirected,12890,,1
467,597,Undirected,12891,,1
832,1045,Undirected,12892,,1
43,641,Undirected,12893,,1
276,395,Undirected,12894,,1
508,233,Undirected,12895,,2
255,214,Undirected,12896,,1
462,27,Undirected,12897,,1
304,101,Undirected,12898,,1
858,19,Undirected,12899,,1
130,159,Undirected,12900,,1
77,80,Undirected,12901,,1
231,234,Undirected,12902,,1
821,978,Undirected,12903,,1
793,107,Undirected,12904,,1
659,44,Undirected,12905,,1
955,561,Undirected,12906,,1
884,182,Undirected,12907,,1
1068,9,Undirected,12908,,2
541,1008,Undirected,12909,,2
401,395,Undirected,12910,,2
151,280,Undirected,12911,,2
34,500,Undirected,12912,,1
452,41,Undirected,12913,,2
24,700,Undirected,12914,,1
108,448,Undirected,12915,,1
85,219,Undirected,12916,,1
64,1085,Undirected,12917,,2
24,355,Undirected,12918,,1
103,299,Undirected,12919,,1
0,27,Undirected,12920,,2
170,106,Undirected,12921,,1
166,215,Undirected,12922,,1
825,253,Undirected,12923,,1
89,1,Undirected,12924,,2
1005,102,Undirected,12925,,1
244,1082,Undirected,12926,,3
0,196,Undirected,12927,,4
49,336,Undirected,12928,,1
340,53,Undirected,12929,,1
77,57,Undirected,12930,,1
265,296,Undirected,12931,,1
161,24,Undirected,12932,,1
465,98,Undirected,12933,,1
125,579,Undirected,12934,,1
399,9,Undirected,12935,,1
184,660,Undirected,12936,,1
18,190,Undirected,12937,,1
519,60,Undirected,12938,,1
72,90,Undirected,12939,,1
97,1042,Undirected,12940,,1
751,517,Undirected,12941,,1
151,291,Undirected,12942,,1
34,149,Undirected,12943,,1
142,938,Undirected,12944,,1
34,66,Undirected,12945,,1
136,301,Undirected,12946,,1
750,4,Undirected,12947,,1
343,443,Undirected,12948,,1
84,23,Undirected,12949,,1
12,306,Undirected,12950,,1
309,443,Undirected,12951,,1
315,115,Undirected,12952,,1
97,321,Undirected,12953,,1
108,127,Undirected,12954,,1
855,284,Undirected,12955,,1
69,4,Undirected,12956,,1
73,946,Undirected,12957,,1
116,277,Undirected,12958,,2
178,53,Undirected,12959,,1
888,288,Undirected,12960,,1
108,21,Undirected,12961,,1
45,237,Undirected,12962,,1
621,471,Undirected,12963,,1
45,23,Undirected,12964,,1
1059,628,Undirected,12965,,1
711,601,Undirected,12966,,1
173,88,Undirected,12967,,1
42,73,Undirected,12968,,1
985,1,Undirected,12969,,1
217,8,Undirected,12970,,1
280,160,Undirected,12971,,1
349,70,Undirected,12972,,1
138,180,Undirected,12973,,2
155,728,Undirected,12974,,1
119,680,Undirected,12975,,1
45,497,Undirected,12976,,1
151,884,Undirected,12977,,1
176,237,Undirected,12978,,1
219,435,Undirected,12979,,1
1059,298,Undirected,12980,,3
300,565,Undirected,12981,,1
55,1056,Undirected,12982,,4
5,588,Undirected,12983,,1
85,373,Undirected,12984,,1
495,153,Undirected,12985,,1
55,586,Undirected,12986,,1
217,239,Undirected,12987,,1
148,353,Undirected,12988,,1
17,87,Undirected,12989,,2
220,253,Undirected,12990,,1
94,112,Undirected,12991,,1
164,320,Undirected,12992,,1
196,6,Undirected,12993,,1
94,1058,Undirected,12994,,2
147,1062,Undirected,12995,,1
42,241,Undirected,12996,,1
835,47,Undirected,12997,,1
361,996,Undirected,12998,,1
401,173,Undirected,12999,,1
428,194,Undirected,13000,,1
200,4,Undirected,13001,,1
949,931,Undirected,13002,,1
1067,411,Undirected,13003,,2
511,567,Undirected,13004,,1
122,46,Undirected,13005,,1
716,1078,Undirected,13006,,1
446,89,Undirected,13007,,1
1063,989,Undirected,13008,,2
98,60,Undirected,13009,,2
111,190,Undirected,13010,,1
1069,257,Undirected,13011,,2
725,262,Undirected,13012,,1
12,835,Undirected,13013,,1
256,82,Undirected,13014,,1
164,70,Undirected,13015,,1
291,163,Undirected,13016,,1
201,202,Undirected,13017,,1
614,690,Undirected,13018,,1
1031,1046,Undirected,13019,,1
97,591,Undirected,13020,,1
151,330,Undirected,13021,,1
716,148,Undirected,13022,,1
0,81,Undirected,13023,,3
150,0,Undirected,13024,,1
62,86,Undirected,13025,,1
719,391,Undirected,13026,,1
1041,565,Undirected,13027,,1
175,1072,Undirected,13028,,2
1071,390,Undirected,13029,,2
345,465,Undirected,13030,,1
1051,96,Undirected,13031,,4
827,316,Undirected,13032,,1
822,949,Undirected,13033,,1
51,190,Undirected,13034,,1
877,20,Undirected,13035,,1
107,759,Undirected,13036,,1
13,68,Undirected,13037,,1
259,238,Undirected,13038,,1
345,98,Undirected,13039,,1
35,479,Undirected,13040,,1
12,1071,Undirected,13041,,2
764,913,Undirected,13042,,1
255,14,Undirected,13043,,1
242,398,Undirected,13044,,1
78,359,Undirected,13045,,1
99,128,Undirected,13046,,1
242,27,Undirected,13047,,1
76,287,Undirected,13048,,1
12,24,Undirected,13049,,1
356,664,Undirected,13050,,1
236,1085,Undirected,13051,,1
35,171,Undirected,13052,,1
61,304,Undirected,13053,,1
446,320,Undirected,13054,,1
70,148,Undirected,13055,,2
92,1063,Undirected,13056,,2
1043,45,Undirected,13057,,2
5,534,Undirected,13058,,1
877,19,Undirected,13059,,1
469,20,Undirected,13060,,1
119,418,Undirected,13061,,1
74,24,Undirected,13062,,1
282,453,Undirected,13063,,1
751,76,Undirected,13064,,1
33,540,Undirected,13065,,1
265,319,Undirected,13066,,1
16,330,Undirected,13067,,1
207,299,Undirected,13068,,1
144,5,Undirected,13069,,1
254,1074,Undirected,13070,,3
0,79,Undirected,13071,,3
424,909,Undirected,13072,,1
97,961,Undirected,13073,,1
1010,555,Undirected,13074,,1
448,14,Undirected,13075,,1
431,332,Undirected,13076,,1
762,926,Undirected,13077,,1
284,2,Undirected,13078,,1
810,751,Undirected,13079,,1
305,377,Undirected,13080,,1
737,106,Undirected,13081,,1
715,417,Undirected,13082,,1
90,6,Undirected,13083,,1
326,460,Undirected,13084,,1
493,267,Undirected,13085,,1
162,3,Undirected,13086,,1
239,260,Undirected,13087,,1
12,99,Undirected,13088,,1
444,70,Undirected,13089,,2
8,1051,Undirected,13090,,4
57,220,Undirected,13091,,1
31,707,Undirected,13092,,1
4,883,Undirected,13093,,1
112,139,Undirected,13094,,1
96,585,Undirected,13095,,1
192,1006,Undirected,13096,,1
964,214,Undirected,13097,,1
455,84,Undirected,13098,,1
140,934,Undirected,13099,,1
19,64,Undirected,13100,,1
501,575,Undirected,13101,,1
33,549,Undirected,13102,,1
44,10,Undirected,13103,,4
332,8,Undirected,13104,,1
46,11,Undirected,13105,,3
110,29,Undirected,13106,,1
628,133,Undirected,13107,,1
402,257,Undirected,13108,,1
54,23,Undirected,13109,,2
155,243,Undirected,13110,,1
66,21,Undirected,13111,,1
265,68,Undirected,13112,,1
29,205,Undirected,13113,,1
87,678,Undirected,13114,,1
180,83,Undirected,13115,,2
155,45,Undirected,13116,,1
50,29,Undirected,13117,,1
364,432,Undirected,13118,,1
161,105,Undirected,13119,,2
309,83,Undirected,13120,,1
194,217,Undirected,13121,,1
1083,907,Undirected,13122,,1
39,88,Undirected,13123,,1
85,27,Undirected,13124,,1
13,242,Undirected,13125,,1
17,951,Undirected,13126,,1
79,346,Undirected,13127,,1
48,76,Undirected,13128,,1
398,224,Undirected,13129,,1
122,4,Undirected,13130,,3
236,302,Undirected,13131,,1
146,62,Undirected,13132,,1
1070,303,Undirected,13133,,1
1052,1083,Undirected,13134,,1
498,14,Undirected,13135,,1
1075,80,Undirected,13136,,4
493,202,Undirected,13137,,1
38,171,Undirected,13138,,2
358,122,Undirected,13139,,1
779,355,Undirected,13140,,1
466,397,Undirected,13141,,1
381,0,Undirected,13142,,1
295,466,Undirected,13143,,1
327,21,Undirected,13144,,2
293,162,Undirected,13145,,1
69,1049,Undirected,13146,,4
282,682,Undirected,13147,,1
150,1055,Undirected,13148,,1
94,31,Undirected,13149,,1
184,879,Undirected,13150,,1
284,947,Undirected,13151,,1
905,644,Undirected,13152,,1
976,158,Undirected,13153,,1
164,53,Undirected,13154,,1
39,490,Undirected,13155,,1
28,183,Undirected,13156,,1
13,14,Undirected,13157,,1
55,327,Undirected,13158,,2
680,1061,Undirected,13159,,1
14,391,Undirected,13160,,1
93,84,Undirected,13161,,1
147,575,Undirected,13162,,2
235,198,Undirected,13163,,1
2,652,Undirected,13164,,1
507,3,Undirected,13165,,1
48,140,Undirected,13166,,1
160,616,Undirected,13167,,1
508,114,Undirected,13168,,2
502,98,Undirected,13169,,1
428,0,Undirected,13170,,1
86,27,Undirected,13171,,1
26,68,Undirected,13172,,1
161,1078,Undirected,13173,,1
148,246,Undirected,13174,,2
13,1057,Undirected,13175,,1
33,107,Undirected,13176,,1
441,44,Undirected,13177,,1
1081,20,Undirected,13178,,3
469,976,Undirected,13179,,1
114,183,Undirected,13180,,1
276,253,Undirected,13181,,1
50,93,Undirected,13182,,1
77,149,Undirected,13183,,1
486,906,Undirected,13184,,1
127,1062,Undirected,13185,,2
50,143,Undirected,13186,,1
0,42,Undirected,13187,,1
110,7,Undirected,13188,,1
154,335,Undirected,13189,,1
151,4,Undirected,13190,,1
172,521,Undirected,13191,,2
123,518,Undirected,13192,,1
