Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree
0;Richard Eichberg;Drehbuch/Produzent/Regie;12;192;4;0.374327;0.400779;79.776041;0.222843;25
1;Georg Alexander;Darsteller;9;113;3;0.467751;0.517786;14107.830215;0.853298;102
2;Alfred Bütow;Bauten;9;140;3;0.446228;0.492206;5575.144898;0.697357;81
3;Lothar Philipp August Mayring;Drehbuch;9;125;3;0.468276;0.514988;6967.076658;1;94
4;Philipp Lothar Othello Mayring;Drehbuch;9;125;3;0.468276;0.514988;6967.076658;1;94
5;Willi A. Herrmann;Bauten;9;138;3;0.450811;0.494804;5408.140771;0.680621;78
6;Hans Schneeberger;Kamera;8;128;4;0.449111;0.493505;8396.690876;0.666173;78
7;Karl Weber;Bauten;7;95;3;0.435509;0.479017;3786.873365;0.705906;71
8;Erich Zander;Bauten;7;95;3;0.435509;0.479017;3786.873365;0.705906;71
9;Albert Matterstock;Darsteller;6;79;4;0.443381;0.483313;4580.987089;0.641893;63
10;Reimar Kuntze;Kamera;6;83;4;0.416168;0.456335;3286.837692;0.478821;57
11;Otto Wernicke;Darsteller;6;65;4;0.439179;0.479317;4184.9835;0.601996;62
12;Robert Baberske;Kamera;6;77;3;0.424427;0.466227;3851.590912;0.504963;64
13;Robert A. Stemmle;Drehbuch/Regie;6;74;4;0.412055;0.443645;828.160682;0.362018;35
14;René Deltgen;Darsteller;6;79;4;0.446467;0.491107;9246.290255;0.650699;76
15;Wolfgang Zeller;Musik;6;83;4;0.435737;0.480516;7036.935536;0.644781;74
16;Ewald Daub;Kamera;6;101;3;0.417209;0.453837;2086.146305;0.432335;50
17;Paul Klinger;Darsteller;6;79;4;0.441503;0.483713;5723.744603;0.578943;68
18;Herbert Hübner;Darsteller;6;81;4;0.441036;0.482914;4235.246086;0.680146;67
19;Franz Schroedter;Bauten;6;84;4;0.413896;0.452538;2065.103569;0.469164;53
20;Otto Baecker;Kamera;6;84;3;0.435964;0.478617;11519.447041;0.46546;69
22;Carl Boese;Regie;5;60;4;0.431677;0.469325;5417.589045;0.467651;55
23;Herbert Windt;Musik;5;64;4;0.420151;0.460731;4464.894958;0.439121;56
24;Viktor de Kowa;Darsteller/Drehbuch;5;66;4;0.402899;0.43775;2076.771007;0.325224;43
25;Theo Lingen;Darsteller;5;75;3;0.438947;0.480416;7567.586799;0.49251;67
26;Oskar Sima;Darsteller;5;64;3;0.440803;0.478817;5385.20583;0.514505;59
27;Hilde Weissner;Darsteller;5;68;3;0.446945;0.485212;4528.644698;0.624093;62
28;Carla Rust;Darsteller;5;73;4;0.426598;0.469624;6245.233451;0.435948;66
29;Georg Witt;Produzent;5;69;4;0.426162;0.464628;2191.480317;0.473596;54
30;Paul Hörbiger;Darsteller;5;58;4;0.429897;0.468325;6246.129379;0.40428;55
31;Walter Steinbeck;Darsteller;5;68;3;0.442675;0.483213;5525.024658;0.622654;66
32;Paul Kemp;Darsteller;5;64;4;0.408623;0.445743;4092.513776;0.271783;49
33;Franz Grothe;Musik;5;67;3;0.449111;0.485811;4565.374184;0.643647;59
34;Franz Koch;Kamera;5;68;4;0.430785;0.469524;4432.041075;0.566396;56
35;Peter Kreuder Jr.;Musik;5;62;4;0.447905;0.485512;4075.158345;0.575665;59
36;Karl Puth;Kamera;5;72;4;0.428351;0.470524;4838.64647;0.543773;64
37;Paul Westermeier;Darsteller;5;66;3;0.445275;0.484213;7077.725654;0.641466;63
38;Oskar Schnirch;Kamera;5;65;4;0.428792;0.469524;5908.185194;0.464728;58
39;Harald Böhmelt;Musik;5;87;4;0.401928;0.435052;1200.272027;0.344737;39
40;Ludwig Reiber;Bauten;5;69;4;0.426162;0.464628;2191.480317;0.473596;54
41;Willi Depenau;Bauten;5;69;4;0.426162;0.464628;2191.480317;0.473596;54
42;Werner Bochmann;Musik;5;67;4;0.429897;0.470923;4875.173174;0.526101;61
43;Robert Herlth;Bauten;4;56;4;0.42486;0.460931;3276.696067;0.380629;48
44;Fritz Kirchhoff;Regie/Drehbuch;4;40;4;0.376524;0.403677;782.446802;0.216446;28
45;Hans Nielsen;Darsteller;4;58;4;0.444089;0.479916;3239.428421;0.600878;53
