Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
245,Hermine Sterler,Darsteller,3,41,4,0.416201,0.448466,2469.764074,0.328528,40
246,Leo Mittler,Regie,3,37,5,0.383456,0.413167,300.22569,0.24466,28
247,Wilhelm Bendow,Darsteller,3,24,5,0.373835,0.399505,1110.970228,0.141853,22
248,Gabriel Levy,Produzent,3,37,5,0.394777,0.424992,504.326684,0.254129,31
249,Lazare Meerson,Bauten,3,18,5,0.340516,0.358597,565.062961,0.053461,13
251,Claus Clausen,Darsteller,3,36,5,0.401772,0.433541,1746.564273,0.251575,34
252,Claire Rommer,Darsteller,3,34,4,0.414547,0.443353,1343.993905,0.30492,31
253,Hugo Werner-Kahle,Darsteller,3,38,5,0.394031,0.425711,1314.100614,0.22299,32
254,Trude Berliner,Darsteller,3,47,5,0.398396,0.43466,2985.171932,0.2774,44
255,Pasquale Perris,Musik,3,35,4,0.41144,0.441595,1142.494056,0.333578,35
256,Charlie K. Roellinghoff,Drehbuch,3,45,4,0.415207,0.446469,1356.012732,0.406218,41
257,Charles Stumar,Kamera,3,34,5,0.360401,0.388079,3530.451806,0.121221,30
258,Charles Rosher,Kamera,3,44,5,0.375315,0.403979,112.614999,0.202932,28
259,Fritz Wendhausen,Drehbuch/Regie,3,40,5,0.395525,0.425711,665.650716,0.265114,34
260,Theodor Loos,Darsteller,3,46,5,0.401463,0.436417,8717.639462,0.285074,42
261,Irma von Cube,Drehbuch,3,42,5,0.391223,0.424832,3196.619412,0.217253,39
262,Maria Paudler,Darsteller,3,36,5,0.401308,0.432502,1398.140395,0.317756,35
263,Käthe von Nagy,Darsteller,3,37,4,0.390783,0.420901,1185.870223,0.220106,33
264,Mathieu Oostermann,Bauten,3,18,5,0.33765,0.35652,397.971124,0.049147,15
265,Karl Noti,Drehbuch,3,46,4,0.406469,0.4372,587.327569,0.416783,39
266,Adolf Trotz,Regie,3,22,4,0.374372,0.399249,3060.218258,0.117007,21
267,Eduard von Borsody,Kamera,3,15,5,0.358296,0.380169,495.356796,0.082643,12
268,Manfred Noa,Regie,3,27,4,0.388599,0.41435,353.23595,0.185814,22
269,Egon Eis,Drehbuch,3,40,5,0.3873,0.419719,363.488941,0.263123,33
270,Fritz Spira,Darsteller,3,37,4,0.414877,0.445749,1071.212231,0.41772,37
271,Elga Brink,Darsteller,3,31,4,0.383315,0.408837,1434.889809,0.191495,28
272,Heinz Paul,Regie,3,30,5,0.359283,0.384004,514.005442,0.112072,26
273,Georg Heinrich Schnell,Darsteller,3,41,5,0.377079,0.405177,772.631925,0.176602,27
274,Paul Heidemann,Darsteller,3,37,4,0.418204,0.446548,591.820554,0.384064,33
275,Rudolf Katscher,Drehbuch,3,40,5,0.3873,0.419719,363.488941,0.263123,33
276,Maly Delschaft,Darsteller,3,29,5,0.363795,0.390157,826.610653,0.121719,26
277,Leopold von Ledebur,Darsteller,3,32,5,0.363415,0.388399,1366.940387,0.10168,23
278,Mady Christians,Darsteller,3,28,5,0.374641,0.400064,183.523557,0.146377,21
280,Hella Moja,Drehbuch,3,30,5,0.359283,0.384004,514.005442,0.112072,26
281,Fred Raymond,Musik,3,38,5,0.407104,0.440652,941.045947,0.365938,36
282,Heinrich George,Darsteller,3,39,4,0.399617,0.427852,1007.658928,0.250008,32
