Source,Target,Type,Id,Label,Weight
60,54,Undirected,10816,,6
91,10,Undirected,10817,,5
664,142,Undirected,10818,,1
135,492,Undirected,10819,,1
17,50,Undirected,10820,,6
1,233,Undirected,10821,,2
10,350,Undirected,10822,,2
77,100,Undirected,10823,,5
185,161,Undirected,10824,,3
135,142,Undirected,10825,,2
62,11,Undirected,10826,,6
812,78,Undirected,10827,,1
26,27,Undirected,10828,,7
16,391,Undirected,10829,,2
37,78,Undirected,10830,,1
385,25,Undirected,10831,,2
191,142,Undirected,10832,,1
414,1,Undirected,10833,,2
171,191,Undirected,10834,,2
37,155,Undirected,10835,,2
135,78,Undirected,10836,,1
17,39,Undirected,10837,,2
365,11,Undirected,10838,,2
37,166,Undirected,10839,,2
281,39,Undirected,10840,,2
743,564,Undirected,10841,,1
203,785,Undirected,10842,,1
203,776,Undirected,10843,,1
669,240,Undirected,10844,,1
691,11,Undirected,10845,,1
827,233,Undirected,10846,,1
166,863,Undirected,10847,,1
54,142,Undirected,10848,,1
171,135,Undirected,10849,,1
717,203,Undirected,10850,,1
747,40,Undirected,10851,,1
54,247,Undirected,10852,,1
10,101,Undirected,10853,,2
242,40,Undirected,10854,,2
54,548,Undirected,10855,,1
142,479,Undirected,10856,,1
16,110,Undirected,10857,,4
155,83,Undirected,10858,,2
208,240,Undirected,10859,,1
492,390,Undirected,10860,,1
33,54,Undirected,10861,,1
16,6,Undirected,10862,,6
72,17,Undirected,10863,,2
1,72,Undirected,10864,,3
10,381,Undirected,10865,,2
282,25,Undirected,10866,,2
754,240,Undirected,10867,,1
63,77,Undirected,10868,,2
185,207,Undirected,10869,,1
190,25,Undirected,10870,,1
40,35,Undirected,10871,,2
1,6,Undirected,10872,,4
261,11,Undirected,10873,,1
54,83,Undirected,10874,,1
143,78,Undirected,10875,,1
659,1,Undirected,10876,,1
33,1,Undirected,10877,,1
26,66,Undirected,10878,,2
37,354,Undirected,10879,,1
391,159,Undirected,10880,,1
26,159,Undirected,10881,,2
49,78,Undirected,10882,,1
25,338,Undirected,10883,,2
143,11,Undirected,10884,,1
130,142,Undirected,10885,,5
305,78,Undirected,10886,,7
258,25,Undirected,10887,,1
1,35,Undirected,10888,,1
307,274,Undirected,10889,,1
16,817,Undirected,10890,,1
212,191,Undirected,10891,,1
10,219,Undirected,10892,,2
1,856,Undirected,10893,,1
109,25,Undirected,10894,,2
811,185,Undirected,10895,,1
155,874,Undirected,10896,,1
208,191,Undirected,10897,,1
26,44,Undirected,10898,,3
256,17,Undirected,10899,,4
78,164,Undirected,10900,,1
61,39,Undirected,10901,,5
262,11,Undirected,10902,,2
1,574,Undirected,10903,,1
63,122,Undirected,10904,,1
166,190,Undirected,10905,,2
10,819,Undirected,10906,,1
55,39,Undirected,10907,,1
101,39,Undirected,10908,,2
122,35,Undirected,10909,,2
564,410,Undirected,10910,,1
683,410,Undirected,10911,,1
258,122,Undirected,10912,,1
10,349,Undirected,10913,,2
203,788,Undirected,10914,,1
596,776,Undirected,10915,,2
1,267,Undirected,10916,,1
49,54,Undirected,10917,,3
83,240,Undirected,10918,,1
17,130,Undirected,10919,,2
477,11,Undirected,10920,,1
77,109,Undirected,10921,,1
718,164,Undirected,10922,,1
308,267,Undirected,10923,,1
201,11,Undirected,10924,,2
173,185,Undirected,10925,,2
307,233,Undirected,10926,,1
77,35,Undirected,10927,,1
1,866,Undirected,10928,,1
202,39,Undirected,10929,,2
26,8,Undirected,10930,,2
33,308,Undirected,10931,,1
182,11,Undirected,10932,,1
1,66,Undirected,10933,,1
210,26,Undirected,10934,,1
671,40,Undirected,10935,,1
274,340,Undirected,10936,,1
166,156,Undirected,10937,,3
105,820,Undirected,10938,,2
155,210,Undirected,10939,,2
77,49,Undirected,10940,,2
11,560,Undirected,10941,,1
652,16,Undirected,10942,,1
54,130,Undirected,10943,,1
171,35,Undirected,10944,,1
717,109,Undirected,10945,,1
615,40,Undirected,10946,,1
62,63,Undirected,10947,,1
54,533,Undirected,10948,,1
212,40,Undirected,10949,,4
654,16,Undirected,10950,,1
155,72,Undirected,10951,,1
407,240,Undirected,10952,,1
208,54,Undirected,10953,,1
33,17,Undirected,10954,,2
207,25,Undirected,10955,,2
547,240,Undirected,10956,,2
77,83,Undirected,10957,,1
185,565,Undirected,10958,,1
25,470,Undirected,10959,,1
643,11,Undirected,10960,,2
54,43,Undirected,10961,,1
1,386,Undirected,10962,,1
26,55,Undirected,10963,,2
37,386,Undirected,10964,,1
391,449,Undirected,10965,,1
95,26,Undirected,10966,,5
830,78,Undirected,10967,,1
270,191,Undirected,10968,,2
1,403,Undirected,10969,,1
299,25,Undirected,10970,,1
185,576,Undirected,10971,,1
407,191,Undirected,10972,,1
200,17,Undirected,10973,,2
16,159,Undirected,10974,,2
170,11,Undirected,10975,,6
1,49,Undirected,10976,,4
166,55,Undirected,10977,,2
66,39,Undirected,10978,,1
363,39,Undirected,10979,,2
122,219,Undirected,10980,,1
10,354,Undirected,10981,,1
203,485,Undirected,10982,,1
43,240,Undirected,10983,,1
77,299,Undirected,10984,,1
718,396,Undirected,10985,,2
844,233,Undirected,10986,,1
340,39,Undirected,10987,,1
26,128,Undirected,10988,,3
1,55,Undirected,10989,,1
658,40,Undirected,10990,,1
274,174,Undirected,10991,,2
155,43,Undirected,10992,,2
314,11,Undirected,10993,,2
144,16,Undirected,10994,,7
715,54,Undirected,10995,,1
717,638,Undirected,10996,,1
59,17,Undirected,10997,,4
291,25,Undirected,10998,,2
77,43,Undirected,10999,,1
247,11,Undirected,11000,,1
26,403,Undirected,11001,,1
254,11,Undirected,11002,,2
166,66,Undirected,11003,,2
623,39,Undirected,11004,,1
122,520,Undirected,11005,,1
10,43,Undirected,11006,,1
805,203,Undirected,11007,,1
775,240,Undirected,11008,,1
26,497,Undirected,11009,,1
33,26,Undirected,11010,,1
11,376,Undirected,11011,,2
54,75,Undirected,11012,,1
10,38,Undirected,11013,,2
24,40,Undirected,11014,,4
47,54,Undirected,11015,,1
70,142,Undirected,11016,,1
16,213,Undirected,11017,,1
155,89,Undirected,11018,,2
89,240,Undirected,11019,,2
213,492,Undirected,11020,,1
54,117,Undirected,11021,,1
23,16,Undirected,11022,,2
251,17,Undirected,11023,,2
28,1,Undirected,11024,,1
23,10,Undirected,11025,,2
64,25,Undirected,11026,,2
240,544,Undirected,11027,,1
77,98,Undirected,11028,,1
185,38,Undirected,11029,,1
82,142,Undirected,11030,,2
20,25,Undirected,11031,,1
92,40,Undirected,11032,,1
1,98,Undirected,11033,,1
82,11,Undirected,11034,,3
54,92,Undirected,11035,,1
98,78,Undirected,11036,,1
1,2,Undirected,11037,,7
598,26,Undirected,11038,,1
37,51,Undirected,11039,,5
75,391,Undirected,11040,,1
26,147,Undirected,11041,,2
47,78,Undirected,11042,,3
147,25,Undirected,11043,,2
151,11,Undirected,11044,,4
117,142,Undirected,11045,,1
25,244,Undirected,11046,,3
28,274,Undirected,11047,,1
111,16,Undirected,11048,,2
191,117,Undirected,11049,,3
28,10,Undirected,11050,,2
98,25,Undirected,11051,,1
185,75,Undirected,11052,,1
155,51,Undirected,11053,,2
26,38,Undirected,11054,,2
20,17,Undirected,11055,,2
28,78,Undirected,11056,,1
77,89,Undirected,11057,,1
114,39,Undirected,11058,,2
16,75,Undirected,11059,,2
11,196,Undirected,11060,,3
1,47,Undirected,11061,,1
23,122,Undirected,11062,,2
166,51,Undirected,11063,,2
10,807,Undirected,11064,,1
64,39,Undirected,11065,,1
20,39,Undirected,11066,,2
70,122,Undirected,11067,,2
16,278,Undirected,11068,,1
814,564,Undirected,11069,,1
683,702,Undirected,11070,,1
10,2,Undirected,11071,,1
251,203,Undirected,11072,,1
98,776,Undirected,11073,,1
1,20,Undirected,11074,,1
54,345,Undirected,11075,,1
64,17,Undirected,11076,,2
111,11,Undirected,11077,,1
77,2,Undirected,11078,,2
718,275,Undirected,11079,,1
213,308,Undirected,11080,,1
111,185,Undirected,11081,,1
673,233,Undirected,11082,,1
23,1,Undirected,11083,,1
347,39,Undirected,11084,,1
26,64,Undirected,11085,,1
308,278,Undirected,11086,,1
26,20,Undirected,11087,,1
40,523,Undirected,11088,,1
347,274,Undirected,11089,,1
387,166,Undirected,11090,,1
82,820,Undirected,11091,,1
28,77,Undirected,11092,,1
16,524,Undirected,11093,,1
54,316,Undirected,11094,,1
70,171,Undirected,11095,,1
28,717,Undirected,11096,,1
62,151,Undirected,11097,,3
311,11,Undirected,11098,,2
330,11,Undirected,11099,,2
40,119,Undirected,11100,,1
387,54,Undirected,11101,,1
155,119,Undirected,11102,,2
867,11,Undirected,11103,,1
26,123,Undirected,11104,,2
123,25,Undirected,11105,,2
705,191,Undirected,11106,,1
77,283,Undirected,11107,,1
197,39,Undirected,11108,,2
119,240,Undirected,11109,,1
718,329,Undirected,11110,,1
114,11,Undirected,11111,,1
765,40,Undirected,11112,,1
166,75,Undirected,11113,,1
16,796,Undirected,11114,,1
717,70,Undirected,11115,,1
40,114,Undirected,11116,,1
16,92,Undirected,11117,,1
87,54,Undirected,11118,,2
141,10,Undirected,11119,,2
54,427,Undirected,11120,,1
224,142,Undirected,11121,,1
16,457,Undirected,11122,,1
155,86,Undirected,11123,,2
240,12,Undirected,11124,,1
86,40,Undirected,11125,,1
492,429,Undirected,11126,,1
54,160,Undirected,11127,,1
16,30,Undirected,11128,,2
361,17,Undirected,11129,,2
87,1,Undirected,11130,,1
10,298,Undirected,11131,,2
25,230,Undirected,11132,,2
611,240,Undirected,11133,,1
77,86,Undirected,11134,,2
14,185,Undirected,11135,,1
397,142,Undirected,11136,,3
14,25,Undirected,11137,,1
224,40,Undirected,11138,,2
1,9,Undirected,11139,,2
73,11,Undirected,11140,,5
201,78,Undirected,11141,,1
1,14,Undirected,11142,,2
26,30,Undirected,11143,,1
37,187,Undirected,11144,,3
195,391,Undirected,11145,,1
26,31,Undirected,11146,,2
649,78,Undirected,11147,,1
31,25,Undirected,11148,,2
11,12,Undirected,11149,,2
9,16,Undirected,11150,,1
42,78,Undirected,11151,,2
284,25,Undirected,11152,,2
716,1,Undirected,11153,,1
1,30,Undirected,11154,,3
274,352,Undirected,11155,,1
16,195,Undirected,11156,,3
65,191,Undirected,11157,,1
10,9,Undirected,11158,,2
1,160,Undirected,11159,,1
25,12,Undirected,11160,,1
9,185,Undirected,11161,,1
155,252,Undirected,11162,,2
191,12,Undirected,11163,,1
384,26,Undirected,11164,,2
141,17,Undirected,11165,,2
78,439,Undirected,11166,,1
65,39,Undirected,11167,,2
30,122,Undirected,11168,,1
187,166,Undirected,11169,,2
10,201,Undirected,11170,,1
31,39,Undirected,11171,,1
120,39,Undirected,11172,,2
393,122,Undirected,11173,,2
16,487,Undirected,11174,,1
564,120,Undirected,11175,,1
683,672,Undirected,11176,,1
122,12,Undirected,11177,,1
10,230,Undirected,11178,,1
65,203,Undirected,11179,,1
9,776,Undirected,11180,,1
14,54,Undirected,11181,,1
559,240,Undirected,11182,,1
14,17,Undirected,11183,,2
77,586,Undirected,11184,,1
718,624,Undirected,11185,,1
308,160,Undirected,11186,,1
185,431,Undirected,11187,,1
233,445,Undirected,11188,,1
9,39,Undirected,11189,,1
26,252,Undirected,11190,,1
42,308,Undirected,11191,,1
1,31,Undirected,11192,,1
87,26,Undirected,11193,,1
763,40,Undirected,11194,,1
616,274,Undirected,11195,,1
166,65,Undirected,11196,,1
42,820,Undirected,11197,,1
87,77,Undirected,11198,,1
1,12,Undirected,11199,,1
54,12,Undirected,11200,,1
797,171,Undirected,11201,,1
717,12,Undirected,11202,,1
40,113,Undirected,11203,,1
62,9,Undirected,11204,,1
644,54,Undirected,11205,,1
31,17,Undirected,11206,,1
575,11,Undirected,11207,,1
185,770,Undirected,11208,,1
16,444,Undirected,11209,,1
166,433,Undirected,11210,,1
683,424,Undirected,11211,,1
837,776,Undirected,11212,,1
40,536,Undirected,11213,,1
683,554,Undirected,11214,,1
