Source,Target,Type,Id,Label,Weight
1524,185,Undirected,25325,,1
325,187,Undirected,25326,,1
273,35,Undirected,25327,,1
406,193,Undirected,25328,,1
45,43,Undirected,25329,,2
38,40,Undirected,25330,,1
461,217,Undirected,25331,,2
1663,642,Undirected,25332,,2
1682,142,Undirected,25333,,1
472,227,Undirected,25334,,2
44,187,Undirected,25335,,1
234,227,Undirected,25336,,1
80,1648,Undirected,25337,,2
503,111,Undirected,25338,,1
78,417,Undirected,25339,,1
802,103,Undirected,25340,,1
677,809,Undirected,25341,,2
1663,451,Undirected,25342,,2
161,708,Undirected,25343,,1
728,218,Undirected,25344,,1
1264,404,Undirected,25345,,1
1169,330,Undirected,25346,,1
223,36,Undirected,25347,,1
1483,537,Undirected,25348,,1
56,36,Undirected,25349,,1
1218,264,Undirected,25350,,1
7,500,Undirected,25351,,1
378,539,Undirected,25352,,1
332,353,Undirected,25353,,1
1626,819,Undirected,25354,,1
309,1499,Undirected,25355,,1
537,0,Undirected,25356,,1
1134,252,Undirected,25357,,1
537,111,Undirected,25358,,1
83,1649,Undirected,25359,,1
112,775,Undirected,25360,,1
161,27,Undirected,25361,,1
1696,1639,Undirected,25362,,3
327,705,Undirected,25363,,1
264,1590,Undirected,25364,,1
1629,131,Undirected,25365,,3
49,246,Undirected,25366,,1
21,88,Undirected,25367,,1
1,128,Undirected,25368,,1
1629,1029,Undirected,25369,,2
523,1670,Undirected,25370,,1
131,1011,Undirected,25371,,1
7,1070,Undirected,25372,,1
66,256,Undirected,25373,,1
80,8,Undirected,25374,,1
561,315,Undirected,25375,,1
102,154,Undirected,25376,,1
1540,1424,Undirected,25377,,1
249,75,Undirected,25378,,1
113,492,Undirected,25379,,2
511,851,Undirected,25380,,1
83,431,Undirected,25381,,2
537,25,Undirected,25382,,1
6,256,Undirected,25383,,2
43,1432,Undirected,25384,,1
1222,436,Undirected,25385,,1
528,41,Undirected,25386,,1
162,1433,Undirected,25387,,1
98,1458,Undirected,25388,,1
161,1236,Undirected,25389,,1
98,711,Undirected,25390,,1
305,1168,Undirected,25391,,1
737,96,Undirected,25392,,1
22,388,Undirected,25393,,1
3,298,Undirected,25394,,1
53,33,Undirected,25395,,1
1186,1035,Undirected,25396,,1
978,986,Undirected,25397,,1
189,224,Undirected,25398,,1
1143,1014,Undirected,25399,,1
116,283,Undirected,25400,,1
219,1700,Undirected,25401,,1
404,1025,Undirected,25402,,1
1704,115,Undirected,25403,,1
1635,36,Undirected,25404,,2
935,0,Undirected,25405,,1
142,49,Undirected,25406,,1
244,328,Undirected,25407,,1
1652,1695,Undirected,25408,,3
782,24,Undirected,25409,,1
1395,936,Undirected,25410,,1
1702,185,Undirected,25411,,2
273,103,Undirected,25412,,2
191,253,Undirected,25413,,1
275,49,Undirected,25414,,1
1103,9,Undirected,25415,,1
170,1038,Undirected,25416,,1
1674,315,Undirected,25417,,1
98,131,Undirected,25418,,1
646,97,Undirected,25419,,1
1518,647,Undirected,25420,,1
160,397,Undirected,25421,,1
1679,29,Undirected,25422,,8
1606,36,Undirected,25423,,1
1627,556,Undirected,25424,,2
8,233,Undirected,25425,,1
311,341,Undirected,25426,,1
1091,649,Undirected,25427,,1
219,109,Undirected,25428,,1
1211,1615,Undirected,25429,,1
