Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;;
0;Adele Sandrock;Darsteller;10;129;4;0.479561;0.531807;12799.587083;0.9876;107;;
1;Lothar Philipp August Mayring;Drehbuch;9;129;4;0.468415;0.520568;6073.474682;1;98;;
2;Walter Supper;Drehbuch;8;116;4;0.440583;0.488656;6520.696836;0.618967;77;;
3;Theo Lingen;Darsteller;8;108;4;0.472072;0.519084;7131.926161;0.973672;90;;
4;Philipp Lothar Othello Mayring;Drehbuch;8;118;4;0.463717;0.513147;4682.921419;0.91582;89;;
5;Oskar Sima;Darsteller;7;91;4;0.456446;0.501908;5328.519935;0.700791;78;;
6;Hans Sohnle;Bauten;7;97;4;0.451984;0.496607;3437.146269;0.695542;74;;
7;Erich Zander;Bauten;7;106;3;0.466192;0.509754;3698.856342;0.856674;80;;
8;Hans-Otto Borgmann;Musik;7;87;4;0.457509;0.501272;4868.426068;0.700751;74;;
9;Alois Melichar;Musik;7;101;4;0.455916;0.501484;4579.064569;0.784013;78;;
10;Max Mellin;Bauten;7;101;4;0.429743;0.478478;3857.492124;0.581543;71;;
12;Ernst Marischka;Drehbuch;7;97;4;0.458844;0.499152;3097.241686;0.698786;67;;
13;Ida Wüst;Darsteller;7;96;3;0.465089;0.50933;4042.218403;0.895015;81;;
14;Bruno Mondi;Kamera;7;97;4;0.472924;0.518024;7875.345927;0.818872;86;;
15;Otto Erdmann;Bauten;7;97;4;0.451984;0.496607;3437.146269;0.695542;74;;
16;Willi Depenau;Bauten;7;106;3;0.466192;0.509754;3698.856342;0.856674;80;;
17;Robert Baberske;Kamera;7;101;4;0.454073;0.498622;4284.632964;0.72872;75;;
18;Hilde Hildebrand;Darsteller;6;74;3;0.465089;0.503817;4951.125026;0.729292;68;;
19;Artur Robison;Drehbuch/Regie;6;76;4;0.406412;0.438507;418.598779;0.296414;31;;
20;Paul Henckels;Darsteller;6;81;4;0.45938;0.50212;4771.844262;0.742227;73;;
21;Reimar Kuntze;Kamera;6;83;4;0.447863;0.490882;2640.901245;0.764745;68;;
22;Georg Bruckbauer;Kamera;6;85;3;0.453287;0.496607;4065.711899;0.777228;73;;
23;Fritz Wenneis;Musik;6;87;3;0.458042;0.499152;3641.024153;0.701125;70;;
24;Walter Röhrig;Bauten;6;75;4;0.421448;0.464377;2517.58684;0.436083;55;;
25;Max Wallner;Drehbuch;6;88;3;0.467023;0.509966;5348.822259;0.743336;79;;
26;Ellen Frank;Darsteller;6;72;4;0.463443;0.503181;5112.501141;0.654077;68;;
27;Wolfgang Liebeneiner;Darsteller;6;82;4;0.461538;0.505513;6513.233045;0.705616;77;;
28;Theo Mackeben;Musik;6;81;3;0.458309;0.497243;3929.984292;0.605526;65;;
29;Emil Hasler;Bauten;6;80;4;0.452504;0.491942;2662.075788;0.619844;62;;
30;Erich Kettelhut;Bauten;6;86;4;0.415653;0.459924;2435.128602;0.456961;58;;
32;Kurt Skalden;Darsteller/Drehbuch/Kamera/Produzent/Regie/Schnitt;6;36;1;1;1;0;0.002842;6;;
33;Robert A. Stemmle;Drehbuch/Regie;6;77;4;0.412598;0.454941;2575.099182;0.406084;55;;
34;Carl Drews;Kamera;6;77;4;0.447863;0.48855;3386.438813;0.635011;63;;
35;Fritz Odemar;Darsteller;6;87;4;0.434975;0.477523;3754.372514;0.558292;63;;
36;Werner Bochmann;Musik;6;83;3;0.468694;0.507846;5070.863612;0.696218;71;;
37;Robert Herlth;Bauten;6;75;4;0.421448;0.464377;2517.58684;0.436083;55;;
38;Albrecht Schoenhals;Darsteller;6;84;4;0.462625;0.507846;5936.41923;0.857265;80;;
39;Hugo von Kaweczynski;Kamera;5;66;4;0.428805;0.471798;3945.350456;0.477334;60;;
40;Hermann Warm;Bauten;5;72;4;0.438371;0.477841;2973.15646;0.47389;56;;
41;Hubert von Meyerinck;Darsteller;5;53;3;0.436909;0.473494;3020.512434;0.451806;51;;
42;Gustav A. Knauer;Bauten;5;70;4;0.426247;0.467133;3564.045377;0.414809;57;;
43;Fritz Maurischat;Bauten;5;65;4;0.441573;0.481128;3154.259889;0.581938;58;;
44;Gustav Fröhlich;Darsteller;5;66;3;0.468136;0.504029;4576.527918;0.645919;63;;
45;Fritz Arno Wagner;Kamera;5;71;4;0.380077;0.419529;1366.979926;0.265931;43;;
46;Karl Weber;Bauten;5;65;4;0.441573;0.481128;3154.259889;0.581938;58;;
47;Friedl Behn-Grund;Kamera;5;66;4;0.437883;0.474131;2464.161433;0.477921;50;;
48;Herbert B. Fredersdorf;Schnitt/Drehbuch/Regie;5;72;4;0.446337;0.486747;3316.319807;0.548225;60;;
49;Max Seefelder;Bauten;5;65;4;0.411734;0.451548;1627.313212;0.397092;50;;
50;Günther Anders;Kamera;5;48;4;0.430921;0.465649;2084.527288;0.447539;43;;
51;Ella Ensink;Schnitt;5;74;4;0.424635;0.462468;1610.307001;0.467545;49;;
52;Heinrich Richter;Bauten;5;73;4;0.452504;0.494063;2997.242677;0.678771;67;;
53;Sybille Schmitz;Darsteller;5;66;4;0.458042;0.495971;2202.451488;0.73645;61;;
54;Günther Rittau;Kamera;5;71;4;0.41412;0.453986;1623.592972;0.403391;51;;
55;Franz Schroedter;Bauten;5;60;4;0.413032;0.451548;1361.367221;0.392685;46;;
56;Adolf Wohlbrück;Darsteller;5;67;4;0.435216;0.475191;2497.667785;0.517092;55;;
57;Otto Baecker;Kamera;5;71;4;0.41412;0.453986;1623.592972;0.403391;51;;
58;Hans Junkermann;Darsteller;5;54;4;0.4219;0.4595;2409.134245;0.428576;48;;
59;Franz Koch;Kamera;5;59;4;0.408524;0.445611;1595.62018;0.318637;45;;
60;Otto Gülstorff;Bauten;5;62;4;0.417863;0.456955;1576.993675;0.406364;49;;
61;Franz Grothe;Musik;5;62;4;0.433058;0.472434;2510.936621;0.558063;55;;
62;Alexander Mügge;Bauten;5;70;4;0.426247;0.467133;3564.045377;0.414809;57;;
63;Wolf Albach-Retty;Darsteller;5;48;4;0.414995;0.451442;1665.558814;0.405075;41;;
64;Hermann Haller;Schnitt;5;63;4;0.434014;0.469466;4098.5122;0.442043;46;;
65;Giuseppe Becce;Musik;5;50;4;0.395372;0.432252;5003.336765;0.191594;42;;
66;Georg Alexander;Darsteller;5;63;4;0.459112;0.496819;3580.822391;0.682207;61;;
67;Artur Günther;Bauten;5;68;4;0.455916;0.494699;3097.502744;0.651995;62;;
68;Arnfried Heyne;Schnitt;5;63;4;0.423036;0.462998;2651.492783;0.419358;50;;
69;Karl Hasselmann;Kamera;5;60;4;0.418308;0.456319;2373.873902;0.404876;49;;
70;Paul Westermeier;Darsteller;5;58;4;0.430921;0.470314;4889.426435;0.43298;54;;
71;Gerhard Lamprecht;Regie;5;71;4;0.426016;0.464483;1330.34173;0.509583;49;;
72;Käte Haack;Darsteller;5;74;4;0.474065;0.512511;6468.613438;0.760871;71;;
73;Karl Ludwig Diehl;Darsteller;4;54;4;0.431631;0.47042;2758.329142;0.497791;52;;
74;Thea von Harbou;Drehbuch;4;52;4;0.428571;0.465543;1286.226749;0.502288;47;;
75;Karl Böhm;Bauten;4;51;4;0.427872;0.464483;1439.486276;0.398856;42;;
76;Milo Harbich;Schnitt;4;61;4;0.419648;0.457167;1177.667884;0.478324;46;;
77;Fita Benkhoff;Darsteller;4;50;4;0.421674;0.459075;1872.415929;0.404662;46;;
78;Willy Birgel;Darsteller;4;55;4;0.425095;0.464059;3150.045969;0.50879;50;;
79;Eduard von Winterstein;Darsteller;4;51;4;0.420996;0.458863;1844.526761;408;45;;
80;Eduard von Borsody;Schnitt;4;52;4;0.408949;0.446671;1239.278405;0.390446;42;;
81;Ursula Grabley;Darsteller;4;40;4;0.434735;0.466603;1616.966504;0.345233;36;;
82;Géza von Bolváry;Regie;4;51;4;0.424865;0.456531;424.049987;0.41153;35;;
83;Reinhold Schünzel;Drehbuch/Regie;4;48;4;0.35874;0.38539;121.571394;0.132746;19;;
84;Max Gülstorff;Darsteller;4;55;4;0.443316;0.480492;2163.513683;0.56994;51;;
85;Julia Serda;Darsteller;4;54;4;0.438371;0.476039;4287.851217;0.451016;52;;
86;Hans Carste;Musik;4;48;4;0.397975;0.432782;4678.76939;0.271684;41;;
87;Marieluise Claudius;Darsteller;4;52;4;0.428571;0.466073;2251.333508;0.445914;47;;
88;Curt J. Braun;Drehbuch;4;58;4;0.391825;0.427375;1392.577715;0.282436;39;;
89;Walter Gronostay;Musik;4;49;3;0.426247;0.462256;4876.573273;0.327202;47;;
90;Emil Schünemann;Kamera;4;53;4;0.428105;0.465437;2193.678792;0.428924;49;;
91;Nicolas Farkas;Drehbuch/Regie;4;42;5;0.328733;0.349915;168.766159;0.046634;16;;
92;Robert Stolz;Musik;4;54;4;0.420996;0.456955;1074.43059;0.439785;42;;
93;Erich Czerwonski;Bauten;4;52;4;0.410444;0.446989;1004.788088;0.376336;41;;
94;Ewald Daub;Kamera;4;48;4;0.419424;0.454198;1566.95085;0.413268;41;;
