Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree
340;Martin Herzberg;Darsteller;2;16;5;0.328818;0.350847;367.870918;0.086144;15
341;Georg Heinrich Schnell;Darsteller;2;19;6;0.329388;0.351987;729.791265;0.108143;18
342;Hermann Leffler;Darsteller;2;17;5;0.352705;0.375723;317.813079;0.145571;15
1281;Reinhard Bruck;Regie/Drehbuch;4;26;5;0.354678;0.378571;471.882012;0.158946;16
344;Nien Sön Ling;Darsteller;2;16;5;0.369854;0.393325;493.810612;0.191828;15
345;Michl Fingesten;Bauten;2;20;5;0.346809;0.368639;117.28655;0.162093;17
346;Herma van Delden;Darsteller;2;22;5;0.30955;0.331464;2307.757604;0.076602;19
347;Herbert Lassmann;Darsteller;2;12;7;0.224828;0.235938;0;0.006358;6
348;Georg John;Darsteller;2;17;4;0.360506;0.381829;305.223513;0.182789;16
349;Julius Kobler;Darsteller;2;21;5;0.333919;0.354032;138.061323;0.129668;17
350;Julian Ballenstedt;Bauten;2;13;5;0.347336;0.369588;369.611851;0.114736;11
351;Henry Bender;Darsteller;2;22;4;0.35336;0.373649;3816.334349;0.124513;18
352;Iván Petrovich;Darsteller;2;17;5;0.33918;0.363439;424.565961;0.139952;16
353;Nora Swinburne;Darsteller;2;21;5;0.344505;0.366375;42.75987;0.127958;13
354;Hilde Wolter;Darsteller;2;17;5;0.342437;0.362182;58.292933;0.130553;12
355;Henri Peters-Arnolds;Darsteller;2;17;5;0.349893;0.373722;631.38986;0.148632;17
356;Michael Bohnen;Darsteller;2;14;5;0.338877;0.362314;51.709309;0.168278;14
357;G. W. Pabst;Drehbuch;2;26;5;0.35634;0.382588;712.726671;0.254873;21
358;Georg Furkel;Kamera;2;20;5;0.326747;0.347838;2873.61979;0.078647;20
359;Hanns Lippmann;Produzent;2;22;5;0.35512;0.381741;246.457409;0.212467;19
360;Olga Tschechowa;Darsteller;2;21;5;0.353689;0.379375;415.65468;0.199095;19
361;Jakob Karol;Produzent;2;21;5;0.351943;0.377301;319.527844;0.192106;20
362;Guido Herzfeld;Darsteller;2;21;5;0.352269;0.379375;463.0411;0.185636;21
363;Guido Seeber;Kamera;2;36;5;0.331976;0.35355;0;0.1315;16
364;Otto Linnekogel;Regie;2;16;5;0.327779;0.348539;280.334977;0.076518;15
365;Otto Rippert;Regie;2;17;5;0.366527;0.391864;506.074088;0.204905;17
366;James Bauer;Regie;2;17;5;0.335786;0.356004;341.08318;0.091184;15
367;Hans Waßmann;Darsteller;2;16;5;0.359031;0.382442;995.512073;0.162609;16
368;Otto Tober;Kamera;2;15;5;0.32424;0.346027;412.075002;0.125696;15
369;Max Frick;Bauten;2;25;5;0.360164;0.38697;471.180061;0.272941;24
370;Max Faßhauer;Bauten;2;19;5;0.320416;0.343076;458.252173;0.094098;17
371;Paul Beyer;Drehbuch;2;20;5;0.334016;0.359538;874.055525;0.159286;19
372;Paul Biensfeldt;Darsteller;2;18;5;0.340495;0.364476;173.170907;0.155141;16
