Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree
0;Hansheinrich Dransmann;Musik;22;255;3;0.522788;0.576752;26502.66115;1;182
1;Paul Dessau;Musik;16;188;3;0.5156;0.562051;20436.641133;0.821566;152
2;Walter Ulfig;Musik;14;148;4;0.479351;0.523077;8710.647372;0.652854;109
3;Curt J. Braun;Drehbuch;13;129;4;0.4858;0.526325;9483.638135;0.621407;105
4;Hans Sohnle;Bauten;13;155;4;0.481244;0.524444;7613.803205;0.623562;109
5;Fritz Kampers;Darsteller;13;143;3;0.479351;0.52359;13116.862961;0.605992;111
6;Otto Erdmann;Bauten;13;155;4;0.481244;0.524444;7613.803205;0.623562;109
7;Hans Junkermann;Darsteller;12;139;3;0.475378;0.517265;6997.601831;0.640975;101
8;Franz Schroedter;Bauten;12;129;4;0.484111;0.52;7662.656342;0.538466;90
9;Artur Guttmann;Musik;12;146;3;0.484111;0.529402;17945.957502;0.548034;118
10;Willy Schmidt-Gentner;Musik;12;150;4;0.486284;0.53453;14697.995337;0.661269;128
11;Willi A. Herrmann;Bauten;11;122;3;0.473991;0.515214;9550.538957;0.507471;98
12;Georg Alexander;Darsteller;11;116;3;0.478645;0.52;9399.477731;0.599367;102
13;Robert Liebmann;Drehbuch;11;130;4;0.487256;0.527009;8781.318987;0.561097;104
14;Bernhard Homola;Musik;11;119;3;0.467626;0.509744;10230.904001;0.464574;96
15;Botho Höfer;Bauten;11;128;3;0.431798;0.468547;2809.21077;0.355427;62
16;Karl Hasselmann;Kamera;10;117;4;0.436047;0.472821;2278.891184;0.309457;63
17;Kurt Vespermann;Darsteller;10;111;3;0.481006;0.517949;5516.827664;0.591406;91
18;Guido Seeber;Kamera;10;119;3;0.424652;0.458974;1030.751592;0.328074;53
19;Eduard Hoesch;Kamera;10;101;3;0.465839;0.502906;4309.356261;0.487283;80
20;Giuseppe Becce;Musik;10;103;4;0.459689;0.501709;7056.082121;0.447933;90
21;Hans Minzloff;Bauten;10;119;3;0.424652;0.458974;1030.751592;0.328074;53
22;Harry Liedtke;Darsteller;10;114;4;0.429137;0.466752;2828.231358;0.354541;63
23;Jane Bess;Drehbuch;10;117;3;0.47841;0.514359;5379.61192;0.575019;86
24;Pasquale Perris;Musik;9;107;3;0.456461;0.498632;8265.308489;0.391332;89
25;Herbert Juttke;Drehbuch;9;105;3;0.476074;0.511966;6998.509433;0.483528;84
26;Eduardo Lamberti;Kamera;9;106;3;0.426883;0.461368;1202.290649;0.331404;54
27;Jacek Rotmil;Bauten;9;96;4;0.468075;0.504103;5062.366703;0.45119;78
28;Willy Goldberger;Kamera;9;106;4;0.473761;0.508718;5324.50704;0.480319;79
29;Bobby E. Lüthge;Drehbuch;9;95;4;0.479351;0.515897;8153.890933;0.525596;88
30;Siegfried Arno;Darsteller;9;105;4;0.483391;0.518462;6301.112941;0.556046;87
31;Paul Henckels;Darsteller;9;101;3;0.461429;0.501538;6559.184635;0.488591;86
32;Albert Paulig;Darsteller;9;101;4;0.459256;0.5;7903.470607;0.428744;86
33;Maria Paudler;Darsteller;9;104;3;0.465616;0.502735;5415.681131;0.478017;80
34;Georg C. Klaren;Drehbuch;9;105;3;0.476074;0.511966;6998.509433;0.483528;84
35;Reinhold Schünzel;Darsteller/Produzent/Drehbuch/Regie;9;96;4;0.4014;0.42812;650.843978;0.134199;28
36;Gerhard Lamprecht;Regie/Produzent/Drehbuch;9;93;4;0.399099;0.425043;212.898679;0.156598;25
37;Andrej Andrejew;Bauten;8;88;4;0.450139;0.484103;2890.670393;0.341063;61
38;Angelo Ferrari;Darsteller;8;85;4;0.44602;0.483761;3787.958528;0.358238;70
39;Fritz Alberti;Darsteller;8;89;4;0.466061;0.503248;7342.199122;0.401763;80
40;Richard Eichberg;Produzent/Regie;8;97;4;0.435268;0.466667;819.267066;0.30323;47
41;Heinrich Richter;Bauten;8;90;3;0.45904;0.498291;7898.298421;0.376555;82
42;Kurt Gerron;Darsteller;8;95;4;0.479351;0.515556;5964.856429;0.547997;87
43;Luise Heilborn-Körbitz;Drehbuch;8;98;4;0.431225;0.464444;1400.370271;0.275147;51
44;Oskar Friedrich Werndorff;Bauten;8;87;4;0.424282;0.462479;3049.784992;0.258516;63
45;Hans Adalbert Schlettow;Darsteller;7;83;4;0.472842;0.507692;6893.144264;0.4293;78
46;Jakob Fleck;Regie;7;72;3;0.448482;0.481197;1538.388553;0.38012;57
47;Otto Moldenhauer;Bauten;7;78;4;0.428949;0.461709;1343.500035;0.26375;49
48;Adolphe Engers;Darsteller;7;84;4;0.47147;0.504615;4618.754125;0.477048;72
49;Hans Karl Gottschalk;Kamera;7;77;4;0.444394;0.480342;2820.75538;0.362136;64
50;Luise Fleck;Regie;7;72;3;0.448482;0.481197;1538.388553;0.38012;57
