Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,clustering,triangles
804,James Bauer,Regie,1,10,4,0.335815,0.354823,0,0.100424,10,1,45
805,Javier de Rivera,Darsteller,1,8,5,0.312546,0.329599,0,0.055399,8,1,28
806,Jean Blatzheim,Darsteller,1,8,4,0.319895,0.33732,0,0.057931,7,1,21
807,Jenny Hasselqvist,Darsteller,1,9,6,0.287777,0.306048,0,0.044955,8,1,28
808,Karl Etlinger,Darsteller,1,10,5,0.310058,0.327596,0,0.050429,8,1,28
809,Karl Figdor,Drehbuch,1,10,5,0.328101,0.346324,0,0.08795,9,1,36
811,Leontine Kühnberg,Darsteller,1,6,1,1,1,0,0.004647,6,1,15
812,Lajos Biró,Drehbuch,1,10,5,0.291497,0.308985,0,0.040515,10,1,45
813,Laurenz Ruppert,Darsteller,1,4,5,0.296848,0.31303,0,0.025178,4,1,6
814,Lausch?,Darsteller,1,9,5,0.294401,0.311844,0,0.040476,7,1,21
815,Leo Birinski,Regie,1,10,5,0.313231,0.334325,0,0.076812,9,1,36
964,Theo Frenkel,Drehbuch/Regie,2,18,5,0.331785,0.350992,0,0.072313,9,1,36
818,Leo Leux,Darsteller,1,9,6,0.251172,0.266919,0,0.015152,8,1,28
819,Leo Peukert,Darsteller,1,9,5,0.291993,0.309549,0,0.038489,9,1,36
820,Leopold Blonder,Bauten,1,15,5,0.327599,0.347063,0,0.086746,11,1,55
952,F. W. Murnau,Regie/Drehbuch,3,42,4,0.378366,0.410735,1046.443178,0.418828,34,0.472371,265
822,Leopold Kutzleb,Kamera,1,9,5,0.301124,0.318728,0,0.050126,9,1,36
823,Lewis Dayton,Darsteller,1,8,5,0.308718,0.325457,0,0.047294,7,1,21
824,Lil Dagover,Darsteller,1,12,5,0.315538,0.337592,0,0.124446,11,1,55
825,Lilian Gray,Darsteller,1,9,5,0.301761,0.322559,0,0.070656,8,1,28
826,Lilian Robs,Darsteller,1,8,4,0.319895,0.33732,0,0.057931,7,1,21
827,Lilli Lohrer,Darsteller,1,5,1,1,1,0,0.003408,5,1,10
828,Lilly Flohr,Darsteller,1,10,5,0.342937,0.365091,0,0.130478,10,1,45
829,Lilly Krüger,Darsteller,1,1,1,1,1,0,0.000407,1,0,0
830,Käthe Richter,Darsteller,1,17,6,0.328983,0.354026,0,0.148793,15,1,105
831,Käthe Dorsch,Darsteller,1,7,5,0.31612,0.33487,0,0.061477,6,1,15
832,Kálmán Zátony,Darsteller,1,10,5,0.291497,0.308985,0,0.040515,10,1,45
833,Kurt von Lessen,Darsteller,1,11,5,0.300491,0.320459,0,0.057061,10,1,45
834,Karl Görge,Bauten,1,11,5,0.333074,0.353034,0,0.09821,10,1,45
835,Karl Harbacher,Darsteller,1,12,5,0.329362,0.3528,0,0.116343,12,1,66
836,Karl Koennecke,Kamera,1,10,5,0.321094,0.341307,0,0.077424,10,1,45
837,Karl Ludwig Diehl,Darsteller,1,9,5,0.319538,0.339498,0,0.091871,9,1,36
948,Rochus Gliese,Regie/Drehbuch/Bauten,3,36,4,0.367969,0.39576,513.409568,0.327815,24,0.57971,160
840,Karl Peter Gillmann,Darsteller,1,7,5,0.280708,0.295877,0,0.018605,6,1,15
841,Karl Puth,Kamera,1,14,5,0.341707,0.365811,0,0.160309,13,1,78
842,Klaus Pringsheim,Musik,1,12,5,0.329362,0.3528,0,0.116343,12,1,66
843,Klaus Richter,Bauten,1,12,5,0.329362,0.3528,0,0.116343,12,1,66
844,Kurt Brenken,Regie,1,8,5,0.326352,0.343018,0,0.065034,8,1,28
845,Kurt Brenkendorf,Darsteller,1,11,5,0.326725,0.345741,0,0.081344,11,1,55
846,Kurt Busch,Darsteller,1,6,1,1,1,0,0.004647,6,1,15
847,Kurt Gerron,Darsteller,1,1,1,1,1,0,0.000407,1,0,0
848,Kurt Hallenstein,Darsteller,1,9,5,0.294603,0.313166,0,0.039363,9,1,36
849,Kurt Stanke,Kamera,1,8,6,0.303901,0.322676,0,0.049324,8,1,28
850,Kurt Vespermann,Darsteller,1,10,5,0.308052,0.325924,0,0.079114,9,1,36
851,Hildegard Imhoff,Darsteller,1,12,5,0.299755,0.321354,0,0.078375,12,1,66
852,Hilde Jennings,Darsteller,1,10,5,0.311636,0.330902,0,0.05549,10,1,45
853,Hertha von Walther,Darsteller,1,15,5,0.327599,0.347063,0,0.086746,11,1,55
854,Hannes Schneider,Darsteller,1,15,5,0.327599,0.347063,0,0.086746,11,1,55
855,Grete Mosheim,Darsteller,1,14,5,0.296437,0.31797,0,0.117143,13,1,78
856,Guido Schamberg,Regie,1,8,5,0.32218,0.340587,0,0.062582,8,1,28
857,Gustav Botz,Darsteller,1,9,5,0.291993,0.309549,0,0.038489,9,1,36
858,Gustav Czimeg,Darsteller,1,11,6,0.289332,0.309315,0,0.042251,10,1,45
859,Gustav Roth,Kamera,1,8,5,0.293493,0.311105,0,0.032463,8,1,28
860,Gérard Bourgeois,Regie,1,15,6,0.318469,0.338681,0,0.080163,12,1,66
861,Hanna Bartz,Darsteller,1,17,6,0.328983,0.354026,0,0.148793,15,1,105
862,Hanna Lierke,Darsteller,1,9,5,0.306948,0.326196,0,0.055382,9,1,36
863,Hanns Kobe,Regie,1,10,5,0.317643,0.335823,0,0.083855,10,1,45
864,Hans Joseph Vieth,Musik,1,14,5,0.296437,0.31797,0,0.117143,13,1,78
865,Hanns Kräly,Drehbuch,1,10,5,0.329996,0.349047,0,0.083944,10,1,45
866,Hanns Lutterbeck,Darsteller,1,10,5,0.300491,0.320828,0,0.056824,10,1,45
867,Hans Ailbout,Musik,1,9,5,0.30894,0.32816,0,0.054826,9,1,36
868,Hans Bloch,Kamera,1,11,4,0.331913,0.349961,0,0.107523,10,1,45
869,Hans Brennert,Drehbuch,1,10,5,0.321094,0.341307,0,0.077424,10,1,45
870,Hans Carl Müller,Darsteller,1,18,5,0.32685,0.354123,0,0.265178,18,1,153
871,Hans Felsing,Drehbuch,1,9,6,0.2797,0.294632,0,0.022756,9,1,36
872,Hans Gaus,Drehbuch,1,8,5,0.326352,0.343018,0,0.065034,8,1,28
873,Grete Lundt,Darsteller,1,5,1,1,1,0,0.003408,5,1,10
874,Giovanni Vitrotti,Kamera,1,13,6,0.283681,0.30175,0,0.043854,12,1,66
875,Gerty King,Darsteller,1,9,5,0.334766,0.35459,0,0.087774,9,1,36
876,Gertrud de Lalsky,Darsteller,1,11,5,0.333853,0.35529,0,0.161239,10,1,45
877,Georg Baselt,Darsteller,1,9,5,0.334766,0.35459,0,0.087774,9,1,36
956,Paul Leni,Bauten/Regie,3,31,5,0.322302,0.348697,1052.119925,0.1083,20,0.536842,102
880,Georg Enders,Musik,1,9,6,0.2797,0.294632,0,0.022756,9,1,36
941,Vera Hall,Darsteller/Drehbuch,2,18,5,0.282932,0.301322,0,0.027942,9,1,36
882,Georg Margo,Darsteller,1,10,5,0.300491,0.320828,0,0.056824,10,1,45
883,Georg Schmieter,Darsteller,1,11,6,0.289332,0.309315,0,0.042251,10,1,45
884,Georg Schubert,Kamera,1,6,5,0.253851,0.264372,0,0.008928,6,1,15
885,Georg Siebert,Kamera,1,11,4,0.331913,0.349961,0,0.107523,10,1,45
886,Georges Lukas,Kamera,1,8,6,0.273802,0.289265,0,0.021755,8,1,28
887,Gerd Briese,Darsteller,1,12,5,0.31729,0.336601,0,0.069247,11,1,55
888,Gerhard Amundsen,Darsteller,1,10,6,0.254605,0.271004,0,0.018663,8,1,28
889,Gerhard Dammann,Regie,1,8,5,0.314842,0.332536,0,0.076322,8,1,28
890,Gerhard Lamprecht,Regie,1,12,5,0.299755,0.321354,0,0.078375,12,1,66
891,Gerhard Ritterband,Darsteller,1,10,5,0.322302,0.340685,0,0.081848,9,1,36
892,Gertrud Eysoldt,Darsteller,1,5,6,0.275918,0.29049,0,0.022747,4,1,6
893,Gertrud Welcker,Darsteller,1,10,5,0.348232,0.368884,0,0.140518,10,1,45
894,Hans Jacoby,Bauten,1,12,5,0.299755,0.321354,0,0.078375,12,1,66
895,Hans Müller-Schlösser,Drehbuch,1,10,1,1,1,0,0.010199,9,1,36
896,Hermanna Barkhausen,Drehbuch,1,10,5,0.300491,0.320828,0,0.056824,10,1,45
897,Herbert Nossen,Drehbuch,1,15,6,0.318469,0.338681,0,0.080163,12,1,66
898,Helene von Bolváry,Darsteller,1,12,5,0.32873,0.349922,0,0.165622,12,1,66
899,Helga Thomas,Darsteller,1,12,5,0.31729,0.336601,0,0.069247,11,1,55
900,Helmut Goeze,Darsteller,1,11,5,0.300491,0.320459,0,0.057061,10,1,45
901,Henri Peters-Arnolds,Darsteller,1,13,6,0.322544,0.345041,0,0.076358,12,1,66
943,Joe Stöckel,Regie/Darsteller,3,17,5,0.291101,0.312155,27.145597,0.059628,9,0.75,27
903,Henrik Malberg,Darsteller,1,10,5,0.310058,0.327596,0,0.050429,8,1,28
904,Henry Stuart,Darsteller,1,9,6,0.287777,0.306048,0,0.044955,8,1,28
905,Herbert Nest,Darsteller,1,9,5,0.298398,0.318495,0,0.051697,9,1,36
906,Herbert Oettel,Kamera,1,15,5,0.327599,0.347063,0,0.086746,11,1,55
907,Hans Schneeberger,Kamera,1,15,5,0.327599,0.347063,0,0.086746,11,1,55
908,Herbert Paulmüller,Darsteller,1,7,6,0.269497,0.283567,0,0.015857,6,1,15
909,Herbert Stranz,Darsteller,1,9,5,0.294603,0.313166,0,0.039363,9,1,36
910,Hermann Böttger,Kamera,1,9,5,0.291993,0.309549,0,0.038489,9,1,36
911,Hermann Fellner,Drehbuch,1,14,5,0.342663,0.366472,0,0.169993,13,1,78
912,Hermann Krehan,Bauten,1,7,6,0.269497,0.283567,0,0.015857,6,1,15
913,Hermann Pfanz,Darsteller,1,8,5,0.306619,0.323823,0,0.052851,8,1,28
914,Hermann Stäbner,Darsteller,1,7,5,0.281815,0.297491,0,0.024035,7,1,21
915,Hermann Wagner,Drehbuch,1,10,5,0.348232,0.368884,0,0.140518,10,1,45
916,Hela Marco,Darsteller,1,9,6,0.251172,0.266919,0,0.015152,8,1,28
917,Heinzerl Greiner,Darsteller,1,4,5,0.289039,0.306534,0,0.03162,4,1,6
918,Heinz Westermann,Darsteller,1,10,6,0.20596,0.217834,0,0.017821,10,1,45
919,Heinz Schall,Regie,1,9,4,0.352095,0.372909,0,0.131034,9,1,36
920,Hans Steinhoff,Regie,1,10,5,0.341707,0.36091,0,0.107247,10,1,45
921,Hans Waßmann,Darsteller,1,12,5,0.325732,0.345274,0,0.126907,11,1,55
922,Hans Werckmeister,Regie,1,10,5,0.311636,0.330902,0,0.05549,10,1,45
923,Hansheinrich Dransmann,Musik,1,10,5,0.342937,0.365091,0,0.130478,10,1,45
924,Hanspeter Peterhans,Darsteller,1,7,6,0.289821,0.307468,0,0.031654,7,1,21
925,Harry Camin,Darsteller,1,7,6,0.269497,0.283567,0,0.015857,6,1,15
926,Harry Halm,Darsteller,1,8,6,0.303901,0.322676,0,0.049324,8,1,28
927,Harry Nestor,Darsteller,1,8,5,0.293493,0.311105,0,0.032463,8,1,28
928,Harry Reve,Darsteller,1,8,5,0.301548,0.319798,0,0.04872,7,1,21
929,Heinrich Beisenherz,Bauten,1,11,5,0.300491,0.320459,0,0.057061,10,1,45
930,Heinrich Bolten-Baeckers,Regie,1,9,5,0.291993,0.309549,0,0.038489,9,1,36
931,Heinrich Butscher,Darsteller,1,5,1,1,1,0,0.003408,5,1,10
932,Heinrich George,Darsteller,1,11,5,0.326601,0.348561,0,0.121234,10,1,45
933,Heinrich Lisson,Regie,1,9,6,0.2797,0.294632,0,0.022756,9,1,36
934,Heinrich Richter,Bauten,1,10,5,0.291497,0.308985,0,0.040515,10,1,45
935,Heinrich Wessel,Darsteller,1,6,1,1,1,0,0.004647,6,1,15
936,Heinz Goldberg,Drehbuch,1,12,5,0.34473,0.367153,0,0.137915,12,1,66
937,seine Tochter,Darsteller,1,10,5,0.331785,0.350992,0,0.072313,9,1,36
938,Alfred Halm,Drehbuch/Regie,3,30,5,0.368285,0.396305,5892.023405,0.199605,21,0.485714,102
