Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,Column,Column2
49,Carl Hoffmann,Kamera,4,59,4,0.418699,0.457221,2067.884104,0.410679,52,,
50,Heinrich Beisenherz,Bauten,4,51,4,0.414696,0.450344,1425.297547,0.322979,42,,
51,Otto Hunte,Bauten,4,53,5,0.396535,0.432727,1265.211457,0.271647,43,,
52,Ilse Werner,Darsteller,4,50,4,0.424305,0.459547,1760.455553,0.356191,45,,
53,Carl Raddatz,Darsteller,4,52,4,0.430962,0.467435,2975.110966,0.361757,51,,
54,Margarete Steinborn,Schnitt,4,60,4,0.41324,0.44731,462.69523,0.418209,41,,
55,Maria Andergast,Darsteller,4,51,4,0.406713,0.441545,889.043631,0.376797,42,,
56,Karl Machus,Bauten,4,52,4,0.417427,0.451456,1532.467041,0.31558,39,,
57,Werner Krien,Kamera,4,52,4,0.439232,0.474312,2730.415491,0.407512,50,,
58,Carola Höhn,Darsteller,4,48,4,0.424742,0.460356,2041.646723,0.384622,46,,
59,Franz Koehn,Bauten,4,55,5,0.413447,0.451942,2366.274626,0.305616,48,,
60,Paul Bildt,Darsteller,4,50,4,0.436903,0.471177,2733.536536,0.342046,47,,
61,Eduard von Borsody,Drehbuch/Regie,4,48,5,0.388496,0.415534,177.479773,0.175125,22,,
62,Viktoria von Ballasko,Darsteller,4,53,4,0.433456,0.47057,3646.159248,0.375103,51,,
63,Franz Koch,Kamera,4,50,4,0.404516,0.440635,2768.657466,0.227441,47,,
64,Charlott Daudert,Darsteller,4,58,4,0.435518,0.474312,3581.505025,0.437093,58,,
65,Ursula Grabley,Darsteller,4,48,5,0.417215,0.454672,2924.722134,0.327412,46,,
66,Paul Markwitz,Bauten,4,55,4,0.408123,0.446299,2460.919801,0.316113,49,,
67,Herbert Windt,Musik,4,52,4,0.424961,0.463087,3236.557238,0.396807,50,,
68,Ella Ensink,Schnitt,4,51,4,0.401755,0.436792,2223.70753,0.241646,41,,
69,Norbert Schultze,Musik,4,41,4,0.405113,0.438612,10052.316311,0.233904,38,,
70,Werner Eplinius,Drehbuch,4,53,4,0.428274,0.463896,2937.971449,0.37793,48,,
71,Ernst H. Albrecht,Bauten,4,49,4,0.406512,0.441545,5131.466629,0.257335,43,,
72,Michael Jary,Musik,4,48,4,0.432546,0.466626,1538.25527,0.389507,44,,
74,Theo Mackeben,Musik,4,55,4,0.403131,0.439017,1951.846897,0.304702,43,,
75,Hedwig Bleibtreu,Darsteller,4,57,4,0.42606,0.4643,2463.809928,0.443313,52,,
76,Erich Fiedler,Darsteller,4,57,4,0.432092,0.470874,2804.184842,0.444453,55,,
77,Fritz Maurischat,Bauten,4,55,4,0.408123,0.446299,2460.919801,0.316113,49,,
78,Hans Söhnker,Darsteller,4,52,4,0.439232,0.474616,4017.950288,0.413991,51,,
79,Fritz Stapenhorst,Schnitt,4,49,4,0.437135,0.470469,1693.906784,0.407601,45,,
80,Fritz Wenneis,Musik,4,47,4,0.418699,0.453681,2804.897901,0.283911,43,,
81,Axel von Werner,Schnitt,4,49,4,0.421053,0.456412,2864.065527,0.295151,45,,
82,Georg Alexander,Darsteller,4,47,4,0.419552,0.454895,3424.04829,0.240422,44,,
83,Axel Eggebrecht,Drehbuch,4,58,4,0.421268,0.456816,1917.756065,0.412438,47,,
84,Artur Günther,Bauten,4,49,4,0.417638,0.453985,2872.348418,0.236792,45,,
85,Willy Schiller,Bauten,4,51,4,0.413655,0.45085,1693.889131,0.348507,47,,
86,Hans Olden,Darsteller,4,56,4,0.417427,0.456614,3414.398066,0.406405,54,,
87,Anton Weber,Bauten,4,49,4,0.416582,0.453074,7893.021053,0.291033,46,,
88,Leni Marenbach,Darsteller,4,49,4,0.421699,0.457524,2742.991632,0.324989,46,,
89,Alfred Bütow,Bauten,4,51,4,0.414696,0.450344,1425.297547,0.322979,42,,
90,Anneliese Uhlig,Darsteller,4,50,4,0.439467,0.47502,2788.308477,0.398748,50,,
91,Hans Ledersteger,Bauten,4,52,4,0.417004,0.453378,2936.745335,0.295851,48,,
92,Hans Ebert,Musik,4,48,4,0.423215,0.458434,2712.80582,0.338171,46,,
93,Fritz Peter Buch,Drehbuch/Regie,4,50,4,0.390892,0.418689,300.501605,0.191979,24,,
94,Willy Birgel,Darsteller,4,53,4,0.440642,0.476335,2492.34791,0.444113,51,,
95,Géza von Bolváry,Regie/Drehbuch,4,51,4,0.412412,0.444478,2939.707505,0.278152,37,,
96,Brigitte Horney,Darsteller,4,57,4,0.429838,0.466121,1636.868423,0.4335,50,,
97,Albert Florath,Darsteller,4,55,4,0.433001,0.469761,2388.729226,0.444331,51,,
98,Wilhelm Vorwerg,Bauten,4,57,4,0.4254,0.463188,2504.652059,0.424264,53,,
99,Fritz Genschow,Darsteller,4,53,5,0.414904,0.454066,2313.748308,0.361467,50,,
100,Willi A. Herrmann,Bauten,4,48,4,0.422348,0.456816,1677.734061,0.357765,44,,
101,Bruno Lutz,Bauten,4,58,4,0.410154,0.449535,4423.617673,0.265212,55,,
102,Carl Boese,Regie,4,49,4,0.418912,0.45358,1518.700357,0.293623,41,,
103,Carl Drews,Kamera,4,50,4,0.422781,0.458738,2281.288762,0.37304,48,,
104,Willi Depenau,Bauten,4,57,4,0.41407,0.452063,2310.13977,0.343168,51,,
105,Albert Hehn,Darsteller,4,51,4,0.428052,0.464502,2428.205421,0.364741,48,,
106,René Deltgen,Darsteller,4,50,4,0.439701,0.474312,2335.425471,0.415426,49,,
107,Gottlieb Madl,Schnitt,3,42,4,0.399031,0.433151,1487.356596,0.274942,40,,
108,Gustav Diessl,Darsteller,3,41,4,0.414279,0.447512,982.211246,0.325484,38,,
109,René Métain,Schnitt,3,40,5,0.400389,0.434749,1147.61431,0.277051,38,,
110,Robert A. Dietrich,Bauten,3,39,4,0.3973,0.429612,1384.721489,0.174722,35,,
111,Hermann Asmus,Bauten,3,39,4,0.431188,0.461974,1489.898109,0.31987,37,,
112,Hans Deppe,Regie,3,39,4,0.395393,0.429713,1560.161633,0.213447,38,,
113,Erich Kettelhut,Bauten,3,37,4,0.418274,0.450142,1642.432375,0.2681,36,,
114,Hans Carste,Musik,3,39,4,0.393505,0.426477,1471.031168,0.225839,38,,
115,Hermann Speelmans,Darsteller,3,39,5,0.402934,0.436468,1016.225123,0.273335,36,,
116,Viktor Staal,Darsteller,3,39,4,412,0.444579,1144.794772,0.277728,37,,
117,Hertha Feiler,Darsteller,3,36,4,0.404715,0.435983,813.220615,0.273664,33,,
118,Hildegard Grebner,Schnitt,3,37,5,0.394447,0.426052,589.651867,0.216154,32,,
120,Hilde Weissner,Darsteller,3,38,4,0.42628,0.45803,1207.866006,0.352807,36,,
121,Gustav Knuth,Darsteller,3,39,5,0.396344,0.430198,1490.370962,0.221303,35,,
122,Richard Billinger,Drehbuch,3,41,4,0.410973,0.442658,1378.150263,0.298727,36,,
123,Erich Zander,Bauten,3,37,4,0.401559,0.430421,654.821313,0.203461,26,,
124,Paul Hartmann,Darsteller,3,39,4,0.402737,0.435174,1647.046371,0.210209,37,,
125,Hanns H. Kuhnert,Bauten,3,41,5,0.388313,0.422512,970.320275,0.204614,36,,
126,Hannes Stelzer,Darsteller,3,36,5,0.380425,0.413006,1681.544984,0.140468,35,,
127,Ralph Arthur Roberts,Darsteller/Drehbuch,3,35,4,0.390336,0.418386,509.863351,0.210042,23,,
128,Harald Paulsen,Darsteller/Regie,3,41,4,0.421268,0.454895,1510.910081,0.36612,40,,
129,Hans Holt,Darsteller,3,40,4,0.405312,0.438916,1431.570917,0.299373,37,,
130,Gertrud Hinz,Schnitt,3,40,4,0.399806,0.43305,1693.206934,0.274939,37,,
131,Rudolf Platte,Darsteller,3,36,5,0.400778,0.433434,860.394139,0.270011,34,,
132,Hansom Milde-Meißner,Musik,3,44,4,0.395773,0.43123,1248.958141,0.263798,42,,
133,Fritz Arno Wagner,Kamera,3,42,4,0.395014,0.429409,1922.162354,0.176008,39,,
134,Franz Weihmayr,Kamera,3,37,4,0.380425,0.41161,911.135977,0.187453,33,,
135,Peter Ostermayr,Produzent/Drehbuch,3,41,5,0.375912,0.404409,203.437801,0.159261,25,,
136,Hans Zesch-Ballot,Darsteller,3,39,4,0.410768,0.443163,926.589986,0.304958,38,,
137,Paul Westermeier,Darsteller,3,38,4,0.420194,0.451962,769.433471,0.373394,37,,
138,Paul Wegener,Darsteller,3,36,4,0.389967,0.420914,1239.453211,0.216087,35,,
140,Heinz Rühmann,Darsteller,3,38,4,0.407517,0.440534,959.62005,0.292979,36,,
141,Heinz Salfner,Darsteller,3,37,4,0.386854,0.421117,1999.451956,0.163804,36,,
142,Felix Lützkendorf,Drehbuch,3,39,4,0.394825,0.426173,1288.297561,0.182446,33,,
143,Georg Bruckbauer,Kamera,3,40,4,0.41407,0.446602,1309.413209,0.260123,37,,
144,Georg Haentzschel,Musik,3,39,4,0.401951,0.43568,1522.895629,0.226171,35,,
145,Paul Klinger,Darsteller,3,38,4,0.404516,0.437298,1326.682862,0.258975,37,,
146,Ewald Daub,Kamera,3,38,4,0.410359,0.443366,1188.924822,0.308876,37,,
147,Ewald Balser,Darsteller,3,42,4,0.404318,0.435983,1172.979141,0.253706,36,,
148,Rudolf Fernau,Darsteller,3,40,4,0.417215,0.448625,1273.383931,0.27508,36,,
149,Eugen Klöpfer,Darsteller,3,41,4,0.404318,0.437601,2112.138665,0.224633,39,,
850,Hans H. Zerlett,Regie/Drehbuch,4,44,4,0.364602,0.385316,17.622109,0.099219,15,,
151,Hans Nielsen,Darsteller,3,38,4,0.411178,0.442051,1142.354455,0.278663,34,,
152,Hans Leibelt,Darsteller,3,37,4,0.419338,0.45085,1273.746912,0.27759,35,,
153,Herbert Frohberg,Bauten,3,36,5,0.405312,0.438491,783.254356,0.263414,35,,
154,Robert Herlth,Bauten,3,40,4,0.417427,0.449333,1203.793347,0.310589,37,,
155,Herbert Körner,Kamera,3,41,4,0.40412,0.438916,1706.563758,0.277187,39,,
156,Theodor Loos,Darsteller,3,41,4,0.401951,0.435781,1317.010736,0.284682,35,,
157,Emil Jannings,Darsteller/Produzent,3,35,4,0.358885,0.383091,1670.821705,0.091249,21,,
158,Werner Schlichting,Bauten,3,43,4,0.393317,0.424858,330.31493,0.285777,32,,
159,Maria von Tasnady,Darsteller,3,37,4,0.417427,0.449333,1566.611949,0.260621,36,,
160,Bruno Timm,Kamera,3,38,4,0.400194,0.430825,1526.63354,0.187807,34,,
161,Karl Puth,Kamera,3,38,4,0.397492,0.429207,2247.347817,0.245381,37,,
162,Karl Löb,Kamera,3,44,4,0.419125,0.452063,1112.393367,0.343331,40,,
163,Karl Hasselmann,Kamera,3,40,4,0.403131,0.438612,1479.780832,0.283769,39,,
164,Carsta Löck,Darsteller,3,43,3,0.417215,0.450445,2172.004983,0.285776,41,,
165,Karl Hartl,Produzent,3,39,4,0.387218,0.419701,1234.816807,0.224176,35,,
166,Karl Georg Külb,Drehbuch/Regie,3,36,4,0.395773,0.423746,322.667612,0.200876,24,,
167,Karin Hardt,Darsteller,3,37,4,0.402147,0.434668,2217.776775,0.192294,37,,
168,Walter Wischniewsky,Schnitt,3,38,4,0.407316,0.441242,1268.109251,0.264867,36,,
169,Jürgen von Alten,Regie,3,43,4,0.404914,0.43659,655.313919,0.305337,36,,
170,Christian Gollong,Darsteller,3,38,4,0.411178,0.444074,1195.54492,0.285363,36,,
171,Jutta Freybe,Darsteller,3,39,4,0.414487,0.445692,1742.111852,0.243763,35,,
172,Christl Mardayn,Darsteller,3,37,4,0.395204,0.42769,2629.169859,0.206918,37,,
173,Josefine Dora,Darsteller,3,34,4,0.39313,0.424757,1289.806175,0.199065,34,,
174,Max Gülstorff,Darsteller,3,37,4,0.410359,0.441343,918.720375,0.268367,33,,
175,Walther von Hollander,Drehbuch,3,36,5,0.395583,0.427164,972.738572,0.232002,33,,
176,Karl Schönböck,Darsteller,3,35,4,0.41785,0.448523,1051.339346,0.306328,34,,
177,Bobby E. Lüthge,Drehbuch,3,43,4,0.415113,0.44913,1072.448163,0.341279,41,,
179,Karl Vollbrecht,Bauten,3,39,5,0.379025,0.41068,472.777132,0.205044,32,,
180,Albert Matterstock,Darsteller,3,37,4,0.410563,0.442051,827.865499,0.278282,34,,
181,Albrecht Schoenhals,Darsteller,3,39,4,0.41324,0.4464,1411.055808,0.301986,38,,
182,Leo Peukert,Darsteller,3,39,4,0.404516,0.43841,2072.341755,0.226735,38,,
183,Käthe Dorsch,Darsteller,3,40,4,0.410359,0.443265,1647.249409,0.28027,39,,
184,Alois Johannes Lippl,Regie/Drehbuch,3,40,4,0.376428,0.404126,582.835127,0.129731,25,,
185,Anna Höllering,Schnitt,3,41,4,0.397875,0.431533,1436.639202,0.242361,39,,
186,Willy Zeyn jun.,Schnitt,3,31,4,0.376428,0.405947,1450.355135,0.12823,28,,
187,Willy Zeunert,Schnitt,3,43,4,0.404914,0.43659,655.313919,0.305337,36,,
188,Kurt Heuser,Drehbuch,3,40,4,0.419766,0.451456,1445.161484,0.316389,37,,
189,Anton Profes,Musik,3,37,4,0.392008,0.426274,1913.522716,0.212655,37,,
190,Kurt Herlth,Bauten,3,43,4,0.393317,0.424858,330.31493,0.285777,32,,
191,Willy Schmidt-Gentner,Musik,3,42,4,0.416582,0.450546,989.320917,0.371109,40,,
192,Arthur Maria Rabenalt,Regie,3,36,4,0.415532,0.445388,606.849589,0.326447,32,,
193,Kurt E. Walter,Drehbuch,3,46,4,0.405113,0.438815,826.789508,0.344089,39,,
194,Willy Fritsch,Darsteller,3,38,5,0.405711,0.438794,1261.128685,0.240368,36,,
195,Josef Sieber,Darsteller,3,40,4,0.401364,0.434668,1956.822165,0.249396,39,,
197,Johannes Heesters,Darsteller,3,35,5,0.404318,0.435963,939.685265,0.231917,31,,
198,Elisabeth Wendt,Darsteller,3,31,4,0.383078,0.412419,2907.989317,0.138448,30,,
199,Max Mellin,Bauten,3,34,4,0.422781,0.453074,774.109508,0.294226,32,,
200,Joachim Gottschalk,Darsteller,3,43,4,0.405711,0.438208,731.708983,0.333749,38,,
201,Max Knaake,Bauten,3,37,4,0.382367,0.413633,1523.793269,0.148614,33,,
202,Jacob Geis,Drehbuch,3,42,4,0.412412,0.446804,1271.461302,0.322852,39,,
203,Irene von Meyendorff,Darsteller,3,36,5,0.392194,0.426962,1149.02278,0.220565,34,,
204,Walter Steinbeck,Darsteller,3,45,5,0.400389,0.43748,3202.588133,0.242287,45,,
206,Otto Bernhard Wendler,Drehbuch,3,37,5,0.4,0.43212,640.959793,0.277957,34,,
207,Kurt Hoffmann,Regie,2,24,4,0.387036,0.415453,244.702865,0.192373,23,,
208,Hilde Schneider,Darsteller,2,29,4,0.393881,0.422229,620.631846,0.217749,29,,
209,Hilde Sessak,Darsteller,2,26,4,0.385948,0.414543,928.760073,0.166498,26,,
210,Josef Illig,Kamera,2,28,4,0.365735,0.390878,286.971128,0.12665,26,,
211,Otto Baecker,Kamera,2,24,4,0.387036,0.413329,710.437005,0.175577,24,,
212,Hans Lang,Musik,2,26,4,0.369838,0.397755,755.355886,0.152583,25,,
213,Olly Holzmann,Darsteller,2,29,5,0.383434,0.413309,556.574186,0.255693,27,,
214,Kurt Meisel,Darsteller,2,27,4,0.391263,0.418588,880.738126,0.189584,27,,
215,Hans Junkermann,Darsteller,2,25,5,0.371004,0.397937,502.420837,0.121786,24,,
216,Hans Scheib,Kamera,2,12,4,0.337567,0.357807,243.374502,0.047543,12,,
217,Ingolf Kuntze,Darsteller,2,28,4,0.38631,0.414138,709.215957,0.219139,27,,
218,Hilde Krüger,Darsteller,2,29,4,0.396917,0.424555,620.034932,0.243576,27,,
219,Hans Heise,Drehbuch,2,23,4,0.374205,0.400384,621.781308,0.109483,22,,
220,Ludwig Schmidseder,Musik,2,30,5,0.393505,0.424535,437.669079,0.274972,29,,
221,Hans Schweikart,Regie,2,25,4,0.382544,0.409486,311.354289,0.170045,24,,
222,Iván Petrovich,Darsteller,2,24,4,0.392755,0.42051,364.093652,0.219205,24,,
223,Herti Kirchner,Darsteller,2,26,4,0.394447,0.421622,258.125365,0.221965,25,,
224,Hans Stüwe,Darsteller,2,24,4,0.372514,0.398261,259.920132,0.149602,23,,
225,Kurt Dürnhöfer,Bauten,2,26,4,0.392008,0.420409,808.700929,0.192982,26,,
226,Kristina Söderbaum,Darsteller,2,28,5,0.350191,0.37589,255.816887,0.110581,23,,
227,Ludwig Kerscher,Darsteller,2,24,5,0.381481,0.409061,840.619113,0.14384,23,,
229,Kurt Schröder,Musik,2,23,5,0.391635,0.419276,301.265942,0.179987,23,,
230,Leo Leux,Musik,2,24,4,0.364602,0.385316,17.622109,0.099219,15,,
231,Lil Dagover,Darsteller,2,28,4,0.390521,0.418588,608.066176,0.196786,26,,
232,Lieselott Klingler,Darsteller,2,26,4,0.381658,0.407362,647.466165,0.15931,24,,
233,Hannelore Schroth,Darsteller,2,23,4,0.402344,0.4286,192.879814,0.213405,21,,
234,René Bergeron,Darsteller,2,23,5,0.322127,0.346663,307.897765,0.050951,21,,
235,Hugo von Kaweczynski,Kamera,2,26,5,0.382367,0.410275,481.875871,0.167807,25,,
236,Leo Slezak,Darsteller,2,25,4,0.369507,0.395833,344.661102,0.128084,23,,
237,Otto Graf,Darsteller,2,27,4,0.379899,0.408475,663.134857,0.143843,25,,
238,Otto Erdmann,Bauten,2,28,4,0.398068,0.427184,222.153511,0.249282,26,,
239,Reinhold Steinborn,Schnitt,2,30,4,0.394447,0.425364,480.394932,0.288235,28,,
240,Reimar Kuntze,Kamera,2,25,5,0.383613,0.412702,565.077628,0.164713,25,,
241,Hans Bertram,Drehbuch/Regie,2,28,4,0.34477,0.363977,0,0.059144,14,,
242,Günther L. Arko,Kamera,2,34,4,0.383613,0.409992,70.177004,0.267231,25,,
243,Lotte Neumann,Drehbuch,2,28,4,0.372514,0.400587,600.190943,0.152409,26,,
244,L. A. C. Müller,Drehbuch,2,32,4,0.387218,0.417071,1424.327679,0.188184,31,,
245,Käthe von Nagy,Darsteller,2,28,4,0.391821,0.420914,313.036789,0.230888,25,,
246,Lotte Spira,Darsteller,2,25,4,0.390892,0.418285,817.13995,0.167565,24,,
247,Lotte Werkmeister,Darsteller,2,12,4,0.364441,0.382787,823,0.074722,11,,
248,Käte Haack,Darsteller,2,26,4,0.396726,0.424049,524.787429,0.183822,25,,
249,Lucie Englisch,Darsteller,2,27,4,0.392194,0.421015,619.510954,0.237816,26,,
250,Lucie Höflich,Darsteller,2,26,4,0.3806,0.408576,468.378338,0.177569,24,,
851,Theo Lingen,Darsteller/Regie,5,62,4,0.421053,0.454389,987.713754,0.390479,41,,
252,Kate Kühl,Darsteller,2,24,5,0.372009,0.39824,104.636048,0.140895,20,,
253,Konstantin Tschet,Kamera,2,24,4,0.392381,0.419397,463.000621,0.191862,24,,
254,Magda Schneider,Darsteller,2,22,4,0.388863,0.41515,311.979509,0.173198,22,,
255,Karl Weber,Bauten,2,26,5,0.375057,0.405016,605.799632,0.143732,26,,
256,Jochen Huth,Drehbuch,2,23,5,0.3829,0.409466,940.484694,0.110307,23,,
259,Heinz Helbig,Regie,2,21,5,0.392942,0.420793,212.020563,0.190961,21,,
260,Maria Nicklisch,Darsteller,2,26,4,0.38813,0.415858,169.911749,0.209972,23,,
261,Johanna Rosinski,Schnitt,2,27,5,0.394447,0.423928,202.389439,0.258843,27,,
262,Marianne Behr,Schnitt,2,28,5,0.350191,0.37589,255.816887,0.110581,23,,
263,Marianne Hoppe,Darsteller,2,26,5,0.378851,0.40532,217.942523,0.155074,23,,
264,Johanna Schmidt,Schnitt,2,28,4,0.388863,0.417172,659.517508,0.197867,28,,
265,Heinz Sandauer,Musik,2,23,5,0.382189,0.408758,434.348004,0.161937,21,,
266,Heinz Schorlemmer,Darsteller,2,27,4,0.391635,0.418487,362.009054,0.223633,26,,
267,Heinz Wieck,Darsteller,2,27,4,0.407921,0.435073,499.63275,0.225077,25,,
268,Heli Finkenzeller,Darsteller,2,23,4,0.385948,0.414846,1186.119729,0.162966,23,,
867,Veit Harlan,Regie/Drehbuch,4,52,5,0.350191,0.37589,255.816887,0.110581,23,,
271,Herbert Hübner,Darsteller,2,27,4,0.396917,0.425061,354.74252,0.220083,26,,
272,Marika Rökk,Darsteller,2,24,4,0.372177,0.399474,276.573994,0.150433,23,,
273,Martha Dübber,Schnitt,2,29,4,0.377289,0.404328,468.356342,0.126144,26,,
274,Herbert Hochreiter,Bauten,2,28,4,0.401559,0.429511,372.530719,0.227253,27,,
275,Josef von Baky,Regie,2,25,4,0.3874,0.415655,555.302487,0.157878,24,,
276,Herbert Gernot,Darsteller,2,25,4,0.394636,0.423038,717.182127,0.185599,25,,
277,Paul Kemp,Darsteller,2,21,4,0.383613,0.409385,585.352409,0.138418,20,,
278,Heinrich Weidemann,Bauten,2,28,4,0.400194,0.430724,1174.875636,0.208865,27,,
279,Peter Francke,Drehbuch,2,27,4,0.391449,0.417172,107.31812,0.201903,23,,
280,Otto Tressler,Darsteller,2,26,4,0.387036,0.41606,392.863253,0.191345,24,,
281,Heinrich George,Darsteller,2,27,5,0.375912,0.402791,430.267004,0.164517,25,,
282,Hans Wolff,Schnitt,2,30,4,0.378851,0.405744,53.561585,0.203732,21,,
283,Hans-Joachim Beyer,Drehbuch,2,25,4,0.38923,0.417273,629.148376,0.195018,25,,
284,Hans-Otto Borgmann,Musik,2,27,5,0.360297,0.388026,799.408906,0.107466,26,,
285,Nico Dostal,Musik,2,25,5,0.370504,0.396015,317.476739,0.122154,22,,
286,Milo Harbich,Schnitt,2,26,5,0.376084,0.404005,295.838702,0.174223,25,,
287,Hermann Pfeiffer,Drehbuch/Regie,2,18,4,0.340637,0.356998,0,0.044826,9,,
289,Hansi Knoteck,Darsteller,2,26,5,0.374035,0.401578,402.067783,0.145224,24,,
870,Max W. Kimmich,Regie/Drehbuch,3,33,5,0.346073,0.36962,1193.268052,0.063728,20,,
291,Peter Kreuder Jr.,Musik,2,26,4,0.374545,0.402407,760.82158,0.158333,26,,
292,Michèle Morgan,Darsteller,2,23,5,0.322127,0.346663,307.897765,0.050951,21,,
293,Harald Böhmelt,Musik,2,23,4,0.385407,0.410902,430.248722,0.180036,21,,
294,Peter Igelhoff,Musik,2,31,4,0.395963,0.424252,235.70753,0.298203,28,,
295,Karl Peter Gillmann,Drehbuch,2,26,4,0.3874,0.415554,600.81914,0.174046,25,,
296,Karl Martell,Darsteller,2,24,5,0.386129,0.41432,608.150318,0.143882,23,,
297,Michael Bohnen,Darsteller,2,27,4,0.380074,0.404834,412.319287,0.168748,24,,
298,Karl Ludwig Diehl,Darsteller,2,26,5,0.377808,0.405522,749.817744,0.124584,26,,
299,Heidemarie Hatheyer,Darsteller,2,26,4,0.385047,0.412621,1484.707294,0.147295,24,,
300,Otto Ernst Hesse,Drehbuch,2,21,4,0.390152,0.415453,222.789871,0.185162,21,,
301,Margarete Kupfer,Darsteller,2,26,4,0.382722,0.411307,457.677698,0.177214,25,,
