Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,Column,Column2
1,Werner Bochmann,Musik,8,103,4,0.469248,0.514462,9201.26741,0.636867,88,,
2,Hubert Marischka,Drehbuch/Regie,8,110,4,0.403131,0.435882,333.229285,0.371069,37,,
3,Eduard Hoesch,Kamera,7,96,4,0.440877,0.479773,1695.336834,0.562098,60,,
4,Grethe Weiser,Darsteller,6,72,4,0.452499,0.491606,3857.100783,0.573184,65,,
5,Werner Eisbrenner,Musik,6,65,4,0.432092,0.472087,4937.161065,0.446219,58,,
6,Hans Brausewetter,Darsteller,6,78,3,0.468448,0.507888,6341.128468,0.667036,75,,
7,Julius von Borsody,Bauten,6,78,4,0.451013,0.492314,6478.714265,0.492244,70,,
8,Willy Winterstein,Kamera,6,73,3,0.469248,0.505663,5400.164523,0.57952,68,,
9,Helmut Käutner,Drehbuch/Regie,6,77,4,0.441586,0.480785,3024.236571,0.519009,61,,
10,Wolfgang Zeller,Musik,6,80,3,0.448557,0.492112,7826.279955,0.48565,75,,
11,Robert Baberske,Kamera,6,76,4,0.437367,0.477144,3216.592842,0.4554,61,,
12,Gustav A. Knauer,Bauten,6,69,3,0.433228,0.475324,7688.255997,0.360027,66,,
13,Heinrich Richter,Bauten,6,89,4,0.443726,0.482605,2064.058533,0.561561,61,,
14,Ernst Waldow,Darsteller,6,76,4,0.461366,0.500202,4879.104561,0.584665,69,,
15,Johannes Riemann,Darsteller,6,79,4,0.453994,0.493426,4680.887301,0.607806,66,,
17,Lothar Brühne,Musik,5,66,4,0.454746,0.492516,5313.455407,0.493552,63,,
18,Ludwig Reiber,Bauten,5,71,4,0.423215,0.464806,3661.200616,0.382516,61,,
19,Hans Moser,Darsteller,5,63,4,0.433913,0.472593,4529.802751,0.437545,57,,
20,Hans Schneeberger,Kamera,5,58,4,0.429838,0.466828,2380.94256,0.38772,52,,
21,Attila Hörbiger,Darsteller,5,66,4,0.421915,0.465817,7417.520544,0.336213,63,,
22,Hans Sohnle,Bauten,5,71,4,0.441823,0.481796,3024.803886,0.500896,63,,
23,Werner Bohne,Kamera,5,64,4,0.439232,0.478863,3762.950524,0.424766,60,,
24,Helmuth Schönnenbeck,Schnitt,5,62,4,0.422998,0.460659,2204.198975,0.408399,50,,
25,Gabriel Pellon,Bauten,5,75,4,0.428052,0.463997,929.638847,0.475718,49,,
26,Franz Grothe,Musik,5,67,4,0.444205,0.484324,6240.214641,0.463177,63,,
27,Karl Böhm,Bauten,5,69,4,0.447826,0.486347,3323.258549,0.513268,60,,
28,Mady Rahl,Darsteller,5,63,4,0.430737,0.470166,2223.92355,0.450606,55,,
29,Fritz Kampers,Darsteller,5,64,4,0.42365,0.461671,3237.784386,0.33957,53,,
30,Will Dohm,Darsteller,5,67,4,0.436903,0.47947,4137.310923,0.483548,61,,
31,Carl Ludwig Kirmse,Bauten,5,60,4,0.450027,0.48665,3433.098047,0.501483,58,,
32,Philipp Lothar Othello Mayring,Drehbuch/Regie,5,66,4,0.432319,0.466727,1427.184936,0.418346,46,,
33,Rudi Godden,Darsteller,5,68,4,0.435748,0.474211,3884.062018,0.439975,57,,
34,Ernst von Klipstein,Darsteller,5,67,4,0.427386,0.46693,2839.660254,0.44694,56,,
35,Paul Dahlke,Darsteller,5,64,4,0.422564,0.462682,3586.093227,0.379292,57,,
36,Erich Czerwonski,Bauten,5,69,4,0.447826,0.486347,3323.258549,0.513268,60,,
37,Oskar Schnirch,Kamera,5,66,4,0.427164,0.464907,2585.553971,0.426205,53,,
38,Olga Tschechowa,Darsteller,5,67,4,0.443966,0.482504,4315.878803,0.48403,60,,
39,Lothar Philipp August Mayring,Drehbuch/Regie,5,66,4,0.432319,0.466727,1427.184936,0.418346,46,,
40,Hilde Hildebrand,Darsteller,5,68,4,0.443011,0.48129,2384.266998,0.569003,59,,
41,Otto Wernicke,Darsteller,5,68,3,0.459309,0.497168,8548.339727,0.536974,66,,
42,Walter Fredersdorf,Schnitt,5,67,4,0.440877,0.478964,2607.113744,0.458616,58,,
43,Alice Ludwig,Schnitt,5,63,4,0.452747,0.48928,5315.686159,0.448017,59,,
44,Wolf Albach-Retty,Darsteller,5,67,5,0.430063,0.472371,3193.820196,0.503536,60,,
45,Walter Riml,Kamera,4,54,4,0.42872,0.465008,2684.903103,0.388974,50,,
46,Franz Seitz Sr.,Drehbuch/Regie,4,52,4,0.380425,0.407464,1111.30243,0.164207,26,,
47,Paul Henckels,Darsteller,4,53,4,0.417638,0.455198,2742.037974,0.361405,50,,
48,Friedl Behn-Grund,Kamera,4,50,4,0.401364,0.436084,1665.004405,0.237438,40,,
