Source,Target,Type,Id,Label,Weight
43,3,Undirected,19169,,4
83,29,Undirected,19170,,1
648,649,Undirected,19171,,1
197,650,Undirected,19172,,1
295,7,Undirected,19173,,1
196,370,Undirected,19174,,1
18,110,Undirected,19175,,1
771,344,Undirected,19176,,1
597,582,Undirected,19177,,1
690,46,Undirected,19178,,1
375,269,Undirected,19179,,1
107,52,Undirected,19180,,2
314,59,Undirected,19181,,1
378,246,Undirected,19182,,1
743,571,Undirected,19183,,1
14,44,Undirected,19184,,1
141,104,Undirected,19185,,1
95,47,Undirected,19186,,1
13,834,Undirected,19187,,1
934,250,Undirected,19188,,1
4,813,Undirected,19189,,1
788,8,Undirected,19190,,1
272,30,Undirected,19191,,1
650,21,Undirected,19192,,1
425,208,Undirected,19193,,1
196,875,Undirected,19194,,1
345,949,Undirected,19195,,2
402,419,Undirected,19196,,1
176,247,Undirected,19197,,1
712,49,Undirected,19198,,1
524,207,Undirected,19199,,1
217,56,Undirected,19200,,1
66,251,Undirected,19201,,3
562,431,Undirected,19202,,1
170,198,Undirected,19203,,1
252,169,Undirected,19204,,1
717,249,Undirected,19205,,1
245,535,Undirected,19206,,1
379,8,Undirected,19207,,1
352,383,Undirected,19208,,1
859,514,Undirected,19209,,1
149,276,Undirected,19210,,1
905,8,Undirected,19211,,1
63,498,Undirected,19212,,1
392,0,Undirected,19213,,1
280,77,Undirected,19214,,1
923,4,Undirected,19215,,2
605,49,Undirected,19216,,1
706,43,Undirected,19217,,1
706,22,Undirected,19218,,2
715,171,Undirected,19219,,1
18,83,Undirected,19220,,1
781,253,Undirected,19221,,1
187,461,Undirected,19222,,1
51,216,Undirected,19223,,1
209,575,Undirected,19224,,1
146,81,Undirected,19225,,1
352,13,Undirected,19226,,1
113,436,Undirected,19227,,1
63,521,Undirected,19228,,1
67,108,Undirected,19229,,1
242,185,Undirected,19230,,1
72,171,Undirected,19231,,1
367,182,Undirected,19232,,1
876,525,Undirected,19233,,1
98,32,Undirected,19234,,1
214,241,Undirected,19235,,1
914,26,Undirected,19236,,3
18,21,Undirected,19237,,2
33,208,Undirected,19238,,1
333,796,Undirected,19239,,1
167,131,Undirected,19240,,1
321,479,Undirected,19241,,1
76,222,Undirected,19242,,1
642,11,Undirected,19243,,1
694,192,Undirected,19244,,1
753,9,Undirected,19245,,1
272,5,Undirected,19246,,1
241,933,Undirected,19247,,1
270,933,Undirected,19248,,1
31,659,Undirected,19249,,1
126,2,Undirected,19250,,1
279,292,Undirected,19251,,1
121,332,Undirected,19252,,1
793,502,Undirected,19253,,1
743,801,Undirected,19254,,1
28,281,Undirected,19255,,1
143,164,Undirected,19256,,2
162,320,Undirected,19257,,1
386,519,Undirected,19258,,1
60,26,Undirected,19259,,2
98,847,Undirected,19260,,1
13,105,Undirected,19261,,1
162,155,Undirected,19262,,2
43,33,Undirected,19263,,1
882,27,Undirected,19264,,1
14,105,Undirected,19265,,1
776,826,Undirected,19266,,1
391,36,Undirected,19267,,1
265,112,Undirected,19268,,2
928,219,Undirected,19269,,2
141,385,Undirected,19270,,2
349,604,Undirected,19271,,1
857,179,Undirected,19272,,1
209,928,Undirected,19273,,2
863,101,Undirected,19274,,1
932,836,Undirected,19275,,2
177,769,Undirected,19276,,2
522,154,Undirected,19277,,1
637,928,Undirected,19278,,2
3,20,Undirected,19279,,1
592,435,Undirected,19280,,1
612,9,Undirected,19281,,1
65,6,Undirected,19282,,2
121,113,Undirected,19283,,1
203,186,Undirected,19284,,1
46,468,Undirected,19285,,1
665,47,Undirected,19286,,1
282,131,Undirected,19287,,1
653,302,Undirected,19288,,1
873,41,Undirected,19289,,1
3,11,Undirected,19290,,1
111,396,Undirected,19291,,1
185,5,Undirected,19292,,1
106,21,Undirected,19293,,3
175,154,Undirected,19294,,1
915,0,Undirected,19295,,5
9,638,Undirected,19296,,1
612,171,Undirected,19297,,1
380,235,Undirected,19298,,2
70,34,Undirected,19299,,1
662,900,Undirected,19300,,1
192,40,Undirected,19301,,1
140,343,Undirected,19302,,1
21,17,Undirected,19303,,2
700,8,Undirected,19304,,1
42,275,Undirected,19305,,1
875,41,Undirected,19306,,1
402,141,Undirected,19307,,1
395,158,Undirected,19308,,2
302,116,Undirected,19309,,1
48,218,Undirected,19310,,1
42,511,Undirected,19311,,1
42,193,Undirected,19312,,1
113,142,Undirected,19313,,1
739,30,Undirected,19314,,1
31,227,Undirected,19315,,1
85,165,Undirected,19316,,1
634,286,Undirected,19317,,1
212,446,Undirected,19318,,1
831,437,Undirected,19319,,1
40,74,Undirected,19320,,1
151,63,Undirected,19321,,1
72,381,Undirected,19322,,1
950,246,Undirected,19323,,2
99,47,Undirected,19324,,1
936,10,Undirected,19325,,2
192,41,Undirected,19326,,1
411,173,Undirected,19327,,1
65,47,Undirected,19328,,1
76,30,Undirected,19329,,1
60,497,Undirected,19330,,1
913,61,Undirected,19331,,2
783,355,Undirected,19332,,1
293,114,Undirected,19333,,2
134,328,Undirected,19334,,1
62,163,Undirected,19335,,1
105,196,Undirected,19336,,1
124,227,Undirected,19337,,1
196,30,Undirected,19338,,1
37,338,Undirected,19339,,1
23,55,Undirected,19340,,1
935,343,Undirected,19341,,2
97,891,Undirected,19342,,1
84,920,Undirected,19343,,2
45,139,Undirected,19344,,1
94,182,Undirected,19345,,1
125,113,Undirected,19346,,1
214,164,Undirected,19347,,2
409,908,Undirected,19348,,1
528,0,Undirected,19349,,1
46,15,Undirected,19350,,2
870,92,Undirected,19351,,1
84,141,Undirected,19352,,1
43,236,Undirected,19353,,1
796,266,Undirected,19354,,1
54,92,Undirected,19355,,2
257,182,Undirected,19356,,2
555,207,Undirected,19357,,2
291,29,Undirected,19358,,1
48,798,Undirected,19359,,1
33,293,Undirected,19360,,1
167,929,Undirected,19361,,2
663,418,Undirected,19362,,1
56,313,Undirected,19363,,2
156,118,Undirected,19364,,4
106,476,Undirected,19365,,1
352,470,Undirected,19366,,1
299,140,Undirected,19367,,1
62,72,Undirected,19368,,1
885,267,Undirected,19369,,1
739,5,Undirected,19370,,1
46,44,Undirected,19371,,2
101,35,Undirected,19372,,1
135,180,Undirected,19373,,1
217,434,Undirected,19374,,1
309,110,Undirected,19375,,2
156,194,Undirected,19376,,1
275,34,Undirected,19377,,1
204,418,Undirected,19378,,1
79,230,Undirected,19379,,1
121,213,Undirected,19380,,1
215,127,Undirected,19381,,1
23,917,Undirected,19382,,2
137,514,Undirected,19383,,1
31,275,Undirected,19384,,1
271,67,Undirected,19385,,1
62,167,Undirected,19386,,1
176,3,Undirected,19387,,1
76,5,Undirected,19388,,1
421,85,Undirected,19389,,1
117,70,Undirected,19390,,1
95,70,Undirected,19391,,1
215,297,Undirected,19392,,1
377,397,Undirected,19393,,2
469,912,Undirected,19394,,4
785,537,Undirected,19395,,1
203,131,Undirected,19396,,1
704,392,Undirected,19397,,1
636,97,Undirected,19398,,1
372,110,Undirected,19399,,1
823,218,Undirected,19400,,1
163,511,Undirected,19401,,1
307,911,Undirected,19402,,1
638,120,Undirected,19403,,1
146,236,Undirected,19404,,1
366,842,Undirected,19405,,1
38,231,Undirected,19406,,2
122,466,Undirected,19407,,1
98,920,Undirected,19408,,2
275,77,Undirected,19409,,1
519,920,Undirected,19410,,1
631,478,Undirected,19411,,1
747,1,Undirected,19412,,1
749,5,Undirected,19413,,1
723,811,Undirected,19414,,1
221,227,Undirected,19415,,1
47,86,Undirected,19416,,1
98,141,Undirected,19417,,2
213,86,Undirected,19418,,2
180,2,Undirected,19419,,1
4,79,Undirected,19420,,1
57,575,Undirected,19421,,1
31,69,Undirected,19422,,2
65,235,Undirected,19423,,1
3,97,Undirected,19424,,1
668,509,Undirected,19425,,1
837,554,Undirected,19426,,1
416,40,Undirected,19427,,1
771,71,Undirected,19428,,1
204,234,Undirected,19429,,1
104,236,Undirected,19430,,1
288,64,Undirected,19431,,1
701,44,Undirected,19432,,1
91,10,Undirected,19433,,1
118,283,Undirected,19434,,1
394,843,Undirected,19435,,1
163,196,Undirected,19436,,1
98,341,Undirected,19437,,1
321,520,Undirected,19438,,1
138,8,Undirected,19439,,1
113,3,Undirected,19440,,1
109,96,Undirected,19441,,1
