Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;clustering;triangles;;
56;Hans Steinhoff;Regie;6;80;4;0.427583;0.467148;2973.209356;0.328053;58;0.272232;450;;
57;Hans Söhnker;Darsteller;6;78;4;0.455503;0.493064;2196.527452;0.600953;64;0.285218;575;;
58;Walter Steinbeck;Darsteller;6;65;4;0.457672;0.494701;3852.09151;0.507159;61;0.24918;456;;
59;Georg Jacoby;Regie/Drehbuch;8;85;4;0.442682;0.476301;1462.156988;0.450007;48;0.335993;379;;
60;Alexander Mügge;Bauten;6;85;4;0.447954;0.49104;2896.056039;0.559749;74;0.232136;627;;
61;Arnold Fanck;Drehbuch/Regie/Schnitt;6;72;5;0.360267;0.386609;1295.921293;0.101926;20;0.684211;130;;
62;Bruno Lutz;Bauten;6;86;4;0.429707;0.471773;1740.747557;0.439057;62;0.306187;579;;
63;Curt J. Braun;Drehbuch;6;77;4;0.451697;0.48921;3348.257956;0.533325;62;0.250661;474;;
64;Fritz Arno Wagner;Kamera;6;78;4;0.411709;0.45289;2522.955309;0.337183;59;0.275278;471;;
65;Giuseppe Becce;Musik;6;89;5;0.434892;0.479865;6281.893077;0.393726;69;0.213981;502;;
66;Philipp Lothar Othello Mayring;Drehbuch;6;83;4;0.448187;0.486705;2071.088294;0.496577;63;0.289811;566;;
67;Margarete Kupfer;Darsteller;5;72;4;0.437089;0.477649;4114.448971;0.406661;63;0.239119;467;;
68;Hans Adalbert Schlettow;Darsteller;5;56;4;0.419903;0.458092;3639.098144;0.260193;52;0.226244;300;;
69;Karin Hardt;Darsteller;5;68;4;0.433584;0.477071;4864.998417;0.431437;66;0.229371;492;;
70;Georg Bruckbauer;Kamera;5;65;4;0.404395;0.442004;1036.75299;0.309375;48;0.323582;365;;
71;Georg Alexander;Darsteller;5;71;4;0.454068;0.491908;2311.378378;0.631539;64;0.28621;577;;
72;Hans H. Zerlett;Drehbuch/Regie;6;80;4;0.444959;0.48131;2370.887382;0.494274;56;0.278571;429;;
73;Herbert Windt;Musik;5;82;5;0.389114;0.429961;1034.017149;0.259463;51;0.383529;489;;
74;Camilla Horn;Darsteller;5;60;4;0.426529;0.462042;834.852446;0.480794;48;0.356383;402;;
75;Reimar Kuntze;Kamera;5;74;4;0.433367;0.474759;5221.800785;0.397228;65;0.247115;514;;
76;Carl Lamač;Regie/Produzent;10;146;4;0.4325;0.469268;1114.760178;0.443861;52;0.375566;498;;
77;Erich Zander;Bauten;5;69;4;0.427372;0.4658;931.185545;0.509697;55;0.327273;486;;
78;Willi A. Herrmann;Bauten;5;65;4;0.440428;0.475819;2289.882345;0.344922;51;0.278431;355;;
79;Olga Tschechowa;Darsteller;5;72;4;0.44473;0.486031;3136.830329;0.444975;66;0.242424;520;;
80;Fita Benkhoff;Darsteller;5;59;4;0.4325;0.471484;3323.216136;0.340028;55;0.243098;361;;
81;Albert Lieven;Darsteller;5;68;4;0.449351;0.486416;3249.333688;0.463965;59;0.26768;458;;
82;Franz Weihmayr;Kamera;5;80;5;0.396789;0.439306;2364.403177;0.263939;54;0.32355;463;;
83;Peter Ort;Drehbuch;5;75;4;0.42843;0.46368;836.157391;0.419485;47;0.407031;440;;
84;Wolfgang Liebeneiner;Darsteller;5;65;4;0.436208;0.474277;3982.192816;0.386746;59;0.237873;407;;
85;Wolfgang Becker;Schnitt;5;70;4;0.423604;0.462331;2366.198505;0.34328;53;0.314949;434;;
86;Leo Leux;Musik;5;74;4;0.408983;0.44499;769.585378;0.348966;44;0.41649;394;;
87;Eduard Künneke;Musik;5;68;4;0.449818;0.487572;2865.833694;0.511389;61;0.270492;495;;
88;Käte Haack;Darsteller;5;65;4;0.427372;0.466281;2481.526376;0.386024;57;0.253759;405;;
89;Otto Heller;Kamera;5;77;4;0.415666;0.453179;984.605754;0.363682;48;0.37234;420;;
90;Paul Kemp;Darsteller;5;60;4;0.45383;0.487476;2965.587017;0.485939;53;0.290276;400;;
91;Artur Schwarz;Bauten;5;68;4;0.415266;0.450771;1482.401845;0.264759;48;0.342199;386;;
92;Karl Hasselmann;Kamera;5;71;5;0.432716;0.477746;6620.862895;0.37389;65;0.224038;466;;
93;Felix Pfitzner;Produzent;5;67;4;0.434673;0.471291;1431.137763;0.456563;52;0.332579;441;;
94;Brigitte Horney;Darsteller;5;68;4;0.40725;0.445761;3809.289097;0.25532;52;0.270739;359;;
95;Artur Robison;Regie/Drehbuch;5;67;4;0.375434;0.404239;270.384224;0.173455;30;0.549425;239;;
96;Hildegard Grebner;Schnitt;5;63;4;0.422983;0.458285;1201.820381;0.364984;45;0.343434;340;;
97;Rudolf Platte;Darsteller;5;63;4;0.438864;0.476686;1755.884248;0.447603;54;0.283019;405;;
98;Hugo von Kaweczynski;Kamera;5;66;4;0.43731;0.476975;2170.666387;0.56611;61;0.274863;503;;
99;Marta Eggerth;Darsteller;5;74;4;0.430992;0.471869;6673.782958;0.424901;62;0.2734;517;;
100;Willi Depenau;Bauten;5;69;4;0.427372;0.4658;931.185545;0.509697;55;0.327273;486;;
101;Ernst Marischka;Drehbuch;5;67;3;0.424436;0.459538;2897.406493;0.3197;49;0.329932;388;;
102;Max Weydner;Darsteller;4;40;4;0.39158;0.423314;2710.533657;0.148943;36;0.301587;190;;
103;Viktor de Kowa;Darsteller;4;45;4;0.426318;0.459923;1700.211954;0.346281;43;0.314507;284;;
104;Else Baum;Schnitt;4;60;4;0.411709;0.45106;3036.952367;0.315063;51;0.305098;389;;
105;Edmund Heuberger;Drehbuch/Regie;4;34;5;0.362836;0.389114;477.30839;0.066746;17;0.470588;64;;
106;Hubert von Meyerinck;Darsteller;4;41;4;0.41727;0.449807;1233.096733;0.273211;38;0.271693;191;;
107;Ursula Grabley;Darsteller;4;47;4;0.416667;0.452601;1532.962436;0.327888;43;0.300111;271;;
