Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;clustering;triangles;;
245;Olga Limburg;Darsteller;3;41;4;0.404206;0.437283;518.366247;0.320538;38;0.416785;293;;
246;Helmut Eweler;Produzent;3;42;4;0.42257;0.452505;298.523622;0.319963;32;0.544355;270;;
247;Hans Martin Cremer;Drehbuch;3;37;5;0.391049;0.426012;1045.142551;0.233872;36;0.450794;284;;
248;Carl Heinz Wolff;Regie/Produzent;4;32;4;0.377894;0.404528;549.612159;0.126848;21;0.480952;101;;
249;Sybille Schmitz;Darsteller;3;35;4;0.394617;0.42447;1233.692733;0.157939;30;0.386207;168;;
250;Genia Nikolajewa;Darsteller;3;36;4;0.426108;0.458382;1057.039646;0.307696;36;0.369841;233;;
251;Carl Hoffmann;Kamera;3;45;4;0.422157;0.453757;1110.495105;0.268111;37;0.423423;282;;
252;Werner Bochmann;Musik;3;40;4;0.383082;0.415125;454.205429;0.190068;32;0.459677;228;;
253;Erna Morena;Darsteller;3;40;5;0.409758;0.444412;1538.13727;0.266017;37;0.354354;236;;
254;Hans Curjel;Drehbuch;2;37;5;0.328647;0.354566;6.021213;0.089624;20;0.968421;184;;
255;Günther Lüders;Darsteller;2;26;4;0.396244;0.425434;441.168784;0.193203;26;0.495385;161;;
256;Gustav Ucicky;Drehbuch/Regie;4;50;4;0.35626;0.379576;43.257985;0.09984;19;0.760234;130;;
257;Hanna Waag;Darsteller;2;22;4;0.371404;0.395087;149.029465;0.105322;19;0.637427;109;;
258;Hanns Marschall;Drehbuch;2;27;5;0.389991;0.421965;366.459803;0.193689;27;0.521368;183;;
259;Hans Albers;Darsteller;2;30;5;0.388415;0.421387;761.754187;0.16906;30;0.498851;217;;
260;Paul Westermeier;Darsteller;2;30;4;0.386333;0.417341;348.58313;0.211374;29;0.519704;211;;
261;Hans Fritz Köllner;Drehbuch;2;29;5;0.363751;0.395376;313.867778;0.158933;28;0.555556;210;;
262;Hanns Johst;Drehbuch;2;37;5;0.328647;0.354566;6.021213;0.089624;20;0.968421;184;;
263;Georg Heinrich Schnell;Darsteller;2;24;5;0.369816;0.39817;318.151473;0.139111;24;0.51087;141;;
264;Paul Hartmann;Darsteller;2;24;5;0.381057;0.411175;210.936724;0.134675;22;0.593074;137;;
265;Karl Schulz;Produzent;2;33;5;0.395158;0.427938;418.951254;0.248826;32;0.52621;261;;
266;Jacob Brodsky;Produzent;2;24;4;0.365905;0.392967;656.734983;0.095803;24;0.48913;135;;
267;Jan Fethke;Drehbuch;2;26;4;0.406867;0.434586;433.145655;0.238988;25;0.556667;167;;
268;Jeanne Cheirel;Darsteller;2;29;4;0.36637;0.394798;474.68855;0.172804;27;0.552707;194;;
269;Maria Sazarina;Darsteller;2;26;4;0.400463;0.427938;58.909796;0.234406;22;0.645022;149;;
270;Johannes Riemann;Regie/Drehbuch;3;41;4;0.3957;0.423121;124.698236;0.242094;26;0.569231;185;;
271;Maria Andergast;Darsteller;2;31;5;0.367616;0.398555;310.991884;0.13503;27;0.566952;199;;
272;Margot Wagner;Darsteller;2;27;5;0.371883;0.4;258.076029;0.12042;24;0.550725;152;;
273;Josephine Huntley Wright;Darsteller;2;25;4;0.332564;0.354335;6.77932;0.043302;17;0.816176;111;;
274;Julius von Borsody;Bauten;2;26;4;0.365751;0.391522;982.675896;0.094824;25;0.49;147;;
275;Karl Attenberger;Kamera;2;26;5;0.350202;0.374586;292.76431;0.063495;22;0.580087;134;;
276;Karl Dannemann;Darsteller;2;31;5;0.377729;0.406647;149.371703;0.135175;25;0.62;186;;
277;Maly Delschaft;Darsteller;2;37;5;0.328647;0.354566;6.021213;0.089624;20;0.968421;184;;
278;Karl Puth;Kamera;2;24;5;0.381057;0.410116;348.222014;0.105856;22;0.528139;122;;
279;Magda Schneider;Darsteller;2;26;4;0.403263;0.432755;325.884598;0.222727;26;0.523077;170;;
280;Inge List;Darsteller;2;27;4;0.403828;0.430829;93.791649;0.220359;23;0.648221;164;;
281;Kurt Herlth;Bauten;2;31;4;0.380387;0.406069;48.592914;0.176789;21;0.857143;180;;
282;Kurt Heuser;Drehbuch;2;27;4;0.346277;0.36975;31.490403;0.082543;20;0.784211;149;;
283;Ludwig Zahn;Kamera;2;37;4;0.375271;0.405106;849.364318;0.175148;32;0.5;248;;
284;Leberecht von Guaita;Musik;2;27;4;0.395519;0.423699;56.656059;0.225549;23;0.695652;176;;
285;Leo Mittler;Regie;2;25;4;0.332564;0.354335;6.77932;0.043302;17;0.816176;111;;
286;Ludwig Gerner;Darsteller;2;29;5;0.367148;0.395857;75.719594;0.146297;23;0.750988;190;;
287;Leonie Duval;Darsteller;2;22;5;0.375108;0.40395;414.702171;0.14252;21;0.509524;107;;
288;Leopoldine Konstantin;Darsteller;2;25;4;0.397336;0.424374;199.297515;0.215037;23;0.58498;148;;
289;Liane Haid;Darsteller;2;26;5;0.394977;0.42447;368.488029;0.212697;25;0.506667;152;;
290;Lil Dagover;Darsteller;2;23;4;0.394617;0.420424;145.138199;0.196426;22;0.554113;128;;
291;Liselotte Gravenstein;Drehbuch;2;27;4;0.346277;0.36975;31.490403;0.082543;20;0.784211;149;;
292;Lizzi Holzschuh;Darsteller;2;25;4;0.392468;0.419268;38.109336;0.213935;20;0.668421;127;;
293;Lotte Spira;Darsteller;2;29;5;0.366681;0.397977;196.726933;0.155838;26;0.606154;197;;
294;Louis Graveure;Darsteller;2;26;4;0.388589;0.414355;32.035299;0.214641;20;0.726316;138;;
295;Iván Petrovich;Darsteller;2;31;4;0.400463;0.430539;329.497576;0.250441;29;0.517241;210;;
296;Max Obal;Regie;2;28;4;0.390696;0.417919;60.362888;0.193093;22;0.735931;170;;
297;Paul Beckers;Darsteller;2;24;5;0.354218;0.376513;0.858072;0.099124;14;0.956044;87;;
298;Oscar Straus;Musik;2;25;4;0.332564;0.354335;6.77932;0.043302;17;0.816176;111;;
299;Hans Vietzke;Drehbuch;2;30;4;0.403263;0.433237;179.622183;0.282634;29;0.573892;233;;
300;Otto Tressler;Darsteller;2;29;4;0.384103;0.415125;654.504918;0.173286;29;0.487685;198;;
301;Hansi Knoteck;Darsteller;2;28;4;0.371564;0.397977;1123.165431;0.1167;26;0.48;156;;
302;Hansi Niese;Darsteller;2;24;4;0.406485;0.4342;1026.851265;0.233269;24;0.5;138;;
303;Harry Frank;Darsteller;2;30;4;0.398618;0.430347;408.683576;0.24609;30;0.505747;220;;
304;Harry Hardt;Darsteller;2;26;5;0.372524;0.402601;427.890679;0.136419;25;0.543333;163;;
305;Harry Piel;Drehbuch/Produzent/Regie/Darsteller;7;69;4;0.376251;0.400482;58.634862;0.088779;16;0.716667;86;;
306;Hedda Björnson;Darsteller;2;21;4;0.367148;0.391715;2600.37578;0.129408;19;0.590643;101;;
307;Heinrich Oberländer;Drehbuch;2;27;4;0.381898;0.410212;561.021219;0.130332;27;0.495726;174;;
308;Heinrich Richter;Bauten;2;24;5;0.376414;0.405106;322.180115;0.115449;23;0.498024;126;;
309;Heinz Haber;Schnitt;2;21;5;0.301499;0.322948;8550;0.018778;19;0.473684;81;;
310;Heinz Hilpert;Regie;2;27;4;0.346277;0.36975;31.490403;0.082543;20;0.784211;149;;
311;Heinz von Jaworsky;Kamera;2;36;5;0.380554;0.413006;173.540855;0.208133;31;0.630108;293;;
312;Hugo Fischer-Köppe;Darsteller;2;26;4;0.389289;0.417534;216.422875;0.192714;26;0.516923;168;;
313;Oscar Sabo;Darsteller;2;30;4;0.400278;0.430154;208.728191;0.266427;30;0.533333;232;;
314;Hella Moja;Drehbuch;2;33;5;0.374946;0.406551;130.636106;0.185884;28;0.624339;236;;
315;Henri Chomette;Regie;2;29;4;0.370133;0.398748;458.916616;0.144303;26;0.547692;178;;
316;Herbert Körner;Kamera;2;25;4;0.405532;0.433237;227.826882;0.204987;25;0.543333;163;;
317;Hermann Freyberg;Drehbuch/Regie;2;8;6;0.265175;0.276243;0;0.006387;4;1;6;;
318;Munni Obal;Schnitt;2;28;4;0.390696;0.417919;60.362888;0.193093;22;0.735931;170;;
319;Monette Dinay;Darsteller;2;26;4;0.367616;0.392293;145.21097;0.128558;23;0.600791;152;;
320;Hermann Thimig;Darsteller;2;25;4;0.39825;0.425723;233.179938;0.208835;24;0.550725;152;;
321;Milo Harbich;Schnitt;2;25;4;0.394617;0.421676;267.946466;0.171105;25;0.513333;154;;
322;Michael Balcon;Produzent;2;29;5;0.328523;0.354143;821.478755;0.082938;26;0.593846;193;;
323;Gustav Fröhlich;Darsteller/Regie;2;24;4;0.384786;0.411753;201.922404;0.164681;24;0.561594;155;;
324;Hilde von Stolz;Darsteller;2;26;4;0.393182;0.420809;1674.279433;0.194671;26;0.504615;164;;
325;Meg Lemonnier;Darsteller;2;24;4;0.364364;0.389981;116.128546;0.131435;21;0.557143;117;;
326;Horst Birr;Darsteller;2;27;4;0.389289;0.41763;232.777131;0.206349;25;0.54;162;;
327;Gustav Lohse;Schnitt;2;31;5;0.377729;0.406647;149.371703;0.135175;25;0.62;186;;
328;Lucie Englisch;Darsteller;2;25;5;0.367304;0.392871;45.853927;0.123353;20;0.710526;135;;
329;Peter Haller;Kamera;2;26;5;0.350202;0.374586;292.76431;0.063495;22;0.580087;134;;
330;Franz Josef Dahinden;Kamera;2;37;5;0.328647;0.354566;6.021213;0.089624;20;0.968421;184;;
331;Elisabeth Wendt;Darsteller;2;25;5;0.376742;0.406744;513.635296;0.124262;24;0.485507;134;;
332;Elga Brink;Darsteller;2;27;4;0.394977;0.424181;198.734525;0.208503;24;0.565217;156;;
333;Edwige Feuillère;Darsteller;2;29;4;0.386679;0.417437;672.630112;0.195015;29;0.487685;198;;
334;Eduard von Winterstein;Darsteller;2;21;4;0.399723;0.426012;613.062599;0.156853;19;0.561404;96;;
335;Victor Janson;Regie;2;21;4;0.391757;0.417919;42.319265;0.204724;19;0.637427;109;;
336;Rolf von Goth;Darsteller;2;24;4;0.393182;0.420617;500.275758;0.145849;22;0.493506;114;;
337;Rolf Randolf;Produzent/Regie;2;22;5;0.356554;0.377842;0;0.057365;11;1;55;;
338;Rolf E. Vanloo;Drehbuch;2;29;5;0.34739;0.373699;26.579871;0.095466;20;0.842105;160;;
339;Attila Hörbiger;Darsteller;2;23;5;0.369658;0.396146;983.489065;0.08362;22;0.480519;111;;
340;Walter Reisch;Drehbuch;2;26;5;0.363904;0.388439;405.795191;0.106361;22;0.588745;136;;
341;Roger Karl;Darsteller;2;30;4;0.372684;0.403276;660.653944;0.181359;30;0.498851;217;;
342;Eliza Illiard;Darsteller;2;28;4;0.405532;0.432274;46.678084;0.251924;22;0.748918;173;;
343;Arsen von Cserépy;Produzent/Regie;2;22;4;0.370926;0.392197;0;0.08054;11;1;55;;
344;Franz Nicklisch;Darsteller;2;24;4;0.375434;0.401734;236.000567;0.117046;22;0.541126;125;;
345;Willy Hameister;Kamera;2;21;4;0.380554;0.405684;422.472439;0.122911;19;0.497076;85;;
346;Robert Wuellner;Produzent;2;33;5;0.395158;0.427938;418.951254;0.248826;32;0.52621;261;;
347;Franz Planer;Kamera;2;26;5;0.363904;0.388439;405.795191;0.106361;22;0.588745;136;;
348;Aribert Mog;Darsteller;2;30;4;0.396244;0.42447;515.207808;0.221097;27;0.547009;192;;
349;Erich Engel;Regie/Drehbuch;3;42;4;0.388589;0.417823;560.252095;0.162294;28;0.492063;186;;
350;Robert Gys;Bauten;2;25;4;0.332564;0.354335;6.77932;0.043302;17;0.816176;111;;
351;Anton Pointner;Darsteller;2;24;4;0.397153;0.424374;215.59731;0.223761;24;0.503623;139;;
352;Willy Schmidt-Gentner;Musik;2;25;4;0.371564;0.397206;819.932461;0.091277;24;0.496377;137;;
353;Trude Marlen;Darsteller;2;25;4;0.390696;0.419075;280.491855;0.195247;23;0.517787;131;;
354;Eva Leidmann;Drehbuch;2;27;4;0.393003;0.421869;337.102364;0.178095;26;0.504615;164;;
355;Annie Markart;Darsteller;2;29;5;0.384103;0.414933;318.736684;0.1801;26;0.550769;179;;
356;Elsa Wagner;Darsteller;2;21;4;0.376906;0.400674;394.140429;0.096681;20;0.510526;97;;
357;Werner Fuetterer;Darsteller;2;22;4;0.383252;0.408285;1381.880756;0.107883;21;0.509524;107;;
358;Emmy Sonnemann;Darsteller;2;37;5;0.328647;0.354566;6.021213;0.089624;20;0.968421;184;;
359;Carl Esmond;Darsteller;2;22;5;0.37576;0.402023;723.484647;0.122938;20;0.484211;92;;
360;Erich Waschneck;Regie/Drehbuch;3;26;4;0.380387;0.404046;226.366944;0.107101;18;0.529412;81;;
361;Emmerich Kálmán;Musik;2;29;4;0.39229;0.418015;97.678478;0.180596;21;0.747619;157;;
362;Walter von Lennep;Darsteller;2;24;4;0.388939;0.414836;67.229824;0.195509;20;0.636842;121;;
363;Emeric Pressburger;Drehbuch;2;31;4;0.380387;0.406069;48.592914;0.176789;21;0.857143;180;;
364;Sonnie Hale;Darsteller;2;29;5;0.328523;0.354143;821.478755;0.082938;26;0.593846;193;;
365;Bruno Lanz;Bauten;2;37;5;0.328647;0.354566;6.021213;0.089624;20;0.968421;184;;
366;Rudolf Klicks;Darsteller;2;29;5;0.367148;0.395857;75.719594;0.146297;23;0.750988;190;;
367;Werner Schott;Darsteller;2;26;5;0.382236;0.411464;385.111923;0.145386;24;0.485507;134;;
368;Siegfried Schürenberg;Darsteller;2;26;4;0.394617;0.421195;477.543271;0.144723;24;0.496377;137;;
369;Serge de Poligny;Regie;2;34;5;0.36238;0.39422;1674.366825;0.117208;33;0.488636;258;;
370;Ernst Petersen;Darsteller;2;30;5;0.359817;0.384875;4.421293;0.100696;17;0.911765;124;;
371;Sabine Peters;Darsteller;2;21;5;0.391049;0.419075;126.919606;0.172455;21;0.542857;114;;
372;Rudolf Schaad;Schnitt;2;26;5;0.373328;0.402697;47.305354;0.153045;19;0.74269;127;;
373;Trude Hesterberg;Darsteller;2;24;4;0.404017;0.431985;95.48421;0.250337;23;0.596838;151;;
374;Ery Bos;Darsteller;2;24;5;0.369974;0.398362;368.133328;0.148733;24;0.51087;141;;
375;Eugen Klöpfer;Darsteller;2;37;5;0.328647;0.354566;6.021213;0.089624;20;0.968421;184;;
376;Wilhelm Stöppler;Drehbuch;2;37;5;0.328647;0.354566;6.021213;0.089624;20;0.968421;184;;
377;Willy Zeunert;Schnitt;2;28;4;0.396789;0.426975;262.296543;0.200738;27;0.527066;185;;
378;Robert Neppach;Produzent;2;25;4;0.396789;0.42447;156.02146;0.181385;22;0.649351;150;;
379;Françoise Rosay;Darsteller;2;28;4;0.373489;0.40289;174.0171;0.19126;28;0.544974;206;;
380;Gerda Maurus;Darsteller;2;28;4;0.406485;0.434971;212.462259;0.283442;27;0.549858;193;;
381;Reginald Arkell;Drehbuch;2;25;4;0.332564;0.354335;6.77932;0.043302;17;0.816176;111;;
382;Alberto Giacalone;Produzent;2;29;5;0.378059;0.409152;480.40996;0.164188;28;0.502646;190;;
383;Richard Romanowsky;Darsteller;2;23;4;0.391049;0.41657;222.625423;0.143318;22;0.558442;129;;
384;Albert Fischer;Musik;2;25;4;0.378059;0.402023;75.280436;0.13121;19;0.71345;122;;
385;Albert Berthold Henninger;Bauten;2;29;5;0.34739;0.373699;26.579871;0.095466;20;0.842105;160;;
386;Walter Forster;Drehbuch;2;25;4;0.396425;0.424855;193.895045;0.200757;25;0.513333;154;;
387;Albert Benitz;Kamera;2;31;5;0.367616;0.398555;310.991884;0.13503;27;0.566952;199;;
388;Gerald Barry;Darsteller/Regie;3;36;4;0.332564;0.354335;6.77932;0.043302;17;0.816176;111;;
389;Wolfgang Wehrum;Schnitt;2;25;5;0.36887;0.398266;305.882801;0.132116;25;0.486667;146;;
390;Reinhold Meißner;Drehbuch/Produzent;2;27;4;0.377729;0.40578;685.796442;0.118658;27;0.487179;171;;
391;Walter Haag;Bauten;2;29;4;0.381393;0.408285;194.823197;0.126217;25;0.593333;178;;
392;Pierre Blanchar;Darsteller;2;25;4;0.369027;0.394701;274.212615;0.117812;24;0.557971;154;;
393;Gerhard Winkler;Musik;2;24;5;0.354218;0.376513;0.858072;0.099124;14;0.956044;87;;
394;Conrad Veidt;Darsteller;2;37;5;0.328647;0.354566;6.021213;0.089624;20;0.968421;184;;
395;Peter Voss;Darsteller;2;24;5;0.370767;0.399711;542.374234;0.127624;24;0.481884;133;;
396;Peter Ostermayr;Drehbuch/Produzent;2;26;5;0.339083;0.358882;0;0.045868;13;1;78;;
397;Gottfried Huppertz;Musik;2;27;5;0.366836;0.392775;53.641858;0.103639;20;0.710526;135;;
398;Gottlieb Madl;Schnitt;2;24;4;0.39354;0.419268;84.449674;0.167361;21;0.647619;136;;
399;Gretl Theimer;Darsteller;2;25;4;0.380053;0.405877;1592.27209;0.114316;24;0.485507;134;;
400;Reinhart Steinbicker;Regie;2;27;4;0.346277;0.36975;31.490403;0.082543;20;0.784211;149;;
401;Albert Valentin;Regie;2;27;4;0.373812;0.399807;199.411575;0.118575;23;0.656126;166;;
402;Thea Aichbichler;Darsteller;2;24;5;0.365751;0.392004;83.195489;0.102523;19;0.690058;118;;
403;Wolf Neumeister;Drehbuch;2;27;4;0.404206;0.432948;282.036398;0.256022;27;0.518519;182;;
404;Friedrich Kayßler;Darsteller;2;29;5;0.374783;0.406551;564.945568;0.165488;27;0.512821;180;;
405;René Métain;Schnitt;2;26;5;0.381898;0.410212;683.001257;0.149092;25;0.496667;149;;
406;Vivigenz Eickstedt;Darsteller;2;27;5;0.366525;0.397881;505.911192;0.15439;27;0.547009;192;;
407;Friedrich Walther;Drehbuch;2;28;4;0.390696;0.417919;60.362888;0.193093;22;0.735931;170;;
408;Fritz Alberti;Darsteller;2;26;5;0.383422;0.412428;232.726613;0.119826;23;0.529644;134;;
409;Alice Ludwig;Schnitt;2;31;4;0.412297;0.442004;259.792628;0.3126;31;0.533333;248;;
410;Richard Benson;Drehbuch;2;29;5;0.328523;0.354143;821.478755;0.082938;26;0.593846;193;;
411;Alwin Elling;Schnitt;2;27;4;0.394977;0.423603;291.531394;0.229126;25;0.496667;149;;
412;Angela Salloker;Darsteller;2;28;4;0.384444;0.412524;536.848781;0.13888;27;0.487179;171;;
413;Friedel Buckow;Schnitt;2;26;4;0.397336;0.425337;205.760982;0.202917;25;0.56;168;;
414;Alfred Bütow;Bauten;2;27;4;0.403451;0.43131;113.957535;0.277407;25;0.596667;179;;
415;Alfred Abel;Darsteller;2;12;5;0.357734;0.380925;11.742258;0.102945;11;0.836364;46;;
416;Dr. Edgar Beyfuß;Drehbuch/Regie;2;20;6;0.232277;0.24526;0;0.00602;10;1;45;;
417;Annemarie Sörensen;Darsteller;2;16;5;0.370608;0.397399;219.441384;0.120321;15;0.6;63;;
418;Marguerite Templey;Darsteller;1;14;4;0.334752;0.354335;0;0.067311;13;1;78;;
419;Margit Symo;Darsteller;1;16;4;0.376251;0.399711;0;0.149495;16;1;120;;
420;Walther Suessenguth;Darsteller;1;13;4;0.371883;0.392582;0;0.13478;13;1;78;;
421;Margarete Slezak;Darsteller;1;15;5;0.371564;0.396146;0;0.133998;14;1;91;;
422;Marian Kolb;Drehbuch;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
423;Maria Seidler;Darsteller;1;14;5;0.354654;0.377649;0;0.097169;13;1;78;;
424;Walter Jurmann;Musik;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
425;Maria Meißner;Darsteller;1;13;5;0.365596;0.388825;0;0.105749;13;1;78;;
426;Marie Löhr;Darsteller;1;15;5;0.327156;0.347784;0;0.072186;15;1;105;;
427;Walter Meißner;Musik;1;15;4;0.364211;0.386127;0;0.125659;14;1;91;;
428;Marianne Wehmer;Darsteller;1;9;5;0.330784;0.351561;0;0.04242;9;1;36;;
429;Walter Ulfig;Musik;1;13;5;0.344896;0.366089;0;0.054321;13;1;78;;
430;Maria Beling;Darsteller;1;10;5;0.323364;0.344547;0;0.034504;10;1;45;;
431;Walter Kollo;Musik;1;14;4;0.356114;0.376301;0;0.074932;13;1;78;;
432;Marian Marsh;Darsteller;1;15;5;0.338155;0.358382;0;0.049566;13;1;78;;
433;Walter Schütze;Musik;1;15;4;0.373006;0.397399;0;0.143286;15;1;105;;
434;Walter Ladengast;Darsteller;1;9;4;0.342846;0.359056;0;0.038144;8;1;28;;
435;Walter Steinweg;Darsteller;1;14;5;0.354654;0.377649;0;0.097169;13;1;78;;
436;Walter Lantzsch;Darsteller;1;13;4;0.366525;0.388825;0;0.109383;13;1;78;;
437;Maria Loja;Darsteller;1;14;5;0.360717;0.384489;0;0.092347;14;1;91;;
438;Marguerite de Morlaye;Darsteller;1;14;4;0.336445;0.356262;0;0.06962;13;1;78;;
439;Willi Kollo;Musik;1;14;4;0.370767;0.392967;0;0.109642;14;1;91;;
440;Margarete Kühnert;Darsteller;1;11;6;0.232277;0.24526;0;0.00602;10;1;45;;
441;Werner Hundhausen;Kamera;1;5;6;0.265175;0.276243;0;0.006387;4;1;6;;
442;Léon Bélières;Darsteller;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
443;Lyne Cleversla comtesse Stasi;Darsteller;1;14;4;0.351198;0.371291;0;0.086954;13;1;78;;
444;Willy Richartz;Musik;1;14;5;0.352055;0.374566;0;0.076556;13;1;78;;
445;Winfried Zillig;Musik;1;13;5;0.351483;0.373121;0;0.066217;13;1;78;;
446;Wladimir Sokoloff;Darsteller;1;14;4;0.336445;0.356262;0;0.06962;13;1;78;;
447;Wolf Albach-Retty;Darsteller;1;13;4;0.370133;0.390944;0;0.091549;13;1;78;;
448;Wolf Harro;Darsteller;1;10;5;0.323364;0.344547;0;0.034504;10;1;45;;
449;Wolfgang Hoffmann-Harnisch;Drehbuch;1;12;4;0.356554;0.376108;0;0.063932;12;1;66;;
450;Ludwig Czerny;Produzent;1;10;5;0.300452;0.317168;0;0.013504;9;1;36;;
451;Wolfgang Keppler;Darsteller;1;12;5;0.347111;0.369364;0;0.056774;12;1;66;;
452;Wolfgang Loë-Bagier;Schnitt;1;14;4;0.356114;0.376301;0;0.074932;13;1;78;;
453;Lucienne Lemarchand;Darsteller;1;13;4;0.335922;0.357033;0;0.058972;13;1;78;;
454;Lucien Dayle;Darsteller;1;15;4;0.356995;0.378805;0;0.111049;15;1;105;;
455;Lucien Carol;Darsteller;1;15;4;0.358475;0.381985;0;0.122041;15;1;105;;
456;Wolfgang Staudte;Darsteller;1;10;5;0.300452;0.317168;0;0.013504;9;1;36;;
457;Wolfgang Zeller;Musik;1;14;5;0.313747;0.332678;0;0.020713;11;1;55;;
458;Lucie Höflich;Darsteller;1;16;5;0.370767;0.395568;0;0.093635;16;1;120;;
459;Zehra Achmed;Darsteller;1;16;5;0.370767;0.395568;0;0.093635;16;1;120;;
460;Madeleine Ozeray;Darsteller;1;14;4;0.336445;0.356262;0;0.06962;13;1;78;;
461;Magda Lena;Darsteller;1;16;5;0.352342;0.374085;0;0.11599;14;1;91;;
462;Willy Birgel;Darsteller;1;14;4;0.339882;0.359538;0;0.073759;13;1;78;;
463;Werner Pledath;Darsteller;1;12;5;0.347111;0.369364;0;0.056774;12;1;66;;
464;Marfa Dhervillyla princesse de Weylersheim;Darsteller;1;14;4;0.351198;0.371291;0;0.086954;13;1;78;;
465;Marfa Dhervilly;Darsteller;1;12;4;0.356848;0.377071;0;0.082182;12;1;66;;
466;Marcel Vallée;Darsteller;1;13;4;0.335922;0.357033;0;0.058972;13;1;78;;
467;Marcel Dalio;Darsteller;1;12;4;0.356848;0.377071;0;0.082182;12;1;66;;
468;Marcel Cleinow;Schnitt;1;9;5;0.318953;0.336628;0;0.018939;8;1;28;;
469;Werner Jantsch;Darsteller;1;13;5;0.346554;0.367534;0;0.066336;12;1;66;;
470;Werner Kortwich;Drehbuch;1;13;4;0.385472;0.408574;0;0.154306;13;1;78;;
471;Marc Valbel;Darsteller;1;15;5;0.337101;0.360019;0;0.074595;15;1;105;;
472;Maja Feist;Darsteller;1;14;4;0.380554;0.403179;0;0.144339;14;1;91;;
473;Manning Haynes;Regie;1;19;5;0.319424;0.34422;0;0.075508;18;1;153;;
474;Wilhelm Kaiser-Heyl;Darsteller;1;9;5;0.318953;0.336628;0;0.018939;8;1;28;;
475;Wilhelm P. Krüger;Darsteller;1;14;5;0.352055;0.374566;0;0.076556;13;1;78;;
476;Mally Georgi;Darsteller;1;15;4;0.364057;0.386898;0;0.098835;14;1;91;;
477;Marie-Louise Droop;Drehbuch;1;12;5;0.339083;0.359441;0;0.073928;12;1;66;;
478;Willi Wolff;Produzent;1;14;4;0.356114;0.376301;0;0.074932;13;1;78;;
479;Willy Achsel;Drehbuch;1;12;5;0.353639;0.374277;0;0.066064;12;1;66;;
480;Marie Mayerhofer;Darsteller;1;12;5;0.313406;0.331233;0;0.025575;11;1;55;;
481;Max Zankl;Darsteller;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
482;Walter Holten;Darsteller;1;9;5;0.330784;0.351561;0;0.04242;9;1;36;;
483;Rotraut Richter;Darsteller;1;13;5;0.347949;0.369364;0;0.074383;13;1;78;;
484;Paul Bernard;Darsteller;1;13;4;0.339083;0.360405;0;0.072281;12;1;66;;
485;Richard Billinger;Drehbuch;1;16;5;0.370767;0.395568;0;0.093635;16;1;120;;
486;Paul Azaïs;Darsteller;1;13;4;0.332054;0.351156;0;0.046675;13;1;78;;
487;Richard Ralf;Musik;1;12;5;0.347111;0.369364;0;0.056774;12;1;66;;
488;Otto Wernicke;Darsteller;1;16;5;0.352342;0.374085;0;0.11599;14;1;91;;
489;Richard Stauch;Musik;1;11;6;0.232277;0.24526;0;0.00602;10;1;45;;
490;Otto Wallburg;Darsteller;1;9;5;0.374297;0.395568;0;0.084837;9;1;36;;
491;Robert Eckert;Darsteller;1;12;5;0.313406;0.331233;0;0.025575;11;1;55;;
492;Otto Moldenhauer;Bauten;1;13;5;0.344896;0.366089;0;0.054321;13;1;78;;
493;Robert Siodmak;Regie;1;7;1;1;1;0;0.002934;7;1;21;;
494;Otto Kronburger;Darsteller;1;10;4;0.36314;0.381985;0;0.071466;10;1;45;;
495;Roger Duchesne;Darsteller;1;13;4;0.342982;0.364933;0;0.073643;13;1;78;;
496;Roger von Norman;Schnitt;1;12;4;0.373328;0.39499;0;0.133732;12;1;66;;
497;Roland Schacht;Drehbuch;1;14;4;0.360267;0.383622;0;0.100138;13;1;78;;
498;Otto Ernst Lubitz;Produzent;1;13;4;0.366525;0.388825;0;0.109383;13;1;78;;
499;Rolla France;Darsteller;1;16;4;0.349072;0.371098;0;0.109902;16;1;120;;
500;Ronald Squire;Darsteller;1;12;5;0.316271;0.334489;0;0.029953;11;1;55;;
501;Rosa Kirchner-Lang;Darsteller;1;6;5;0.302236;0.318516;0;0.013171;5;1;10;;
502;Otto Büsack;Produzent;1;14;5;0.35626;0.378035;0;0.070975;13;1;78;;
503;Rose Stradner;Darsteller;1;14;5;0.358772;0.378709;0;0.086556;13;1;78;;
504;Rosine Deréan;Darsteller;1;15;5;0.337101;0.360019;0;0.074595;15;1;105;;
505;Paul Bildt;Darsteller;1;13;5;0.351483;0.373121;0;0.066217;13;1;78;;
506;Reva Holsey;Darsteller;1;12;5;0.356554;0.377842;0;0.057365;11;1;55;;
507;René Lefèvre;Darsteller;1;14;5;0.345034;0.366089;0;0.101113;13;1;78;;
508;Raymond Leboursier;Schnitt;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
509;Philipp Weichand;Darsteller;1;9;5;0.331037;0.347996;0;0.029455;7;1;21;;
510;Peter Erkelenz;Darsteller;1;17;5;0.356114;0.377649;0;0.078457;15;1;105;;
511;Paulette Dubost;Darsteller;1;10;4;0.339216;0.357514;0;0.053825;9;1;36;;
