Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Alle Tage ist kein Sonntag,https://www.filmportal.de/film/alle-tage-ist-kein-sonntag_e5d94bf2380642eea8aa3c16bdd8ae8d,Spielfilm,1935,Deutschland,,,Heinrich Richter,,"Wolfgang Liebeneiner: Erich Sieber, Adele Sandrock: Frau Faber, seine Großmutter, Wilhelm P. Krüger: Heinrich Peters, Meister der keramischen Werkstatt, Carola Höhn: Margot, seine Tochter, Erich Kestin: Walter Neumann, Zeichner, Erichs Freund, Paul Henckels: Hermann Wagner, Zigarrenhändler, Annie Markart: Hanni Wittler, Verkäuferin, seine Nichte, Erich Fiedler: Roeder, Hochstapler, Willy Schaeffers: Dr. Marr, sein Komplize, Vivigenz Eickstedt: Zimmermann, Architekt, Hans Nerking: Kriminalkommissar Meißner, Hellmuth Passarge: Erster Geselle, Horst Birr, Beppo Seidler: Arbeiter bei Peters, Erika Fischer, Lotte Preuss, Else Reval, Wera Schultz: Angestellte bei Peters, Ferdinand Robert: Kellner, Viggo Larsen, Willi Schur",,,,"Max Wallner, Hans Vietzke, Georg Zoch",,"Fritz Pietsch, Luise Lehmann",,,Georg Krause,,,,Günther Schwenn,,"Carl Clewing, Will Meisel",,Walter Ulfig,,"K.U.-Filmproduktions- und Vertriebs-Gmb: H, Ulrich & Neuß (Berlin), Delta Film Gmb: H (Berlin)",Hermann Schmidt,"Kurt Ulrich, Hermann Schmidt",Walter Janssen,Günther Rennert,"Walter Dettmann, Otto Garden",Fritz C. Mauch,,Kurt Wunsch,,Erich Lange,,,,,,,
Alles um eine Frau. Kameraden,https://www.filmportal.de/film/alles-um-eine-frau-kameraden_be74dbf9a71949aeae7223ef0898d752,Spielfilm,1935,Deutschland,,,,,"Charlotte Susa, Gustav Diessl, Paul Hartmann, Harry Frank, Hans Kettler, Willi Schur, Olaf Fjord, Hubert von Meyerinck, Carsta Löck, Gerhard Bienert, Albert Hörrmann, Anna Müller-Lincke, Hans Nerking, Bruno Ziener, Alfred Stein",,,,"Max Wallner, Hans Vietzke",,,,,Franz Koch,,,,,,Gert van Stetten,,,,"K.U.-Filmproduktions- und Vertriebs-Gmb: H, Ulrich & Neuß (Berlin), Delta Film Gmb: H (Berlin)",,,Alfred Abel,,,,,,,,,,"2294 m, 84 min","35mm, 1:1.33",s/w,,
Alles weg'n dem Hund. Das verrückte Testament,https://www.filmportal.de/film/alles-wegn-dem-hund-das-verrueckte-testament_f7158da980094e099a7780206ad243ed,Spielfilm,1935,Deutschland,,,"Otto Gülstorff, Hans Minzloff",,"Weiß-Ferdl: Sebastian Neumeyer, Postassistent, Julia Serda: Cilly, seine Frau, Edith Oss: Anny, beider Tochter, Waldemar Spann-Müller: Schorschi, beider Sohn, Heiner Dugal: Pepi, beider Sohn, Peter Bosse: Der kleine Hansl, beider Jüngster, Otto Sauter-Sarto: Hölzinger, Postmeister, Trude Hesterberg: Lottchen, seine Frau, Dieter Borsche: Franz, beider Sohn, Willy Schaeffers: Pilzer, Notar, Robert Jungk: Jean, Diener, Irene Andor: Frau Schmederer, Bäckermeisterin, Wolfgang von Schwindt: Apotheker, Otto Kronburger: Zimmermann, Neumeyers Kollege, Lucie Euler: Frau Schwiebus, Egon Brosig: Geier, Auktionator, Vera Hartegg: Zenzi, Else Lüders: Baumeisterin, Karl Harbacher1. Gast im Restaurant, Heinz Herkommer2. Gast im Restaurant, Irene Hübner: Gast bei Frau Hölzlinger, Leo Peukert: Tierarzt, Norma Wellhoff: Frau mit Hund",,,,"Dr. Lohmeyer, Max Wallner",,Anton Bauer,,,Georg Krause,,,,,Willy Wollschläger,Max A. Pflugmacher,,,,Schulz & Wuellner Filmfabrikation u. Vertriebs Gmb: H (Berlin),,"Karl Schulz, Robert Wuellner, Erich Schicker",Fred Sauer,,"Hans Meerwald, Heinz Hegel",Marianne Behr,,Willibald Gaebel,,Fritz Seeger,,,,,,,
Der alte und der junge König,https://www.filmportal.de/film/der-alte-und-der-junge-koenig_48ee964399c241c29a637dd092b6976f,Spielfilm,1935,Deutschland,Gustav Rathje,,"Fritz Maurischat, Karl Weber",Sabine Ress,"Emil Jannings: König Friedrich Wilhelm I., Leopoldine Konstantin: Königin Sophie, Werner Hinz: Kronprinz Friedrich, Carola Höhn: Kronprinzessin, Marieluise Claudius: Prinzessin Wilhelmine, Claus Clausen: Leutnant Katte, Friedrich Kayßler: Kattes Vater, Georg Alexander: Erbprinz von Bayreuth, Walter Janssen: Erbprinz von Natzmer, Theodor Loos: Erbprinz von Rochow, Heinrich Marlow: Erbprinz Grumbkow, Fritz Odemar: Erbprinz Dessauer, Leopold von Ledebur: Erbprinz von Waldow, Rudolf Klein-Rogge: Dessauer, Friedrich Ulmer: Erbprinz von Reichmann, Harry Hardt: Erbprinz von Seckendorff, Luise Moorland: Frau von Kamecke, Emilie Unda: Frau von Ramen, Ruth Eweler: Fräulein von Sonsfeld, Eugen Rex: Eversmann, Ellen Frank: Gräfin Arnim, Paul Henckels: Pesne, Hans Leibelt: Knobelsdorf, Walter Steinbeck: Steinbeck, Hadrian Maria Netto1. Wucherer, Egon Brosig2. Wucherer",,,,"Thea von Harbou, Rolf Lauckner",,,,,Karl Puth,,,"Erich Kröhnke (Künstlerische Leitung), Herbert Knötel (Künstlerischer Beirat)",,,Wolfgang Zeller,,,,Deka-Film Gmb: H (Berlin),Alfred Greven,,Hans Steinhoff,Toni Huppertz,,Willy Zeyn jun.,,,,Adolf Jansen,,,,"35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Der Ammenkönig,https://www.filmportal.de/film/der-ammenkoenig_f82950f2cb19440194dc3da670e92766,Spielfilm,1935,Deutschland,,,,,"Käthe Gold: Die Marktgräfin, Richard Romanowsky: Der Marktgraf, Gustav Knuth: Hans Stork, Marieluise Claudius: Lisbeth, Erika von Thellmann: Prinzessin Mathilde, die Schwester des Marktgrafen, Fita Benkhoff: Theres, Theo Lingen: Der Keuschheitskommissar, Georg Heinrich Schnell: Herr von Geldern, Erhard Siedel: Flitzinger, Rudolf Klein-Rogge: Herr von Roden, Ernst Behmer: Leibdiener Pfeffermann, Gerhard Dammann: Wachtmeister Schlippenbach, Flockina von Platen: Frau von Prillwitz, Hofdame, Friedrich Ettel: Sass, Hadrian Maria Netto: Zeremonienmeister, Max Wilmsen, Ernst Rotmund, Paul Rehkopf, Kurt Getke, Egon Brosig, Arthur Reinhardt, Klaus Pohl, Valy Arnheim, Josefine Dora, Betty Sedlmayr, Gerti Ober, Mara Jakisch, Erika Biebrach, Alfred Stratmann, Herbert Paulmüller, Franz Schöber",,,,"Ernst Hasselbach, Axel Eggebrecht, Erich Kröhnke",,,,,Karl Puth,"Rudolf Bredtschneider, Willy Gerlach",,,Richard Billinger,,Franz Grothe,,Franz Grothe,,Centropa-Film Gmb: H (Berlin),,,Hans Steinhoff,,,,,,,,Max Dreyer (Komödie),,"2818 m, 103 min","35mm, 1:1,33","s/w, Tobis-Klangfilm",,
Amphitryon,https://www.filmportal.de/film/amphitryon_5b64a1eac8634ad89929afc4aa1f6d8f,Spielfilm,1935,Deutschland,"Otto Lehmann, Alexander Schneider-Desnitzky",,"Robert Herlth, Walter Röhrig",,"Willy Fritsch: Jupiter / Amphitryon, Käthe Gold: Amphitryons Gemahlin Alkmene, Adele Sandrock: Jupiters Gemahlin Juno, Paul Kemp: Diener Sosias / Götterbote Merkur, Fita Benkhoff: Alkmenes Dienerin Andria, Ewald Wenck: Dr. Äskulap, Aribert Wäscher: Kriegsminister, Hilde Hildebrand1. Freundin Alkmenes, Vilma Bekendorf2. Freundin Alkmenes, Anni Ann3. Freundin Alkmenes, Hilde Boenisch4. Freundin Alkmenes, Ellen Ruth Güttingen1. Thebener Ehefrau, Annemarie Korff2. Thebener Ehefrau, Liesl Otto3. Thebener Ehefrau, Annemarie Schwindt4. Thebener Ehefrau, Albert Karchow: Alter Grieche, Gerhard Bienert, Anita Düvel, Käte Jöken-König, Hilde Seipp, Herbert Weißbach",,,,Reinhold Schünzel,,"Max König, Karl August Strack, Gertrud Wendt, Ida Revelli",Günther Stapenhorst,,"Fritz Arno Wagner, Werner Bohne","Werner Krien, Igor Oberberg","Rochus Gliese, Manon Hahn, Walter Schulze-Mittendorff",,"Bruno Balz, Charles Amberg",Wilhelm Weber,Franz Doelle,,Franz Doelle,,Universum-Film AG (UFA) (Berlin) (Herstellungsgruppe Günther Stapenhorst),Erich von Neusser,,Reinhold Schünzel,Kurt Hoffmann,"Erich Düring, Karl Mühlberger",Arnfried Heyne,,Horst von Harbou,,Fritz Thiery,"Heinrich von Kleist (Bühnenstück ""Amphitryon""), Titus Maccius Plautus (Bühnenstück ""Amphitryo"")",,"2870 m, 105 min","35mm, 1:1,33","s/w, Tobis-Klangfilm",,
Anschlag auf Schweda,https://www.filmportal.de/film/anschlag-auf-schweda_8619ca54f70447498e133702a35b5261,Spielfilm,1935,Deutschland,"Karl Gillmore, Willy Laschinsky",,"Gabriel Pellon, Kurt Dürnhöfer",,"Marianne Hoppe: Regine Kessler, Peter Voss: Schweda, Hanna Waag: Marion, Eugen Klöpfer: Clavel, Grethe Weiser: Mia Gunst, Walter Ladengast: Hans Kessler, Walter Janssen: Inglia, Ernst Legal: Hotelier Sutter, Ernst Rotmund: Kriminalkommissar, Ernst Behmer: Varietédirektor, Franz Zimmermann: Peter Buchecker, Armin Schweizer: Hotelportier, Arnim Süssenguth: Twelvetree, Gerti Ober: Frl. Schober, Gertrud Wolle: Gast im Hotel, Marietta Olly: Baronin, Hans Henninger: Gast im Hotel, Paul Hildebrandt: Kriminalbeamter, Georg A. ProféGast im Hotel, Hans Stiebner: Inspizient im Varieté, Alexander Fernoff: Theaterarzt, Anton Krilla: Schreiber, Herbert Hübner: Untersuchungsrichter, Paul Mederow: Sanatoriumsarzt in Davos, Olga von Burg: Krankenschwester, Ernst Reisig: Kneipenwirt, Wolf Ackva: Klavierspieler, Josef Dahmen: Bühnenarbeiter, Jakob Sinn: Strafanstaltsdirektor, Werner Schott: Zuchthausdirektor, Fritz Staudte: Ein alter Herr",,,,Karlheinz Martin,,"Margarete Sucrow, Hans Dupke",,,Alexander von Lagorio,G. F. Peters,,,,"Alma Timm, Carl Eduard Schulz",Winfried Zillig,,,,Rudolf Fritsch-Tonfilm Produktion Gmb: H (Berlin),,Rudolf Fritsch,Karlheinz Martin,Paul May,"Gerhard Busse, Hans Coelius",Paul May,,Rudolf Brix,,Martin Müller,Jan Molten (Roman),,,"35mm, 1:1,37","s/w, Tobis-Klangfilm",,
"April, April!",https://www.filmportal.de/film/april-april_c412516d358f4f2485cc862fc2a1a1af,Spielfilm,1935,Deutschland,Karl Schulz,,Carl Ludwig Kirmse,,"Erhard Siedel: Nudelfabrikant Julius Lampe, Werner Finck: Mehlhändler Leisegang, Paul Westermeier: Leisegangs Kompagnon Finke, Albrecht Schoenhals: Prinz von Holsten-Böhlau, Hubert von Meyerinck: Geschäftsreisender Müller, Charlott Daudert: Tochter Mirna Lampe, Lina Carstens: Mathilde Lampe, Carola Höhn: Sekretärin Friedl Bild, Annemarie Korff: Sekretärin des Prinzen, Herbert Weißbach: Herrn Finkes Freund, Hilde Schneider: Lampes Zofe Emmi, Wilhelm Egger-Sell: Lampes Angestellter, Max Mothes: Werksangestellter in weißem Kittel, Jacques Van Bylevelt1. Bekannter von Lampe, Johan Kaart jun.2. Bekannter von Lampe, Herman Tholen3. Bekannter von Lampe, Odette Orsy1. Gast bei Lampes, Wera Schultz2. Gast bei Lampes, Willi Wietfeldt3. Gast bei Lampes, Cissy van Bennekom, Erika Glässner, Erwin Hartung, Gerhard Heine, Isolde Laugs, Ilse Petri, Lotte Preuss, Josef Reithofer, Maria Seidler, Dorothea Thiess, Kurt Felden",,,,"H. W. Litschke, Rudo Ritter",,"Fritz Strack, Erna Gillmore",Peter Paul Brauer,,Willy Winterstein,"Karl Löb, Wolfgang Hofmann",,,"Werner Bochmann, Erwin Lehnow",Waldemar Jabs,Werner Bochmann,,,,Universum-Film AG (UFA) (Berlin) (Herstellungsgruppe Peter Paul Brauer),Peter Paul Brauer,,Detlef Sierck,Otto Galinowski,"Ernst Wassermann, Otto Garden",Fritz Stapenhorst,,Georg Kügler,,Carlheinz Becker,,,,"35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Artisten,https://www.filmportal.de/film/artisten_bcf23597f48d44a6a084bd53617070f9,Spielfilm,1935,Deutschland,"Eli Leonard, William Zeiske",,Willi A. Herrmann,,"Harry Piel: Harry Peters und seine Tiere Jumbo, Mira, Phips, Pitsch, Bonzo, Lora, Susi Lanner: Hella Stoll, Hilde Hildebrand: Vera Leander, Louis Ralph: Morelli, Hans Junkermann: Franz Hofer, Bruno Ziener: Kommissar Helmer, Hans von Zedlitz: Direktor Philipps, Ernst G. Schiffner: Inspizient, Gustav Püttjer: Fritz, Stahllbursche bei Harry Peters, Erich Walter: Diener Jean, Harry Hardt, Michael von Newlinski, Charly Berger, Fritz Wenneis",,,,"Max W. Kimmich, Harry Piel",,,,,Ewald Daub,Willy-Peter Bloch,,,Fritz Wenneis,"Arnold Jenssen, Adolf Braun",Fritz Wenneis,,,,Ariel-Film Gmb: H (Berlin),Ludwig Behrends,Harry Piel,Harry Piel,Conrad Flockner,,Hildegard Grebner,,Eigil Wangoe,,Emil Specht,,,"2900 m, 106 min",35mm,"s/w, Ton",,
Der Außenseiter,https://www.filmportal.de/film/der-aussenseiter_d3678119e9ee4259958cbec092652df7,Spielfilm,1935,Deutschland,,,"Erich Zander, Willi Depenau",,"Heinz Rühmann: Peter Bang, Schreinergeselle, Ernst Dumcke: Torsten, Rennstallbesitzer, Gina Falckenberg: Lilo, seine Tochter, Gustav Waldau: Maltmann, Trainer, Ellen Frank: Elli, seine Tochter, Karl Stepanek: Otto Burian, Jockey, Enrico Benfer: Hans Rückert, Jockey, Willi Schur: Kuhlke, Pferdehändler, Hans Junkermann: Zirkusdirektor, Else Reval: Esmeralda, seine Tochter, Alexa von Porembsky: Armanda, seine Tochter, Gerhard Dammann1. Rennbahnbesucher, Arthur Schröder2. Rennbahnbesucher, Julius Riedmüller: Gendarm, Lydia Schulenburg: Bardame, Toni Forster-Larrinaga",,,,Josef Stolzing-Czerny,,"Hermann Dor, Frieda Saumweber",,,"Ewald Daub, Karl Hasselmann",Willy-Peter Bloch,,,,Leo Wiedemann,Hans Carste,,Leo Leux,,Bavaria Film AG (München-Geiselgasteig),Ernst Garden,,Hans Deppe,,Wilhelm Lanz,Max Michael,,Wilhelm Kiermeier,,Karl-Albert Keller,,,,,,"Uraufführung (DE): 14.11.1935, München, Kammerlichtspiele",
