Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Die Andere,https://www.filmportal.de/film/die-andere_d6e74885e0104eadbfadd53a3069b580,Spielfilm,1924,Deutschland,Eduard Kubat,,Hans Jacoby,,"Fritz Alberti: Großindustrieller Mills, Xenia Desni: Georgette Cressin, Didier Aslan: Herzog von Soria, Elsie Fuller: Schauspielerin Blanche Terbrooch, Hugo Werner-Kahle: Jan Terbrooch, Hildegard Imhoff, Lina Paulsen, Franz Schönfeld, Gustav Adolf Semler",,,,"Iwan Smith, Fanny Carlsen",,,,,Carl Hoffmann,,,,,,Giuseppe Becce (Bei der Uraufführung),,,,"Universum-Film AG (UFA) (Berlin), Dea-Film Gmb: H Albert Pommer (Berlin)",Albert Pommer,Albert Pommer,Gerhard Lamprecht,,,,,,,,,,,35mm,"s/w, stumm",,
Arabella. Der Roman eines Pferdes,https://www.filmportal.de/film/arabella-der-roman-eines-pferdes_c389489e731246478bdeaa22fe08f891,Spielfilm,1924,Deutschland,,,"Karl Görge, Karl Grune (Entwürfe)",,"Mae Marsh: Arabella, Tänzerin, Alfons Fryland: Herrenreiter, Fritz Rasp: Artist, Jakob Tiedtke: Der Protzige, Fritz Kampers: Der ungetreue Knecht, Jaro Fürth: Der Hartherzige, Hermann Picha: Der Gutherzige",,,,Hans Kyser,,,,,"Karl Hasselmann, Karl Vass",,Ernö Metzner,,,,,,,,Stern-Film Gmb: H (Berlin),,,Karl Grune,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Auf Befehl der Pompadour,https://www.filmportal.de/film/auf-befehl-der-pompadour_3f99efa101c84fa481c0bf92777210ac,Spielfilm,1924,Deutschland,,,Willi A. Herrmann,,"Alwin NeußAbel Fernay, Besitzer der Fernay-Automobilwerke, Lya Mara: Lucienne, seine Nichte, Frida Richard: Catherine Fernay, seine Mutter, Jakob Tiedtke: Cyrus Fernay, sein Bruder, Hans Albers: Herzog von Riverolles, Max Neumann: David Moulin, Buchhalter, Sophie Pagay: Melisse, eine alte Dienerin, George Vaultier: Ludwig XV., Hermann Böttcherihr Vater, Robert Leffler: Herr von Tournehem, ihr Onkel, Karl Geppert: Charles d‘Etioles, Alfons Fryland: Leutnant André de Rohan, Paul Biensfeldt: Binet, Friedrich Kühne, Karl Harbacher, Harry Berber, Ernst Behmer",,,,"René Ferry, Alfred Halm",,,,,"Georg Muschner, Eduardo Lamberti",,Jean-Pierre Aumont,,,,Willy Schmidt-Gentner (Kino-Musik),,,,Phoebus-Film AG (Berlin),,,Friedrich Zelnik,,,,,,,,,,,"35mm, 1:1,33","s/w, ohne Ton",,
Auf gefährlichen Spuren,https://www.filmportal.de/film/auf-gefaehrlichen-spuren_ea96459675da4adfa4aaf2e253cf9c3c,Spielfilm,1924,Deutschland,,,Kurt Richter,,"Harry Piel: Harry, Gustav Oberg: Der Fürst, Dary Holm: Dorothy, Henrik Galeen: Francis Margreit, Fred Immler: Thomas, Diener beim Fürsten, Esther Carena: Gitty, Hausmädchen beim Fürsten, Paul Meffert: Bluntzli, Haupt einer Schmugglerbande, Jenny Marba: Marianne, Harrys Mutter",,,,"Henrik Galeen, Adolf Lantz, Harry Piel",,,,,"Georg Muschner, Gotthardt Wolf",,,,,,,,,,Hape-Film Co. Gmb: H (Berlin),,"Harry Piel, Heinrich Nebenzahl",Harry Piel,,,,,,,,,,"7 Akte, 2380 m",,stumm,,"Zensur (DE): 15.02.1928, B.18206, Jugendverbot"
Der Aufstieg der kleinen Lilian,https://www.filmportal.de/film/der-aufstieg-der-kleinen-lilian_704c20858a4e40bfa1782bc3fa07cc8f,Spielfilm,1924,Deutschland,,,Julian Ballenstedt,,"Maria Zelenka: Lilian, Bruno Kastner: Fred, Georg Baselt: Freds Vater Konsul Russart, Toni Tetzlaff: Russarts Gattin Helene, Gerty King: Mary, Margarete Kupfer: Vorsteherin des Dorotheenstifts, Marija Leiko: Nana, Theodor Loos: Fedor Horny, Hermann Picha: Meister Adremeit, Eugen Rex: Adremeits Geselle, Fritz Kampers: Jean, Anna von Palen",,,,Jane Bess,,,,,Marius Holdt,,,,,,,,,,,,,Fred Sauer,,,,,,,,,,,,,,
Aus der Jugendzeit klingt ein Lied,https://www.filmportal.de/film/aus-der-jugendzeit-klingt-ein-lied_6091e54da72143c1bcfb0682c18ce0e9,Spielfilm,1924,Deutschland,,,Willy Reiber,,"Maria Minzenti: Anna Tjomsen, Jack Mylong-Münz: Jürg Asmussen, Ferdinand Martini: Schuster Asmussen, Toni Wittelsseine Frau, Waldemar Pottier: Klein-Jürgen, Loni Nest: Klein-Anne, Georg Heinrich Schnell: Graf Tessing, Claire Harten: Gräfin Tessing, André Pilotihr Sohn Axel, Patric Gehring: Klein-Axel, Lilian Gray: Elinor Wilzin, Ernst Schrumpfihr Vater",,,,Max Ferner,,,,,Franz Koch,,,,,,,,,,,,,Franz Osten,,,,,,,,,,"6 Akte, 2123 m, 78 min",35mm,,,
Ausgerechnet Schwiegermutter,https://www.filmportal.de/film/ausgerechnet-schwiegermutter_03ddd91fc2e54f8b949bff1db1ec8c89,Spielfilm,1924,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Bacchantin,https://www.filmportal.de/film/die-bacchantin_658424fd114647cdb872ee83544bd5f0,Spielfilm,1924,Deutschland,,,Franz Seemann,,"Olga Tschechowa, Charlotte Ander, Hans Mierendorff, Bruno Kastner, Rudolf Lettinger, Loo Hardy, Sylvia Torff, Paul Westermeier, Rudolf Klein-Rohden, Alfred Braun, Carl Jönsson",,,,"Max Jungk, Julius Urgiß",,,,,Heinrich Gärtner,,,,,,,,,,,,,William Karfiol,,,,,,,,,,,,,,
Barfüßele. Ein Schwarzwaldidyll,https://www.filmportal.de/film/barfuessele-ein-schwarzwaldidyll_36fe85fcaa34474ba7aa45ad6018929b,Spielfilm,1924,Deutschland,,,,Bruno Arno,"Mizzi Schütz: Die reiche Furchenbäuerin, Siegfried Arno: Theobald, ihr Neffe, Maria Zelenka: Barfüßele, ihr Mündel, Robert Leffler: Der Landfriedbauer, Sophie Pagay: Die Landfriedbäuerin, Albert Maurer: Johannes, ihr Sohn, Heinrich Lisson: Der Rodelbauer, Melitta Klefer: Rosel, seine Tochter",,,,Hans Felsing,,,,,Walter Weisse,,,,,,Georg Enders (Kino-Musik),,,,,,,Heinrich Lisson,,,,,,,,"Berthold Auerbach (Roman ""Barfüßele. Ein Schwarzwaldidyll"")",,,,,,
Der Berg des Schicksals,https://www.filmportal.de/film/der-berg-des-schicksals_19a558ec53e24aab8df84986d295b03b,Spielfilm,1924,Deutschland,Adolf Essek (Innenaufnahmen),,Leopold Blonder,,"Hannes Schneider: Bergsteiger, Erna Morena: Frau des Bergsteigers, Gustav Oberg: Freund des Bergsteigers, Werner Scharschmidt1. unbekannter Kletterer, H. von Hoeslin2. unbekannter Kletterer, Frida Richard: Mutter des Bersteigers, Hertha von Walther: Tochter des Bergesteigers Hella, Luis Trenker: Sohn des Bergsteigers, Arnold Ernst Fanck",,,,Arnold Fanck,,,,,"Arnold Fanck (Außenaufnahmen), Hans Schneeberger (Außenaufnahmen), Herbert Oettel (Außenaufnahmen), Eugen Hamm (Innenaufnahmen), Sepp Allgeier (Innenaufnahmen)",,,,,,,,,,Berg- und Sportfilm Gmb: H (Freiburg/Br.),,Arnold Fanck,Arnold Fanck,,,Arnold Fanck,,,,,,,"2432 m, 89 min",35mm,"s/w, stumm",,
