Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
24 Stunden aus dem Leben einer Frau,https://www.filmportal.de/film/24-stunden-aus-dem-leben-einer-frau_0974395db1a44fa19e908cc5d8ee0b8b,Spielfilm,1931,Deutschland,,,Franz Schroedter (Gesamtausstattung),,"Henny Porten: Helga Vanroh, Walter Rilla: Sascha Lonay, Friedrich Kayßler: Professor Merk, Margo Lion: Frau Köhler, Hermine Sterler: Erika, Maria Koppenhöfer: Spielbankbesucherin, Walter Steinbeck: Hotelgast, Hadrian Maria Netto: Sekretär",,,,"Harry Kahn, Friedrich Raff",,,,,"Otto Kanturek (Atelier), Friedl Behn-Grund (Außenaufnahmen)",Bruno Timm,,,,"Adolf Arnold, Alfred Lehmann",,,,,"Henny Porten-Film Produktion Gmb: H (Berlin), Nero-Film AG (Berlin)",Wilhelm von Kaufmann,"Seymour Nebenzahl, Henny Porten, Wilhelm von Kaufmann, Ernst Wolff",Robert Land,,,Martha Dübber,,Alexander Schmoll,,Erich Lange,Stefan Zweig (Erzählung),,112 min,"35mm, 1:1,20","s/w, Tobis-Klangfilm",,
Die 3-Groschen-Oper,https://www.filmportal.de/film/die-3-groschen-oper_31d18fd8c526452686224863101faba9,Spielfilm,1931,Deutschland,Gustav Rathje,,Andrej Andrejew,,"Rudolf Forster: Mackie Messer, Carola Neher: Polly Peachum, Reinhold Schünzel: Polizeichef Tiger-Brown, Fritz Rasp: Bettlerkönig Peachum, Valeska Gert: Frau Peachum, Lotte Lenja: Dirne Jenny, Hermann Thimig: Pfarrer, Ernst Busch: Straßensänger, Wladimir Sokoloff: Smith, Paul Kemp: Verbrecher, Gustav Püttjer: Verbrecher, Oskar Höcker: Verbrecher, Krafft-Raschig: Verbrecher, Herbert Grünbaum: Filch, Sylvia Torff: Bordellbesitzerin",,,,"Léo Lania, Ladislaus Vajda, Béla Balázs",,,,,Fritz Arno Wagner,"Carl Moeller, Walter Hrich",Max Pretzfelder,,Bertolt Brecht,Paul Dannenberg,Kurt Weill,,Theo Mackeben,,"Tonbild-Syndikat AG (Tobis) (Berlin), Warner Bros. Pictures Gmb: H (Berlin)",Wilhelm Löwenberg,"Seymour Nebenzahl, Gus Schlesinger (Delegierter Warner), Guido Bagier (Delegierter Tobis)",G. W. Pabst,"Mark Sorkin, Gerbert Rappaport",,Hans Oser,,"Rudolf Brix, Hans G. Casparius (Werkfotos)",,Adolf Jansen,"Bertolt Brecht (Frei nach dem Bühnenstück), Kurt Weill",,"3077 m, 112 min","35mm, 1:1.19","s/w, Tobis-Klangfilm",,
Die Abenteurerin von Tunis,https://www.filmportal.de/film/die-abenteurerin-von-tunis_4a01cf1324d54cd5bbc7e96756b99d46,Spielfilm,1931,Deutschland,Max Paetz,,"Robert Neppach, Willy Schiller",,"Philipp Manning: Großkaufmann Henry Bertell, Theo Shall: René, sein Neffe, Ellen Richter: Tänzerin Colette, Karl Huszar-Puffy: Emil Dupont, Senta Söneland: Agathe Dupont, Ferdinand Hart: Valera, Leonard Steckel: Ferrero, Rosa Valetti: Madame Rosa, Heinrich Marlow: Martini, Hans Hermann Schaufuß1. Polizeikommissar, Julius Falkenstein2. Polizeikommissar, Aruth Wartan: Ein Levantiner, Henry Bender: Portier bei Bertell, Emil Rameau: Prokurist bei Bertell",,,,"Willi Wolff, Hans Rameau",,,,,"Otto Kanturek (Atelier), Emil Schünemann (Expedition)","Bruno Timm, Willy Schwaebl",,,Willi Wolff,"Alfred Lehmann, Adolf Arnold",Vincent Scotto,,,,D.L.S. Deutsches Lichtspiel-Syndikat AG (Berlin),,,Willi Wolff,Bruno Lopinski,,Carl Otto Bartning,,Otto Stein,,"Carlo Paganini, Hans Bittmann",,,"10 Akte, 2897m, 106 min",35mm,"s/w, Tobis-Klangfilm",,
Die andere Seite,https://www.filmportal.de/film/die-andere-seite_b64a7a9c7fef4ff69efbb2ac8c63d2c3,Spielfilm,1931,Deutschland,Harry Dettmann,,Robert A. Dietrich,,"Conrad Veidt: Hauptmann Stanhope, Theodor Loos: Oberleutnant Osborne, Wolfgang Liebeneiner: Leutnat Raleigh, Friedrich Ettel: Hauptmann Hardy, Viktor de Kowa: Leutnant Hibbert, Jack Mylong-Münz: Hauptmann Hardy, Paul Otto: Oberst, Willy Trenk-Trebitsch: Koch, Reinhold Bernt: Feldwebel",,,,"Hans Reisiger, Hella Moja",Candofilm Verleih und Vertrieb Gmb: H (Berlin),,,,Viktor Gluck,Wolfgang Hofmann,Willi Ernst,,Fred Barny (Nach einem Soldatenlied von Felix Powell),Willy Wollschläger,Ernst Erich Buder,,,,Cando-Film Gmb: H (Berlin),Joseph Candolini,Joseph Candolini,Heinz Paul,,,Max Brenner,,Paul Rischke,,"Karl Brodmerkel, Carl-Erich Kroschke",,,"11 Akte, 2933 m, 107 min","35mm, 1:1,20","s/w, Ton",,Zensur (DE): 13.03.1933
Ariane,https://www.filmportal.de/film/ariane_c5127bab49934db39217735f13b87ab2,Spielfilm,1931,Deutschland,,,"Erich Zander, Karl Weber",,"Elisabeth Bergner: Ariane, Rudolf Forster: Konstantin Michael, Annemarie Steinsieck: Tante Warwara, Hertha Guthmar: Olga, Theodor Loos: Dr. Hans Adameit, Lehrer, Nikolai Wassileff: Student, Alfred Gerasch: Arzt",,Carl Mayer,,"Paul Czinner, Carl Mayer",,,,,"Adolf Schlasy, Fritz Arno Wagner",,,,"Fritz Grünbaum, Otto Julius Bierbaum",Paul Dannenberg,"Leo Witt, Richard Strauß (Lieder), Marek Lieven-Belorussoff (Tango)",,,,Nero-Film AG (Berlin),Georg C. Horsetzky,"Seymour Nebenzahl, Ernst Wolff",Paul Czinner,,,Herbert Selpin,,Hans G. Casparius,,,Claude Anet (Roman),,84 min,"35mm, 1:1,19","s/w, Ton",,Zensur (DE): 19.02.1931
Arm wie eine Kirchenmaus,https://www.filmportal.de/film/arm-wie-eine-kirchenmaus_f18cd73d397b451eaca404607b0b0f5f,Spielfilm,1931,Deutschland,,,Franz Schroedter,,"Grete Mosheim: Susi Sachs, Anton Edthofer: Baron Ullrich, Hans Thimig: Franz, sein Sohn, Charlotte Ander: Olly Frey, Sekretärin, Paul Hörbiger: Graf Thalheim, Fritz Grünbaum: Schünzl, Oberbuchhalter, Paul Morgan: Quapil, Bankdiener, Senta Söneland: Bankangestellte, Rina Marsa: Zimmermädchen im Hotel, Ernst Wurmser: Bankportier, Arthur Mainzer: Präsident der Erdölgesellschaft, Trude Hesterberg, Theodor Thony",,,,Heinz Goldberg,,,,,Walter Robert Lach,Richard Kandler,,,Ralph Benatzky,"Adolf Doelle, Emma Doelle",Ralph Benatzky,Curt Lewinnek (Orchester),Rolf Jacoby,,Richard Oswald-Produktion Gmb: H (Berlin),Emil Justitz,Richard Oswald,Richard Oswald,,,,,Karl Ewald,,Hermann Birkhofer,,,,,,,
"Arme, kleine Eva!",https://www.filmportal.de/film/arme-kleine-eva_6eff91deeb3543cca32e7df8ed420b76,Spielfilm,1931,Deutschland,,,,,"Eduard von Winterstein, Hilde Hildebrand, Grete Mosheim",,,,,,,,,,,,,,,,,,,Aco-Film Gmb: H (Berlin),,,Edmund Heuberger,,,,,,,,,,,,,,
Aschenbrödel,https://www.filmportal.de/film/aschenbroedel_86fbffea59934ff09dab0667bd8b3baf,Spielfilm,1931,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,Alf Zengerling,,,,,,,,,,,,,,
Aschenbrödel [Tonfassung],https://www.filmportal.de/film/aschenbroedel-tonfassung_51869a0f360345aba40331ab6f81f352,Spielfilm,1931,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,Alf Zengerling,,,,,,,,,,,,,,
L'Auberge du père Jonas,https://www.filmportal.de/film/lauberge-du-pere-jonas_149d0db5dff24abb862f7e85c2dbf548,Spielfilm,1931,Deutschland,,,"Gustav A. Knauer, Arnold Jenssen (Mitarbeit)",,"Harry Piel, Annie Markart, Hilde Hildebrand, Kurt Lilien, Ferdinand Hart, Erich Dunskus, Frank Günther, Gerhard Dammann, Kurt von Ruffin, Fritz Odemar, Fritz Steiner, Alfred Beierle, Eugen Rex, Charly Berger, Maria Forescu, Sylvia Torff, Charles  François, Hans Ritter, Paul Moleska",,,,Henrik Galeen,,,,,Ewald Daub,,,,,,Fritz Wenneis,,,,Ariel-Film Gmb: H (Berlin),Joe Pasternak,Harry Piel,Harry Piel,"Charles Métain (Mitarbeit), René Métain (Mitarbeit)",,René Métain,,Eigil Wangoe,,Charles Métain,,,,,,,
"Auf der Alm, da gibt's koa Sünd",https://www.filmportal.de/film/auf-der-alm-da-gibts-koa-suend_a89c6bbbb501467da804dc9da8fee1f6,Spielfilm,1931,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufgesessen,https://www.filmportal.de/film/aufgesessen_9c39311bd3134a479fe37a309c8ed167,Spielfilm,1931,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ein ausgekochter Junge,https://www.filmportal.de/film/ein-ausgekochter-junge_f3103852eb6348f7ba3d900234949cab,Spielfilm,1931,Deutschland,,,"Willi A. Herrmann, Herbert Lippschitz",,"Siegfried Arno: Ignaz Fischbein, Hausdiener, Olly Gebauer: Mizzi, Paul Westermeier: Paul Kasulke, Bierkutscher, ihr Bräutigam, Julius Falkenstein: Adolf Strohbach, Besitzer eines Modehauses, Albert Paulig: Brahmaputra, Hypnotiseur, Henry Bender: Hugo Kunkel, Inhaber der Pension Waldfrieden, Karl Huszar-Puffy: Gregor Pawlowitsch, Anarchist a.D., Maria Forescu: Vera, seine Gefährtin, Lotte Werkmeister: Evchen Schickedanz, Hermann Picha: Kasimir Mackeldey, Naturforscher, Elza Temáry: Rolly-Poly, Tänzerin, Gerhard Dammann: Hahn, Prokurist",,,,Arnold Lippschitz,,,,,Willy Winterstein,,,,"Kurt Schwabach, Bruno Balz","Max Patyna, Alfred Lehmann",Will Meisel,Gerhard Hoffmann (Orchester),Will Meisel,,Engels & Schmidt Tonfilm Gmb: H (Berlin),,Erich Engels,Erich Schönfelder,,,"Carl Otto Bartning, Curt von Molo",,Fritz Vopel,,Charles Métain,,,,,,,
Ein Auto und kein Geld,https://www.filmportal.de/film/ein-auto-und-kein-geld_04f9efe9bcf546898272f4535a27d05c,Spielfilm,1931,Deutschland,,,,,"Jakob Tiedtke, Hugo Döblin, Paul Kemp, Dina Gralla, Walter Bach, Igo Sym, Liselotte Schaak",,,,Alfred Schirokauer,,,,,Eduard Hoesch,,,,,,Dr. Bernard Grün,,,,,,,"Jakob Fleck, Luise Fleck",,,,,,,,Wilhelm Lichtenberg (Roman),,"2607 m, 95 min","35mm, 1:1.37",,,
Autour d'une enquête,https://www.filmportal.de/film/autour-dune-enquete_fa03524e8fe146d7b25a5377d56aa0e0,Spielfilm,1931,Deutschland,,,Erich Kettelhut,,"Jean Périer: Untersuchungsrichter Conrad Bienert, Jacques Maury: Sohn Walter Bienert, Annabella: Tochter Greta Bienert, Pierre Richard-Willm: Student Paul Brent, Florelle: Dirne Erna Kabisch, Colette Darfeuil: Dirne  Mella Zier, Bill-Bocketts: Portier Zülke, Paul Ollivier: Hausbewohner Scherr, Robert Ancelin: Klate, Gaston Modot: Detektiv Baumann, Pierre Franck: Brann, Theodor Thony, Willy Rozier","Raoul Ploquin, Henri Chomette",,,Robert Liebmann,,,,,"Konstantin Tschet, Otto Baecker",,,,,,,,,,Universum-Film AG (UFA) (Berlin),,Erich Pommer,Robert Siodmak,,,Viktor Gertler,,,,Fritz Thiery,"Max Alsberg (Bühnenstück ""Voruntersuchung""), Otto Ernst Hesse (Bühnenstück ""Voruntersuchung"")",,93 min,"35mm, 1:1,20","s/w, Ton","Uraufführung (FR): 21.05.1931, Paris, Moulin Rouge",
Der Ball,https://www.filmportal.de/film/der-ball_b84c7cdcdbc84083af515370b24248fe,Spielfilm,1931,Deutschland/Frankreich,,,Lazare Meerson,,"Reinhold Schünzel: Alfred Kampf, Lucie Mannheim: Jeanne, seine Frau, Dolly Haas: Antoinette, beider Tochter, Gertrud Wolle: Tante Isabelle, Paul Otto: Marcel de Brécourt, Abgeortneter, Wanda Gréville: Miss Betty, Leo Monosson: Sänger",,,,"Ladislas Fodor, Kurt Siodmak",,,,,"Nicolas Farkas, Armand Thirard",,Lyolone,,Robert Gilbert,,Werner Richard Heymann,,,,"Marcel Vandal & Charles Delac Tonfilmproduktion Gmb: H (Berlin), Marcel Vandal & Charles Delac (Paris)",,"Marcel Vandal, Charles Delac",Wilhelm Thiele,,,René Le Hénaff,,,,Hermann Stör,"Irène Némirowsky (Erzählung ""Le bal"")",,93 min,"35mm, 1:1,20","s/w, Tobis-Klangfilm",,
Der bebende Berg,https://www.filmportal.de/film/der-bebende-berg_71261d541fa34b438c033f9e38111784,Spielfilm,1931,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hanns Beck-Gaden, Luitpold Nusser",,,,,,,,,,,,,,
Berge in Flammen,https://www.filmportal.de/film/berge-in-flammen_8d68149c16844c78b19c484e04c9ede7,Spielfilm,1931,Deutschland,Rudolf Strobl,,Leopold Blonder,,"Luis Trenker: Florian Dimai, Lissy Arna: Pia, Luigi Serventi: Graf Arthur Franchini, Claus Clausen: Leutnant Kall, Paul Graetz: Feldtelefonist, Erika Dannhoff, Michael von Newlinski, Emmerich Albert, Luis Gerold, Hans Jamnig, Luis Langenmeier, Hugo Lehner, Roland von Rossi",,,,Karl Hartl,Marcel Vandal & Charles Delac Tonfilmproduktion Gmb: H (Berlin),,,,"Sepp Allgeier, Albert Benitz, Giovanni Vitrotti, Siegfried Weinmann",,,,Hedy Knorr,"Charlotte Kaps, Max Patyna",Giuseppe Becce,,,,"Marcel Vandal & Charles Delac (Paris), Marcel Vandal & Charles Delac Tonfilmproduktion Gmb: H (Berlin)",Pierre O'Connell,"Marcel Vandal, Charles Delac","Karl Hartl, Luis Trenker","Ernst Rechenmacher, Walter Schmidkunz",,"Karl Hartl, Mark Sorkin, Ernst Fellner",,Curt Oertel,,"Hermann Birkhofer, Hans Grimm, Hans Bittmann",Luis Trenker (Manuskript),,"2994 m, 109 min",35mm,"s/w, Ton",,
Berlin - Alexanderplatz,https://www.filmportal.de/film/berlin-alexanderplatz_d0458cc947a34bd393410cccefbe28f0,Spielfilm,1931,Deutschland,Karl Ehrlich,,Julius von Borsody,,"Heinrich George: Franz Biberkopf, Maria Bard: Cilly, Margarete Schlegel: Mieze, Bernhard Minetti: Reinhold, Gerhard Bienert: Klempner-Karl, Albert Florath: Pums, Paul Westermeier: Gastwirt Hentschke, Jakob Tiedtke: Gast bei Henschke, Hans Deppe: Gast bei Henschke, Julius Falkenstein: Geschäftemacher, Käte Haack: Schwester Paula, Oskar Höcker, Siegfried Berisch, Arthur Mainzer, Karl Stepanek, Ernst Behmer, Paul Rehkopf: Gefängnisaufseher, Anna Müller-Lincke, Hermann Krehan, Heinrich Schroth, Heinrich Gretler: Kofferdieb, Willi Schur, Walter Werner, Karl Harbacher, Franz Weber, Paul Kemp, Holmes Zimmermann",,,,"Alfred Döblin, Hans Wilhelm",,,,,Nicolas Farkas,,"Richard Timm, Alma Timm",,"Alfred Döblin, Hans Wilhelm, Erik Ernst Schwabach","Richard Timm, Alma Timm",Allan Gray,,Artur Guttmann,,Allianz-Tonfilm Gmb: H (Berlin),Wilhelm Székely,Arnold Pressburger,Phil Jutzi,,,Géza Pollatschik,,Fritz Vopel,,Fritz Seeger,Alfred Döblin (Roman),,"2395 m, 88 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Die Blumenfrau von Lindenau,https://www.filmportal.de/film/die-blumenfrau-von-lindenau_af152a00d35541f1b5d262b97a1c6f24,Spielfilm,1931,Österreich/Deutschland,,,Hans Jacoby,,"Hansi Niese: Frau Vogl, Blumenhändlerin, Paul Otto: Dr. Thoß, Stadtrat, Renate Müller: Viktoria, seine Frau, Harald Paulsen: Burdach, Redakteur, Herbert Hübner: Quilling, Zeitungsverleger, Grete Maren: Lisa, seine Frau, Oscar Sabo: Pfaffenzeller, Magistratsdiener, Otto Tressler: Gerichtsvorsitzender, Franz Schafheitlin: Staatsanwalt, Eugen Günther1. Beisitzer, Karl Kneidinger2. Beisitzer, Alfred Neugebauer: Kellner, Melanie Horeschovsky: Dienstmädchen bei Thoß, Hedy Lamarr, Borutzky, Fritz Müller",,,,"Walter Wassermann, Walter Schlee",,,,,"Guido Seeber, Bruno Timm",,,,Peter Herz,,Stefan Weiß,,,,"Felsom-Film Gmb: H Fellner & Somlo (Berlin), Sascha Film-Industrie AG (Wien)",,,Georg Jacoby,,,,,,,Alfred Norkus,,,"2531 m, 92 min","35mm, 1:1,33","s/w, Tobis-Klangfilm",,
Bobby geht los,https://www.filmportal.de/film/bobby-geht-los_8adfe7dcc3b74de7b63a0009b6c9fc49,Spielfilm,1931,Deutschland,,,Gustav A. Knauer,,"Harry Piel: Bob Morland, Annie Markart: Marietta, Hilde Hildebrand: Olga Loty, Kurt Lilien: Gurken-Karl, Ferdinand Hart: Padube, Erich Dunskus: Mertens, Frank Günther: Majewski, Gerhard Dammann: Der rote Jonas, Kurt von Ruffin: Paul Romanow, Fritz Odemar: Felix, Fritz Steiner: Wiesel, Alfred Beierle: Arena-Direktor, Eugen Rex: Eine Type, Charly Berger, Maria Forescu, Sylvia Torff, Charles  François, Hans Ritter, Paul Moleska",,,,"Hans Rameau, Henrik Galeen, Harry Piel",,,,,Ewald Daub,,,,,Arnold Jenssen,Fritz Wenneis,,,,Ariel-Film Gmb: H (Berlin),Joe Pasternak,Harry Piel,Harry Piel,,,René Métain,,Eigil Wangoe,,Charles Métain,,,,,,,
Bomben auf Monte Carlo,https://www.filmportal.de/film/bomben-auf-monte-carlo_597aee5d49a34466ba705105ed506a4a,Spielfilm,1931,Deutschland,Walter Tost,,Erich Kettelhut,,"Hans Albers: Kapitän Craddock, Anna Sten: Königin Yola I. von Pontenero, Heinz Rühmann1.Offizier Peter, Ida Wüst: Hofdame Isabell, Karl Etlinger: Konsul von Pontenero, Rachel Devirys: Diana, Kurt Gerron: Direktor des Spielcasinos, Peter Lorre: Pawlitschek, Otto Wallburg: Ministerpräsident, Charles Kullmann: Straßensänger, Bruno Ziener: Juwelier, Valy Arnheim, Ernst Behmer, Valy Belten, Paul Henckels, Lydia Potechina, Gertrud Wolle, Comedian Harmonists",,,,"Hans Müller, Franz Schulz",,,,,"Günther Rittau (Kamera-Leitung), Konstantin Tschet",Karl Plintzner,René Hubert,,Robert Gilbert,Waldemar Jabs,Werner Richard Heymann,,Werner Richard Heymann,,Universum-Film AG (UFA) (Berlin),Max Pfeiffer,Erich Pommer,Hanns Schwarz,"Paul Martin, Willy Zeyn jun., Nino Ottavi",,Willy Zeyn jun.,,Willi Klitzke,,"Walter Tjaden (begonnen), Hermann Fritzsching (beendet)","Jenö Heltai (Motive), Fritz Reck-Malleczewen (Roman)",,"3032 m, 111 min","35mm, 1:1,16","s/w, Tobis-Klangfilm",,
Die Bräutigamswitwe,https://www.filmportal.de/film/die-braeutigamswitwe_ffe00d03eee441fc86dbea52516c33de,Spielfilm,1931,Großbritannien/Deutschland,,,Clarence Elder,,"Marta Eggerth: Fay Miller,Tanzgirl, Georg Alexander: George Brown, reicher Junggeselle, Fritz Kampers: Bill Huber, genannt ""Athleten-Bill"", Hans Hermann Schaufuß, Senta Söneland: Fays Mutter, Albert Paulig: Thomas, Georges Diener, Emil Guttmann: Huntington, Rechtsanwalt, Trude Kolman: Maud, seine Tochter, Egon Borsig: Hicks, Detektiv",,,,"Walter C. Mycroft, Frederick J. Jackson, Bobby E. Lüthge (deutsche Bearbeitung), Karl Noti",,,,,"Heinrich Gärtner, Bruno Mondi",,,,Robert Gilbert,,Hans May,,John Reynders,,"British International Pictures Ltd. (B.I.P.) (London), Eichberg-Film Gmb: H (Berlin)",Richard Eichberg,Richard Eichberg,Richard Eichberg,Géza von Cziffra,,,,,,Cecil V. Thornton,"Fred Thompson (nach dem Bühnenstück ""The Unwelcome Wife"" von), Ernest Paulton (nach dem Bühnenstück ""The Unwelcome Wife"" von)",,"9 Akte, 2462 m, 90 min","35mm, 1:1,19","s/w, RCA-Photophone",,"Zensur (DE): 15.04.1931, B.28696, Jugendverbot"
Der brave Sünder,https://www.filmportal.de/film/der-brave-suender_899b18728ce4446e91553b5931a96fec,Spielfilm,1931,Deutschland,,,Julius von Borsody,,"Max Pallenberg: Leopold Pichler, Oberkassierer, Heinz Rühmann: Karl Wittek, Dolly Haas: Hedwig, Pichlers Tochter, Josefine Dora: Ludmilla, Pichlers Frau, Fritz Grünbaum: Klapka, Peter Wolff: Karl, Pichlers Sohn, Julius Brandt: Geschäftsführer, Louis Ralph: Kommissar Krull, Ekkehard Arendt: Direktor Max von Härtl, Rose Poindexter: Kiddy, Louis Douglas: Tänzer, Otto Fassel, Olivia Fried, Sophie Pagay, Ernst Pröckl, Antonie Jaeckel, Jelly Staffel, Karl Wagner, Ernst Wurmser",,,,"Alfred Polgar, Fritz Kortner",,,,,Günther Krampf,,,,Fritz Rotter,"Franz Siebert, Ilse Siebert",Nicholas Brodszky,,Artur Guttmann,,Allianz-Tonfilm Gmb: H (Berlin),,Arnold Pressburger,Fritz Kortner,,,Géza Pollatschik,,Heinz Ritter,,Erich Lange,"Alfred Polgar (Manuskript), Max Pallenberg (Manuskript), Valentin Petrovič Kataev (Roman ""Rastratčiki"")",,"2966 m, 108 min","35mm, 1:1,20","s/w, Ton",,
Le cap perdue,https://www.filmportal.de/film/le-cap-perdue_1a8b5891015341a3bbebbc815624865a,Spielfilm,1931,Deutschland/Frankreich/Großbritannien,,,"Alfred Junge, Fritz Maurischat",,"Harry Baur: Le capitaine Kell, Marcelle Romée: Hélène, Jean Max: Le matelot Cass, Henri Bosc: Kingsley",Jean Sarment,,,"Victor Kendall, E. A. Dupont",,,,,Claude Friese-Greene,"Walter Blakeley, Hal Young",,,,,,,,,British International Pictures Ltd. (B.I.P.) (London),,,E. A. Dupont,,,A. C. Hammond,,,,Alec Murray,"Frank Harvey (nach dem Bühnenstück ""Cape Forlorn"" von)",,93 min,"35mm, 1:1,19","s/w, RCA-Photophone",,
Cape Forlorn,https://www.filmportal.de/film/cape-forlorn_ea19a5c64d074171bfc29e871360ee1a,Spielfilm,1931,Großbritannien/Deutschland/Frankreich,,,"Alfred Junge, Fritz Maurischat",,"Frank Harvey""Captain"" William Kell, Leuchtturmwärter, Fay Compton: Eileen Kell, seine Frau, Ian Hunter: Gordon Kingsley, Donald Calthrop: Parsons, Edmond Willard: Henry Cass",,,,"Victor Kendall, E. A. Dupont",,,,,Claude Friese-Greene,"Walter Blakeley, Hal Young",,,,,,,John Reynders,,British International Pictures Ltd. (B.I.P.) (London),E. A. Dupont,,E. A. Dupont,John Harlow,,A. C. Hammond,,,,Alec Murray,Frank Harvey (nach dem gleichnamigen Bühnenstück von),,"2429 m, 89 min","35mm, 1:1,19","s/w, RCA-Photophone",,
Chauffeur Antoinette,https://www.filmportal.de/film/chauffeur-antoinette_e46da889b0ef432fbc18601f570c0a86,Spielfilm,1931,Deutschland,,,Erich Czerwonski,,"Charlotte Ander: Antoinette Peterson, Hans Adalbert Schlettow: William P. Harrison, Walter Steinbeck: Dr. Lothar Sauvage, Georgia Lind: Stephanie, seine Frau, Ludwig Stössel: Baron Kiesel, Julius Falkenstein: Hadrian, Chauffeur, Ernst Behmer, Harry Halm, Fritz Karchow, Charles Willy Kayser, Berthold Reissig, Elza Temáry",,,,"Roger Blum, Georg C. Klaren, Heinz Goldberg",,,,,Carl Drews,,,,,,Ralph Benatzky,,Fritz Freed,,Excelsior-Film Gmb: H (Berlin),Hans Friedländer,"Hans Friedländer, Hans-Joachim Wilke",Herbert Selpin,,,,,Eugen Klagemann,,"Hermann Birkhofer, Eugen Hrich","Jean de Létraz (Bühnenstück), Suzette Desty (Bühnenstück), Roger Blum (Bühnenstück)",,88 min,"35mm, 1:1,20","s/w, Tobis-Klangfilm",,
La chauve-souris,https://www.filmportal.de/film/la-chauve-souris_6a9aaef5e3a54ccab1bdc93b97aaad1d,Spielfilm,1931,Deutschland/Frankreich,,,"Heinz Fenchel, Lucien Aguettand",,"Anny Ondra: Arlette, Iván Petrovichprince Orlofsky, Mauricet: Isidore Gaillardin, Robert Pizani: Duparquet",Pierre Billon,,,"Hans H. Zerlett, Karl Forest",,,,,Otto Heller,,,,,,Michel Michelet,,Ferdinand Folba,Johann Strauß jr. (Kompositionen),"Vandor-Film (Paris), Ondra-Lamac-Film Gmb: H (Berlin)",,,"Carl Lamač, Pierre Billon",,,,,,,,Johann Strauß jr. (Kompositionen),Pathé-Natan Cinéma (Paris),80 min,"35mm, 1:1.33","s/w, RCA Photophone",,
City of Song,https://www.filmportal.de/film/city-of-song_730ec90cfdf44020a09335e9630d0e05,Spielfilm,1931,Großbritannien/Deutschland,,,"Oskar Friedrich Werndorff, J. Elder Wills",,"Jan Kiepura: Giovanni Cavallone, Betty Stockfeld: Claire Winter, Hugh Wakefield: Hon. Roddy Fielding, Heather Angel: Carmela, Franz Maldacea: Chi, Philip Easton: John, Miles Malleson: Theaterwachmann",,,,"Miles Malleson, Hans Székely",,,,,"Curt Courant, Arpad Viragh (ungenannt)",,,,,,"Paul Abraham, Philipp Braham",,Philipp Braham,,"British Sound Film Productions (GB), Allianz-Tonfilm Gmb: H (Berlin), Tobis-Filmkunst Gmb: H (Berlin)",,"Arnold Pressburger, Isidore Schlesinger",Carmine Gallone,,,,,,,George Burgess,,,96 min,"35mm, 1,1:20",,,
