Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
8 Mädels im Boot,https://www.filmportal.de/film/8-maedels-im-boot_4f46b920913b404288ece193c7215858,Spielfilm,1932,Deutschland,,,Alfred Junge,,"Theodor Loos: Baumeister Engelhardt, Karin Hardt: Christa, seine Tochter, Helmut Kionka: Hans Hellbach, ihr Freund, Heinz Goedecke: Fritz Lange, sein Freund, Ali Ghito: Trainingslehrerin Hanna, Martha Ziegler: Klubwartin Frau Krüger, Friedrich Ettel, Franz W. Schröder-Schrom, Katja Bennefeld, Hedwig Schlichter, Doris Thalmer",,,,Franz Winterstein,,,,Helmut Brandis,Friedl Behn-Grund,,,,,,Artur Rebner,,,,Fanal-Filmproduktion Gmb: H (Berlin),,"Hermann Grund, Erich Waschneck",Erich Waschneck,,,,,,,,,,"5 Akte, 2317 m, 81 min","35mm, 1:1,37","s/w, Ton",,"Zensur (DE): 07.06.1933, O.06679, Genehmigt"
"A moi le jour, à toi la nuit",https://www.filmportal.de/film/a-moi-le-jour-a-toi-la-nuit_bced4b16a96747b38d10b43f4ff4ca8b,Spielfilm,1932,Deutschland,,,Otto Hunte,,"Käthe von Nagy, Fernand Gravey: Albert, Jeanne Cheirel: Madame Ledoux, Adrien Le Gallo: Monsieur Cruchard, Marguerite Templey: Madame Weiser, Ginette d'Yd: Gertrud, Georges Flamant, Roger Dann: Edmond, Pierre Piéradele gardien du musée, Pierre Stéphen: Max Meyer, Lilly Rezillot, Paulette Dubostla collègue de Juliette, Etienne Dunois, Comedian Harmonists",Bernard Zimmer,,,"Hans Székely, Robert Liebmann",,,,,Friedl Behn-Grund,,,,"Bernard Zimmer, Robert Gilbert",,Werner Richard Heymann,,,,Universum-Film AG (UFA) (Berlin),,Erich Pommer,"Ludwig Berger, Claude Heymann",,,Viktor Gertler,,,,Gerhard Goldbaum,,,,,"s/w, stumm",,
Das Abenteuer einer schönen Frau,https://www.filmportal.de/film/das-abenteuer-einer-schoenen-frau_70ba4539f716439eab0e0e875805bd45,Spielfilm,1932,Deutschland,Fritz Grossmann,,Jacek Rotmil,,"Lil Dagover: Thea, Hans Rehmann: Jerry, Margarete Kupfer: Anna, Ernst Senesch: Trainingsleiter, Paul Bildt: Professor Maschke, Margot Walter: Blumenmädchen Elli, Walter Steinbeck: Bing, Olly Gebauer: Irene, Kurt Vespermann: Journalist Merkel, Karl Hannemann, Fritz Odemar, Herbert Bach, Paul Heidemann, Klaus Pohl, Hans Otto Stern, Josef Reithofer, Max Diekmann, Hadrian Maria Netto, Arthur Reppert, Hans Mierendorff, Theo Lingen, Julius Brandt, Gustav Püttjer, Hilde Maroff, Frigga Braut, Rolf Drucker, Dietrich Henckels, Marcell Salzer",,,,Hans Wilhelm,,,,,"Robert Baberske, Curt Courant",Hans L. Minzloff,,,,,Theo Mackeben,,Theo Mackeben,,Georg Witt-Film Gmb: H (Berlin),Georg Witt,Georg Witt,Henry Kosterlitz,,,Willy Zeunert,,,,Fritz Seeger,"Suzanne de Callias (Roman ""Jerry und die Pariserin"")",,"5 Akte, 2445 m, 89 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",,"Zensur (DE): 14.11.1932, B.32495, Jugendverbot"
Abenteuer im Engadin,https://www.filmportal.de/film/abenteuer-im-engadin_531dbff5cd0b41de95fe1a060d80c427,Spielfilm,1932,Deutschland,,,"Karl Weber, Bruno Lutz",,"Hella Hartwich, Arnold Hasenclever, Guzzi Lantschner, Walter Riml, Barnabas von Géczy, Uli Ritzer, Harald Reinl",,,,"Ludwig von Wohl, Helmuth Ortmann",,,,,"Hans Schneeberger, Richard Angst (Außenaufnahmen), Heinrich Gärtner (Atelier)",,,,"Paul Dessau, Karl Brüll",,"Paul Dessau, Fritz Goldschmidt (Assistenz)",Barnabas von Géczy (Orchester),Paul Dessau,"Oskar Fetras (Kompositionen), Emil Waldteufel (Kompositionen)",Aafa-Film AG (Berlin),,"Gabriel Levy, Henry Sokal (Gesamtleitung)",Max Obal,Harald Reinl (3. Regie-Assistenz),,Munni Obal,,,,"Erich Hrich, Hans Bittmann","Oskar Fetras (Kompositionen), Emil Waldteufel (Kompositionen)",,,,,,
Afrikanische Reisebilder,https://www.filmportal.de/film/afrikanische-reisebilder_34b7cc84f6e1458e8fddfb30193c9a67,Spielfilm,1932,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"463 m, 17 min",35mm,,,
L'amour en vitesse,https://www.filmportal.de/film/lamour-en-vitesse_c85e4f579e5c4af8b177fcafc548e25b,Spielfilm,1932,Deutschland/Frankreich,,,"Otto Hunte, Emil Hasler",,"Dolly Davis: Lilian, André Roanne: Tressac, Elisabeth Pinajeff, Georges Péclet: Baron du Plessis, Gaston Jacquet: Garden, Jim Gérald: Paul Fréderic Schmidt, Jean Dehelly: Renè, Jean Fay: Gaston, Marcel Merminod, Michael von Newlinski",Jean de Létraz,,,Curt J. Braun,,,,,"Georg Krause, Alphonse Lucas",,,,Jean de Létraz,,"Giuseppe Becce, Will Meisel (Tango)",,Giuseppe Becce,,"Gnom-Tonfilm Gmb: H (Berlin), Equitable-Films (Paris)",,Jacob Brodsky,"Johannes Guter, Claude Heymann",,,,,,,Charles Métain,,,80 min,"35mm, 1:1.19","s/w, Tobis-Klangfilm",,
An heiligen Wassern!,https://www.filmportal.de/film/an-heiligen-wassern_9cb8363d3ec340bfa796013398c592d4,Spielfilm,1932,Deutschland,,,,,"Karin Hardt, Carl Balhaus, Erika Dannhoff, Hans Adalbert Schlettow, Eduard von Winterstein, Reinhold Bernt, Martha Ziegler, Otto Kronburger, Hans Henninger, Klaus Pohl, Peter Erkelenz, Theodor Loos, Elisabeth Wendt, Dorothea Thiess, Willi Schur, Clemens Hasse, Eugen Rex, Gustav Rickelt, Josef Bunzl",,,,"Franz Winterstein, Erich Waschneck",,,,,Franz Koch,,,,,,Wolfgang Zeller,,,,Fanal-Filmproduktion Gmb: H (Berlin),,,Erich Waschneck,,,,,,,,,,,,,,
"Annemarie, die Braut der Kompagnie",https://www.filmportal.de/film/annemarie-die-braut-der-kompagnie_9fd7f95bf63f4d9fa01ddb7dc032067c,Spielfilm,1932,Deutschland,,,Willi A. Herrmann,,"Gertrud Wolle: Fräulein von Rabenau, Ilse Nast: Lilly, Gudrun Ady: Margot Domke, Paul Hörbiger: Musketier Karl Lehmann, Hugo Fischer-Köppe: Feldwebel Siegert, Albert Lieven: Fähnrich Werner  von Schumann, Walter Schlott: Leutnant Specht, Paul Heidemann: Oberleutnant Rupp, Lucie Englisch: Annemarie, Hermann Picha: Gesangslehrer Schubert, Albert Pauligvon Brenken, Rudolf Schündler: Leutnant Williams, Fritz Alberti, Hildegard Fränzel",,,,"Karl Noti, Bobby E. Lüthge",,Hans Kothe,,,Willy Hameister,Willy-Peter Bloch,,,,"Bruno Heckmann, Waldemar Gericke",Otto Urack,,Otto Urack,,Aco-Film Gmb: H (Berlin),Gustav Althoff,Gustav Althoff,Carl Boese,,,Hildegard Grebner,,Reinhold Draber,,Dr. Fritz Seidel,,,,,"s/w, Tobis-Klangfilm",,
"Ariane, jeune fille russe",https://www.filmportal.de/film/ariane-jeune-fille-russe_8aaf6651f3d34b53a4d4787184ea744a,Spielfilm,1932,Deutschland/Frankreich,,,,,"Gaby Morlay: Ariane, Rachel Devirys: Tante Warwara, Maria Fromet: Olga, Victor Francen: Constantin, Jean Dax: Professor, Durthal: Doktor Kundert",,,,Paul Czinner,,,,,,,,,,,,,,,,,,Paul Czinner,,,,,,,,"Claude Anet (Roman ""Ariane"")",,85 min,"35mm, 1:1,20","s/w, Ton",,
L'Atlantide,https://www.filmportal.de/film/latlantide_1c4d045cd3de4db690ea920be17d19b3,Spielfilm,1932,Deutschland/Frankreich,,,Ernö Metzner,,"Brigitte Helm: Antinéa, Pierre Blanchar: Capitaine St. Avil, Tela Tschai: Tanit-Zerg, Georges Tourreil: Lieutenant Ferrières, Wladimir Sokoloff: Hetman de Jaromir, Mathias Wieman: Torstenson, Jean Angelo: Capitaine Morhange, Florelle: Clémentine, Gertrude Pabstjournaliste, Rositta Severus-Liedernit",Jacques Deval,,,"Ladislaus Vajda, Hermann Oberländer",,,,,"Eugen Schüfftan, Joseph Barth",,"Max Pretzfelder, Pierre Ichac",,,,Wolfgang Zeller,,,,"Nero-Film AG (Berlin), Société Internationale Cinématographique (S.I.C.) (Paris)","Wilhelm Löwenberg, Pierre Cural (Directeur artistique)","Seymour Nebenzahl, Romain Pinès",G. W. Pabst,"Gerbert Rappaport, Pierre Ichac",,Hans Oser,,,,Adolf Jansen,,,90 min,"35mm, 1:1.19","s/w, Western Electric","Uraufführung (FR): 08.06.1932, Paris [Présentation corporative]",
