Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
1000 Worte Deutsch,https://www.filmportal.de/film/1000-worte-deutsch_7d321d0c7d9c4c03bb07c6a45f2e3892,Spielfilm,1930,Deutschland,,,Max Heilbronner,,"Carl Schenstrøm: Pat - Fy, Harald Madsen: Patachon - Bi, Paul Westermeier: Nunne, Hans Waßmann: Präsident des Tippelbrüder-Kongresses, Hedwig Wangel: Harfenjule, Adele Sandrock: Adele, Margot Walter: Mia, Lilian Ellis: Lilly, Klaus Pohl: Friseurgehilfe, Gerhard Dammann: Hauswirt, Heinz Lingen: Verkäufer, Hansi Arnstaedt: Frau Kersten, Hans Sobeck1. Fussballspieler, Rolf von Goth2. Fussballspieler",,,,"Henry Kosterlitz, Hans Wilhelm, Walter Wassermann, Walter Schlee",,,,,Walter Robert Lach,,,,,,Anton Profes,,,,D.L.S. Deutsches Lichtspiel-Syndikat AG (Berlin),,,Georg Jacoby,,,,,,,Eugen Hrich,,,"1985 m, 73 min","35mm, 1:1,20","s/w, Ton",,
"""1914"". Die letzten Tage vor dem Weltbrand",https://www.filmportal.de/film/1914-die-letzten-tage-vor-dem-weltbrand_2d14ea77ab8a489bba365a6e0a639fb6,Spielfilm,1930,Deutschland,,,Franz Schroedter,,"Heinrich George: Jean Jaurès, Albert Bassermannvon Bethmann-Hollweg, deutscher Reichskanzler, Eugen Klöpfer: Kaiser Franz Joseph, Reinhold Schünzel: Zar Nikolaus II., Alfred Abel: Graf Leopold Berchtold, k.u.k. Außenminister, Oskar Homolka: Sasonow, Minister des Äußeren, Lucie Höflich: Die Zarin, Theodor Loos: Paleologue, französischer Botschafter am russischen Hof, Ferdinand Hart: Großfürst Nicolai Nicolajewitsch, Hans Peppler: Graf Pourtales, deutscher Botschafter am russischen Hof, Fritz Alberti: Buchanan, englischer Botschafter am russischen Hof, Paul Bildt: Nicolson, Eugen Burg: Baron von Giesl, österreichischer Gesandter am serbischen Hof, Alexander Granach: Ein Freund von Jaurès, Hermann Wlachvon Jagow, deutscher Staatssekretär des Äußeren, Wolfgang von Schwindtvon Moltke, deutscher Generalstabschef, Heinrich Schrothvon Falkenhayn, deutscher Kriegsminister, Karl Staudt: Graf von Szögyeny-Marich, österr.-ungarischer Botschafter, Ernst Dernburg: Ein General, Robert Hartberg: Graf Hoyos, Adolf Edgar Licho: Suchomlimow, Kriegsminister, Lionel Royce, Hermann Heilinger: Januskewitsch, Generalstabschef, Hugo Flinkvon Szapary, österreichischer Botschafter am russischen Hof, Viktor de Kowa: Großfürst Michael, Fred Goebel: Großfürst Dimitri, Alice Hechy: Alexandra Alexandrowna, Hofdame, Viktor Jensen: Graf Paar, Generaladjutant, Otto Torday: Graf Stefan Tisza, ungarischer Ministerpräsident, Alfred Gerasch: Conrad von Hötzendorff, Generalstabschef, Michael von Newlinski: Untersuchungsrichter, Carl Balhaus: Gavrilo Princip, Karl Gerhardt: Ketterl, Kammerdiener des Kaisers, Ferdinand von Alten: Viviani, Minister des Äußeren, Bruno Ziener: Freiherr von Schön, deutscher Botschafter am französischen Hof, Paul Mederow: Sir Edward Grey, Außenminister, Fritz Odemar: Fürst Lichnowsky, deutscher Botschafter am englischen Hof, Carl Goetz: Jules Cambon, französischer Botschafter am englischen Hof, Bernhard Goetzke: König Peter, Olaf Fjord: Kronprinz Alexander, Adolf Klein: Paschitsch, Ministerpräsident",,,,"Heinz Goldberg, Fritz Wendhausen, Eugen Fischer (Vorspruch)",,,,,Mutz Greenbaum,,,,,"Oscar Schmidt, Hermann Rosenthal",,,,,Richard Oswald-Produktion Gmb: H (Berlin),,Richard Oswald,Richard Oswald,,,Paul Falkenberg,,Josef Höfer,,Charles Métain,,,"10 Akte, 3057 m","35mm, 1:1,20","s/w, Tobis-Klangfilm",,"Zensur (DE): 23.12.1930, B.27725, Verbot"
Abschied (So sind die Menschen),https://www.filmportal.de/film/abschied-so-sind-die-menschen_9f80dda9fe314811931a0285bc576ab1,Spielfilm,1930,Deutschland,,,Max Knaake,,"Brigitte Horney: Verkäuferin Hella, Aribert Mog: Vertreter Peter Winkler, Emilie Unda: Pensionsinhaberin Frau Weber, Konstantin Mic: Bogdanoff, Frank Günther: Conférencier Neumann, Edmée Symon1. Lennox-Sister, Gisela Draeger2. Lennox-Sister, Marianne Mosner3. Lennox-Sister, Erwin Bootz: Musiker Erwin Bootz, Martha Ziegler: Dienstmädchen Lina, Wladimir Sokoloff: Baron, Georg Nikolai, Erwin Splettstößer, Bruno Hönscherle, Daisy Rensburg",,,,"Emeric Pressburger, Irma von Cube",,,Bruno Duday,,Eugen Schüfftan,,,,Gerd Karlick,"Harry Krankemann, Marie Schülke",Erwin Bootz,,,,Universum-Film AG (UFA) (Berlin),Bruno Duday,Bruno Duday,Robert Siodmak,,,,,,,Erich Leistner,,,"1991 m, 73 min","35mm, 1:1,19","s/w, Tobis-Klangfilm","Uraufführung (DE): 25.08.1930, Berlin, U.T. Kurfürstendamm",
Achtung! Auto-Diebe! Ein Abenteuer in den Straßen der Großstadt,https://www.filmportal.de/film/achtung-auto-diebe-ein-abenteuer-in-den-strassen-der-grossstadt_fb6ab38fe5234d089101cfbb39a0f4eb,Spielfilm,1930,Deutschland,,,Robert Neppach,,"Harry Piel, Max Gülstorff, Raimondo van Riel, Dary Holm, Hugo Fischer-Köppe, Leopold von Ledebur, Charly Berger, Oswald Scheffel, Charles  François, Herbert Paulmüller, Lydia Potechina",,,,Harry Piel,,,,,Ewald Daub,,,,,,,,,,Ariel-Film Gmb: H (Berlin),,Harry Piel,Harry Piel,,,,,,,,,,,,,,
Akkorde der Leidenschaft. Einst kommt die Zeit für jede Frau,https://www.filmportal.de/film/akkorde-der-leidenschaft-einst-kommt-die-zeit-fuer-jede-frau_720d96c12fa64ababa5e3ad44175a87d,Spielfilm,1930,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6 Akte, 2468 m","35mm, 1:1.33",s/w,,
Alpensünden,https://www.filmportal.de/film/alpensuenden_2c0f6594bc2d4f0da5cab5122a59f0d9,Spielfilm,1930,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1874 m, 68 min",35mm,,,
Alraune,https://www.filmportal.de/film/alraune_60e0c76d220a499cb1a222dd286d6b82,Spielfilm,1930,Deutschland,,,"Hans Sohnle, Otto Erdmann, Franz Schroedter",,"Brigitte Helm: Alraune ten Brinken - Alma, eine Dirne, Albert Bassermann: Geheimrat ten Brinken, Harald Paulsen: Frank Braun, sein Neffe, Agnes Straub: Fürstin Wolkonski, Liselotte Schaak: Olga Wolkonski, Bernhard Goetzke: Dr. Petersen, Adolf Edgar Licho: Rechtsanwalt Manasse, Iwan Kowal-Samborskij: Chauffeur Raspe, Käte Haack: Frau Raspe, Paul Westermeier: Von Walter, Henry Bender: Wirt, Martin Kosleck: Petersen, Else Bassermann: Eine Dame, Wilhelm Bendow",,,,"Charlie K. Roellinghoff, Robert Weisbach",,,,,Günther Krampf,,,,"Charlie K. Roellinghoff, Fritz Rotter","Hermann Rosenthal, Oscar Schmidt",Bronislau Kaper,,Felix Günther,,Richard Oswald-Produktion Gmb: H (Berlin),,Richard Oswald,Richard Oswald,,,,,,,Erich Leistner,Hanns Heinz Ewers (Roman),,103 min,"35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Das alte Lied,https://www.filmportal.de/film/das-alte-lied_118990f74c884416a0cff727beedd66e,Spielfilm,1930,Deutschland,,,"Jacek Rotmil, Heinz Fenchel",,"Lil Dagover: Baronin Eggedy, Lien Deyers: Annerl Haslinger, Igo Sym: Hans von Langen, Paul Hörbiger: Xandel, Felix Bressart: Jacques, Lucie Euler: Frau Treutelbach, Bob Stoll: Bob, Martin Kettner, Franz Scharwenka, Alwin Neuß, Julius von Szöreghy, Michael Rasumny, Ida Wüst, Maria Forescu, Gustav Rickelt",,,,Willy Frank,,,,,Friedl Behn-Grund,,,,Hedy Knorr,,Giuseppe Becce,,Giuseppe Becce,,Lola Kreutzberg-Film Gmb: H (Berlin),Bob Stoll,,Erich Waschneck,,,Hanne Kuyt,,,,"Hermann Birkhofer, Carl-Erich Kroschke",,,90 min,"35mm, 1:1,33","s/w, Ton",,
Der alte Vagabund und sein Hündchen,https://www.filmportal.de/film/der-alte-vagabund-und-sein-huendchen_15584086482643d3aa6f076a4ea46ca9,Spielfilm,1930,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,Schwerdtfeger-Filmproduktion (Berlin-Friedenau),,,Heinz-Hermann Schwerdtfeger,,,,,,,,,,,,,,
El amor solfeando,https://www.filmportal.de/film/el-amor-solfeando_ae3f1a5a5a7b4910ad8136d0d0f84218,Spielfilm,1930,Spanien/Frankreich/Deutschland,,,Julius von Borsody,,,,,,Robert Florey,,,,,"Otto Kanturek, Eduard Hoesch",,,,,,"Artur Guttmann, Eduard Künneke",,,,,,,"Armand Guerra, Florián Rey (ungenannt), Robert Florey (ungenannt)",,,,,,,Dr. Fritz Seidel,"Jacques Bousquet (Bühnenstück ""L`amour chante""), Henri Falk (Roman ""L`amour chante"")",,85 min,"35mm, 1,1:20","s/w, Ton",,
