Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Das Abenteuer der Sibylle Brant,https://www.filmportal.de/film/das-abenteuer-der-sibylle-brant_cfa0a28709f7402681dc396f5ab6778c,Spielfilm,1925,Deutschland,,,Franz Schroedter,,"Henny Porten: Sibylle Brant, Memo Benassi: Theo Hartwig, Dichter, Harry Lamberts-Paulsen: Kriminalkommissar Krenke, Henry Stuart: Kriminalkommissar Dengern, Adolf Edgar Licho: Theaterdirektor Pötter, Sophie Pagay, Maria Forescu, Mario Cusmich, Carl Ebert",,,,"Robert Liebmann, Walter Supper",,,,,Axel Graatkjær,,,,,,Willy Schmidt-Gentner (Kino-Musik),,,,Henny Porten-Froelich Produktion Gmb: H (Berlin),,"Henny Porten, Carl Froelich, Wilhelm von Kaufmann",Carl Froelich,,,,,,,,,,"6 Akte, 2165 m","35mm, 1:1,33","s/w, ohne Ton",,
Abenteuer im Nachtexpreß,https://www.filmportal.de/film/abenteuer-im-nachtexpress_f4997c9db90a44fda03be12ee523b6f3,Spielfilm,1925,Deutschland,,,"Kurt Richter, Fritz Kraencke",,"Harry Piel, Dary Holm: Baronesse Myra von Geldern, José Davert: Charles Theewen, ehemaliger Goldgräber, jetzt Mine, Lissy Arna""Gräfin"" Sonja Waranow, Albert Paulig: Detektiv Fix, Georg John: Raoul, Theewens Diener, Fritz Greiner: Variété-Direktor",,,,"Edmund Heuberger, Harry Piel",,,,,"Georg Muschner, Gotthardt Wolf",,,,,,,,,,Phoebus-Film AG (Berlin),,,Harry Piel,,,,,,,,,,,,,,
Der Abenteurer,https://www.filmportal.de/film/der-abenteurer_46491eb3fd504af69ed7790a5ed93676,Spielfilm,1925,Deutschland,,,Jacek Rotmil,,"Harry Liedtke, Erna Morena, Margarete Schlegel, Paul Biensfeldt, Eduard von Winterstein: Karl Lüttgen, Hüttenwerksbesitzer, Mady Christians: Amely, seine Frau, Hans Brausewetter: Moritz Lachner, Akademiker, Franz Schönfeld: Laurenz, sein Sohn, Max Mendsen: Impresario, Maria Lingen: Marchesa della Margarita, Robert Leffler: Konzertdirektor",,,,Ruth Goetz,,,,,"Emil Schünemann, Curt Oertel",,,Rudolf Dworsky,,,,,,,Aafa-Film AG (Berlin),,,Rudolf Walther-Fein,,,,,,,,,,,,,,
Das alte Ballhaus. [1-teilig],https://www.filmportal.de/film/das-alte-ballhaus-1-teilig_1f9f381e84c84c4587fd53b7296c5d97,Spielfilm,1925,Deutschland,,,,,"Hans Junkermann, Olga Tschechowa",,,,Marie-Louise Droop,,,,,,,,,,,,,,,,,,Wolfgang Neff,,,,,,,,,,,,,,
Das alte Ballhaus. 1. Teil,https://www.filmportal.de/film/das-alte-ballhaus-1-teil_84d6a44493994366b3e7990d96a2136d,Spielfilm,1925,Deutschland,,,Franz Seemann,,"Olga Tschechowa, Karl Beckersachs, Paul Otto, Loo Hardy, Otto Reinwald, Hans Junkermann, Heinrich Peer, Frida Richard, Carl Auen, Ernst Rückert, Sybil Morel, Wilhelm Diegelmann, Karl Harbacher, Karl Platen, Hermann Picha, Siegfried Berisch, Anna Müller-Lincke, Robert Steidl, Karl Victor Plagge, Fritz Beckmann, Paul Lincke, Carl Berndt",,,,Marie-Louise Droop,,,,,Emil Schünemann,,,,,,"Paul Lincke (Kino-Musik, Musikalische Illustration)",,,,,,,Wolfgang Neff,,,,,,,,,,,,,,
Das alte Ballhaus. 2. Teil,https://www.filmportal.de/film/das-alte-ballhaus-2-teil_3663fb7bbd0d4fc39243f4263c3bc7d4,Spielfilm,1925,Deutschland,,,Franz Seemann,,"Olga Tschechowa, Karl Beckersachs, Paul Otto, Loo Hardy, Otto Reinwald, Hans Junkermann, Heinrich Peer, Frida Richard, Carl Auen, Ernst Rückert, Sybil Morel, Wilhelm Diegelmann, Karl Harbacher, Karl Platen, Hermann Picha, Siegfried Berisch, Anna Müller-Lincke, Robert Steidl, Karl Victor Plagge, Fritz Beckmann, Paul Lincke, Carl Berndt",,,,Marie-Louise Droop,,,,,Emil Schünemann,,,,,,"Paul Lincke (Kino-Musik, Musikalische Illustration)",,,,,,,Wolfgang Neff,,,,,,,,,,,,,,
Am besten gefällt mir die Lore,https://www.filmportal.de/film/am-besten-gefaellt-mir-die-lore_634ab0fb0bb54c4b87783cd59349ca06,Spielfilm,1925,Deutschland,,,,,"Rudolf Lettinger: Herr Funke, Ida Grünke: Frau Funke, Carl de Vogt: Carl, beider Sohn, Max Heußler: Herr Professor, Claire Lotto: Lore, seine Tochter",,Leopold Kreitner,,Ilse Zerbe,,,,,"Walter von Bonhorst, Otto Stein",,,,,,,,,,,,,Josef Stein,,,,,,,,,,,,,,
Die Anne-Liese von Dessau,https://www.filmportal.de/film/die-anne-liese-von-dessau_95991cd7387e41d095563e28d7bc131b,Spielfilm,1925,Deutschland,,,Robert A. Dietrich,,"Maly Delschaft, Werner Pittschau, Julia Serda, Hermann Böttcher, Fritz Richard, Valy Arnheim, Otto Reinwald, Harry Grunwald",,,,"Armin Petersen, Marcell Freytag",,,,,Sophus Wangøe,,,,,,,,,,Vicor-Film AG (Berlin),,,James Bauer,,,,,,,,,,,,,,
Aschermittwoch,https://www.filmportal.de/film/aschermittwoch_c22801f5bd9c43eb9e110d566ef858a8,Spielfilm,1925,Deutschland,,,Fritz Kraencke,,"Bernd Aldor: Fabrikbesitzer Dumont, Sybil Morel: Agathe, Karl Beckersachs: Leutnant, Claire Rommer: Jutta, Lia Eibenschütz: Thea, Eduard von Winterstein: Oberst, Olga Engl: Frau Oberst, Ernst Rückert: Großindustrieller, Adele Sandrock: Tante Guste, Wilhelm Diegelmann: Feldwebel, Ernst Pittschau, Ludwig Rex, Siegfried Berisch, Carl Auen: Leutnant der Reserve, Hugo Fischer-Köppe",,,,Marie-Louise Droop,,,,,Willy Goldberger,,,,,,,,,,Aafa-Film AG (Berlin),,,Wolfgang Neff,,,,,,,,,,,,,,
Die Aßmanns,https://www.filmportal.de/film/die-assmanns_9326e98f2ceb4ecf918df5a1afc9f750,Spielfilm,1925,Deutschland,,,Max Knaake,,"Grete Reinwald: Bettina, Bruno Kastner: Achritekt Ernst Aßmann, Auguste Prasch-Grevenberg: Großtante Emma, Elena Lunda: Asta Wendheim, Grete Berger: Frau Fabrikbesitzer Aßmann, Bettinas Tante, Karl Elzer: Fabrikbesitzer Aßmann, Hans Stüwe: Assessor von Bühren",,,,,,,,,Leopold Kutzleb,,,,,,,,,,,,,Arthur Bergen,,,,,,,,,,,,,,
