Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Die Abenteurer G.m.b.H.,https://www.filmportal.de/film/die-abenteurer-gmbh_f2536f0cf2194c678f905c6a451dccaf,Spielfilm,1928,Deutschland,,,"Leopold Blonder, Franz Schroedter",,"Carlo Aldini: Pierre Lafitte, Eve Gray: Lucienne Fereoni, Elfriede Borodin: Jeanette Finné, Hilda Bayley: Rita van den Meer, Eberhard Leithoff: George Finné, Shayle Gardner: Julius Vardier, Staatssekretär des Innern, Hans Mierendorff: Marglin, Chef des Geheimdienstes, Jack Mylong-Münz: Boris, Valy Arnheim: Wittington, Michael Rasumny",,,,Jane Bess,,,,,Adolf Otto Weitzenberg,,,,,,,,,,Orplid-Film Gmb: H (Berlin),Georg Jacoby,,Fred Sauer,,,,,,,,,,,,,,
Abwege,https://www.filmportal.de/film/abwege_d8846e8f9c7e4f8189019d1f22f079dc,Spielfilm,1928,Deutschland,,,"Hans Sohnle, Otto Erdmann",,"Gustav Diessl: Rechtsanwalt Dr. Thomas Beck, Brigitte Helm: Irene Beck, Hertha von Walther: Liana, Jack Trevor: Maler Walter Frank, Fritz Odemar: Regierungsrat Möller, Nico Turoff: Boxer Sam Taylor, Ilse Bachmann: Anita Haldern, Richard Sora: André, Peter C. Leska: Robert, Irm Cherry: Daisy, Irma Green: Gina, Tita Christescu: Zofe, Jimmy Lygget2. Boxer, Andreas von Horn, Gerhard Müller",,,,"Adolf Lantz, Ladislaus Vajda, Helen Gosewisch",,,,,Theodor Sparkuhl,,"Modellhaus Mahrenholz (Brigitte Helm), A. Wolff",,,,Werner Schmidt-Boelcke (Kino-Musik),,,,Erda-Film Gmb: H (Berlin),Fred Lyssa,,G. W. Pabst,"Paul Falkenberg, Mark Sorkin",,"Paul Falkenberg, Mark Sorkin, G. W. Pabst",,,,,,Universal Pictures Corp. mb: H (Berlin),96 min bei 25 b/s,"35mm, 1 1,33","s/w, stumm",,
Adam und Eva,https://www.filmportal.de/film/adam-und-eva_41dd1763844049e6b230e7817c9cf7b7,Spielfilm,1928,Deutschland,Fritz Grossmann,,"Julius von Borsody, Artur Schwarz",,"Reinhold Schünzel: Adam Grünau, Elza Temáry: Anna, das Hausmädchen, Valerie Boothby: Klara, die Zofe, Hermine Sterler: Frau Konsul Jensen, Ernst Hofmann: Ihr Sohn, Trude Lehmann: Köchin, Hugo Werner-Kahle: Diener, Jack Mylong-Münz: Chauffeur, Meta Jäger: Adams Mutter, Frigga Braut: Försterin, John Loder",,,,"Alfred Schirokauer, Reinhold Schünzel",,,,,Willy Goldberger,,,Reinhold Schünzel,,,,,,,Reinhold-Schünzel-Film Gmb: H (Berlin),,Reinhold Schünzel,Rudolf Biebrach,,,,,,,,,,"6 Akte, 2096 m","35mm, 1:1,33","s/w, stumm",,"Zensur (DE): 27.06.1928, B.19269, Jugendverbot"
Der Adjutant des Zaren,https://www.filmportal.de/film/der-adjutant-des-zaren_dcc6e733d64d4e6e95115a5ff8c7b894,Spielfilm,1928,Deutschland,,,"Otto Erdmann, Hans Sohnle",,"Ivan Mosjoukine: Prinz Boris Kurbski, Carmen Boni: Helena di Armore, Eugen Burg: Baron Korff, George Seroff: General Koloboff, Fritz Alberti: General Trunoff, Daniel Dolski: Bursche des Prinzen, Alexander S. Polonsky: Diener, Alexander Granach: Unbekannter",,,,Vladimir Striževskij,,,,,Nikolai Toporkoff,,,,,,,,,,Greenbaum-Film Gmb: H (Berlin),Georg Witt,,Vladimir Striževskij,,,,,Walter Lichtenstein,,,,,,,,,
Der alte Fritz. 1. Friede,https://www.filmportal.de/film/der-alte-fritz-1-friede_fa6b5d7cbb3a4646b9259ea41b7747cf,Spielfilm,1928,Deutschland,,,"Otto Moldenhauer, Conrad Heldner (Bildhauerarbeiten)",,"Otto Gebühr: Friedrich der Große, Julia Serda: Königin, Berthold Reissig: Prinz Heinrich, Wilhelm Hertwig: Prinz Ferdinand, Elsa Wagner: Prinzessin Amalie, Heinz B. Klockow: Friedrich Wilhelm, Charlotte Ander: Prinzessin Elisabeth, Renate Brausewetter: Prinzessin Friederike Luise, Kitty Sonntag: Kurf. Marie Antonie v. Sachsen, Lilly Breda: Zarin Katharina, Peter von Hahn: Kaiser Joseph II., Auguste Prasch-Grevenberg: Frau von Camas, Dina Gralla: Wilhelmine Enke, Grit Haid: Auguste Enke, Sybil Morel: Frau Enke, Gustav Rodegg: Minister Graf Hertzberg, Jack Mylong-Münz: Minister Hagen, Erich Briese: Minister Graf Finkenstein, Hermann Böttcher: Minister Brenckenhof, Franz Stein: Lordmarschall Keith, Emil Heise: Marquis d’Argens, Paul Borgelt: Panin, Bernd Aldor: Graf de Launay, Toni Zimmerer: Generalfeldmarschall von Braunschweig, Herbert Knötel: Generaladjutant Prinz Wilh. v. Anhalt, Holger-Madsen: General Zieten, Robert Leffler: General Krusemarck, Klein von Ehrenwalten: General Lentulus, Karl Swinburne: General Lestwitz, Franz Schönfeld: General Prittwitz, Walter Karge: General Werner, Victor Senger: Quintus Icilius, Ernst Baurath: Oberstallmeister Graf Schwerin, W. Focke: Prinzenerzieher Graf Borck, Gustav Rudolph: Hofmarschall Graf Reuß, Ekkehard Arendt: Leutnant von X, E. Schurich: Kabinettsrat Eichel, Carl Zickner: Vorleser von Catt, Robert Forsch: Hofrat Collenbach, Walter Hahn: Hofprediger Sack, Georg Paeschke: Bürgermeister von Berlin, Albert Ihle: Korporal Lempel, Fee Wachsmuth: Tine, Irmgard Schallermann: Hofdame der Königin, W. Markwordt: Gotzkowsky, Hannelore Benzinger: Ziethens Nichte, Albert Gühne: Quanz, Paul Scholler: Pfundt, Leibkutscher des Königs, Skowronneck: Page, von Lingk: Page, Max Maximilian: Moritatenerzähler, Paul Rehkopf: Bettler, Léon Weill: Französischer Sprachlehrer, Edgar Nollet: Bankier Splittgerber, Julius Unruh: Bankier Itzig, Willy Kruszinski: Bankier Ephraim",,,,Luise Heilborn-Körbitz,,,,,Karl Hasselmann,,Peter A. Becker,,,Carl Eduard Schulz,Artur Guttmann (Kino-Musik),,,,Gerhard-Lamprecht-Film Produktion Gmb: H (Berlin),,,Gerhard Lamprecht,,,,,Carl Krabbe,,,,,,,,,
Der alte Fritz. 2. Ausklang,https://www.filmportal.de/film/der-alte-fritz-2-ausklang_de538e66270c4506a311fde226b70946,Spielfilm,1928,Deutschland,Ernst Körner,,"Otto Moldenhauer, Conrad Heldner (Bildhauerarbeiten)",,"Otto Gebühr: Friedrich der Große, Julia Serda: Königin, Berthold Reissig: Prinz Heinrich, Wilhelm Hertwig: Prinz Ferdinand, Elsa Wagner: Prinzessin Amalie, Anton Pointner: Friedrich Wilhelm, Peter von Hahn: Kaiser Joseph II., Maria Reisenhofer: Kaiserin Maria Theresia, Dina Gralla: Wilhelmine Enke, Eva Schablinski: Gräfin Julie von Voß, Gustav Rodegg: Minister Graf Hertzberg, Erich Briese: Minister Graf Finkenstein, Franz Stein: Lordmarschall Keith, Eugen Neufeld: Graf Goertz, C. Oskar: Hofmarschall von Voß, Holger-Madsen: General Zieten, Ernst Baurath: Oberstallmeister Graf Schwerin, Walter Karge: General Werner, Hubert von Meyerinck: Graf Cobenzl, Emo Jugo: Nobile Calsabigi, Mario Stahl: Marquis Lucchesini, Arthur Parth: Oberst von Scheele, Franz Ernst Bochum: Kabinettsrat Mencken, Alex Strasser: Kabinettsrat Stelter, Carl Zickner: Vorleser de Catt, Werner Alberti: Abbé Fontana, Georg Heinrich Schnell: Großkanzler Fürst, Egon Kleyersburg: Kammergerichtsrat Rannsleben, Walter Wolffgram: Kammergerichtsrat Friedel, Walter Neumann: Kammergerichtsrat Graun, Emil Wittig: Kammergerichtsrat Uhl, Albert Karchow: Bürgermeister von Brandenburg, Friedrich Berger: Stadtkommandant Rohdich, Bernd Aldor: Graf de Launay, H. Ludwigsen: Dr. Selle, Andreas Behrens-Klausen: Kammerhusar Schöning, Karl Platen: Kammerhusar Strützky, Ernst Rotmund: Kammerhusar Neumann, Camillo Kossuth: Friedrich-Darsteller, Carl Walther Meyer: Leutnant von Bonin, Gerhard Dammann: Theaterdirektor Döbbelin, Conrad Callehn: Nicolai, Dr.  S.Moses Mendelsohn, Jaro Fürth: Kritiker Sulzer, Eduard Rothauser: Alter Apotheker, Käte Haack: Frau des Müllers Arnold, Paul Scholler: Kutscher Pfundt, Carl Balhaus: Deserteur",,,,Luise Heilborn-Körbitz,,,,,Karl Hasselmann,,Peter A. Becker,,,Carl Eduard Schulz,Artur Guttmann,,,,Gerhard-Lamprecht-Film Produktion Gmb: H (Berlin),Wilhelm Hertwig,Gerhard Lamprecht,Gerhard Lamprecht,,,,,"Rudolf Krabe, Carl Krabbe",,,,,"10 Akte, 3213 m, 117 min","35mm, 1:1,33","s/w, stumm",,"Zensur (DE): 23.12.1927, B.17719"
Amor auf Ski,https://www.filmportal.de/film/amor-auf-ski_88587c722939477cb47a781c0182d144,Spielfilm,1928,Deutschland,,,Ludwig Reiber,,"Harry Liedtke: Erbprinz Heinrich, Rita Roberts: Prinzessin Bertina, Georg Heinrich: Dr. Brinkmann, Christa Tordy: Elli, seine Tochter, Lydia Potechina: Rosalinde, seine Schwester, Willi Forst: Paul Grumbach, Ellis Vetter, Franz Loskarn: Huber Sepp, Bergführer, Sylvester Bauriedel: Moritz Bolle, Molkereibesitzer, Elisabeth Pinajeff: Ida, Ellis Freundin, Rio Nobile: Graf von Gohr",,,,Hermanna Barkhausen,,,,,Franz Koch,,,,,,,,,,Phoebus-Film AG (Berlin),,,Rolf Randolf,,,,,,,,,,,,,,
"Anastasia, die falsche Zarentochter",https://www.filmportal.de/film/anastasia-die-falsche-zarentochter_7bacf7584d1e499bbe02e8ae8c6c4d27,Spielfilm,1928,Deutschland,,,Otto Moldenhauer,,"Lee Parry: Anastasia, Hans Stüwe: Iwan Wolkoff, Theodor Loos: Großfürst Michael, Elizza La Porta: Natascha, Olga Engl: Großfürstin Marja, Max Landa: Graf Glybin, Camilla von Hollaydie falsche Anastasia, Richard Sternburg: Großfürst Dimitri, Maria Forescu: Frau von Tarski, Paul Günther, Ernst Behmer, Hugo Döblin, Georg John, Anna von Palen, Erwin Kalser, Wilhelm Bendow, Gerhard Dammann",,,,Curt J. Braun,,,,,Karl Hasselmann,,,,,,Hansheinrich Dransmann (Kino-Musik),,,,National-Film AG (Berlin),,,Arthur Bergen,,,,,,,,,,"7 Akte, 1970 m",,"s/w, Stumm",,
"Andrea, der Sohn des Zauberers",https://www.filmportal.de/film/andrea-der-sohn-des-zauberers_fc4ca03bb7154c708b72e40f5e6a94c0,Spielfilm,1928,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angst. Die schwache Stunde einer Frau,https://www.filmportal.de/film/angst-die-schwache-stunde-einer-frau_abdde93b7f174f1c8dfa419166123eef,Spielfilm,1928,Deutschland,,,Franz Schroedter,,"Elga Brink, Henry Edwards, Vivian Gibson, Gustav Fröhlich, Bruno Kastner, Margit Manstad, Valerie Boothby, Inge Landgut",,,,Ernst B. Fey,,,,,Karl Puth,,,,,,"Giuseppe Becce (Kino-Musik), Florian C. Reithner (2014)",,,,,,,Hans Steinhoff,,,,,,,,Stefan Zweig (Novelle),,,,,,
Ankunft der Frau Doktor und Begrüßung [Archivtitel],https://www.filmportal.de/film/ankunft-der-frau-doktor-und-begruessung-archivtitel_4d239ad003e647a8b72224f01b594737,Spielfilm,1928,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
