Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Ariadne in Hoppegarten,https://www.filmportal.de/film/ariadne-in-hoppegarten_135e276114c949edb5544d631025a4dd,Spielfilm,1928,Deutschland,,,Leopold Blonder,,"Alfred Abel: Valentin Zorn, Maria Jacobini: Anna, seine Frau, Paul Henckels: Mathias, sein Bruder, Jean Bradin: Graf Widmann, Gerhard Ritterband: Gatterer, sein Bursche, Andreas Behrens-Klausen: Gilchrist, Jockey, Corry Bell: Tutti",,,,Curt J. Braun,,,,,"Carl Drews, Georg Bruckbauer",,,,,,,,,,Maxim-Film Ges. Ebner & Co (Berlin),,,Robert Dinesen,,,,,,,,,,,,,,
Aus dem Elternhaus vertrieben,https://www.filmportal.de/film/aus-dem-elternhaus-vertrieben_fc29137e3fdc455f973244f08c317852,Spielfilm,1928,Deutschland,,,Robert A. Dietrich,,"Dolly Grey, Elza Temáry, Lydia Potechina, Eva Speyer, André Mattoni, Max Maxudian, Max Maximilian, Ralph Arthur Roberts, Kurt Vespermann, Clo-Clo: Kind",,,,Viktor Klein,,,,,"Gustave Preiß, Akos Farkas",,Christoph Drecoll,,,,Bernhard Homola (Kino-Musik),,,,Lothar Stark-Film Gmb: H (Berlin),,,Guido Brignone,,,,,,,,,,,,,,
Ein besserer Herr,https://www.filmportal.de/film/ein-besserer-herr_832430c090e249b6ab7e45541fdaa3b8,Spielfilm,1928,Deutschland,,,Ludwig Reiber,,"Leo Peukert: Milliardär Kompaß, ein Industriemagnat, Lydia Potechinaseine Frau, Rita Robertsseine Tochter, Fritz Kampers: Möbius, ein Heiratsschwindler, Elisabeth Pinajeff: Madame Prandon, eine Tänzerin, Carl Graumann, Gustl Helminger: Frau Schnütchen, eine Witwe, Willi Forst",,,,Tilde Förster,,,,,Franz Koch,,,,,,Hansheinrich Dransmann (Kino-Musik),,,,,,,Gustav Ucicky,Karl Hartl,,,,,,,,,,,,,
Der Biberpelz,https://www.filmportal.de/film/der-biberpelz_bd6f6e617ba641d29fa720d00dd417c0,Spielfilm,1928,Deutschland,,,"Franz Seemann, Bruno Lutz (Assistenz)",,"Lucie Höflich, Ralph Arthur Roberts, Wolfgang von Schwindt: Julian Wolff, La Jana, Ilse Stobrawa: Adelheid, Rudolf Biebrach: Rentier Krüger, Josefine Doraseine Frau, Paul Henckels: Mothes, Camilla von Hollayseine Frau, Max Maximilian: Wulkow, Walter Formes: Dr. Fleischer, Heinrich Gotho: Mittendorf, Ernst Behmer: Glasenapp, Harry Gondi: Gustav, Leontines Verlobter, Ernst Pittschau",,,,"Fanny Carlsen, Willy Haas",,,,,Friedrich Weinmann,,,,,,Pasquale Perris (Kino-Musik),,,,Deutsche Film-Union AG (Defu) (Berlin),,,Erich Schönfelder,,,,,,,,Gerhart Hauptmann (Bühnenstück),,2568 m,,,,
Die blaue Maus,https://www.filmportal.de/film/die-blaue-maus_4c25e7291cec446995a729c6559c2fe1,Spielfilm,1928,Deutschland,,,Jacek Rotmil,,"Jenny Jugo: Fanchon Ravassol, genannt ""Die blaue Maus"", Harry Halm: Caesar Robin, Albert Paulig: Firmenpräsident Lebodier, Hermine Sterler: Frau Lebodier, Brita Apelgreen: Clarisse Mosquitier, Julius Falkenstein: Vater Mosquitier, Willi Forst: Angestellter Rigault, Rina Marsa: Frau Rigault, Max Ehrlich: Auktionator E. A. Matthieu, Ernst Behmer: Bürodiener, Harry Grunwald, Hans G. Casparius",,,,Robert Liebmann,,,,,Friedl Behn-Grund,,,,,,,,,,Universum-Film AG (UFA) (Berlin),Günther Stapenhorst,,Johannes Guter,Herbert Nossen,,,,Herbert Nossen,,,,,,35mm,"s/w, stumm",,
Die Carmen von St. Pauli,https://www.filmportal.de/film/die-carmen-von-st-pauli_56f5c31d4e33449a8c64b267fe443ade,Spielfilm,1928,Deutschland,Arthur Ohme,,Alfred Junge,,"Jenny Jugo: Gangsterbraut Jenny, Willy Fritsch: Bootsmaat Klaus, Fritz Rasp: Der ""Doktor"", Wolfgang Zilzer: Der ""Stift"", Tonio Gennaro: Der ""Sanfte Heinrich"", Otto Kronburger: Der ""Lotsenkarl"", Walter Seiler: Der ""Scharfe Alfred"", Charly Berger: Der ""Kapitän"", Fritz Alberti: Reeder Rasmussen, Max Maximilian: Rasmussens Faktotum Hein, Betty Astor: Klaus' Braut Maria, Enrico Benfer: Rennradfahrer, Alfred Zeisler",,,,"Bobby E. Lüthge, Erich Waschneck",,,,Bobby E. Lüthge,Friedl Behn-Grund,,,,,,,,,,Universum-Film AG (UFA) (Berlin),Alfred Zeisler,,Erich Waschneck,,,,,,,,,,"6 Akte, 2308 m",35mm,"s/w, stumm",,
Casanovas Erbe,https://www.filmportal.de/film/casanovas-erbe_8b8950dfa8ae4abf9e87354c7ca217e6,Spielfilm,1928,Deutschland,,,Alexander Ferenczy,,"Maly Delschaft, Andrée Lafayette, Harry Hardt, Louis Ralph, Kurt Gerron, Elizza La Porta, Olga Belajeff, John Loder, Yvette Darnys",,,,"Herbert Juttke, Georg C. Klaren, Margarete M. Langen",,,,,Willy Goldberger,,,,,,Willy Schmidt-Gentner (Kino-Musik),,,,Noafilm Gmb: H (Berlin),,Manfred Noa,Manfred Noa,,,,,,,,,,2453 m,"35mm, 1:1,33","s/w, stumm",,
Charlott etwas verrückt,https://www.filmportal.de/film/charlott-etwas-verrueckt_90357bb954444b0d9281a00c1f550070,Spielfilm,1928,Deutschland,,,"Franz Schroedter, Paul E. Hetzer",,"Lya de Putti: Charlott, Livio C. Pavanelli: Justus, Alfons Fryland: Holk, Anton Pointner: Cecil, André Mattoni: Stanley, Olga Limburg: Cornelia, Hertha von Walther: Hertha, Lilian WeißFreundin",,,,Robert Liebmann,,,,,Willy Hameister,,,,,,Willy Schmidt-Gentner (Kino-Musik),,,,Phoebus-Film AG (Berlin),,,Adolf Edgar Licho,,,,,,,,Wilhelm Speyer,,,"35mm, 1:1,33","s/w, Ohne Ton",,
Die Dame in Schwarz,https://www.filmportal.de/film/die-dame-in-schwarz_bdd87a4eea7d47068e4015418d2c6cdb,Spielfilm,1928,Deutschland,,,"Franz Seemann, Bruno Lutz",,"Liane Haid: Irena Wolkowa, Marcella Albani: Prinzessin Nedelkoff alias Fr. Bennigsen, Charles Lincoln: Julian Holt, Boxer, Kurt Vespermann: Carl Töll, Redakteur, Erich Kaiser-Titz: Rechtsanwalt Golwisch, Albert Paulig: Privatdetektiv Olsen, Julius von Szöreghy, Hermann Picha: Franz Kickebusch, Jack Mylong-Münz: Werner Bennigsen",,,,"Ladislaus Vajda, Herbert Nossen",,,,,Karl Attenberger,,,,,,Hansheinrich Dransmann (Kino-Musik),,,,Peter Ostermayr-Filmproduktion Gmb: H (Berlin),,,Franz Osten,,,,,,,,,,,,,,
Die Dame mit der Maske,https://www.filmportal.de/film/die-dame-mit-der-maske_1c0ae4f0d4b64701ae3bbfa8e29d6d51,Spielfilm,1928,Deutschland,,,Erich Czerwonski,,"Arlette Marchal: Doris von Seefeld, Heinrich George: Holzhändler Otto Hanke, Wladimir Gaidarow: Alexander von Illagin, Dita Parlo: Kitty, Max Gülstorff: Freiherr von Seefeld, Paul Hörbiger: Russischer Bauernknecht Michael, Julius von Szöreghy: Direktor des Apollo Theaters, Harry Lamberts-Paulsen: Regisseur, Fritz Kampers: Inspizient, Gertrud Eysoldt: Garderobenfrau, Hilde Elsner: Revue-Girl, William Huch, Miss Sergewa",,,,"Alexander Esway, Henrik Galeen",,,,Henrik Galeen,Carl Drews,,,,,,,,,,Universum-Film AG (UFA) (Berlin),"Hans von Wolzogen, Alexander Esway",,Wilhelm Thiele,,,,,,,,,,"6 Akte, 2520 m","35mm, 1:1,33","s/w, stumm",,
Die Dame und ihr Chauffeur,https://www.filmportal.de/film/die-dame-und-ihr-chauffeur_c813ea593d784dbcb4352d26572b18d2,Spielfilm,1928,Deutschland,,,"Hans Sohnle, Otto Erdmann",,"Jack Trevor: Jan Derrik, Fritz Alberti: Mr. Reginald Prittspitt, Elisabeth Pinajeff: Bicky, seine Tochter, Siegfried Arno: Sekretär, Fritz Kampers: George, Kammerdiener, Charlotte Ander: Elli, Jungfer, Angelo Ferrari: Baron Hektor Suedor, Yvette Darnys: Yvette, eine Tänzerin, Philipp Manning, Hugo Döblin",,,,"Herbert Juttke, Georg C. Klaren",,,,,Alfred Hansen,,,,,,,,,,Noafilm Gmb: H (Berlin),,Manfred Noa,Manfred Noa,,,,,,,,,,,,,,
Die Siebzehnjährigen,https://www.filmportal.de/film/die-siebzehnjaehrigen_7936a1b83f5e4ec897496f2668073a08,Spielfilm,1928,Deutschland,Alfred Kern,,Hans Jacoby,,"Grete Mosheim: Erika Sörensen, Hans Adalbert Schlettow: Staatsanwalt Werner von Lingen, Martin Herzberg: Sohn Gert von Lingen, Vera Baranowskaja: Mutter Annemarie von Lingen, Eduard von Winterstein: Kapitän Erik Sörensen, Carl Balhaus: Gerts Freund Martin, Gerhard Ritterband: Gerts Freund Hans, Eva Speyer: Mutter Schwarz, Manfred VoßPrimaner Schwarz, Heinrich Gotho",,,,Fritz Falkenstein,,,,,Friedrich Weinmann,,,,,,Giuseppe Becce (1929),,,,Terra-Film AG (Berlin),,,Georg Asagaroff,,,,,,,,"Max Dreyer (Bühnenstück ""Reifeprüfung"")",,,35mm,"s/w, stumm",,
Die von der Scholle sind,https://www.filmportal.de/film/die-von-der-scholle-sind_04822fdb6572417eba59cffb577bf0d3,Spielfilm,1928,Deutschland,,,Bohumil Heš,,"Viola Garden, Albert Steinrück, Oskar Marion, Elsa Wagner, Eberhard Leithoff, Franz Stein, Hermann Vallentin, Emilio Cargher, Rudolf Lettinger, Baba von Bereczik",,,,"Alexander Lang, Hans Jensen",,,,,Günther Krampf,,,,,,,,,,Jelap Charakterfilm Gmb: H (München),Hans Jensen,,Alexander Lang,,,,,,,,,,,,,,
Diebe - 10 000 Mark Belohnung,https://www.filmportal.de/film/diebe-10-000-mark-belohnung_190358ed457244e7912d4fac62cb0d3f,Spielfilm,1928,Deutschland,,,August Rinaldi,,"Domenico Gambino, Hellen Allan, Hilde Jennings, Carl Auen, Hugo Werner-Kahle, Ernst Stahl-Nachbaur, Wilhelm Dieterle",,,,Edmund Heuberger,,,,,Georg Muschner,,,,,,Hansheinrich Dransmann (Kino-Musik),,,,,,,"Domenico Gambino, Edmund Heuberger",,,,,,,,,,,,,,
Don Juan in der Mädchenschule,https://www.filmportal.de/film/don-juan-in-der-maedchenschule_3eb0f05ea79e4f2c8cddf30bb79c7585,Spielfilm,1928,Deutschland,,,"Gustav A. Knauer, Willy Schiller",,"Reinhold Schünzel: Dr. Eckehart Bleibtreu, Studienrat an der Mädchenschule, Hilde von Stolz: Trude, seine Frau, geborene Tiedemann, Lydia Potechina, Jakob Tiedtke: Das kommerzienrätliche Ehepaar Tiedemann, Adolphe Engers: Fritz Stürmer, Eckehart Bleibtreus Schwager, Valerie Jones: Eva, seine Frau, auch eine geborene Tiedemann, Maria Kamradek: Susanne Bach, Tutti Frutti genannt, Max Gülstorff: Oberstudienrat Arminius Niedlich, Leiter der Mädch, Rolf von Goth: Seine Königliche Hoheit Prinz Osram, Julius E. Herrmann: Exzellenz Sala Mander, Lotte Stein: Perle im Hause Bleibtreu, Else GroßMädchen für alles bei Susanne Bach, Ernst Behmer: Sudienrat Meisel, Karl Geppert: Studienrat Schäden, Franz W. Schröder-Schrom",,,,Heinz Gordon,,,,,"Ludwig Lippert, Kurt Wunsch",,,,,,Paul Dessau (Kino-Musik),,,,Reinhold-Schünzel-Film Gmb: H (Berlin),,Reinhold Schünzel,Reinhold Schünzel,,,,,,,,"Hans Sturm (Schwank ""Der ungetreue Eckehard"")",,32173 m,"35mm, 1:1,33","s/w, stumm",,
Dornenweg einer Fürstin,https://www.filmportal.de/film/dornenweg-einer-fuerstin_650f0cdcf41743c2a4126b6fbe3f87e7,Spielfilm,1928,Deutschland,,,"Carl Ludwig Kirmse, Robert Scharfenberg",,"Mary Kid: Tatjana Oblonskaja, Suzanne Delmas: Ludmilla Woronzow, Grigori Chmara: Rasputin, Ernst Rückert: Leonid Woronzow, Fritz Alberti: Fürst Woronzow, Mitglied des Reichsrats, Hedwig Wangel: Fürstin Woronzow, Hans Albers: Sergej Ordinsky, in diplomatischen Diensten, Anton Pointner: Peter Awdrejew, Günther Hadank: Radlow, Lydia Tridenskaja: Anissja, Köchin, David Monko: Sokolsky, Sekretär, Oreste Bilancia: Mitensohn, Bankier, Karl Platen: Sawely, Diener, Wladimir Gaidarow",,,,Boris Nevolin,,,,,Emil Schünemann,,,Boris Nevolin,,,Paul Dessau (Kino-Musik),,,,Memento-Fabrikations- und Vertriebs-Gmb: H (Berlin),,,Nikolai Larin,,,,,,,,,,,"35mm, 1:1,33","s/w, ohne Ton",,
Dr. Monnier und die Frauen,https://www.filmportal.de/film/dr-monnier-und-die-frauen_ae0b86f414f644fcad234d41cac24dfc,Spielfilm,1928,Deutschland/Schweden,,,Robert Neppach,,"Ruth Weyher: Jeanne Duval, Margit Manstad: Nita Duval, Fred Louis Lerch: Dr. Léon Monnier, Miles Mander: Bühnenautor Armand de Marny, Alexander Murski: Vater Gambetta Duval, Karin Swanström: Witwe Rose Duval, Alexander Nadlerder kleine Philippe, Georg Blomstedt: Theaterdirektor Pinet, Hans Junkermann: Graf Rochefort, Margita Alfvén: Schauspielerin Savelly, Jeanne WeißElegante Dame mit Monokel, Albert Paulig: Portier, Ragnar Arvedson: Schauspieler, Olav Riégo: Schauspieler, Elisabeth Frisk: Gardrobiere, Knut Lambert: Reisender im Zug, Hjördis Petterson: Double für die klavierspielenden Hände Jeanne Duvals",,,,Paul Merzbach,,,,,Julius Jaenzon,Åke Dahlqvist,,,,,Otto Stenzeel (1928 bei der deutschen Erstaufführung),,,,"A.B. Isepa (Stockholm), Universum-Film AG (UFA) (Berlin)",Oscar Hemberg,,Gustaf Molander,,,,,,,,,,,35mm,"s/w, stumm",,
Dragonerliebchen (Das Smoking-Girl),https://www.filmportal.de/film/dragonerliebchen-das-smoking-girl_eaad9553c79048b296b8c754fc6209d8,Spielfilm,1928,Deutschland,,,"Botho Höfer, Hans Minzloff",,"Maria Paudler, Harry Liedtke, Fritz Kampers, Hanni Weisse, Hans Junkermann, Margarete Kupfer",,,,Walter Reisch,,,,,"Guido Seeber, Eduardo Lamberti",,,,,,Felix Bartsch (Kino-Musik),,,,Aafa-Film AG (Berlin),,,Rudolf Walther-Fein,,,,,,,,,,,,,,
Die drei Frauen von Urban Hell,https://www.filmportal.de/film/die-drei-frauen-von-urban-hell_8b25633684c74500be16ce2f403382af,Spielfilm,1928,Deutschland,,,Hans Jacoby,,"Mona Maris: May Lyssenhop, Fred Döderlein: Hell, Mia Pankau: Kamilla Bojan, Hilde Maroff: Puck, Julius von Szöreghy, Angelo Ferrari: Graf Békessy, Oreste Bilancia: Dr. Mayreder, Lotte Steinseine Frau, Hilde von Stolz: Anuschka, Max Maximilian: Bademeister",,,,,,,,,Willy Hameister,,,,,,Giuseppe Becce (Kino-Musik),,,,Terra-Film AG (Berlin),,,Jaap Speyer,,,,,,,,Vicki Baum (Roman),,,,,,
