Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
1 + 1 = 3. Ehe man Ehemann wird,https://www.filmportal.de/film/1-1-3-ehe-man-ehemann-wird_5573f797dea5453bb8b0947ef289d4d1,Spielfilm,1927,Deutschland,,,Heinrich Richter,,"Veit Harlan: Paul, Georg Alexander: Peter, Claire Rommer: Anni, Julius von Szöreghy: Ihr Vater, Margarete Kupfer: Ihre Mutter, Siegfried Arno: Doktor Planer, Karl Platen: Diener, Lissy Arna",,,,"Béla Balázs, Henry Kosterlitz",,,,,Edgar S. Ziesemer,,,,,,Pasquale Perris (Kino-Musik),,,,Prometheus Film-Verleih und Vertrieb Gmb: H (Berlin),,Willi Münzenberg,Felix Basch,,,,,,,,,,,,,,
Die 3 Niemandskinder,https://www.filmportal.de/film/die-3-niemandskinder_75514086e9394ad5ab296e85254739c6,Spielfilm,1927,Deutschland,,,Julius von Borsody (Bauten und Ausstattung),,"Xenia Desni: Poldi, Willi Forst: Peperl / Erzherzog Franz Ludwig, Adele Sandrock: Erzherzogin Sophie, Greta Graal: Eva _Winz / Frau Grünthal, Fritz Alberti: Bankier Grünthal, Kurt Vespermann: Hendrik van Vriis, Eugen Rex: Wenzel Skuhra, Wilhelm Diegelmann: Pfarrer von Maxhausen, Hermann Vallentin: Kastellan des Schlosses Maxhausen, Erna Klugeseine Frau, Hermann Picha: Lehrer von Maxhausen, Heinrich Gotho: Hofmarschall, Harry Frank: Engländer Gleeney",,,,Fritz Freisler,,,,,Hans Theyer,,,,,,Pasquale Perris (Kino-Musik),,,,Greenbaum-Film Gmb: H (Berlin),,,Fritz Freisler,E. W. Emo,,,,,,,,,,,,,
Die Achtzehnjährigen,https://www.filmportal.de/film/die-achtzehnjaehrigen_b62423dba3da4223bff6eb185aaec7b5,Spielfilm,1927,Deutschland,,,Karl Machus,,"Andrée Lafayette: Yvette de Valombres, Ernö Verebes: Gaston Ravel, Frida Richard: Seine Mutter, Evelyn Holt: Madeleine Lamont, Paul Otto: Henry Leclerc, Asta Gundt: Arlette, Loo Hardy: Ninette, Zofe, Siegfried Arno: Alexandre Rappaport, Teddy Bill: Paul Malot, Oreste Bilancia, Georg Heinrich Schnell, Fritz Richard",,,,"Josef Than, Ludwig von Wohl",,,,,Franz Planer,,,,,,Hans May (Kino-Musik),,,,Noafilm Gmb: H (Berlin),,Manfred Noa,Manfred Noa,,,,,,,,,,,,,,
Ännchen von Tharau,https://www.filmportal.de/film/aennchen-von-tharau_622c4da4fb444798aafc792d9ccce3e1,Spielfilm,1927,Deutschland,,,Artur Günther,,"Lilian Weiß, Ernst Hofmann",,,,Ludwig Hamburger,,,,,,,,,,,,,,,,,,Wolfgang Neff,,,,,,,,,,,,,,
Almenrausch und Edelweiß,https://www.filmportal.de/film/almenrausch-und-edelweiss_254f037d83434846be8b0507fde780a5,Spielfilm,1927,Deutschland,,,Kurt Dürnhöfer,,"Leo Peukert: Bühelhofbauer, Frieda Lehndorff: Bühelhofbäuerin, Gritta Ley: Evi, Xaver Terofal: Ledermüller, Margarete Kupfer: Ledermüllerin, Charlotte Susa: Kordél, Fritz Kampers: Kriegelhofer Quasi, Franz Loskarn: Jäger, Harry Frank: Grenzer, Max Heller: Kommandant, Fanny Mittermayr-Terofal: Stasi, Näherin",,,,"Joseph Dalmann, Carl Mittermayr (Neue Bearbeitung)",,,,,Willy Winterstein,,,,,,,,,,Hochlandfilm Schliersee,,,Franz Seitz Sr.,,,,,,,,,,,,,,
Alpenglühen,https://www.filmportal.de/film/alpengluehen_81b0cfbe82ef4b18aff1747e1f3e0621,Spielfilm,1927,Deutschland,,,Hanns Beck-Gaden,,"Gritta Ley, Iwa Wanja",,,,,,,,,,,,,,,,,,,"Drehwa-Film Gmb: H, Hanns Beck-Gaden (München)",,,Hanns Beck-Gaden,,,,,,,,,,,,,,
Alpentragödie,https://www.filmportal.de/film/alpentragoedie_e0a4907f4b1d4decad203217140ddfec,Spielfilm,1927,Deutschland,,,"Andrej Andrejew, Erich Zander",,"Lucy Doraine: Gräfin Josette da Rimini, Arnold Korff: Graf da Rimini, Hanni Hoess: Maira, Fritz Kortner: Mairas Vater, Wolfgang Zilzer: Lehrer Fredo, Eugen Neufeld: Graf Pinedo, Dene Morel: Prinz René, Louis Ralph: Bergführer Vital",,,,Curt J. Braun,,,,,"Willy Goldberger, Sepp Allgeier",,,,,,Walter Ulfig (Kino-Musik),,,,Deutsche Film-Union AG (Defu) (Berlin),,,Robert Land,,,,,Walter Lichtenstein,,,,,,,,,
Alraune,https://www.filmportal.de/film/alraune_2ccaa56341b84a74bf3dda6f045e03ca,Spielfilm,1927,Deutschland,Helmut Schreiber,,"Max Heilbronner, Walter Reimann",,"Brigitte Helm: Alraune, Paul Wegener: Professor ten Brinken, Iván Petrovich: Sein Neffe Frank Braun, Mia Pankau: Dirne, Georg John: Mörder, Valeska Gert: Mädchen von der Gasse, Wolfgang Zilzer: Wölfchen, Louis Ralph: Zauberkünstler, Hans Trautner: Dompteur, John Loder: Vicomte, Heinrich Schroth: Herr in der Bar, Alexander Sascha: Herr im Coupé",,,,Henrik Galeen,,,,,Franz Planer,,,,,,Willy Schmidt-Gentner,,,,Ama-Film Gmb: H (Berlin),,,Henrik Galeen,,,,,Walter Lichtenstein,,,Hanns Heinz Ewers (Roman),,"7 Akte, 3302 m",35mm,"s/w, stumm",,
Am Rande der Welt,https://www.filmportal.de/film/am-rande-der-welt_0edf646f402c419b87595df265aa80df,Spielfilm,1927,Deutschland,,,Robert Neppach,,"Albert Steinrück: Müller, Brigitte Helm: Tochter Magda, Wilhelm Dieterle: Sohn John, Camilla von Hollay: Johns Frau, Max Schreck: Hausierer, Imre Ráday: Müllersbursche und Spion, Jean Bradin: Junger feindlicher Offizier, Victor Janson: Feindlicher Hauptmann, Erwin Faber: Verräter, Fee Malten: Frau des Müllers, Georg John",,,,"Karl Grune, Hans Brennert",,,,,Fritz Arno Wagner,,Robert Neppach,,,,Giuseppe Becce (Bei der Uraufführung),,,,Universum-Film AG (UFA) (Berlin),,,Karl Grune,,,,,,,,,,96 min,"35mm, 1:1,33","s/w, stumm",,
Am Rüdesheimer Schloß steht eine Linde,https://www.filmportal.de/film/am-ruedesheimer-schloss-steht-eine-linde_f8599ec6fcc9425da38c7c57183251af,Spielfilm,1927,Deutschland,,,Robert Basilice,,"Werner Fuetterer: Fritz von Hohenstein, Marija Leikoseine Mutter, Alwin NeußSchmiedemeister Wangen, Vera Schmiterlöw: Christel, seine Frau, Carl Walther Meyer: Hans, der Lehrbub, Paul Henckels: Ensser, Stadtsekretär, Eugen Neufeld: Ottokar Kalckreuth, Gertrud Kornstedt: Else, seine Tochter",,,,,,,,,Edgar S. Ziesemer,,,,,,,,,,,,,Johannes Guter,,,,,,,,,,,,,,
