Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
90 Minuten Aufenthalt,https://www.filmportal.de/film/90-minuten-aufenthalt_faa0c363685b4ac08ab768a4c7b735dd,Spielfilm,1936,Deutschland,,,"Willi Depenau, Karl Vollbrecht",,"Harry Piel: Harry Winkler, Alexander Golling: Conny Steven, Else von Möllendorff: Ilse Siebeck, Elisabeth Eygk: Madeleine Ribail, Genia Nikolajewa: Madame Clermont, Hans Zesch-Ballot: Alberto Basto, Klaus Pohl: Ein Sekretär, Eduard von Winterstein: Kriminalkommisar Winkler, Ernst-Albert Schaah, Hugo Werner-Kahle, Max Diekmann, Körner M. Ossmann, Franz Kosak, Rolf Becker, Kurt Hinz, Ruth Bayer, Ingeborg Carlsson, Gustav Püttjer, Peter Erkelenz, Charly Berger",,,,"Harald Bratt, Harry Piel",,,,,"Georg Bruckbauer, Wilhelm Schmidt (Atelier), Fritz von Friedl (Außenaufnahmen)",,,,Ernst Leenen,,,,,,Ariel-Film Gmb: H (Berlin),Ludwig Behrends,Harry Piel,Harry Piel,,,Wolfgang Becker,,,,Wolfgang Becker,,,"2468 m, 90 min","35mm, 1:1.33","s/w, Klangfilm",,
Der Abenteurer von Paris,https://www.filmportal.de/film/der-abenteurer-von-paris_f7f05452421146008f9acb75f10fca17,Spielfilm,1936,Deutschland,,,Heinrich Richter,,"Karin Hardt: Mabel, Peter Voss: Mitja, Fürst Artamanow, Hannes Stelzer: Igor, sein Bruder, Hilde von Stolz: Lucienne Renard, Theodor Loos: Sir Henry Vinston, Erik Ode: Robert, sein Sohn, Andrews Engelmann: Fedor Lossew, Elisabeth Eygk, Greta Keller, Rose Rauch, Armin Schweizer, Herbert Weißbach, Karl Hannemann, Hans Stiebner, Michael von Newlinski, Hans Waschatko, Aribert Grimmer, Rio Nobile, Fred Köster",,,,Axel Eggebrecht,,"Charlotte Jungmann, Fritz Pietsch",,,Karl Puth,Wilhelm Schmidt,,,,"Karl Weischat, Bruno Heckmann",Werner Bochmann,,Werner Bochmann,,Rolf Randolf-Film Gmb: H (Berlin),,Rolf Randolf,Karlheinz Martin,,"Walter König, Hans Coelius",Ludolf Grisebach,,Josef Höfer,,Fritz Seeger,,,,,,,
Der ahnungslose Engel,https://www.filmportal.de/film/der-ahnungslose-engel_6fe0b6d8325f4537a6d478344aef7f33,Spielfilm,1936,Deutschland,,,"Max Seefelder, Josef Franz Strobl",,"Lucie Englisch: Jozi, Joe Stöckel: Hörl, Grenzoberaufseher, Franz Nicklisch: Hans Markwart, Grenzaufseher, Erika Glässner: Frau Bergmann, Wirtin vom Hirschenstand, Otto Fassler: Stefan Meser, Josef Eichheim: Onkelchen, Erna Fentsch: Manja, Jola Jobst: Steffi, Hertha Schwarz: Paula, O. E. Hasse: Kornitzki, Arnulf Schröder: Babitz, Justus Paris: Heuer, Elisabeth Flickenschildt: Lotte Grün, Liane Kopf: Frau Guggemoos, Michl Lang: Loidl, Ludwig Schmitz, Richard Häußler, Ludwig ten Kloot, Thea Aichbichler, Franz Kronach, Erika Staufenberg, Lydia Schulenburg",,,,Wolf Neumeister,,,,,"Franz Koch (Atelier), Josef Illig (Außenaufnahmen)",,,,Bruno Balz,,Leo Leux,,,,Bavaria Film AG (München-Geiselgasteig),Otto Ernst Lubitz,,Franz Seitz Sr.,,,Max Michel,,Rudolf Reißner,,Karl-Albert Keller,,,,"35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Allotria,https://www.filmportal.de/film/allotria_bf229ca9b35e42cba9668d55d816d4a9,Spielfilm,1936,Deutschland,,,"Kurt Herlth, Werner Schlichting",,"Jenny Jugo: Gaby, Renate Müller: Viola, Adolf Wohlbrück: Philipp, Plantagenbesitzer auf Java, Heinz Rühmann: David Clemens, Rennfahrer, Hilde Hildebrand: Aimée, Modesaloninhaberin, Heinz Salfner: Gabys Vater, Will Dohm: Theodor, Kammerdiener, Julia Serda: Passagier an Violas Tisch, Toni Tetzlaff: Mädchen bei Gaby, Erich Dunskus: Zollbeamter, Paul Laven: Rundfunkreporter, Harald Wolff: Schiffsteward, Norma Wellhoff: Stewardess, Willi Rose: Monteur Oskar, Ingeborg Peter: Gabys Freundin, Alfred Karen1. Schiffspassagier, Ferdinand Robert2. Schiffspassagier, Günther Vogdt: Schlagersänger der Schiffskapelle, Margarethe von Ledebur: Angestellte im Schönheitssalon, Fritz Draeger: Assistent des Rundfunkreporters, Gretel von Schrabich: Angestellte im Modesalon, Liselotte Ziesemer: Gast bei der Verlobungsfeier, Werner Bernhardy: Barmann bei der Modenschau, Gustav Mahncke1. Gast bei der Modeschau, Lieselotte Aureden2. Gast bei der Modeschau, André Saint-Germain: Französischer Rundfunkreporter beim Monte-Carlo-Rennen, Franz W. Schröder-Schrom: Passagier an Violas Tisch, Theodor Thony: Französischer Rennbahnhelfer, Hans Joachim zum Sande",,,,"Jochen Huth, Willi Forst",,"Walter Leder, Fritz Schilling, Elisabeth Massary, Justine Schulz",,,"Ted Pahle, Werner Bohne",Kurt Schulz,,,Hans Fritz Beckmann,"Willi Grabow, Adolf Arnold, Karl Hanoszek",Peter Kreuder Jr.,Oscar Joost (Orchester),Peter Kreuder Jr.,,Cine-Allianz Tonfilm Produktion Gmb: H (Berlin),Fritz Klotzsch,,Willi Forst,"Viktor Becker, Carl W. Tetting","Karl Meyer, Alfred Schmitz",Hans Wolff,,Richard Wesel,,Carl Becker,,Tobis Europa-Film AG (Berlin),94 min,"35mm, 1:1,37","s/w, Ton",,
Annemarie. Die Geschichte einer jungen Liebe,https://www.filmportal.de/film/annemarie-die-geschichte-einer-jungen-liebe_79be589d3a2a44ebb16452b8f80f148c,Spielfilm,1936,Deutschland,Viktor Eisenbach,,"Willi A. Herrmann, Alfred Bütow",,"Gisela Uhlen: Annemarie Brinkmann, Victor von Zitzewitz: Klaus Renken, Elsa Wagner: Mutter Brinkmann, Wilhelm P. Krüger: Vater Brinkmann, Gertrud Boll: Annemaries Schwester Lotte, Ilse Rose-Vollborn: Annemaries Schwester Magda, Margarethe Schön: Klau's Mutter, Paul Bildt: Pfarrer Schröder, Herbert Wilk: Verkäufer Christopher, Hans-Joachim Büttner: Hauptmann Brand, Ernst Gronau: Postmeister, Ernst Behmer: Briefträger, Fritz Hoopts: Kantinenwirt Wellbrock, Ursula Schlettow: Annemaries Bekannte, Lotte Spira: Leiterin des Wohltätigkeitskomitees, Franz Weber: Zauberkünstler, Eduard Wenck: Fotograf, Charly Berger: Empfangschef im Hotel, Siegfried Seefeld: Hotelpage Rudi, Gerhard Bienert: Feldwebel, Werner Stock: Marineoffiziersanwärter, Herbert Knabe: Fähnrich, Paul Schwed: Feldpostsoldat, Hans Ludwig Hilmers: Gefreiter in der Schreibstube, Kurt Hinz: Rekrut Peters, Walter Bischof: Rekrut, Kurt Kramer: Rekrut, Siegmar Schneider: Klaus' Kamerad",,,,"Fritz Peter Buch, Bruno Wellenkamp",,"Charlotte Jungmann, Paula Hettwer","Ernst Krüger, Hans Herbert Ulrich",,Carl Drews,Ulrich Heiligenstedt,,,,,"Michael Jary, Franz R. Friedl",,,,Georg Witt-Film Gmb: H (Berlin),"Ernst Krüger, Hans Herbert Ulrich",Georg Witt,Fritz Peter Buch,Ernst Hasselbach,,Friedel Buckow,,Walter Weisse,,Georg Gutschmidt,"Bruno Wellenkamp (Roman ""Lauter Sonntage"")",Universum-Film AG (UFA) (Berlin) (Herstellungsgruppe Krüger-Ulrich),"2396 m, 88 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",Uraufführung (DE): 10.11.1936,
Arzt aus Leidenschaft,https://www.filmportal.de/film/arzt-aus-leidenschaft_df97fcb63ad14d11b005d76c1b7133a5,Spielfilm,1936,Deutschland,,,"Karl Machus, Ludwig Reiber",,"Albrecht Schoenhals: Dr. Felgentreu, Karl Dannemann: Felgentreus Vetter, Franz Weber: Dr. Oldewig, Karin Hardt: Elisabeth, Otto Wernicke: Geheimrat Grimm, Hans Söhnker: Dr. Wüstefeld, Gerda Maurus: Schwester Hilde, Eva Tinschmann: Schwester Berta, Joe Stöckel: Engel, Krankenwärter, Josef Eichheim: Friedrich, Hans Mierendorff: Direktor Kreyser, Arthur Schröder: Sein Sohn Werner, Margarethe Schön: Frau Felgentreu, Alfred Gerasch: Vorsitzender des Gerichts, Curt Lukas: Staatsanwalt, Lilo Hartmann3. Schwester, Odette Orsy4. Schwester, Conrad Curt Cappi: Bürovorsteher, Heinz Wemper: Mann, der sich schlägt, Rose Rauch: Sängerin, Katja Bennefeld, Hertha Guthmar, Lucie Bernardo, Hedy Bert, Edith Meinel, Arthur Fritz Eugens, Erwin Biegel, Hugo Gau-Hamm, Walter Brückner, Max Hochstetter, Herbert Roehl, Lucie Euler, Fred Goebel, Emmerich Hanus, Willy Meyer-Sanden, Hermann Schröder, Leni Morel",,,,Hans H. Zerlett,,"Fritz Pietsch, Marie-Luise Arndt",,,Georg Krause,Karl Buhlmann,,,,"Adolf Doelle, Emma Doelle",Leo Leux,,Leo Leux,,Euphono-Film Gmb: H (Berlin),,Franz Vogel,Hans H. Zerlett,Erich Palme,"Gerhard Busse, Boines",Erich Palme,,Kurt Wunsch,,Carlheinz Becker,Karl Unselt (Roman),,82 min,"35mm, 1: 1,37","s/w, Tobis-Klangfilm",,
August der Starke,https://www.filmportal.de/film/august-der-starke_1b10b8c68a514fafb2711850894725cf,Spielfilm,1936,Polen/Deutschland,,,"Ludwig Reiber, Karl Machus",,"Michael Bohnen: August der Starke, Lil Dagover: Gräfin Aurora Koenigsmarck, Marieluise Claudius: Gräfin Cosel, Günther Hadank: Karl XII., Franz Schafheitlin: Flemming, Ernst Legal: Graf Saumagen, Walther Suessenguth: Fürstenberg, Maria Krahn: Eberhardine, Karl Hannemann: Patkul, Loda Halama: Tänzerin, Maria Balcerkiewicz: Fürstin Jablonska, Maria Wiecke: Ihre Begleiterin, Tamara Wiszniewska: Jasia, Franciszek Brodniewicz: Adelsmarschall, Wanda Jarszewska: Polnische Wirtin, Harry Muratow: Polnischer Wirt, Paul Mederow: Pöppelmann, Hans Kettler: Schulenburg, Curt Lukas: Graf Hoym, Ewald Schindler: Leibmedikus, Franz Weilhammer: Permoser, Carlheinz Carell: Dinglinger, Dieter Horn: Brühl, Armin Schweizer: Hoffriseur, Kai Möller: General Piper, Paul Hildebrandt: Leibbursche bei Karl XII., Maria Loja: Ballettmeisterin, Ferdinand Asper: Ballettmeister, Franz Stein: Superintendent, Wolfgang von Schwindt: Zeremonienmeister, Hans Rudolf Waldburg: Bischof von Gnesen, Alfred Pussert: Sächsischer Kurier, Gustav Püttjer: Delinquent, Wilhelm Mewes: Sächsischer Kutscher, Ernst Rotmund: Wirt in Warschau, Rose Borgh1. Hofdame, Eva Wegener2. Hofdame, Dora Zitzmann3. Hofdame, Alix Lischke: Hofdame von Eberhardine, Robert Vincenti-Lieffertz: Polnischer Fürst, Helga Karwa: Zofe, Jur Arten, Johannes Bergfeldt, Herbert Ebel, Ruth Eweler, Angelo Ferrari, Georg Georgi, Richard Korn, Curt Lauermann, Paul Luka, Werner Schott, Inge Vesten, Kurt Wieschala",Herbert Tjadens,,,Rolf Meyer,,"Hans Kothe, Ida Revelli",,,Karl Puth,Willy Gerlach,"Irena Lorentowicz-Karwowska, Eleanor Behm",,,"Franz Siebert, Walter Pantzer",Hans Erdmann (Deutsche Fassung),,"Hans Erdmann (Deutsche Fassung), Leon Schiller, Roman Palester (Polnische Fassung)",Johann Sebastian Bach (Hohe Messe in h-Moll),"Nerthus Film Gmb: H (Berlin), Polski Tobis (Warschau)",Curt Hänsel,,"Paul Wegener, Stanislaw Wasylewski (Polnische Fassung)",Hans Weber,"Max Freude, Heinz Hegel",Rolf Meyer,,Karl Lindner,,Adolf Jansen,Johann Sebastian Bach (Hohe Messe in h-Moll),,,,,"Uraufführung (DE): 17.01.1936, Dresden, U.T. Lichtspiele",
Ave Maria,https://www.filmportal.de/film/ave-maria_c9ae0582c80845299ab32ff0cf9a51de,Spielfilm,1936,Deutschland,,,Emil Hasler,,"Beniamino Gigli: Tino Dossi, Tenor, Käthe von Nagy: Claudette, Chansonette, Paul Henckels: Amadeus Winkler, Korrepetitor, Harald Paulsen: Michel, Erpresser, Erna Berger: Violetta in Opernszenen aus ""La Traviata"", Eugen von Bongardt: Gaston, Conrad Curt Cappi: Priester, Jutta Jol: Nonne, Arthur Orlop: Zuhälter in einer Opernszene, Eleonore Tappert: Mutter, Alfred Kernen1. Gast bei Dossi, Lea Irene Kieselhausen von Budau2. Gast bei Dossi, Elisabeth von Rüts3. Gast bei Dossi, Nino C. Poli: Gratulant, Herbert Hübner: Konzertdirektor in Paris, Karl Platen: Theaterinspizient, Erika Nymgau-Odemar: Wirtschafterin bei Dossi, Ernst Rotmund: Hotelwirt, Willi Schur: Schuhmacher, Roly Bock1. Konzertbesucherin, Hilde Felsch2. Konzertbesucherin, Eva Genschow3. Konzertbesucherin, Hedi Heissling4. Konzertbesucherin, Elisabeth Neumann-Viertel5. Konzertbesucherin, Katrin Weigle6. Konzertbesucherin, Max Harry Ernst: Konzertbesucher, Emmerich Hanus: Blumenlieferant, Max Mothes: Kellner, Carl Auen: Arzt im Unfallkrankenhaus, Lina Hofmann, Karin Karina, Elisabeth Miller, Juliana Sommer, Max Wagner",,,,Georg C. Klaren,,,,,Bruno Mondi,,,,"Franz Baumann, Domenico Funco",,Alois Melichar (Unter Verwendung verschiedener Opernmotive),,Alois Melichar,Ernesto de Curtis (Lied),Itala-Film Gmb: H (Berlin),Martin Pilchert,Alberto Giacalone,Johannes Riemann,"Curt Blachnitzky, Ernst Rechenmacher",,Roger von Norman,,Karl Ewald,,Hans Rütten,Ernesto de Curtis (Lied),,,,,"Uraufführung (DE): 21.08.1936, Bremen, Tivoli",
Befehl ist Befehl,https://www.filmportal.de/film/befehl-ist-befehl_64a723c1e9314a2fa92f554e809852ea,Spielfilm,1936,Deutschland,,,,,"Weiß-Ferdl: Josef Murr - Feldwebel a.D., Trude Hesterberg: Alwine Sommer, Elfriede Sandner: Inge, Eric Helgar: Hubert, Vicky Werckmeister: Mali, Else Reval: Leni, Oskar Sima: Schwanke, Hubert von Meyerinck: Rittmeister von Schlackberg, Leopold von Ledebur: Der Oberst, Carl Auen: Der Hauptmann, Gerhard Dammann: Hinrichs, Konfektionär, Kurt Vespermann: Hibberlich, Verkäufer, Hilde Sessak: Annerl, Leo Peukert: Hotelportier, Erich Bartels: Chef im Reisebüro, Anita Düvel: Sekretärin im Reisebüro, Arthur Reinhardt: Kompaniefeldwebel, Gaston Briese: Der Dicke bei der Führung, Herbert Weißbach: Der spleenige Engländer, Leo Sloma: Der Dicke im Konfektionsladen, Hans Schneider: Xaver Murr",,,,Georg Zoch,,,,,Eduard Hoesch,,,,,,Fritz Wenneis,,,,,,,Alwin Elling,,,,,,,,,,"2610 m, 95 min","35mm, 1:1,33","s/w, Tobis-Klangfilm",,
Der Bettelstudent,https://www.filmportal.de/film/der-bettelstudent_ee7f0baba5eb417fb6f8a52d7b4d6eda,Spielfilm,1936,Deutschland,Ludwig Kühr,,"Fritz Maurischat, Karl Weber",Sabine Ress,"Johannes Heesters: Simon Rymanowicz / Herzog Kasimir, Berthold Ebbecke: Jan Janicki / Graf Opalinski, Ida Wüst: Palmatica Gräfin Nowalska, Carola Höhn: Laura Nowalska, Marika Rökk: Bronislawa Nowalska, Fritz Kampers: Gouverneur Oberst Ollendorf, Harry Hardt: Rittmeister, Ernst Behmer: Gefängniswärter Enterich, Hans Joachim SchaufußFähnrich Henrici, Wilhelm Bendow: Friseur, Gerhard Bienert: Tierbudenbesitzer Kinsky, Karl Platen: Diener Stefan, Paul Schwed: Korporal, Reinhold Bernt: Pedell, Ernst Deitermann1. Polnischer Student, Walter Kunkel2. Polnischer Student, Heinz Piper3. Polnischer Student, Victor von Zitzewitz4. Polnischer Student, Herbert Ebel5. Polnischer Student, Carl Iban: Gefangener, Max Vierlinger: Adjutant des Oberst, Isolde Laugs: Polnische Händlerin, Oscar Aigner, Lothar Devaal, Kurt Felden, Hilde Felsch, Hermann Gees, Ernst Rennspies, Gerti Kraus, Paul Schäfer, Karl Wegner, Erwin Werner, Frank Winkler",,,,"Walter Wassermann, Lotte Neumann",,"Hans Kothe, Fritz Strack, Maria Kühr, Charlotte Lamprecht",Max Pfeiffer,,Ewald Daub,"Willy-Peter Bloch, Gerhard Brieger",Herbert Ploberger,,Franz Baumann (Neue Liedtexte),Wilhelm Weber,Alois Melichar,"Marika Rökk, Johannes Heesters, Alois Melichar",Alois Melichar,Carl Millöcker (Melodien der Operette),Universum-Film AG (UFA) (Berlin) (Herstellungsgruppe Max Pfeiffer),Max Pfeiffer,,Georg Jacoby,Herbert B. Fredersdorf,"Otto Rülicke, Arthur Schwandt",Herbert B. Fredersdorf,,Heinz Ritter,,Carlheinz Becker,"Carl Millöcker (Operette), Friedrich Zell (Operette), Richard Genée (Operette)",,"2549 m, 94 min","35mm, 1:1,37","s/w, Ton","Uraufführung (IT): 24.08.1936, Venedig, Biennale","FSK-Prüfung (DE): 11.01.1950, 00720, Jugendfrei / nicht feiertagsfrei"
