Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Die dritte Eskadron,https://www.filmportal.de/film/die-dritte-eskadron_748b461702354985955450c0223a39f4,Spielfilm,1926,Deutschland,,,"Hans Sohnle, Otto Erdmann",,"Claire Rommer: Julie, das Fräulein Rittmeister, Fritz Spira: Kaiser Franz Joseph, Eugen Burg: Herr Oberst, Ida Wüst: Emilie, die Frau Oberstin, Ralph Arthur Roberts: Herr Rittmeister Vertessy, Julius von Szöreghy: Rittmeister der Reserve von Mikosch, Camilla Spira: Ilonka, seine Tochter, Paul Heidemann: Oberleutnant Huber, Ernö Verebes: Leutnant Edler, Paul Morgan: Oberarzt, Kurt Vespermann: Einjährig-Freiwilliger, Siegfried Arno: Husar Mischka Rappaport, Karl Victor Plagge: Husar Pali, Ressel Orla: Mizzi Blank, Tänzerin, das Verhältnis der Eskadron, Robert Garrison: Max Freundlich, der Finanzier der Eskadron, Albert Paulig: Jánós, Mikoschs Diener, Anton Pointner, Leopold von Ledebur, Lydia Potechina",,,,"Bobby E. Lüthge, Carl Wilhelm",,,,,"Gustav Ucicky, Eduard von Borsody",,,,,,Hans May (Kino-Musik),,,,Domo-Strauß-Film Gmb: H (Berlin),,,Carl Wilhelm,,,,,Walter Lichtenstein,,,Bernhard Buchbinder (Bühnenstck),,,"35mm, 1:1,33","s/w, stumm",,
Droben stehet die Kapelle,https://www.filmportal.de/film/droben-stehet-die-kapelle_33310cdf085b445ebfe9dd408c45861d,Spielfilm,1926,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dürfen wir schweigen?,https://www.filmportal.de/film/duerfen-wir-schweigen_ef2d5f740d8142cd99bfa7568bbb0ef6,Spielfilm,1926,Deutschland,,,Heinrich Richter,,"Conrad Veidt: Paul Hartwig, Maler, Walter Rilla: Dr. Georg Mauthner, Henry de Vries: Henry Pierson, Stadtrat, Mary Parker: Leonie, seine Tochter, Elga Brink: Assistentin, Frida Richard: Alte Frau, Ernst Laskowski: Junger Mann, Maria West: Junge Frau, Fritz Kortner: Annoncierender Arzt, John Gottowt: Sein Faktotum, Maria Forescu1. Patientin, Else Plessner2. Patientin, Betty Astor: Inge, Albert Paulig: Ober, Ernst Stammer: Wirt, Bella Polini: Tänzerin, Ernö Verebes: Gerd",,,,Richard Oswald,,,,,Gustav Ucicky,,,,,,Hans May (Kino-Musik),,,,Nero-Film Gmb: H (Berlin),,,Richard Oswald,,,,,,,,,,2686 m,"35mm, 1:1,33","s/w, stumm",,
Der dumme August des Zirkus Romanelli,https://www.filmportal.de/film/der-dumme-august-des-zirkus-romanelli_3378851326984763b338a045d336661f,Spielfilm,1926,Deutschland,,,"Hans Sohnle, Otto Erdmann",,"Reinhold Schünzel: Der dumme August, Claire Rommer: Viola, Victor Janson: Herr Direktor, Trude Hesterberg: Frau Direktor, Anton Pointner: Robert, Violas Bräutigam, Kunstreiter, Siegfried Arno: Jolli, Sister Brothers de Frère, Paul Westermeier: Polli, Sister Brothers de Frère, Julius Falkenstein: Eberhard, Majoratsherr auf Stockeling, Elga Brink: Hella, seine Nichte, Fritz Greiner: Karussellbesitzer, Hermann Picha, Paul Biensfeldt, Paul Morgan",,,,"Alfred Schirokauer, Reinhold Schünzel",,,,,"Otto Kanturek, Gustave Preiß",,,,,,Willy Schmidt-Gentner (Kino-Musik),,,,Domo-Strauß-Film Gmb: H (Berlin),,,Georg Jacoby,,,,,Walter Lichtenstein,,,,,"6 Akte, 2093 m","35mm, 1:1.33","s/w, stumm",,
Einigkeit und Recht und Freiheit,https://www.filmportal.de/film/einigkeit-und-recht-und-freiheit_f4b51d0d41cc45f485ae3d564bf19926,Spielfilm,1926,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,Nivelli-Film (Berlin),,,Joseph Delmont (?),,,,,,,,,,"6 Akte, 1946 m",,"s/w, Stumm",,
Die Elenden der Straße,https://www.filmportal.de/film/die-elenden-der-strasse_a102dd29d8b24dac8fc9fb270c90ccfe,Spielfilm,1926,Deutschland,,,Franz Seemann,,"Liselotte Krämer: Kind, Eva Speyer, Aruth Wartan",,,,Toni Dathe,,,,,Albert Schattmann,,,,,,,,,,,,,Albert Krämer,,,,,,,,,,,,,,
Die elf Schillschen Offiziere,https://www.filmportal.de/film/die-elf-schillschen-offiziere_c4345f660f2a46699c301564fcef01e5,Spielfilm,1926,Deutschland,,,Gustav A. Knauer,,"Rudolf Meinert: Major von Schill, Gustav Adolf Semler: König Friedrich Wilhelm III. von Preußen, Grete Reinwald: Königin Luise, Leopold von Ledebur: Freiherr von Wedel, Mary Nolan: Marie, seine Tochter, Ernst Rückert: Fritz, sein Sohn, Werner Pittschau: Udo von Reckenthin, Fritz Greiner: Freiherr von Mallwitz, Albert Steinrück: Der französische Kammandant, Charles Willy Kayser: Französischer Offizier, Camilla von Hollay: Minne, Henri Peters-Arnolds: Franz, ein Knecht, Jack Mylong-Münz: Freischärler, Else Reval, Aruth Wartan, Fred Immler, Edgar Hellwald, Jaro Fürth, Mark Asarow, Clementine Plessner, Emmerich Hanus, Rudolf del Zopp, Kurt Thormann, Bobby Bender",,,,"Max Jungk, Julius Urgiß",,,,,Ludwig Lippert,,,,,,,,,,Internationale Film-AG (Ifa) (Berlin),,Rudolf Meinert,Rudolf Meinert,,,,,,,,,,"7 Akte, 2853 m (2886 m vor Zensur)Format: 35mm, 1:1.33","35mm, 1:1.33","s/w, stumm",,
Es blasen die Trompeten,https://www.filmportal.de/film/es-blasen-die-trompeten_b847bb01519a4dc6abaf5dc3246a54b0,Spielfilm,1926,Deutschland,,,Karl Görge,,"Bruno Kastner, Hugo Fischer-Köppe, Eddie F. Seefeld, Hans Albers, Erich Kaiser-Titz, Anita Dorris, Fritz Spira, Karl Elzer",,,,Friedrich Stein,,,,,Alfred Hansen,,,,,,,,,,,,,Carl Boese,,,,,,,,,,,"35mm, 1:1,33","s/w, ohne Ton",,
Die Fahrt ins Abenteuer,https://www.filmportal.de/film/die-fahrt-ins-abenteuer_e3126de673884049900bbd349a0b17fe,Spielfilm,1926,Deutschland,,,Rudi Feld,,"Ossi Oswalda: Ossi Bondy, Willy Fritsch: Adam Bondy, ihr Bruder, Gräfin Agnes Esterhazy: Eva Frieson, Lydia Potechinaihre Mutter, Warwick Ward: F. W. Erler, Schriftsteller, Adolphe Engers: Bobby, Julius von Szöreghy",,,,"Curt J. Braun, Robert Liebmann (Bearbeitung)",,,,,Curt Courant,,,,,,"Ernö Rapée (Kino-Musik, Musikalische Gesamtleitung)",,,,Sokal-Film Gmb: H (Berlin),,,Max Mack,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Die Fahrt ins Glück,https://www.filmportal.de/film/die-fahrt-ins-glueck_1874838033984e499e8fc22b23334bee,Spielfilm,1926,Deutschland,,,Jacek Rotmil,,"Maly Delschaft, Maria Zelenka, Karl Harbacher, Heinz Ludwig",,,,Hans Felsing,,,,,Gotthardt Wolf,,,,,,,,,,Georg Enders-Film Gmb: H (Berlin),,,Heinrich Lisson,,,,,,,,,,,,,,
