Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Die 5-Millionenbraut oder Treue Liebe wird belohnt,https://www.filmportal.de/film/die-5-millionenbraut-oder-treue-liebe-wird-belohnt_1e2ebe4b0c0a482cb263578424bf0b3b,Spielfilm,1921,Deutschland,,,,,"Emil Albes: Amadäus Puhlmann, Josefine Dora: Dora, seine Frau, Mela Born: Malwine. ihre Tochter, Bobby Walter: Herbert Kleckser, Maler, Paul Westermeier: Reichsgraf Kuno von Reizenstein, Julietta Brandt: Baronin von Moosheim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abendsonne,https://www.filmportal.de/film/abendsonne_9469a24550a347f69b97b697c1321f3a,Spielfilm,1921,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,Oskar Einstein Gmb: H (Berlin),,,,,,,,,,,,,,,,,
Der Abenteurer,https://www.filmportal.de/film/der-abenteurer_45e049cd16e04b03a17efdc3d5f1379c,Spielfilm,1921,Deutschland,,,Julian Ballenstedt,,"Michael Bohnen: Van Hamm, Rudolf Forster: Bergström, Olga Limburg: Nelly Murfield, Robert Leffler: Josua Hunter, Farmer, Hanni Weisse: Maud, seine Tochter, Herbert Stock: Walker, Wirt, Edith Meller: Lizzi, seine Tochter, Maria Forescu: Peddy, seine Frau, Georg John: Der rote Jonny, Alfred Viebach: Conte d'Avido, Georg Heinrich Schnell: Verwalter der Farm, Paul Rehkopf: Wirt einer Hafenkneipe",,,,"Otto Krack, Lothar Mendes, Arthur Schetter",,,,,Curt Courant,,,,,,,,,,,,,Lothar Mendes,,,,,,,,,,"6 Akte, 2340 m","35mm, 1:1.33","s/w, stumm",,
Die Abenteurerin von Monte Carlo. 1. Die Geliebte des Schahs,https://www.filmportal.de/film/die-abenteurerin-von-monte-carlo-1-die-geliebte-des-schahs_871ce24fd8eb4f21b55043a9ed6d13e2,Spielfilm,1921,Deutschland,,,Hans Dreier,,"Ellen Richter: Zoraja, Anton Pointner: Edward Stanley, Albert Patry: De Jong, Großindustrieller, Eduard von Winterstein: Rimay, Karl Huszar-Puffy: Ali, Diener, Kurt Rottenburg: Thiery, Carl Günther: Prinz Luigi, Monferio, Karl Swoboda: Prokurist, Martha Hoffmann: Aufwärterin, Toni Tetzlaff: Madame X, eine Demimondaine, Albert Paulig: Oberkellner, Henry Bender: Achmed, Inhaber eines marokkanischen Tanzhauses, Magnus Stifter: Ibrahim, Scheich der Riffkabylen, Hamend ben Melusi: Ali ben Rassid, Kaufmann, Max Kronert: Nyhoff, Oberingenieur der Berkwerke in Marokko, Paul Biensfeldtmarokkanischer Postbeamter, Arthur Kraußneck: Untersuchungsrichter, Adolf Klein: Gerichtspräsident, Robert Forster-Larrinaga: Verteidiger, Karl Harbacher1. Gerichtsdiener, Hugo Hummel2. Gerichtsdiener",,,,"Willi Wolff, Arthur Somlay",,,,,Eugen Hamm,,,,,,,,,,,,,Adolf Gärtner,,,,,,,,,,,,,,
Die Abenteurerin von Monte Carlo. 2. Marokkanische Nächte,https://www.filmportal.de/film/die-abenteurerin-von-monte-carlo-2-marokkanische-naechte_12e63324f55f43cba131d77da433f38b,Spielfilm,1921,Deutschland,,,Hans Dreier,,"Ellen Richter: Zoraja, Anton Pointner: Edward Stanley, Albert Patry: De Jong, Großindustrieller, Eduard von Winterstein: Rimay, Karl Huszar-Puffy: Ali, Diener, Kurt Rottenburg: Thiery, Carl Günther: Prinz Luigi, Monferio, Karl Swoboda: Prokurist, Martha Hoffmann: Aufwärterin, Toni Tetzlaff: Madame X, eine Demimondaine, Albert Paulig: Oberkellner, Henry Bender: Achmed, Inhaber eines marokkanischen Tanzhauses, Magnus Stifter: Ibrahim, Scheich der Riffkabylen, Hamend ben Melusi: Ali ben Rassid, Kaufmann, Max Kronert: Nyhoff, Oberingenieur der Berkwerke in Marokko, Paul Biensfeldtmarokkanischer Postbeamter, Arthur Kraußneck: Untersuchungsrichter, Adolf Klein: Gerichtspräsident, Robert Forster-Larrinaga: Verteidiger, Karl Harbacher1. Gerichtsdiener, Hugo Hummel2. Gerichtsdiener",,,,"Willi Wolff, Arthur Somlay",,,,,Eugen Hamm,,,,,,,,,,,,,Adolf Gärtner,,,,,,,,,,,,,,
Die Abenteurerin von Monte Carlo. 3. Der Mordprozeß Stanley,https://www.filmportal.de/film/die-abenteurerin-von-monte-carlo-3-der-mordprozess-stanley_afe8a1923101475590c4cd0985ed76b6,Spielfilm,1921,Deutschland,,,Hans Dreier,,"Ellen Richter: Zoraja, Anton Pointner: Edward Stanley, Albert Patry: De Jong, Großindustrieller, Eduard von Winterstein: Rimay, Karl Huszar-Puffy: Ali, Diener, Kurt Rottenburg: Thiery, Carl Günther: Prinz Luigi, Monferio, Karl Swoboda: Prokurist, Martha Hoffmann: Aufwärterin, Toni Tetzlaff: Madame X, eine Demimondaine, Albert Paulig: Oberkellner, Henry Bender: Achmed, Inhaber eines marokkanischen Tanzhauses, Magnus Stifter: Ibrahim, Scheich der Riffkabylen, Hamend ben Melusi: Ali ben Rassid, Kaufmann, Max Kronert: Nyhoff, Oberingenieur der Berkwerke in Marokko, Paul Biensfeldtmarokkanischer Postbeamter, Arthur Kraußneck: Untersuchungsrichter, Adolf Klein: Gerichtspräsident, Robert Forster-Larrinaga: Verteidiger, Karl Harbacher1. Gerichtsdiener, Hugo Hummel2. Gerichtsdiener",,,,"Willi Wolff, Arthur Somlay",,,,,Eugen Hamm,,,,,,,,,,,,,Adolf Gärtner,,,,,,,,,,,,,,
Acht Uhr dreizehn. Das Geheimnis des Deltaklubs,https://www.filmportal.de/film/acht-uhr-dreizehn-das-geheimnis-des-deltaklubs_16a2b696469343349c9b58d3c1e7f890,Spielfilm,1921,Deutschland,,,Robert Neppach,,"Dietrich von Oppen: Prof. Klingsor, Claire Lotto: Marion, seine Frau, Carl de Vogt: Fred Hobbing, Emmy Denner: Robura, Kurt Wenkhaus: Mr. Hunter",,,,Robert Neppach,,,,,Emil Schünemann,,,,,,,,,,,,,Hans Werckmeister,,,,,,,,,,"5 Akte, 1779 m","35mm, 1:1.33","s/w, stumm",,
Das Achtgroschenmädel. Jagd auf Schurken. 1. Teil,https://www.filmportal.de/film/das-achtgroschenmaedel-jagd-auf-schurken-1-teil_ea4f547b3ddd4804ad5ea420cbf3172c,Spielfilm,1921,Deutschland,,,Mathieu Oostermann,,"Conrad Curt Cappi: Direktor Henway, Edith Posca: Magde, seine Tochter, Harry Nestor: Lord Nottingham, Max Neumann: Job Stepney, Grete Sandheim: Gilliam, seine Gattin, Franz Sutton: Dick, Fritz Falkenberg: William, Diener bei Henways",,,,Jane Bess,,,,,Hermann Saalfrank,,,,,Richard Timm,,,,,Rex-Film Gmb: H (Berlin),,,Wolfgang Neff,,,,,,,,,,"6 Akte, 1862 m","35mm, 1:1.33","s/w, stumm",,
Das Achtgroschenmädel. Jagd auf Schurken. 2. Teil,https://www.filmportal.de/film/das-achtgroschenmaedel-jagd-auf-schurken-2-teil_a9c6ae18058b4e9c836a76247604d3b0,Spielfilm,1921,Deutschland,,,Mathieu Oostermann,,"Edith Posca: Miss Madge Henway, Conrad Curt Cappi: Direktor Henway, ihr Vater, Fritz Falkenberg: Kammerdiener, Carl W. Tetting: Steven Bamford, Schatzmeister des Union-Clubs, Walter von Allwörden: George Bamford, sein Vetter, Fred Immler: Pakington, Gert Hugh: Lizzi, Artur Part: Jim",,,,Jane Bess,,,,,Hermann Saalfrank,,,,,Richard Timm,,,,,Rex-Film Gmb: H (Berlin),,,Wolfgang Neff,,,,,,,,,,"6 Akte, 1660 m","35mm, 1:1.33","s/w, stumm",,
Die Affäre Delvaro,https://www.filmportal.de/film/die-affaere-delvaro_2675ef88d40c42b49a08504eedc5b5e4,Spielfilm,1921,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
