Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
100.000 Dollars,https://www.filmportal.de/film/100000-dollars_619b9910ea2a4afb9bba0805410723c3,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,Egede-Nissen-Film Comp. mb: H (Berlin),,,Georg Alexander,,,,,,,,,,,,,,
11.35 ab Hamburg,https://www.filmportal.de/film/1135-ab-hamburg_df3997d826754c8bad36bf894a388ed2,Spielfilm,1919,Deutschland,,,,,"Conny Carstennsen, Hans Herbert Michels: Detektiv Gyp, Klara von Mühlen, Dr. Lyu",,,,Dr. Lyu,,,,,Ernst Vachenauer,,,,,,,,,,,,,Conny Carstennsen,,,,,,,,,,,,,,
Der 15. September,https://www.filmportal.de/film/der-15-september_ef1248bf0948459aa592af99253f1cbd,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Das Abenteuer der Bianetti,https://www.filmportal.de/film/das-abenteuer-der-bianetti_0d789fbe1a82425e9644edcc022ca42e,Spielfilm,1919,Deutschland,,,,,"Hansi Burg, Karl Beckersachs, Oskar Fuchs",,,,,,,,,,,,,,,,,,,,,,Eugen Burg,,,,,,,,,,4 Akte,,,,
Ein Abenteurer,https://www.filmportal.de/film/ein-abenteurer_a42acaf86bd541239fc049df3bd9d3dc,Spielfilm,1919,Deutschland,,,Jacek Rotmil,,"Meg Gehrts, Holger Christians, Wilhelm Kaiser-Heyl, Eduard Eysenck, Helga Molander",,,,,,,,,,,,,,,,,,,,,,Hans Schomburgk,,,,,,,,,,,,,,
Aberglaube,https://www.filmportal.de/film/aberglaube_294e3c22215544e3b71a4076bae67daa,Spielfilm,1919,Deutschland,,,,,"Ellen Richter: Militza, Johannes Müller: Priester, Victor Janson: Bajazzo, Frida Richard: Mutter des Priesters, Peggy Longard",,,,Georg Jacoby,,,,,Friedrich Weinmann,,,,,,,,,,Projektions-AG Union (PAGU) (Berlin),,Paul Davidson (?),Georg Jacoby,,,,,,,,,Universum-Film AG (UFA) (Berlin),,35mm,"s/w, stumm","Uraufführung (DE): September 1919, Berlin, Kammer-Lichtspiele",
Albert hat Prokura,https://www.filmportal.de/film/albert-hat-prokura_1d542e99e77b471fa43d99053d060376,Spielfilm,1919,Deutschland,,,,,Albert Paulig: Doppelrolle,,,,,,,,,,,,,,,,,,,,,,Uwe Jens Krafft,,,,,,,,,,,,,,
Alfreds Techtelmechtel,https://www.filmportal.de/film/alfreds-techtelmechtel_d3db9e2c53594ee49fe78e22bdc6a712,Spielfilm,1919,Deutschland,,,F.W. Krohn,,"Fritz Junkermann: Alfred Wilms, Paul Hartenstein: Knuffke, sein Diener, Richard Georg: Pinneberg, Rentier, Josefine Dora: Klothilde, seine Frau, Fredel Fredy: Hilde, deren Tochter, Trude Gerecke: Lu Erina, Walter von Allwördenein Schneider",,,,Paul Hartenstein,,,,,Ewald Daub,,,,,,,,,,,,,Ludwig Czerny,,,,,,,,,,,,,,
Allerseelen,https://www.filmportal.de/film/allerseelen_03ea688ccc7f4f15ba72dba8d1514962,Spielfilm,1919,Deutschland,,,,,"Bruno Kastner, Leopold von Ledebur, Esther Hagan, Toni Tetzlaff, Käthe Roeven, Karl Platen",,,,Karl Holck,,,,,Curt Courant,,,,,,,,,,Ring-Film Gmb: H (Berlin),,,Erik Lund,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Alles verkehrt,https://www.filmportal.de/film/alles-verkehrt_551e0975a4e04e8b85e0cfe77028e060,Spielfilm,1919,Deutschland,,,,,"Hedda Vernon, Fritz Delius, Marga Köhler, Gerda Frey, Wilhelm Diegelmann, Max Ruhbeck, Fritz Beckmann",,,,,,,,,,,,,,,,,,,Eiko-Film Gmb: H (Berlin),,,Hubert Moest,,,,,,,,,,,,,,
Alraune,https://www.filmportal.de/film/alraune_5d95106b5bc549a3ae0b2cc9c3e32cf3,Spielfilm,1919,Deutschland,,,,,Rózsi Szöllösi,,,,Richard Falk,,,,,,,,,,,,,,,,,,"Eugen Illés (?), Edmund Fritz",,,,,,,,,,,,,,
Alraune und der Golem,https://www.filmportal.de/film/alraune-und-der-golem_0540db5e261f42d1b0bf3ea5e930c773,Spielfilm,1919,Deutschland,,,,,,,,,Richard Kühle,,,,,Guido Seeber,,,,,,,,,,,,,Nils Chrisander,,,,,,,,,,,"35mm, 1:1.33",,,
Das alte Lied,https://www.filmportal.de/film/das-alte-lied_c95186adf3d940e1b16977cef7ceba06,Spielfilm,1919,Deutschland,,,,,Charles Willy Kayser,,,,Karl Otto Krause,,,,,Kurt Lande,,,,,,,,,,Karl Otto Krause-Film (Berlin),,,Karl Otto Krause,,,,,,,,,,,,,,
Am Kreuzweg der Leidenschaft. Ein Roman von Haß und Liebe,https://www.filmportal.de/film/am-kreuzweg-der-leidenschaft-ein-roman-von-hass-und-liebe_348c152447804dfaa88e45cbc0003f62,Spielfilm,1919,Deutschland,,,Artur Günther,,"Marian Alma: Bodo von Gracht, Gutsbesitzer, Leontine Kühnberg: Beate, seine Tochter, Grete Reinwald: Lilly, seine Tochter, Marga Köhler: Frau v. Gelsen, seine Schwägerin, Flocker: Werner, deren Sohn, Fred Immler: Dr. Herbert Stahl, Arthur Bergen: Max Reczeg, Abenteurer, Maryla Gremo: Tänzerin",,,,Lissy Reincke,,,,,Eugen Illés,,,,,,,,,,,,,Eugen Illés,,,,,,,,,,,,,,
Am Weibe zerschellt,https://www.filmportal.de/film/am-weibe-zerschellt_2598faad61164676a051996f2f619cb1,Spielfilm,1919,Deutschland,,,Ludwig von Wich,,"Erich Kaiser-Titz, Mela Schwarz, Else Bodenheim, Ewis Borkmann, Hilde Wall, John W. Lantzsch, Dorian René, Carl Sick",,,,Alfred Schirokauer,,,,,,,,,,,,,,,,,,Franz Osten,,,,,,,,,,4 Akte,"35mm, 1:1,33","s/w, stumm",,
Amor Venus postlagernd,https://www.filmportal.de/film/amor-venus-postlagernd_e2189440a9b54d319dfe99b34204c11a,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Das Amulett des Woywoden,https://www.filmportal.de/film/das-amulett-des-woywoden_908f4417d1b44df78850e61b776faa58,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,Toni Attenberger,,,,,,,,,,,,,,
An den Ersten Staatsanwalt,https://www.filmportal.de/film/an-den-ersten-staatsanwalt_5d8d5c7454cc49c9bf6d5c2ec5b0da25,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Heinz Wolff,,,,,,,,,,,,,,
An der schönen blauen Donau,https://www.filmportal.de/film/an-der-schoenen-blauen-donau_665deafcfd434f67b489ccea76d15f64,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35mm, 1:1.33",,,
Die andere Welt,https://www.filmportal.de/film/die-andere-welt_79d70d226ab049429a7479cc7beb06ae,Spielfilm,1919,Deutschland,,,,,"Charlotte Böcklin, Walter Formes, Toni Tetzlaff, Wolfgang Neff, Max Wilmsen, Ludwig Rex",,,,Siegfried Philippi,,,,,,,,,,,,,,,A.G. Films Arthur Günsburg (Berlin),,,Lorenz Bätz,,,,,,,,,,,,,,
Anders als die Andern,https://www.filmportal.de/film/anders-als-die-andern_825fa647845a4ece8ac65a580b3387ee,Spielfilm,1919,Deutschland,,,Emil Linke,,"Conrad Veidt: Paul Körner, Leo Connard: Sein Vater, Ilse von Tasso: Seine Schwester, Alexandra Wiellegh: Seine Mutter, Ernst Pittschau: Deren Mann, Fritz Schulz: Kurt Sivers, Wilhelm Diegelmann: Sein Vater, Clementine Plessner: Seine Mutter, Anita Berber: Else, seine Schwester, Reinhold Schünzel: Franz Bollek, Helga Molander: Frau Hellborn, Magnus Hirschfeld: Arzt, Karl Giese: Paul Körner als Kind",,,,"Richard Oswald, Magnus Hirschfeld",,,,,Max Faßbender,,,,,,,,,,Richard Oswald-Film Gmb: H (Berlin),,,Richard Oswald,,,,,,,,,,"6 Akte, 2280 m","35mm, 1:1,33","s/w, stumm",,
Eine angebrochene Ehe,https://www.filmportal.de/film/eine-angebrochene-ehe_c38d27658ec44ccea103db2843c381b1,Spielfilm,1919,Deutschland,,,,,Harry Piel,,,,,,,,,,,,,,,,,,,Metro-Film Gmb: H (Berlin),,,Harry Piel,,,,,,,,,,,,,,
Die Angelfreunde,https://www.filmportal.de/film/die-angelfreunde_9b9c2ff7746a48768a3c2b967d84d910,Spielfilm,1919,Deutschland,,,,,"Rudi Wehr, Arthur Bergen, Karl Elzer, Lily Hesseling, Richard Georg",,,,Franz Hofer,,,,,Ernst Krohn,,,,,,,,,,Bayerische Film-Gesellschaft Fett & Wiesel (München),,,Franz Hofer,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Angelo. Das Mysterium des Schlosses,https://www.filmportal.de/film/angelo-das-mysterium-des-schlosses_7de7b7b6ec3847d9b38efe46e0ea90bf,Spielfilm,1919,Deutschland,,,Eduard Nickler,,"Ernst Dernburg, Lina Salten, Aenderli Lebius, Sybil Morel, Ludwig Rex, Max Ruhbeck, Wilhelm Kaiser-Heyl, Fritz Beckmann, Kurt Middendorf, Max Mothes, Erik Sanden, Walter Bartholomé, Pietro Bruce, Siegwart Gruder",,,,Franjo Ledic,,,,,Hermann Schadock,,,Franjo Ledic,,,,,,,,,,Robert Leffler,,,,,,,,,,,,,,
Anita Jo,https://www.filmportal.de/film/anita-jo_fc9f0901aae546989771a4967a669db4,Spielfilm,1919,Deutschland,,,,,"Hanni Weisse, Bernhard Goetzke, Charles Willy Kayser",,,,,,,,,,,,,,,,,,,,,,Dimitri Buchowetzki,,,,,,,,,,,,,,
Anna dreht Granaten,https://www.filmportal.de/film/anna-dreht-granaten_e9e38445fb2b4bd8becd7e514fe2ba88,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,Karl Ledermann & Co (Berlin),,,,,,,,,,,,,,,,,
Anna mit'n Flimmerfimmel,https://www.filmportal.de/film/anna-mitn-flimmerfimmel_7af7e815058a46a4b23f535e6370d92c,Spielfilm,1919,Deutschland,,,,,"Hugo Wutke: Emanuel Reibeisen, Anna Müller-Lincke: Anna, seine Ehehälfte, Sven Holm: Anastasius Schwindelmeier, Besitzer einer Kinoschu",,,,Georg Kaiser,,,,,,,,,,,,,,,Karl Ledermann & Co (Berlin),,,Charly Mettinger,,,,,,,,,,,,,,
Die Apachen,https://www.filmportal.de/film/die-apachen_2d457d0f7e3848bdb70051fb06904e91,Spielfilm,1919,Deutschland,,,,,"Max Landa: Detektiv, Hanni Weisse: Gervaise, die Apachin, Reinhold Schünzel: Apache Badinguet, Fritz Russ, Max Laurence, Andreas von Horn",,,,E. A. Dupont,,,,,Charles Paulus,,,,,,,,,,,,,E. A. Dupont,,,,,,,,,,"5 Akte, 1590 m","35mm, 1:1.33","s/w, stumm",,
Aphrodite,https://www.filmportal.de/film/aphrodite_04f06e3dc6d34f30b0899408e07c90e2,Spielfilm,1919,Deutschland,,,,,,,,,József Pakots,,,,,Karl Vass,,,,,,,,,,,,,Alfréd Deésy,,,,,,,,,,,,,,
Arbeit,https://www.filmportal.de/film/arbeit_e24f5c48f1074c4085636f8291beb985,Spielfilm,1919,Deutschland,,,Willi Katurbe,,"Georg Burghardt, Emmy Schaeff",,,,Ruth Goetz,,,,,,,,,,,,,,,,,,Richard Eichberg,,,,,,,,,,,"35mm, 1:1.33",,,
Arbeit adelt,https://www.filmportal.de/film/arbeit-adelt_55c5b6355d8848a49d5171779ae8ce31,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,Karl Ledermann & Co (Berlin),,,,,,,,,,,,,,,,,
Die Arche,https://www.filmportal.de/film/die-arche_20b280ec2f0c4d15a1aed85cfb09c066,Spielfilm,1919,Deutschland,,,Julius Hahlo,,"Leo Connard: Ernst Pogge, Großreeder, Eva Speyer: Helga, seine Tochter, Georg Heinrich Schnell: Klaus Donken, Kapitän, Oevid Molander: Walter Fahr, Ingenieur, Eugen Klöpfer: Volkert, Steuermann, Guido Herzfeld: Dr. Milius, Arzt, Kissa von Sievers: Helgas Zofe, Emil Lind: Keigo Soluma, Professor der Astronomie",,,,"Robert Liebmann, Richard Oswald",,,,,Karl Freund,,,,,,,,,,Richard Oswald-Film Gmb: H (Berlin),,,Richard Oswald,,,,,,,,Werner Scheff (Roman),,,,,,
Argus X,https://www.filmportal.de/film/argus-x_52b96af748b649cfb42ade17ea0881ab,Spielfilm,1919,Deutschland,,,,,Viggo Larsen,,,,,,,,,,,,,,,Giuseppe Becce,,,,,,,Viggo Larsen,,,,,,,,,,"1140 m, 42 min",35mm,s/w,,
Arme Thea,https://www.filmportal.de/film/arme-thea_ed297ad5aa26423da06ba732b3493d5e,Spielfilm,1919,Deutschland,,,Hans Sohnle,,"Lotte Neumann, Ernst Hofmann, Adolf Klein, Gustav Czimeg, Paul Passarge, Martha Hübner, Guido Herzfeld, Franz Cornelius, Hugo Froelich, Paul Kaufmann, Ilse Thomann, Julie Abich, Gerhard Henniger, Gertrude Korn",,,,Carl Froelich,,,,,Otto Tober,,,,,,,,,,Maxim-Film Ges. Ebner & Co (Berlin),,,Carl Froelich,,,,,,,,,,,,,,
Artistentreue,https://www.filmportal.de/film/artistentreue_a025d3c990cf4c188be531817bf76d31,Spielfilm,1919,Deutschland,,,Siegfried Wroblewsky,,"Bruno Kastner, Hanne Brinkmann, Leopold von Ledebur, Karl Platen, Toni Tetzlaff",,,,Georg Kaiser,,,,,Curt Courant,,,,,,,,,,Ring-Film Gmb: H (Berlin),,,Erik Lund,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Auf Leben und Tod,https://www.filmportal.de/film/auf-leben-und-tod_2966f4981cd042cb94e789d26329db4f,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Das Auge des Götzen,https://www.filmportal.de/film/das-auge-des-goetzen_00437a5138294215b47c549e5defcae1,Spielfilm,1919,Deutschland,,,,,Heinrich Schroth: Joe Deebs,,,,"Harry Piel, Richard Hutter",,,,Richard Kühle,Max Lutze,,,Joe May,,,,,,,May-Film Gmb: H (Berlin),,Joe May,Harry Piel,,,,,,,,,,"4 Akte, 1355 m","35mm, 1:1,33",s/w,,
Die Augen im Walde,https://www.filmportal.de/film/die-augen-im-walde_881f511a98db490ebb775af322906733,Spielfilm,1919,Deutschland,,,Robert Neppach,,"Marija Leiko: Prinzessin, Hermine Straßmann-Witt: Mutter, Bruno Eichgrün: Frauenarzt, Ella Allassi: Anne-Lies, Auguste Prasch-Grevenberg, Hans Lindegg",,,,,,,,,Hans Bloch,,,,,,,,,,,,,Johannes Guter,,,,,,,,"Adolf Paul (Roman ""Dornröschen"")",,"5 Akte, 1420 m","35mm, 1:1.33","s/w, stumm",,
Die Augen von Jade,https://www.filmportal.de/film/die-augen-von-jade_7ff0ee59022943d79fed200489671a51,Spielfilm,1919,Deutschland,,,,,"Hella Moja, Henri Peters-Arnolds, Takka-Takka",,,,Iwa Raffay,,,,,Carl Hoffmann,,,,,,,,,,,,,Iwa Raffay,,,,,,,,,,"5 Akte, 1650 m",,"s/w, Stumm",,
Ein Augenblick im Paradies,https://www.filmportal.de/film/ein-augenblick-im-paradies_c2cd5adea2de4112a27dd9cc1abb6075,Spielfilm,1919,Deutschland,,,,,"Hilde Wörner, Arthur Beder, Rudolf Döll, Helmut Kraus, Friedrich Berger, Willy Fischer, Elsa Förster, Maria Warhuus: Tanz",,,,,,,,,Kurt Lande,,,,,,,,,,,,,Georg Schubert,,,,,,,,,,,,,,
Aus den Geheimnissen eines Frauenklosters,https://www.filmportal.de/film/aus-den-geheimnissen-eines-frauenklosters_0fab9de9d82843649e2b96c8bff76b5c,Spielfilm,1919,Deutschland,,,,,"Emmy Schaeff, Georg Burghardt",,,,,,,,,Carl Hoffmann,,,,,,,,,,Carl Hedinger-Film (München),,,Georg Burghardt,,,,,,,,,,,,,,
Aus eines Mannes Mädchenjahren,https://www.filmportal.de/film/aus-eines-mannes-maedchenjahren_f6cd676a2f7f4aa0b1bd2ce511a1b9a9,Spielfilm,1919,Deutschland,,,,,"Erika Glässner, Ernst Stahl-Nachbaur, Hans Albers?, Helmut Krauss, Lotte Stein, Max Hochstetter",,,,"Beate Schach, Karl Grune",,,,,,,,,,,,,,,,,,"Julius Rode, Paul Legband",,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Aus Liebe gesündigt,https://www.filmportal.de/film/aus-liebe-gesuendigt_f343ae517f194180aeeb1ad1f169a6d9,Spielfilm,1919,Deutschland,,,Ludwig von Wich,,"Erich Kaiser-Titz, Mela Schwarz",,,,Alfred Schirokauer,,,,,,,,,,,,,,,,,,Franz Osten,,,,,,,,,,,,,,
Der ausgesperrte Ehemann,https://www.filmportal.de/film/der-ausgesperrte-ehemann_5dbcf9e428d1417fb070007707615e9f,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,Willy Heß Filmges. und Filmfabrik (Berlin),,,Willy Heß,,,,,,,,,,,,,,
Die Austernkur,https://www.filmportal.de/film/die-austernkur_32603602832e4a25ab54b4b1a76cb670,Spielfilm,1919,Deutschland,,,Ernst Sachs,,"Loo Doo, Charles Willy Kayser, Hugo Döblin, Richard Manz?",,,,,,,,,Kurt Lande,,,,,,,,,,,,,"Fred Prauss, Fred Preuß",,,,,,,,,,,,,,
Die Austernprinzessin,https://www.filmportal.de/film/die-austernprinzessin_d5ea40ae49924fefa53fa001fc8abb73,Spielfilm,1919,Deutschland,,,Kurt Richter,,"Ossi Oswalda: Ossi Quaker, Victor Janson""Austernkönig"" Mister Quaker, Harry Liedtke: Prinz Nuki, Julius Falkenstein: Josef, Max Kronert: Heiratsvermittler Seligson, Curt Bois: Kapellmeister, Gerhard Ritterband: Küchenjunge, Albert Paulig, Hans Junkermann",,,,"Ernst Lubitsch, Hanns Kräly",,,,,Theodor Sparkuhl,,,,,,Aljoscha Zimmermann (2005/2006),,,,Projektions-AG Union (PAGU) (Berlin),Kurt Waschneck,Paul Davidson,Ernst Lubitsch,,,,,,,,,,"4 Akte, 1286 m, 47 min",35mm,"s/w, stumm","Uraufführung (DE): 20.06.1919, Berlin, U.T. Kurfürstendamm",
Die Autofahrt unter der Erde,https://www.filmportal.de/film/die-autofahrt-unter-der-erde_ece722cd3e83484fb74420e4a91bcca4,Spielfilm,1919,Deutschland,,,Eduard Nickler,,"Charles Willy Kayser, Ellen Ullrich",,,,Erwin Gepard,,,,,Kurt Lande,,,,,,,,,,,,,Charles Willy Kayser,,,,,,,,,,,,,,
Baccarat,https://www.filmportal.de/film/baccarat_d75a16367f134da28c9492e2c741ed13,Spielfilm,1919,Deutschland,,,,,"Ludwig Hartau, Curt Ehrle, Molley Wessely, Ernst Josef Aufricht, Stella May, Marga Köhler, Reinhold Schünzel?, Blandine Ebinger, Ida Orloff, Frida Richard, Edgar Sandrock",,Karl Wilczynski,,Josef Ewald,,,,,Ivar Petersen,,,,,,,,,,,,,Bob Holste,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Der Badegatte,https://www.filmportal.de/film/der-badegatte_2cd94934ce3a426f867ae75201238c31,Spielfilm,1919,Deutschland,,,,,"Ria Alldorf, Adolf Lussmann, Ludwig Ermold, Hans Lange",,,,,,,,,,,,,,,,,,,,,,Alfred Werner,,,,,,,,,,,,,,
Das Badehöschen,https://www.filmportal.de/film/das-badehoeschen_af757a7bd973443ebcf1d881f854a7b7,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,Heinrich Gärtner,,,,,,,,,,,,,"Egon Exner, Toni Dreier",,,,,,,,,,,,,,
Die Badereise,https://www.filmportal.de/film/die-badereise_4bcfe2ccfd084eeba51ec8e45179f600,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahnwärters Lene,https://www.filmportal.de/film/bahnwaerters-lene_39690a90927544cd96ed57bf70d10851,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,Willy Zeyn Sr.,,,,,,,,,,,,,,
Ballskandal,https://www.filmportal.de/film/ballskandal_a06faaae3cc44301a8471e6cd1d2f0b6,Spielfilm,1919,Deutschland,,,,,"Otz Tollen, Lya Sellin, Maria Merlott, Julietta Brandt, Oskar Linke, Grete Raak, Else Jecho, Max Wilmsen, Konrad Scherbel",,,,,,,,,Hermann Schadock,,,,,,,,,,Cserépy-Film Co. Gmb: H (Berlin),,,Arsen von Cserépy,,,,,,,,,,,,,,
Der Bastard,https://www.filmportal.de/film/der-bastard_a393242d17824acfa6cf2ec649847735,Spielfilm,1919,Deutschland,,,Jacek Rotmil,,"Lu Synd: Gritta / Rosa, Aruth Wartan: Franz, der Bastard / Alex, Sohn des Rittmeisters, Theodor Burghardt: Rittmeister Khamjakoff, Hella Tornegg, Eva Richterderen Tochter, Jo Conradi, Marga Köhler: Rahel, dessen Frau, Edmund Löwe: Wolf Leeb, deren Sohn, Joseph Schiller: Makler, Leo Freund: Kommissar, Richard Georg: Detektiv, Frida Richard, Hans Lanser-Rudolff",,,,Joseph Delmont,,,,,Demetrios A. Gasaides,,,,,,,,,,,,,Joseph Delmont,,,,,,,,,,,,,,
Der Bauernstudent,https://www.filmportal.de/film/der-bauernstudent_5ea7397dc4e943e8b07262bcdf49c9b3,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die beiden Gatten der Frau Ruth,https://www.filmportal.de/film/die-beiden-gatten-der-frau-ruth_0280baf1a6af464ba4baed8339a25753,Spielfilm,1919,Deutschland,,,"Jack Winter, Kurt Dürnhöfer",,"Henny Porten: Ruth Elvstedt, Curt Goetz: Ingenieur Robert Holversen, Else Wojan: Margit Sidellius, Erich Schönfelder: Baron Alfred Alberg, Meinhardt Maur: Notar Lars Sidellius, Elsa Wagner, Emmy Wyda, Paul Passarge",,,,Henrik Galeen,,,,,Willibald Gaebel,,,,,,Giuseppe Becce (Kino-Musik),,,,,,,Rudolf Biebrach,,,,,,,,,,"4 Akte, 1331 m, 49 min","35mm, 1:1,33","s/w, stumm",,
