Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Die Berliner Range. 1. Streich: Lotte als Schulschreck,https://www.filmportal.de/film/die-berliner-range-1-streich-lotte-als-schulschreck_8d0893ebcc2c45918e949aa41b5fc4ef,Spielfilm,1919,Deutschland,,,Mathieu Oostermann,,"Hilde Wörner: Lotte Bach, Harald Paulsen, Marie von Bülow, Kurt Arndt, Maria Lux, Gustav Roos, Kläre Grieger, Rose Müller",,,,,,,,,Kurt Lande,,,,,,,,,,Wörner-Film (Berlin),,,Carl Müller-Hagens,,,,,,,,"Ernst Georgy (Roman ""Die Berliner Range. Band 1: Neue Bekenntnisse"", Berlin 1900)",,,,,,
Die Berliner Range. 2. Streich: Lotte kuppelt,https://www.filmportal.de/film/die-berliner-range-2-streich-lotte-kuppelt_2091cc8652d244afa5fed906f1919c71,Spielfilm,1919,Deutschland,,,,,Hilde Wörner,,,,,,,,,,,,,,,,,,,Wörner-Film (Berlin),,,Carl Müller-Hagens,,,,,,,,"Ernst Georgy (Romanserie ""Die Berliner Range"")",,,,,,
Boccaccios Liebesabenteuer,https://www.filmportal.de/film/boccaccios-liebesabenteuer_61bc3b7fa9f54890a333ce8cccfce5e4,Spielfilm,1919,Deutschland,,,,,Claire Lotto?,,,,,,,,,,,,,,,,,,,,,,Reinhard Bruck,,,,,,,,,,"4 Akte, 1705 m","35mm, 1:1.33","s/w, stumm",,
Des Teufels Puppe,https://www.filmportal.de/film/des-teufels-puppe_60b88b21e4934bb582721a208fa7523d,Spielfilm,1919,Deutschland,,,,,"Sybil Morel, Hans Junkermann, Karl Falkenberg, Hanni Weisse: Puppe des Teufels Marie d'Amour, Charly Berger, Erna Thiele",,,,Hans Gaus,,,,,Georg Muschner,,,,,,,,,,,,,Kurt Brenken,,,,,,,,,,"4 Akte, 1365 m",,"s/w, stumm",,
Die das Licht scheuen...! Aus dem Tagebuch des Meisterdetektivs Ferry White,https://www.filmportal.de/film/die-das-licht-scheuen-aus-dem-tagebuch-des-meisterdetektivs-ferry-white,Spielfilm,1919,Deutschland,,,August Rinaldi,,"Conny Carstennsen, Curt Schreck: Detektiv Ferry White, Gretel Mohr, Kurt Felix",,,,Phil Jutzi,,,,,Ernst Vachenauer,,,,,,,,,,,,,Phil Jutzi,,,,,,,,,,,,,,
Karlchen auf der Fliegenjagd,https://www.filmportal.de/film/karlchen-auf-der-fliegenjagd_f902e4d321024a02bfcafd906fb2966f,Spielfilm,1919,Deutschland,,,,,Karl Victor Plagge: Karlchen,,,,,,,,,,,,,,,,,,,Deutsche Bioscope Gmb: H (Berlin),,,Emil Albes,,,,,,,,,,,,,,
"Karlchen, das Dienstmädchen",https://www.filmportal.de/film/karlchen-das-dienstmaedchen_211b01999ccb47979b730e2a42610659,Spielfilm,1919,Deutschland,,,,,Karl Victor Plagge: Karlchen,,,,Hermann Leffler,,,,,,,,,,,,,,,,,,Robert Leffler,,,,,,,,,,,,,,
"Die Menschen, die nennen es Liebe",https://www.filmportal.de/film/die-menschen-die-nennen-es-liebe_44af3b39e74c4828b7ac54119f61a8b5,Spielfilm,1919,Deutschland,,,Willi A. Herrmann,,"Manja Tzatschewa, Karl Falkenberg, Willy Strehl, Kurt Middendorf, Tony Ebärg, Preben J. Rist, Rosa Valetti, Oskar Ludwig Brandt",,,,William Kahn,,,,,Hans Karl Gottschalk,,,,,,Felix Günther (Liedeinlage),,,,William Kahn-Film Gmb: H (Berlin),,,William Kahn,,,,,,,,,,"6 Akte, 1802 m","35mm, 1:1,33","s/w, ohne Ton",,
Das Ski-Girl,https://www.filmportal.de/film/das-ski-girl_0bc65e5382d44f018e88346f2bdaf46a,Spielfilm,1919,Deutschland,,,,,"Hans Albrecht, Lia Ley, Olga Biedermann",,,,,,,,,,,,,,,,,,,,,,Adolf Engl,,,,,,,,,,,"35mm, 1:1.33","s/w, stumm",,
Vilja von Narenta,https://www.filmportal.de/film/vilja-von-narenta_afab65cab7d64713b86e8f9fdd3dca49,Spielfilm,1919,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Akte,"35mm, 1:1.33","s/w, stumm",,
