Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
13 Stühle,https://www.filmportal.de/film/13-stuehle_ca0f2ebb681d4f12a62c48efb47cce4c,Spielfilm,1938,Deutschland,,,Julius von Borsody,,"Heinz Rühmann: Felix Rabe, Friseur, Hans Moser: Alois Hofbauer, Trödler, Annie Rosar: Karoline, seine Frau, Inge List: Lilly Walter, Hedwig Bleibtreu: Oberin des Waisenhauses, Clementia Egies: Lillys Freundin, Karl Skraup: Besitzer eines Möbelladens, Rudolf Carl: Portier von der Lerchengasse, Richard Eybner: Oskar, Alfred Neugebauer: Eberhardt, Maria Waldner: Seine Frau, Hans Unterkircher: Zauberer, Mihail Xantho: Pfannkuch, Rechtsanwalt, Walter Huber: Altes Ehepaar, Pepi Glöckner: Altes Ehepaar, Wilhelm Tauchen: Fritz, beider Sohn, Ferdinand Maierhofer: Mann mit dem Handwagen, Karl Ehmann: Vollstreckungsbeamter, Wilhelm Schich: Auktionator, Louise Kartousch: Verkäuferin im Modesalon, Josef Stiegler: Amtsgerichtsrat, Ernst Reitter: Antiquitätensammler, Emmy Flemmich: Seine Frau, Carl Günther: Chefarzt der Nervenheilanstalt, Kurt Reding: Sein Assistenzarzt, Julius Karsten: Inhaber Des Frisiersalons, Wilhelm Sichra: Ober im Tanzlokal, Mimi Stelzer: Stubenmädchen Rosa",,,,"Per Schwenzen, E. W. Emo",,,Hans Tost,,Eduard Hoesch,,,,,,Nico Dostal,,,,Emo-Film Gmb: H (Wien),Karl Künzel,E. W. Emo,E. W. Emo,,,Munni Obal,,,,Paul Kemetter,,Terra-Filmkunst Gmb: H (Berlin),,,,,
Ab Mitternacht,https://www.filmportal.de/film/ab-mitternacht_7bda6474d2ee4e75bdbd30a35ad91635,Spielfilm,1938,Deutschland/Frankreich,Wolf Petzl,,"Alexander Loschakoff, Wladimir von Meinhardt",,"Gina Falckenberg: Helene, Peter Voss: Petroff, René Deltgen: Feodor, Marina von Schubert: Marina, Alexander Engel: Wronsky, Hubert von Meyerinck: Ricin, Nikolaj Kolin: Schuwaloff, Eva Tinschmann: Madame Mesureux, Herta Windschild: Yvette, Katja Bennefeld: Sekretärin, Rudolf Klein-Rogge, S. O. Schoening, Ferny Castell, Jacques Henley, Maria Pichon",,,,Walter Zerlett-Olfenius,,,Herbert Engelsing,,Karl Löb,,Boris Bilinsky,,,"Karl Hanoszek, Gerda Scholz-Grosse",Michel Michelet,,,,"Les Productions Joseph N. Ermolieff (Paris), Tobis-Filmkunst Gmb: H (Berlin) (Herstellungsgruppe Herbert Engelsing)",Walter H. Guse,Joseph N. Ermolieff,Carl Hoffmann,,,Carl Forcht,,,,Georges Leblond,"Joseph Kessel (Roman ""Nuits de princes"")",,"2148 m, 78 min","35mm, 1:1,37","s/w, Tobis-Klangfilm","Uraufführung (DE): 08.04.1938, Koblenz","Zensur (DE): 07.09.1939, Verbot"
Abenteuer in Marokko,https://www.filmportal.de/film/abenteuer-in-marokko_0a3777b686404bc5ba0aae5d0266e81b,Spielfilm,1938,Schweiz/Deutschland,,,,,"Katherina Merker, Karl Dannemann, Rudolf Klein-Rogge, Hermann Gallinger, Paula Ottzenn, Max Knapp, K. Blanckarts, H. Bert, Willi Ackermann",,,,,,,,,Eduard Hoesch,,,,,,,,,,,,,Leo Lapaire,,,,,,,,,,,"35mm, 1:1,37","s/w, Ton",,
Adresse unbekannt,https://www.filmportal.de/film/adresse-unbekannt_c525a32afea04589b3229339dd2e19a3,Spielfilm,1938,Deutschland/Tschechoslowakei,,,Bohumil Heš,,"Friedl Czepa: Anja von Krenesch, Hans Schott-Schöbinger: Frank Harris, Ernst Dumcke: James Chesterton, Hertha Feiler: Mabel Chesterton, Friedl Fuchs-Kaufmann: Henriette Chalais, Tibor von Halmay: Tobby Drummond, Karl Skraup: Patrick, Auguste Pünkösdy: Konferenzteilnehmner, Viktor Afritsch: Konferenzteilnehmner, Otto Storm: Konferenzteilnehmner, Viktor Braun: Konferenzteilnehmner, Mihail Xantho: Konferenzteilnehmner, L. J. Lauterböck",,,,Gerhard T. Buchholz,,,,Harald Bratt,Oskar Schnirch,,,,,,Jára Beneš,,Jára Beneš,,Kabeláč Production (Prag),Franz M. Zoidl,,Karlheinz Martin,Ernst Rechenmacher,,Else Baum,,,,Ferdinand Haubmann,,,2268 m,35mm,Ton,"Uraufführung (AT): 16.08.1938, Wien, Gartenhau, Haydn, Colosseum",
Adrienne Lecouvreur,https://www.filmportal.de/film/adrienne-lecouvreur_21570fa93b5a4757a9a7e735a67bac95,Spielfilm,1938,Deutschland,,,"Anton Weber, Ernst H. Albrecht",,"Yvonne Printemps: Adrienne Lecouvreur, Pierre Fresnay: Maurice de Saxe, André Lefaurle duc de Bouillon, Junie Astorla duchesse de Bouillon, Madeleine Sologne: Flora, Pierre Larquey: Pitou, Thomy Bourdelle: Capitaine Pauly, Jacqueline Pacaud: Fanchon, Gabrielle Robinnela Duclos, Véra Pharèsla petite Adrienne, Edmond Castel: Folard, Jean Joffrele curé, Philippe Richardle médecin, Pierre Juvenetle gouverneur, Albert Gercourtl'usurier, Géno Ferny: Jasmin, Roger Blinl'alchimiste, Fernand Bercher: Voltaire, Marcel Andréle régent, Jean Wormsle marquis de Chaumont, Hugues Wanner: Préville, Michel Vitoldle tueur, Michel Salina: Carvoy, Lucien Walterl'huissier, Michèle Alfa: Amour, Andrée Berty, Mme Sabatiniles dames",François Porché,,,Pauline Benda,,,Bruno Duday,,Fritz Arno Wagner,,Jacques Manuel,,,,Maurice Thiriet,,,,Universum-Film AG (UFA) (Berlin),,,Marcel L'Herbier,Jean Huet,,,,,,,,Alliance Cinématographique Européenne (A.C.E.) (Paris),106 min,"35mm, 1:1.33","s/w, Klangfilm",,
Alpensymphonie,https://www.filmportal.de/film/alpensymphonie_400700ccd0f74f5998c7ef06bc549ee1,Spielfilm,1938,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altes Herz geht auf die Reise,https://www.filmportal.de/film/altes-herz-geht-auf-die-reise_a8525461c7c24776b889f73655fd26b4,Spielfilm,1938,Deutschland,Günther Grau,,"Ludwig Reiber, Willi Depenau",,"Eugen Klöpfer: Prof. Gotthold Kittgus, Helga Marold: Rosemarie Türke, Maly Delschaft: Rosemaries Pflegemutter Mali Schlieker, Gerhard Bienert: Rosemaries Pflegevater Paul Schlieker, Jaspar von Oertzen: Landarzt Dr. Wolters, Carl Kuhlmann: Bauer Wilhelm Tamm, Else Reval: Frau Tamm, Heiner Dugal: Sohn Ottsche Tamm, Elsa Wagner: Haushälterin Witwe Müller, Fritz Hube: Gendarm Gneis, Hans Richter: Philipp, Ernst Legal: Amtsgerichtsrat Schulz, Margarethe Schön: Frau Wanska (geschnitten), Hermine Körner: Nonne 1, Maria Seidler: Nonne 2, Werner Pledath: Bankdirektor, Hans Meyer-Hanno: Dorfwirt, Carl Iban: Criwitzer Gendarm Rothe, Wolfgang Kieling: Solist im Schulchor, Max Wilmsen: Bankangestellter, Vera Comployer: Klägerin Radeke, Eugen Günther: Zuschauer im Amtsgericht, Betty Waid: Zuschauerin im Amtsgericht, Walter Brückner: Angler, Heinz Kornitzka, Gottlieb Rohde",,,,"Carl Junghans, Felix Lützkendorf (2. Fassung. nicht verwendet)",,,Georg Witt,,Herbert Körner,,,,,,Werner Egk,,,,Georg Witt-Film Gmb: H (Berlin),Ernst Martin,Georg Witt,Carl Junghans,,,,,Ferdinand Rotzinger,,Carl-Erich Kroschke,"Hans Fallada (Roman ""Altes Herz geht auf Reisen"")",Universum-Film AG (UFA) (Berlin),"2500 m, 92 min","35mm, 1:1,37","s/w, Tobis-Klangfilm","Uraufführung (US): 1947, Los Angeles",
Am seidenen Faden,https://www.filmportal.de/film/am-seidenen-faden_f8ec5394d8094033993342bcff3d2b51,Spielfilm,1938,Deutschland,Fritz Schwarz,,Otto Hunte,,"Willy Fritsch: Richard Hellwerth, Käthe von Nagy: Lissy Eickhoff, Carl Kuhlmann: Wilhelm Eickhoff, Bernhard Minetti: Dr. Heinrich Breuer, Erich Ponto: Prokurist Theodor Kalbach, Paul Bildt: Bankier Brögelmann, Stella David: Hellwerths Wirtschafterin Frida Mann, Willi Schur: Werkmeister Schwafels, Eduard Wandrey: Justizrat Bellert, Hildegard Barko: Hellwerths Dienstmädchen Anna, Ina Albrecht1. Gast bei Eickhoffs Fest, Johanna Blum2. Gast bei Eickhoffs Fest, Hildegard Busse3. Gast bei Eickhoffs Fest, Alfred Karen4. Gast bei Eickhoffs Fest, Ethel Reschke5. Gast bei Eickhoffs Fest, Rudolf Schündler6. Gast bei Eickhoffs Fest, Wera Schultz7. Gast bei Eickhoffs Fest, Peter Elsholtz1. Schiffspassagier, Robert Forsch2. Schiffspassagier, Vera Hartegg3. Schiffspassagier, Walter Schramm-Duncker4. Schiffspassagier, Erich Bartels: Reisender im Zugabteil, Brunhilde Födisch: Reisende im Zugabteil, Ursula Zeitz: Dienstmädchen bei Eickhoffs Fest, Adolf Fischer1. Arbeiter bei Hellwerth, Wolfgang Staudte2. Arbeiter bei Hellwerth, Illo Gutschwager3. Arbeiter bei Hellwerth, Clemens Hasse: Polizist  bei der Razzia in der Kolibri-Bar, Eduard Bornträger: Fabrikant, Hellmuth Passarge: Passant bei der Razzia, Hermann Mayer-Falkow: Fabrikant, Hans Sobierayski: Polizist, der Lissy abführt, Werner Pledath: Kommissar bei der Verhaftung, Georg Heinrich Schnell: Hausarzt Dr. Klipper, Hermann Pfeiffer: Verkäufer Büring, Wilfried Seyferth: Verkäufer bei Hellwerth, Alfred Pussert: Eickhoffs Diener und Chauffeur, Fritz Klaudius: Fabrikant Kundmann, Otto Henning: Vorsitzende des Arbeitsgerichts, Hildegard Unger: Büroangestellte bei Hellwerth, Hildegard Friebel: Büroangestellte bei Hellwerth, Inge Conradi: Büroangestellte bei Hellwerth, Kurt Klotz-Oberland: Jurist bei der Gerichtssitzung, Franz W. Schröder-Schrom: Jurist bei der Gerichtssitzung, Kurt Waitzmann: Rechtsanwalt, Walter Kunkel: Rechtsanwalt, Hans Timerding: Fabrikant, der die Kunstseide ablehnt, Erich Harden: Fabrikant, der die Kunstseide ablehnt, Erik von Loewis: Eickhoffs Begleiter bei der Hochzeitstafel, Karl Morvilius: Beschäftigter an den neuen Maschinen, Albert Venohr: Beschäftigter an den neuen Maschinen, Liesel Eckhardt: Beschäftigte an den neuen Maschinen, Franz Weilhammer: Eickhoffs Begleiter bei der Hochzeitstafel, Alfred Heynisch: Eickhoffs Begleiter bei der Hochzeitstafel, Helmuth Lang, Kurt Weisse, Karl Fisser, Käte Jöken-König",,,,"Robert A. Stemmle, Eberhard Frowein",,"Wilhelmine Spindler, Max König, Walter Salemann",Bruno Duday,,Franz Weihmayr,"Kurt Hasse, Bruno Stephan",,,,,Herbert Windt,,,,Universum-Film AG (UFA) (Berlin) (Herstellungsgruppe Bruno Duday),Erich Holder,,Robert A. Stemmle,Fritz Andelfinger,,Axel von Werner,,Josef Höfer,,Max Langguth,"Eberhard Frowein (Motive des Romans ""Mein eignes propres Geld"")",,"2538 m, 93 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Andalusische Nächte,https://www.filmportal.de/film/andalusische-naechte_b98fa6296832445488187f18101566cf,Spielfilm,1938,Deutschland/Spanien,Arthur Kiekebusch,,Franz Schroedter,,"Imperio Argentina: Zigeunerin Carmen, Enrico Benfer: Dragonerbrigadier José Navarro, Karl Klüsner: Stierkämpfer Antonio Vargas, Erwin Biegel: Antonios Freund und Assistent Salvadore, Margit Symo: Tänzerin, Edwin Jürgensen: Major Ramirez, Siegfried Schürenberg: Rittmeister Moraleda, Hans Adalbert Schlettow: Sergeant Garcia, Kurt Seifert: Cafébesitzer und Schmugglerchef Juan, Ernst Legal: Gastwirt Mulero in Sevilla, Hans Hessling: Schmuggler Triqui, Albert Venohr: Schmuggler Miguel, Maria Koppenhöfer: Wahrsagerin, Friedrich Ettel: Herbergswirt, Milena von Eckardt: Kellnerin, Jac Diehl: Wachtposten der Dragoner, Peter Busse: Wunderheiler aus dem Dorf",,,,"Lothar Philipp August Mayring, Philipp Lothar Othello Mayring, Fred Andreas",,"Otto Zander, Gustav Jäger",,,Reimar Kuntze,Benno Stinauer,"Otto Zander, Gustav Jäger, Manon Hahn",,Herbert Witt,Max Patyna,"José Muñoz Molleda, Juan Mostazo Morales",,Hansom Milde-Meißner,,Tonfilm-Studio Carl Froelich & Co. (Berlin),Friedrich Pflughaupt,Carl Froelich,Herbert Maisch,Erwin Heiner Moll,,Anna Höllering,,Karl Lindner,,Erich Leistner,"Prosper Mérimée (Novelle ""Carmen"")","Universum-Film AG (UFA) (Berlin), Hispano Films (Madrid)","5 Akte, 2549 m, 94 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Anna Favetti,https://www.filmportal.de/film/anna-favetti_9c0f4aa32080441cb7ef22947a4c3d99,Spielfilm,1938,Deutschland,Heinz Fiebig,,"Gustav A. Knauer, Alexander Mügge",,"Brigitte Horney: Anna Favetti, Mathias Wieman: Architekt Hemmsteet, Gina Falckenberg: Irene Hemmsteet, Friedrich Kayßler: Vater Favetti, Maria Koppenhöfer: Mutter Favetti, Elsa Wagner: Irenes Mutter Frau Geheimrat Stetius, Franz Schafheitlin: Rechtsanwalt Dr. Thom, Jeanette Bethge: Wirtschafterin Bertha, Karl Schönböck: Eishockeyspieler Kingston, Beppo Brem: Eishockeytorwart Billy Blake, Paul Bildt: Notar Dr. Fister, Rolf Wernicke: Reporter, Edwin Jürgensen: Empfangschef, Erwin Biegel: Kellner im Café, Annemarie Korff: Dr. Thoms Sekretärin, Eva Sommer: Backfisch im Hotel, Franz W. Schröder-Schrom: Professor der Jury, Charlotte Schultz: Portierfrau, Adolf Fischer: Arbeiter der Telefongesellschaft, Inge Koch: Eiskunstläuferin, Günter Noack: Eiskunstläufer, Inge Burg: Mädchen bei Dr. Fister, Ernst Stimmel1. Herr in der Jury, Philipp Manning2. Herr in der Jury, Paul Mederow3. Herr in der Jury, Kurt Waitzmannjunger Architekt, Lothar Geist: Telegrammjunge, Wolf Ackva: Hotelangestellte an der Rezeption, Fritz Draeger: Tänzer im Hotel, Hubert von Meyerinck: Hotelgast",,,,Walther von Hollander,,Erwin Rosentreter,Hermann Grund,,Werner Bohne,Kurt Schulz,,,Günter Neumann,"Max Schories, Ilse Siebert",Werner Eisbrenner,,Werner Eisbrenner,,Fanal-Filmproduktion Gmb: H (Berlin),Willi Wiesner,Erich Waschneck,Erich Waschneck,Bruno Carstens,,Walter Fredersdorf,,Josef Höfer,,Max Langguth,"Walther von Hollander (Roman ""Licht im dunklen Haus"")",Universum-Film AG (UFA) (Berlin) (Herstellungsgruppe Hermann Grund),"2708 m, 99 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",,
