Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Autobus Nr. 2,https://www.filmportal.de/film/autobus-nr-2_03ed92bba4da42f2b244b9eb45455ee7,Spielfilm,1929,Deutschland,,,Stefan Welcke,,"Fritz Kampers: Autobusschaffner Fritz Marunge, Lee Parry: Marunges Frau Hanne, Georg Alexander: Rechtsanwalt Dr. Werner Ponsar, Elza Temáry: Ponsars Freundin Vicky, Jakob Tiedtke: Diener Jakob, Marion Mirimanian: Tochter Christine Marunge, Ernst Senesch: Kommissar, Emilio Cargher: Gigolo, Sylvia Torff: Inspektorsfrau, Lore Braun: Anni, Wolfgang Hoffmann-Harnisch, Sophie Bargay, Ernst Pröckl",,,,Alfred Schirokauer,,,,,Bruno Mondi,,,,,,Artur Guttmann (Kino-Musik),,,,Terra-Film AG (Berlin),Wolfgang Hoffmann-Harnisch,,Max Mack,,,,,,,,,,"7 Akte, 2374 m, 87 min","35mm, 1:1,33","s/w, stumm",,
Besondere Kennzeichen,https://www.filmportal.de/film/besondere-kennzeichen_631856fe5d164cb1b6653e2b0e136a14,Spielfilm,1929,Deutschland,Alfred Kern,,"Gustav A. Knauer, Willy Schiller",,"Carl Auen: Raoul, Hugo Werner-Kahle: Kriminalkommissar Renard, Walter Doerry: Wachtmeister Bourgeois, Julius Falkenstein: Fardot, Besitzer der Internationalen Welt-Detektei, Corry Bell: Henriette, Angelo Ferrari: Pierre, Georgia Lind: Marion, Fritz Beckmann: Bankier Villon, Fred Immler: Assistenzarzt Curell, Melitta Klefer: Krankenschwester, Paul Moleska: Apache, Fritz Heidt, Karl Harbacher, Gaston Briese, Kurt Brenkendorf",,,,Edmund Heuberger,,,,,Max Grix,,,,,,,,,,Albö-Film Gmb: H (Berlin),Gustav Althoff,,Edmund Heuberger,,,,,,,,,,"6 Akte, 2448 m",,"s/w, Stumm",,
"Bobby, der Benzinjunge",https://www.filmportal.de/film/bobby-der-benzinjunge_5287c1c8f8424f7285ef60c471a36be4,Spielfilm,1929,Deutschland,,,Otto Moldenhauer,,"Gustav Rickelt: Anton Weber, Gastwirt, Sophie Pagay: Emilie Weber, seine Frau, Bobby Burns: Bobby, beider Pflegekind, Eduard Rothauser: Prof. Junghans, Maler, Livio C. Pavanelli: Dr. Martens, Arzt",,,,Lutz Völker,,,,,Alfred Hansen,,,,,,Hansheinrich Dransmann (Kino-Musik),,,,Carl Boese-Film Gmb: H (Berlin),,Carl Boese,Carl Boese,,,,,,,,,,,,,,
Das brennende Herz,https://www.filmportal.de/film/das-brennende-herz_2b2b941a8937492c82ec3957289ac10d,Spielfilm,1929,Deutschland,,,"Rudolf Bamberger, Ernst Meiwers",,"Gustav Fröhlich: Georg Wittig, Mady Christians: Dorothee Claudius, Friedrich Kayßler: Ihr Vater, Frida Richard: Pflegemutter Wittig, Ida Wüst: Konzertagentin Isolde Fuchs, Anton Pointner: Direktor des Odeon, Hanna Waag: Inge Keller, Telefonistin, Anton Edthofer: Baron, Rosa Valetti: Animierdame, Lena Malena: Zazu, Alexandra Schmitt: Garderobiere, Elsa Wagner: Die Schießbudenbesitzerin, Hubert von Meyerinck, Karl Platen",,,,Hans Müller,,,,,Curt Courant,,,,,,"Willy Schmidt-Gentner (Kino-Musik, Dirigent - Ufa-Palast am Zoo), Giuseppe Becce (Kino-Musik - Mozartsaal)",,,,Länder-Film Gmb: H (Berlin),,,Ludwig Berger,Paul Martin,,,,Walter Lichtenstein,,,,,,"35mm, 1:1,33","s/w, stumm",,
Bruder Bernhard,https://www.filmportal.de/film/bruder-bernhard_efa602c2db124bc0a1bfcca39ec4cc52,Spielfilm,1929,Deutschland,,,Willy Reiber,,"Vera Schmiterlöw: Christine, Walter Grüters: Bruder Bernhard, Will Dohm: Gärtner Robert, Ferdinand Martini: Bruder Wendelin, Hermann Nesselträgerein Schneider, Ludwig Ruppert: Stief, Georg Henrich: Prior, Josef Eichheimder alte Knorr",,,,Joseph Dalmann,,,,,Franz Koch,,,,,,"Harry Schmid-Bauer (Kino-Musik, Kammer-Lichtspiele), Georg Notz (Kino-Musik, Schloß-Theater)",,,,Emelka-Konzern (München),,,Franz Seitz Sr.,,,,,,,,,,,,,,
Brüder,https://www.filmportal.de/film/brueder_6f3483861a41446da4b5b60679b2ff62,Spielfilm,1929,Deutschland,,,Walter Roon-Günteritz (Entwürfe),,"Gyula Balogh: Hafenarbeiter, Erna Schumacher: Frau des Hafenarbeiters, Ilse Berger: Kind",,,,Werner Hochbaum,,,,,Gustav Berger,,,,,,,,,,Werner Hochbaum-Filmproduktion Gmb: H (Hamburg),Hans Popp,Werner Hochbaum,Werner Hochbaum,,,,,,,,,"Deutscher Verkehrsverbund (Berlin), Sozialdemokratische Partei Deutschlands (Berlin)","1722 m, 76 min bei 20 b/s","35mm, 1:1,33","s/w, stumm",,
Brüderchen und Schwesterchen,https://www.filmportal.de/film/bruederchen-und-schwesterchen_c243a7538e47499abba0a18cad961909,Spielfilm,1929,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Das Buch und wie es wird,https://www.filmportal.de/film/das-buch-und-wie-es-wird_f4dccdc4e43d4f9db7049222881bc48d,Spielfilm,1929,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Büchse der Pandora,https://www.filmportal.de/film/die-buechse-der-pandora_b7a60db8b98246c9b4538fdaff7e00c3,Spielfilm,1929,Deutschland,Heinz Landsmann,,"Andrej Andrejew, Bohumil Heš",,"Louise Brooks: Lulu, Fritz Kortner: Dr. Schön, Franz Lederer: Alva Schön, Carl Goetz: Schigolch, Krafft-Raschig: Rodrigo Quast, Alice Roberts: Gräfin Geschwitz, Daisy d'Ora: Dr. Schöns Braut, Gustav Diessl: Jack the Ripper, Michael von Newlinski: Marquis Casti-Piani, Siegfried Arno: Inspizient, Hans G. Casparius, Paul Falkenberg, Speedy Schlichter",,,,Ladislaus Vajda,,,,,Günther Krampf,,Bohumil Heš,,,,"Willy Schmidt-Gentner, Peer Raben (Rekonstruktion 1997)",,Frank Strobel (Rekonstruktion 1997),,Nero-Film AG (Berlin),Georg C. Horsetzky,Seymour Nebenzahl,G. W. Pabst,"Mark Sorkin, Paul Falkenberg",,,,,,,"Frank Wedekind (Bühnenstücke ""Erdgeist"" und ""Die Büchse der Pandora"")",,"8 Akte, 4255 m","35mm, 1:1,33","s/w, stumm",,"Zensur (DE): 09.04.1934, O.07290, Verbot"
Der Bund der Drei,https://www.filmportal.de/film/der-bund-der-drei_ccdc536f39954c50be57aa7db75cb919,Spielfilm,1929,Deutschland,Arthur Ohme,,Willi A. Herrmann,,"Jenny Jugo: Inez Diaz, Enrico Benfer: Henri Renard, Max Maximilian: Minenbesitzer Renard, Ernst Stahl-Nachbaur: Vater Diaz, Raimondo van Riel: Baramo, Michael von Newlinski: Gaston, Kurt Katsch: Morris, Viktor Gehring: Privatdetektiv, Alfred Beierle: Hausmeister im Schloß",,,,"Victor Abel, Bobby E. Lüthge",,,,,Werner Brandes,,,,,,Willy Schmidt-Gentner (Bei der Uraufführung),,,,Universum-Film AG (UFA) (Berlin),Alfred Zeisler,,Hans Behrendt,,,,,,,,,,,35mm,"s/w, stumm",,
Cagliostro,https://www.filmportal.de/film/cagliostro_cdf1a4a6759b41e0af458ac37e498b24,Spielfilm,1929,Frankreich/Deutschland,,,Alexander Ferenczy,,"Hans Stüwe: Cagliostro, Renée Héribel: Lorenza, Alfred Abel: Prince de Rohan, Iwan Kowal-Samborskij: Benito, Caligostros Diener, Rina De Liguoro: Laura, Marquise Espada, Charles Dullin: Marquis de Espada - Comte de Breteil, Illa Meery: Jeanne de la Motte, Edmond Van Daële: Louis XVI., Suzanne Bianchetti: Marie-Antoinette, Jules Moy: Bohmer, Georges Deneubourg: Basange, Alice Tissot: Duchesse de Mittau, René Donnio: Chevreau, Jenny Luxeuil, Andrée Canti, Roger Karl, Andrews Engelmann, Nicolas Rimsky, Teddy Michaud",,,,"Georg C. Klaren, Herbert Juttke",,,,,"Jules Krüger, Maurice Desfassiaux","Marcel Carné, Christen Jörgensen, Jean Dréville",Eugène Lourié,,,,Werner Schmidt-Boelcke (Kino-Musik),,,,"Les Films Albatros (Paris), Wengeroff-Film Gmb: H (Berlin-Paris)",Alexandre Kamenka,"Vladimir Vengerov, Alexandre Kamenka",Richard Oswald,,,,,J. Soulat,,,Johannes von Guenther (Roman),,,,,"Uraufführung: 08.04.1929, Berlin, Capitol",
Diane - Die Geschichte einer Pariserin,https://www.filmportal.de/film/diane-die-geschichte-einer-pariserin_8fd45d033eef48a0876e3042214ce035,Spielfilm,1929,Deutschland,,,Andrej Andrejew,,"Henry Victor: Oberst Guy de Lasalle, Kommandant von Tschamschewa, Olga Tschechowa: Diane, Pierre Blanchar: Leutnant Gaston Mévil, Marion Gerth: Zofe, Peter Voss: Kapitän Rambaud, Boris de Fast: General Fürst Gagarin, Hans Adalbert Schlettow: Rittmeister Graf Orlaff, Hubert von Meyerinck: Tichon, Kammerdiener, Alexei Bondireff: Regimentsarzt, Hermann Speelmans, Michael Rasumny, Ekkehard Arendt, Gaston Briese, Otto Kronburger, Theodor Loos, Emil Heyse, Hanns Schuster",,,,Rolf E. Vanloo,,,,,Friedl Behn-Grund,,Edith Glück,,,,Alexander Laszlo (Kino-Musik),,,,Tschechowa-Film Gmb: H (Berlin),Robert Wuellner,Olga Tschechowa,Erich Waschneck,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Dich hab' ich geliebt,https://www.filmportal.de/film/dich-hab-ich-geliebt_d34e455762ba481da4d56d609996048d,Spielfilm,1929,Deutschland,,,"Botho Höfer, Hans Minzloff, Erich Czerwonski",,"Mady Christians: Inge Lund, Walter Jankuhn: Otto Radney, Hans Stüwe: Dr. Hubert Baumgart, Marion Conradi: Mariechen, Karl Platen: Oberregisseur Lechner, Sophie Pagay: Frau Werner, Hausdame bei Baumgart, Trude Berliner: Edith Karin, Fritz Alberti: Justizrat Körner, Hans Mierendorff: Direktor Sommer, Jaro Fürth: Sanitätsrat Brink, Hans Sternberg: Theaterdirektor, Hermann Picha: Inspizient, André Pilot: Conferencier, Alfred Loretto: Bühnenportier, Werner Alberti: Komponist, Julius E. Herrmann: Kritiker",,,,Walter Reisch,,,,,"Frederik Fuglsang, Paul Holzki",,,,Bruno Balz,,"Werner Schmidt-Boelcke, Eduard May",,,,Aafa-Film AG (Berlin),Rudolf Walther-Fein,Gabriel Levy,Rudolf Walther-Fein,,,Hans Conradi,,,,"Karl Brodmerkel (Tonkamera), Adolf Jansen, Hans Conradi (Ton-Regie), Rudolf Schwarzkopf (Leitung der Ton-Produktion), Guido Bagier, Ludwig Behrens (Ton-Aufnahmeleitung)",,,,,,,
Die nicht heiraten dürfen,https://www.filmportal.de/film/die-nicht-heiraten-duerfen_9a8bc99ee0b84cd8933fbf458615034a,Spielfilm,1929,Deutschland,,,Karl Machus,,"Victor Costa: Franz Cornelius, Industrieller, Olga Engl: Alice, seine Frau, Günther Laufer: Karl, Colette Brettel: Eveline, André Mattoni: Fritz Wendhausen, Ingenieur, Else Jera: Lilly Hildebrand, Victor Colani: Emil Bloß, Georgia Lind: Kitty, Otto Kronburger: Dr. Falke",,,,,,,,,Franz Weihmayr,,,,,,,,,,Karl Heinz Rudolph (Berlin),,Karl Heinz Rudolph,"Karl Heinz Rudolph, Carl Heinz Rudolph",,,,,,,,,,,,,,
"Don Manuel, der Bandit",https://www.filmportal.de/film/don-manuel-der-bandit_f81d6a0c9b29405fac76d6689e7894b3,Spielfilm,1929,Deutschland,,,August Rinaldi,,"Romero Valvidares: Bankier Perez, Diomira Jacobini: Mercedes, seine Tochter, Liane d'Orland: Georgette, ihre Tante, Karl Platen: Fernando, sein Sekretär, Clifford Mc: Laglen: Juan Carizzo, ein Stierfarmer, Dora Meves: Rita, seine Schwester, Angelo Ferrari: Chevalier Don Manuel de Croix, Nico Turoff: Rodriguez, ein Bandit, Judith Massena: Quera, seine Geliebte, Yvonne Reggia",,,,,,,,,Giovanni Vitrotti,,,,,,,,,,Mengon-Film Gmb: H (Berlin),,,Romano Mengon,,,,,Fritz Vopel,,,,,,,,,
Dornröschen,https://www.filmportal.de/film/dornroeschen_f1cfe9feac0240449dcc4d27eb8665b4,Spielfilm,1929,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,"Karl Heinz Rudolph, Carl Heinz Rudolph",,,,,,,,,,,,,,
Drei Tage auf Leben und Tod,https://www.filmportal.de/film/drei-tage-auf-leben-und-tod_59267b58d62844cf8bb14fc356849351,Spielfilm,1929,Deutschland,,,Karl Machus,,"Carl de Vogt: Der Kommandant des U.C.1, Angelo Ferrari: Der Erste Offizier, Carl Walther Meyer: Der Zweite Offizier, Fritz Kampers: Der Obermaat, Jack Mylong-Münz: Der Koch, Hans Tost: Der Freiwillige, Arthur Duarte: Ein Torpedomatrose, Willy Mendau: Eine Ordonanz, Fritz Beckmann: Der Kapitän des Seglers, Jackie Monnier: Seine Nichte Jeanette, José Agueras: Ein Matrose, H. Schimack, P. Buchholz, Arthur Reinhardt, Walter Dettmann, Max Diekmann, Veit Masary: Weitere Besatzung von U.C.1",,,,Hella Moja,,,,,"Viktor Gluck, Karl Blumenberg",,,,,,,,,,Cinéma-Film-Vertriebs-Gesellschaft mb: H (Berlin),,,Heinz Paul,Richard Royce,,,,,,,,,,,,,
Die Drei um Edith,https://www.filmportal.de/film/die-drei-um-edith_ae3382e0bcb54660bba40f33b5073f29,Spielfilm,1929,Deutschland,,,Alfred Junge,,"Camilla Horn: Lady Edith Trent, Jack Trevor: Thomas Morland, Gustav Diessl: Roger Brown, Paul Hörbiger: Nick, Fritz Rasp: Pistol, Adele Sandrock: Ediths Tante, Hubert von Meyerinck: Scherbe, Lothar Körner: Beby",,,,,,,,,Friedl Behn-Grund,,,,,Carl Eduard Schulz,Pasquale Perris (Kino-Musik),,,,National-Film Verleih- und Vertriebs-AG (Berlin),,,Erich Waschneck,Géza Pollatschik,,,,,,,,,,,,,
Du bist ich,https://www.filmportal.de/film/du-bist-ich_9873fa5cc6b748e39f54e9991904602d,Spielfilm,1929,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durchs Brandenburger Tor. So lang' noch untern Linden ...,https://www.filmportal.de/film/durchs-brandenburger-tor-so-lang-noch-untern-linden_593cff25f78a4791a6a7d367cff861d6,Spielfilm,1929,Deutschland,,,"Fritz Maurischat, Max Knaake",,"Paul Henckels: Lehmann, Schuhmacher und Portier, June Marlowe: Frieda, seine Tochter, Aribert Mog: Fritz, Fritz Kampers: Franz Müller, Karl Etlinger: Emil Lauter, Fred Grosser: Max, Bruno Ziener: Prof. Berghaus, Inge Borg: Lilly, Anton Pointner: Orje Bollmann, Carl Balhaus",,,,,,,,,Charles Stumar,,,Wilhelm Dieterle,,,Bernhard Homola (Kino-Musik),,,,Universal Pictures Corp. mb: H (Berlin),"Joe Pasternak, Paul Kohner",Carl Laemmle,Max Knaake,,,,,,,,,,"6 Akte, 2270 m, 100 min","35mm, 1:1,33","s/w, Ton",,
Ehe in Not,https://www.filmportal.de/film/ehe-in-not_6e6eef2a9a814fbf9de274360025abd0,Spielfilm,1929,Deutschland,"Walter Zeiske, Helmut Schreiber",,Franz Schroedter,,"Elga Brink: Frau, Walter Rilla: Mann, Evelyn Holt: Mädchen, Hanna Maierzak: Kind, Alfred Abel: Rechtsanwalt, Fritz Kampers: Cafétier, Otto Wallburg, Willy Rosen, Trude Berliner, Elsa Wagner, Carl Goetz",,,,"Georg C. Klaren, Herbert Juttke",,,,,Friedl Behn-Grund,,,,,,Victor Langer (Kino-Musik),,,,Nero-Film AG (Berlin),Leo Meyer,Seymour Nebenzahl,Richard Oswald,,,,,,,,"Georges Antequil (nach dem Buch ""La maitresse légitime"" von)",,"6 Akte, 2285 m","35mm, 1:1.33","s/w, stumm",,
Die Ehe,https://www.filmportal.de/film/die-ehe_d5fa726d31734674984c87e62ca8fba6,Spielfilm,1929,Deutschland,,,Curt Kahle,,"Lil Dagover, Hanna Waag, Hertha von Walther, Maria Matray, Antonie Straßmann, Daisy Spies, Ernst Stahl-Nachbaur, Gustav Diessl, Livio C. Pavanelli, Max Terpis, Lena Malena",,,,Theodor Hendrik van de Velde,,,,,"Curt Kahle, Viktor Trinkler",,,,,,Hansheinrich Dransmann (Kino-Musik),,,,Verlag wissenschaftlicher Filme Gmb: H (Berlin),,,Eberhard Frowein,,,,,,,,,,,,stumm,,Prüfung: 13.03.1933
