Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Achtung - Kriminalpolizei! Gefangene Nr. 7,https://www.filmportal.de/film/achtung-kriminalpolizei-gefangene-nr-7_17e924eca64048b3bee97aec17a42a30,Spielfilm,1929,Deutschland,,,Stefan Lhotka,,"Lissy Arna: Gefangene Nr. 7, Hans Adalbert Schlettow: Jenö, Oberkellner, Charlotte SusaÄrztin, El Dura: Artistin, Ida Turay: Vögelchen, Mariska Balla: Geschäftsführerin, Olga Kerékgyártóneue Zofe, Szidi Rákosi",,,,"Lajos Lázár, Walter Reisch",,,,,"Josef Bécsi, Adolf Otto Weitzenberg",,,,,,,,,,Ziehm-Film Gmb: H (Berlin),,,"Paul Sugar, Lajos Lázár",,,,,,,,,,"6 Akte, 2287 m","35mm, 1:1.33","s/w, stumm","Uraufführung (DE): Dezember 1929, Braunschweig",
Achtung! Liebe! Lebensgefahr!,https://www.filmportal.de/film/achtung-liebe-lebensgefahr_789f1844f1b54ab49da3fe461957a187,Spielfilm,1929,Deutschland,,,Ernö Metzner,,"Bob Stoll: Max / Bob von Oldeslo, Liselotte Schaak: Harriet Gräfin von Thysell, Nien Sön Ling: Kinlung, Monteur, Grace Chiang: Grace, Hans G. Casparius: Graf Sternberg, Robert Garrison: Geldverleiher, Speedy Schlichter: Kokotte",,,,"Ernö Metzner, Bob Stoll",,,,,Eduard von Borsody,,,,,Karl Holek,,,,,Stoll-Produktion (Berlin),Ursula Friedrich,Bob Stoll,Ernö Metzner,,,,,Hans G. Casparius,,,,,,,,,
Adieu Mascotte,https://www.filmportal.de/film/adieu-mascotte_869fc22cd14b4fae9e5f43df7d3d8235,Spielfilm,1929,Deutschland,Willy Zeunert,,"Jacek Rotmil, Heinz Fenchel",,"Lilian Harvey: Modell Mascotte, Igo Sym: Schriftsteller Jean Dardier, Marietta Millner: Josette Dardier, Harry Halm: Gaston, Julius Falkenstein: Advokat Giron, Ernst Pröckl: Gastons Diener, Erika Dannhoff: Modell Gaby, Oskar Sima: Dardiers Diener, Hubert von Meyerinck: Schlafwagenschaffner, Albert Paulig, Eugen Thiele",,,,Franz Schulz,,,Günther Stapenhorst,Michel Linsky,Nikolai Toporkoff,,,,,,Willy Schmidt-Gentner (Bei der Uraufführung),,Otto Stenzeel,,Universum-Film AG (UFA) (Berlin),Günther Stapenhorst,,Wilhelm Thiele,,,,,,,,Michel Linsky (Roman),,"6 Akte, 2320 m, 85 min","35mm, 1:1,33","s/w, stumm",,
Alimente,https://www.filmportal.de/film/alimente_4adb866e5fa44a8da0c8d79ff3eb2ee9,Spielfilm,1929,Deutschland,,,Leopold Blonder,,"Anita Dorris: Anna Gerlach, Gerhard Dammann: Portier Breuer, Kurt Vespermann: Willi Alt, Lucie Englisch: Lissy Breuer, Margarete Kupfer: Frau Breuer, Vera Schmiterlöw, Leo Peukert: Bankier Petersen, Robert Thiem: Hans Petersen, Fritz Schulz: Anton Kulicke, Harry Nestor: Georg Selatini, Emma Klein: Margarethe Liebmann",,,,"Gernot Bock-Stieber, Ada van Roon",,,,,Karl Hasselmann,,,,,,Bernhard Homola (Kino-Musik),,,,Eisbär-Film Gmb: H (Berlin),Paul Drewniak,,Carl Boese,,,,,,,,,,,,,,
Andreas Hofer,https://www.filmportal.de/film/andreas-hofer_0e9518005cc64ebbb6b7b506b4e17387,Spielfilm,1929,Deutschland,,,,,"Fritz Greiner: Andreas Hofer, Maly Delschaft: Anna, seine Frau, Rolf Pinegger: Gasteiger-Wirt, Grit Haid: Moidl, seine Tochter, Oskar Marion: Toni, ein Sergeant, Carl de Vogt: Eisenstecken, Hofers Adjutent, Karl Reidlbach: Swet, Hofers Schreiber, Georg John: Franz Raffl, Bauer, Franz Stein: Pater Haspinger, Max Reichlmair: Joseph Speckbacher, Adolf Gondrell: Napoleon, Hermann Pfanz: Bernklau, Oberst",,,,Hanns Prechtl,,,,,"Karl Attenberger, Alfons Lusteck",,,,,,"Hermann Ludwig (Kino-Musik, Sendliner Tor-Lichtspiele), Karl Fümann (Kino-Musik, Roxy-Palast)",,,,Hofer-Film Gmb: H (Berlin),,,Hanns Prechtl,,,Werner Klette,,,,,,Union-Film-Comp. mb: H (München),,,,,
Anschluß um Mitternacht,https://www.filmportal.de/film/anschluss-um-mitternacht_474d1135a7124356a5cf246e35eebc97,Spielfilm,1929,Deutschland,,,Heinrich Richter,,"Marcella Albani: Liane, Ralph Arthur Roberts: Michel, der ""Gegenwärtige"", Curt Bois: Emil der ""Verflossene"", Jean Bradin: Henri, der ""Zukünftige"", Lore Braun: Ninette, das Kammerkätzchen, Max Maximilian: Poker-Maxe, Alberto Pasquale: Der gestrenge Vater",,,,Claus Pretorius,,,,,"Willy Goldberger, Georg Bruckbauer",,,,,,Victor Langer (Kino-Musik),,,,Maxim-Film Ges. Ebner & Co (Berlin),,,Mario Bonnard,Hatte Braun (Hilfsregie),,,,,,,,,,,,,
Asphalt,https://www.filmportal.de/film/asphalt_9d2ca512c40a47ad906e700ac2e029c4,Spielfilm,1929,Deutschland,,,"Erich Kettelhut, Robert Herlth (ungenannt), Walter Röhrig (ungenannt)",,"Betty Amann: Else Kramer, Gustav Fröhlich: Wachtmeister Holk, Else Heller: Mutter Holk, Albert Steinrück: Hauptwachtmeister Holk, Hans Adalbert Schlettow: Konsul Langen, Hans Albers: Straßendieb, Paul Hörbiger: Straßendieb, Rosa Valetti: Geschäftsführerin des Etablissement, Arthur Duarte, Trude Lieske, Karl Platen, Hermann Vallentin, Kurt Vespermann, Rudolf Meinhardt-Jünger",,,,"Joe May, Hans Székely, Rolf E. Vanloo",,,,,Günther Rittau,Hans Schneeberger,René Hubert,,,,"Willy Schmidt-Gentner (Bei der Uraufführung), Karl-Ernst Sasse (1995)",,Manfred Rosenberg (1995),,Universum-Film AG (UFA) (Berlin),,"Max Pfeiffer, Erich Pommer",Joe May,,,,,,,,Rolf E. Vanloo (Filmnovelle),,"8 Akte, 2575 m","35mm, 1:1,33","s/w, ohne Ton","Uraufführung (DE): 12.03.1929, Berlin, Ufa-Palast am Zoo","Zensur (DE): 09.08.1930, O.00743, Jugendverbot"
Auf der Reeperbahn nachts um halb eins,https://www.filmportal.de/film/auf-der-reeperbahn-nachts-um-halb-eins_ab0a32cad16442458acbb67b2d5907ee,Spielfilm,1929,Deutschland,,,Otto Moldenhauer,,"Eddie Polo: Heini Box, Lydia Potechina: Donna Ramona Raffkaela, Harry Nestor: Caesar Verkannto, Inge Borg: Signorina Eleonora Raffkaela, Inge Rana, Lotte Roman, Heddy Warton",,,,"Oskar Schubert-Stevens, Julius Urgiß",,,,,"Akos Farkas, Franz Weihmayr",,,,,,"Werner Schmidt-Boelcke (Kino-Musik, Schauburg, Berlin), Hermann Worch (Kino-Musik, Dirigent, Schauburg, Berlin)",,,,Universal Pictures Corp. mb: H (Berlin),Max W. Kimmich,,Franz Stranz,,,,,,,,,,,,,,
Auf Leben und Tod,https://www.filmportal.de/film/auf-leben-und-tod_3f67b40734ad4202a348754fa7ebc454,Spielfilm,1929,Deutschland,,,"Gustav A. Knauer, Willy Schiller",,"Eddie Polo: Eddie Polo, Artist, Rina Marsa: Dame, Lotte Stein: Madame Delbanco, Pensionswirtin, Peggy Norman: Eveline, reiche Erbin, Angelo Ferrarivan Straaten, Fred Grosser: Junge, Rolf von Goth: Paul, Karl Falkenberg1. Herr, Hans Ritter2. Herr, Nien Tso Ling",,,,"Fritz Falkenstein, Walter Wassermann",,,,,Charles Stumar,,,,,,,,,,Aco-Film Gmb: H (Berlin),Joe Pasternak,,Edmund Heuberger,,,,,,,,,,,,,,
Aufruhr des Blutes,https://www.filmportal.de/film/aufruhr-des-blutes_8583e14510ea4ae3b82f59725bb10a36,Spielfilm,1929,Deutschland/Tschechoslowakei,,,Victor Trivas,,"Vera Veronina: Vera, Oskar Marion: Oskar, Feodor Chaliapin jr.Fred, George Seroff: Georg, Jan Sviták: Saeto",,,,"Paul Schiller, Victor Trivas",,,,Paul Schiller,Václav Vích,,,,,,,,,,Akkord-Film (Berlin),Franz Lepka,,Victor Trivas,Boris Ingster,,,,,,,,,"7 Akte, 2140 m","35mm, 1:1,33","s/w, ohne Ton","Uraufführung (CS): 14.11.1929, Prag",
Aufruhr im Junggesellenheim,https://www.filmportal.de/film/aufruhr-im-junggesellenheim_1e739b732a7341a59150e3fd5c0adc35,Spielfilm,1929,Deutschland,,,Max Heilbronner,,"Siegfried Arno: Beef, Kurt Gerron: Steak, Trude Hesterberglustige Witwe, Käthe von Nagy: Käthe, ihre Tochter, Adele Sandrock: Tante Adele, Albert Paulig: Onkel Theobald, Yvette Darnyslustige Ehefrau, Angelo Ferrariihr Gatte",,,,"Bobby E. Lüthge, Victor Abel",,,,,Willy Hameister,,,,,,Werner Schmidt-Boelcke (Kino-Musik),,,,,,,Manfred Noa,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Aus dem Tagebuch eines Junggesellen,https://www.filmportal.de/film/aus-dem-tagebuch-eines-junggesellen_3066435ba5734134b4418b9512cb6a7c,Spielfilm,1929,Deutschland,,,"Gustav A. Knauer, Willy Schiller",,"Reinhold Schünzel: Franz, Iwa Wanja: Lilli, Grit Haid: Lulu, eine Bardame, Leopold von Ledeburvon Wallenstein, Anton Pointner: Baron Alfons von Arenhuys, Legationsrat, Albert Paulig: Herr von Frantz vom Auswärtigen Amt, Toni Tetzlaffdessen Gattin, Max Ralf Ostermann: Jean, Arenhuys Diener, Henry Bender: August Krause, Margarete Kupfer: Amalie, seine Frau, Carola Höhn: Mieze, Ludwig Stössel: Herr von Pollack",,,,René Sorel,,,,,"Ludwig Lippert, Kurt Wunsch",,,,,,Paul Dessau (Kino-Musik),,,,Reinhold-Schünzel-Film Gmb: H (Berlin),,Reinhold Schünzel,Erich Schönfelder,,,,,,,,,,2643 m,"35mm, 1:1,33","s/w, stumm",,
