Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Alarm auf Station III,https://www.filmportal.de/film/alarm-auf-station-iii_9e389545f6ed4ddab74a9ecb9cb5c302,Spielfilm,1939,Deutschland,"Georg Kroschel, Georg Siebert",,Ernst H. Albrecht,Fritz Böttger,"Gustav Fröhlich: Zollwachtmeister Arne Kolk, Jutta Freybe: Elga Dohnert, Hans Nielsen: Hauptmann Karsten, Walter Franck: Dr. Talvorson, Aribert Wäscher: Mr. Fields, Paul Bildt: Polizeiarzt, Albert Florath: Kommissar Kalmi, Hermann Brix: Sohn Axel Talvorson, Hermann Speelmans: Zollbeamter Ströhm, Rolf Weih: Zollbeamter Dahl, Erik Ode: Zollbeamter Egge, Willi Rose: Zollbeamter Bing, Karl Dannemann: Zollhauptwachtmeister Thomas Kolk, Berta Drews: Frauke Kolk, Josefine Dora: Mutter Galen, Ewald Wenck: Sergeant Galen, Werner Schott: Polizeipräsident, Hermann Pfeiffer: Sörensen, Mitglied des Prohibitionsvereins, Albert Lippert: Geschäftsführer der ""Teestube"" Hendrik, Hans Stiebner: Schmuggler Soot, Karl-Heinz Peters: Schmuggler Nikko, Rudolf Schündler: Inspektor Henning, Kirsten Heiberg: Sängerin Kaja, Wolf Ackva: Zollbeamter Holt, Alfred Stein: Mitglied des Prohibitionsvereins, Rudolf Schönwandt: Klein Arne, Peter Dann: Thomas Sohn 1, Albert Loepert: Thomas Sohn 2, Heinz-Jürgen Loepert: Thomas Sohn 3, Gisela Scholtz: Thomas Tochter, Valerie Borstel: Tanzgirl, Tina Eilers: Krankenschwester beim Polizeiarzt, Amy Nivelle: Krankenschwester, Carl Iban: Zwischenrufer bei der Versammlung des Prohibitionsvereins, Egon Vogel: Porträtzeichner bei der Versammlung, Nikolaj Kolin: Verhafteter vor dem Polizeigericht, Klaus Pohl: Lagerverwalter der Allgemeinen Brennstoff A.G., Ernst Weiser: Barmann in der ""Teestube"", Hansi Wendler: Kellnerin in der ""Teestube"", Fritz Draeger: Gast in der ""Teestube"", Max Harry Ernst: Gast in der ""Teestube"", Charles  François: Gast in der ""Teestube"", Benno Müller: Gast in der ""Teestube"", Ferdinand Robert: Gast in der ""Teestube"", Alfred Stratmann: Gast in der ""Teestube"", Hertha Neupert: Mädchen in der ""Teestube"", Kurt Wieschala: Zollwachtmeister bei der Ermordung Thomas Kolks, Willy Witte: Zollpolizist, Paul Ludwig Frey: Polizeibeamter beim Polizeipräsidenten, Ernst G. Schiffner: Taxichauffeur, Hildegard Bernhardt, Liselotte Moll-König, Ingeborg Schulz, Walter Bechmann: Diener bei Dr. Talverson, Reinhold Bernt: Schmuggler Kai, Kajas Bruder",,,,"Lothar Philipp August Mayring, Philipp Lothar Othello Mayring",,"Paul Haupt, Brunhilde Strack","Walter Trost, Walter Tost",,Walter Riml,"Erich Küchler, Christian Jensen",,,"Lothar Philipp August Mayring, Philipp Lothar Othello Mayring, Willy Dehmel","Friedrich Havenstein, Arnold Jenssen, Gerda Scholz-Grosse",Franz Grothe,,Alfred Strasser,,Terra-Filmkunst Gmb: H (Berlin) (Herstellungsgruppe Walter Tost),Walter Tost,,"Lothar Philipp August Mayring, Philipp Lothar Othello Mayring","Hanns Mohaupt, Max Diekhout",,Alexandra Anatra,,Karl Ewald,,Erich Schmidt,,,"2550 m, 94 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",Erstaufführung (DE): 10.11.1939,
Anton der Letzte,https://www.filmportal.de/film/anton-der-letzte_521d3ef831734cf9b2a1637b5ce63ce8,Spielfilm,1939,Deutschland,,,"Robert A. Dietrich, Artur Günther",,"Hans Moser: Kammerdiener Anton, O. W. Fischer: Graf Willy von Erlenburg, Charlotte Ander: Baronesse Clarisse von Reuthersloh, Elfriede Datzig: Leni Lugauer, Heinz Salfner: Graf Othmar von Erlenburg, Gertrud Wolle: Baronesse Serafine, Hans Adalbert Schlettow: Franz Lugauer, Pächter, Lina Woiwode: Therese Lugauer, Erich Nikowitz: Friedensrichter, Mimi Stelzer: Kathi, Köchin des Grafen, Franz Böheim: Johann, Diener des Grafen, Robert HorkýDer Brandner Stoffl, Lenis Brautwerber, Siegfried Breuer1. Gast bei der Schlossführung, Johannes Roth2. Gast bei der Schlossführung",,,,Fritz Koselka,,,,,Karl Kurzmayer,,,,,,Heinz Sandauer,,,,Emo-Film Gmb: H für Wien-Film Gmb: H (Wien),,E. W. Emo,E. W. Emo,,,,,,,,,,"2484 m, 91 min","35mm, 1:1.33","s/w, Tobis-Klangfilm","Uraufführung (DE): 30.11.1939, Augsburg, Emelka-Palast",
Der arme Millionär,https://www.filmportal.de/film/der-arme-millionaer_c86202017f88487799d8cf8140f36f01,Spielfilm,1939,Deutschland,Gustav Lautenbacher,,"Max Seefelder, Franz Berner",,"Weiß-Ferdl: Schuhmachermeister Ignaz Stangelmeier, Trude Haefelin: Tochter Annerl Stangelmeier, Willy Rösner: Schreinermeister Sebastian Brandl, Ludwig Kerscher: Sohn Xaverl Brandl, Georg Alexander: Fürst Walefsky alias August Käsbur, Ursula Grabley: Gräfin Kolontay alias Lotte Schulz, Kurt Vespermann: Stangelmeiers Sekretär Siebecke alias Bobby Wallner, Fritz Odemar: Kammerdiener Jean, Arnulf Schröder: Freiherr von Tötting, Else Kündinger: Freifrau von Tötting, Erna Morena: Baronin Marcella, Edith Meinel: Baronesse Pauline, Otto Fassler: Baron Egon, Oskar Hugelmann: Kommerzienrat Bürger, Carl Graumann: Notar Dr. Erwin Klaus, Charles Willy Kayser: Juwelier, Wastl Witt: Bürgermeister von Schmalzling, Beppo BremÖkonom Schallinger aus Schmalzling, Hans Dengel: Lehrer aus Schmalzling, Georg Vogelsang: Schmied aus Schmalzling, Heinrich Hauser: Schneider aus Schmalzling, Georg Holl: Wachtmeister Huber, Rudolf Kunig: Schutzmann Bachmeier, Michl Lang: Arbeiter, Toni Thoms: Koch, Heinrich Wildberg: Masseur, Paula Menari: Zofe, Willy Schultes: Peterl, Heddo Schulenburg: Stalljunge, Maximilian Herbst1. besserer Herr, Ernst Reinhardt2. besserer Herr, Ludwig Frey: Polizeikommisar Hofmeister",,,,"Joseph Dalmann, Joe Stöckel",,,,,Wilhelm Schmidt,,,,,,Fritz Wenneis,,,,Bavaria Filmkunst Gmb: H (München-Geiselgasteig),Ottmar Ostermayr,,Joe Stöckel,Adolf Schlyßleder,,Erika Engelbrecht,,,,Karl-Albert Keller,"Ludwig Thoma (Bühnenstück ""Der Schusternazi"")",,"2507 m, 92 min","35mm, 1:1,37","s/w, Ton",,"FSK-Prüfung (DE): 29.09.1952, 04858, Jugendgeeignet / nicht feiertagsfrei"
Aufruhr in Damaskus,https://www.filmportal.de/film/aufruhr-in-damaskus_557429102ab746eb81170e1dd33a9036,Spielfilm,1939,Deutschland,"Werner Drake, Gustav Wehrand",,"Karl Böhm, Erich Czerwonski",,"Brigitte Horney: Vera Niemeyer, Joachim Gottschalk: Leutnant Hans Keller, Hans Nielsen: Hauptmann Schulz, Ernst von Klipstein: Gefreiter von Elmendonck, Ingolf Kuntze: Stabsarzt Bruckner, Paul Westermeier: Unteroffizier Kroll, Gerhard Bienert: Feldwebel Lemcke, Friedrich GnaßFunker Gerlach, Ludwig Schmid-Wildy: Lachner, Hellmuth Passarge: Krohnker, Adolf Fischer: Spoekmann, Gustav Püttjer: Wolff, Erich Dunskus: Proviantmeister in Damaskus, Claire Reigbert: Oberschwester, Erika Streithorst: Krankenschwester Elisa, Hans Rudolf Ballhausen: Assistenzarzt, Hansjakob Gröblinghoff: Aus dem Lazarett entlassener Soldat, Jac Diehl: Deutscher Soldat beim Rückmarsch, Heinz Welzel: Sterbender Soldat Schulz, Franz Jan Kossak: Soldat 1, Kurt Mikulski: Soldat 2, Serag Monierarabischer Händler in Damaskus Moni, Angelo Ferrari: Offizier der arabischen Armee, Willi Rose: Waitz, Peter C. Leska: Verwundeter Soldat in Garat, Herbert Sennewald, Louis Melotte, Edward Melotte",,,,"Lothar Philipp August Mayring, Philipp Lothar Othello Mayring, Jacob Geis",,,Otto Lehmann,,"Oskar Schnirch, Paul Rischke",,Filmkostümhaus Willi Ernst (Berlin),,,,Willy Schmidt-Gentner,,,,Terra-Filmkunst Gmb: H (Berlin) (Herstellungsgruppe Otto Lehmann),,,Gustav Ucicky,Arnfried Heyne,,Gertrud Hinz,,Hans Natge,,Walter Rühland,Herbert Tjadens (Manuskript),,"2809 m, 103 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Die barmherzige Lüge,https://www.filmportal.de/film/die-barmherzige-luege_f0b7985ca3a1433686ae70e5e35ac5e8,Spielfilm,1939,Deutschland,"Max Paetz, Fritz Brix",,"Erich Czerwonski, Karl Böhm (Assistenz)",,"Hilde Krahl: Anja Hoster, Elisabeth Flickenschildt: Anjas Tante Vera, Ernst von Klipstein: Dr. Thomas Clausen, Lieselott Klingler: Thomas' Frau Maria, Heinrich Schroth: Reeder Berthold Clausen, Agnes Windeck: Thomas' Mutter Margarete, Otto Gebühr: Dr. Henrici, Paul Dahlke: Mongolischer Pelzhändler Jean Goban, Gertrud Meyen: Sekretärin Gerda Biehler, Jaspar von Oertzen: Bertholds Neffe Felix, Olga Limburg: Felix' Mutter  	Emilie Wallner, Ernst-Albert Schaah: Diener Robert, Ekkehard Stibbe: Anjas Sohn Thomas, Lucie Euler: Kinderfrau bei Anja, Nien Sön Ling: Mongolischer Diener Veras, Thea Zien: Barmädchen Olga, Max Paetz: Mongole in Hosters Hotel, Eugen von Bongardt: Polizeioffizier, Franz Arzdorf1. Kriminalkommissar, Georg A. Profé2. Kriminalkommissar, Charly Berger1. Kriminalbeamte, Albert Probeck2. Kriminalbeamte, Erik Radolf: Kriminalrat, Eduard von Winterstein: Professor Neumann, Willy Meyer-Sanden: Rechtsanwalt Dr. Fischer, Ilse Trautschold: Mädchen bei Reeder Clausen, Fred Goebel: Chauffeur bei Reeder Clausen, Conrad Curt Cappi: Empfang im Krankenhaus, Hans Waschatko: Deutscher Konsul in Fernost, Else Lüders1. Bridgepartnerin von Frau Wallner, Elsa Valery2. Bridgepartnerin von Frau Wallner",,,,"Curt J. Braun, Werner Klingler, Günther Kulemeyer",,"Fritz Pietsch, Paula Hettwer",,,Karl Puth,,"Salon Este, Hübinger & Guhle (Tropenausrüstung)",,,,Hans Carste,,,,Euphono-Film Gmb: H (Berlin),Erich Palme,Erich Palme,Werner Klingler,,,Ella Ensink,,Karl Lindner,,Eugen Hrich,,Tobis-Filmkunst Gmb: H (Berlin),"2485 m, 91 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Befreite Hände,https://www.filmportal.de/film/befreite-haende_8821a109c81944eb9cac7928e2beec37,Spielfilm,1939,Deutschland,"Willy Laschinsky, Theo Kaspar",,"Ludwig Reiber, Willi Depenau",,"Brigitte Horney: Schafhirtin Dürthen, Olga Tschechowa: Kunstgewerblerin Kerstin Thomas, Ewald Balser: Bildhauer Professor Wolfram, Carl Raddatz: Graf Joachim von Erken, Eduard von Winterstein: Joachims Vater, Luise Hohorst: Tante Mathilde, Joachim Pfaff: Dürthens Sohn Jens, Paul Dahlke: Gutsverwalter Thomsen, Franz Weber: Diener Bergh, Otto Brefin: Pastor, Erna Sellmer: Pastorin, Erika Helmke: Kerstins Angestellte Carla, Vera Hartegg: Malerin Josefa, Hedwig Wangel: Frau Steinmann, Albert Lippert: Kunsthändler van Daalen, Alfred Maack: Postmeister / Wirt der Schänke, Georg Schmieter: Schlachter Harms, Ernst Joachim Schlieper: Vorarbeiter Leuthold, Herbert Knoll: Berliner Portier",,,,"Erich Ebermayer, Kurt Heuser",,,Curt Prickler,,"Carl Hoffmann (Kamera-Leitung), Heinz Schnackertz","Paul Grupp, Julius Kühn",Ruth Wagner,Carl Hoffmann,,,"Ludwig van Beethoven (5. Symphonie), Lothar Brühne",Hans Schmidt-Isserstedt,,,Bavaria Filmkunst Gmb: H (München-Geiselgasteig),,,Hans Schweikart,Werner Jacobs,,Johanna Schmidt,,Josef M. Rubner,,Carl Becker,Erich Ebermayer (Roman),,"6 Akte, 2703 m, 99 min","35mm, 1:1,37","s/w, Tobis-Klangfilm","Erstaufführung (DE): 20.12.1939, München, Luitpold-Theater",
Bel Ami. Der Liebling schöner Frauen,https://www.filmportal.de/film/bel-ami-der-liebling-schoener-frauen_f56c38d23d6b430897cc8b74222b1517,Spielfilm,1939,Deutschland,Joseph Aschenbrenner,,"Werner Schlichting, Kurt Herlth",,"Willi Forst: Georges Duroy, Olga Tschechowa: Madeleine, Johannes Riemann: Laroche, Ilse Werner: Suzanne, Hilde Hildebrand: Frau von Marelle, Will Dohm: Journalist Forestier, Lizzi Waldmüller: Rachel, Marianne Stanior: Grisette, Aribert Wäscher: Zeitungsverleger Walter, Hubert von Meyerinck: Redakteur Varenne, Hans Stiebner: Grundstücksmakler Stranoff, Erich Dunskus: Maschinenmeister, Walter Gross: Stenotypist, Tatjana Sais: Duroys Tischdame, Rosita Serrano: Sängerin, Lotte Spira: Walters Tischdame, Ewald Wenck: Standesbeamter",,,,"Willi Forst, Axel Eggebrecht",,,Herbert Engelsing,,"Ted Pahle, Erich Rudolf Schmidtke",,,,Hans Fritz Beckmann,,Theo Mackeben,,Theo Mackeben,,Deutsche Forst-Film-Produktion Gmb: H (Berlin),Hans L. Somborn,,Willi Forst,Viktor Becker,,Hans Wolff,,,,Erich Lange,,,,,,,
Brand im Ozean,https://www.filmportal.de/film/brand-im-ozean_2753d0d8dbbd4a848bba820405a3e4ab,Spielfilm,1939,Deutschland,"Fritz Brix, Conny Carstennsen, Willy Melas",,"Carl Ludwig Kirmse, Wilhelm Vorwerg",,"Hans Söhnker: Nick Dorland, René Deltgen: Tom Finberg, Winnie Markus: Pedros Nichte Juana, Alexander Engel: Käpt'n Gold, Michael Bohnen: Mc: Gown, Chef der ""Caribbian Oil Company"", Rudolf Fernau: Pedro de Alvarado, sein Partner, Juanas Onkel, Hans-Joachim Büttner: Ingenieur Wilmsen, Wolfgang Staudte: Monteur Ronny, Walter Bluhm: Sekretär Parker, Karl Platen: Pueblo, Diener auf der Hazienda, James Bachert: Beppo, Gustav Mahncke: Bergungsdampferkapitän Barley, Katja Bennefeld: Bardame, Fred Becker: Tänzer, Ferdinand Classen: Chinese im Camp, Ursula Deinert: Tänzerin, Alfred Haase: Wirt, Teddy Wulff: Gaucho auf der Hazienda, Kurt Mikulski1. Arbeiter der ""Caribbian Oil Company"", Egon Stief2. Arbeiter der ""Caribbian Oil Company"", Walter Flamm1. Arbeiter au der Ölprahm, Walter Ringewald2. Arbeiter au der Ölprahm, Männe Weichert3. Arbeiter au der Ölprahm, Evelyn Bernhardt: Junge Frau auf dem Markt, Louis Brody, José Schulte, Marion Bartens",,,,"Richard Billinger, Werner Eplinius",,"Maria Kühr, Willi Schlick, Senta Schlick",Ernst Krüger,Werner P. Zibaso,Ekkehard Kyrath,"Willi Kuhle, Ernst W. Kalinke",Elfriede Gampe (Kostüm-Beratung),,,"Alma Timm, Richard Timm, Karl Hanoszek, Georg Brabec",Lothar Brühne,,,,Terra-Filmkunst Gmb: H (Berlin) (Herstellungsgruppe Dr. Ernst Krüger),,,Günther Rittau,Wolfgang Frank,,Wolfgang Wehrum,,Georg Kügler,,Walter Rühland,,,"2617 m, 96 min","35mm, 1:1,37","s/w, Tobis-Klangfilm","Uraufführung (DE): 19.12.1939, Bremen",
La cancion de aixa,https://www.filmportal.de/film/la-cancion-de-aixa_342387cba0ac48de8681127b0ad8631f,Spielfilm,1939,Spanien/Deutschland,,,"Gustav A. Knauer, Alexander Mügge",,"Pedro Barreto, Imperio Argentina, Anselmo Fernández",Florián Rey,,,,,,,,"Karl Puth, Hans Scheib",,,,,,,,Werner Eisbrenner,,Hispano Film Produktion Johann W.Ther (Berlin),,,Florián Rey,,,Willy Zeyn jun.,,,,,,,96 min,"35mm, 1:1,33","s/w, Mono",Uraufführung (ES): 01.05.1935,
D III 88,https://www.filmportal.de/film/d-iii-88_0adb570a747940abaf37ba7714f035a4,Spielfilm,1939,Deutschland,,,"Otto Moldenhauer, Bruno Lutz",,"Christian Kayßler: Oberstleutnant Mithoff, Otto Wernicke: Bonicke, Oberwerkmeister, Heinz Welzel: Obergefreiter Fritz Paulsen, Hermann Braun: Obergefreiter Robert Eckhard, Horst Birr: Flieger Hasinger, Monteur, Adolf Fischer: Gefreiter Zeissler, Monteur, Fritz Eberth: Funker Lindner, Karl Martell: Leutnant Ludwig Becker, Jagdflieger 1918, Paul Otto: General, Carsta Löck: Lina, Bauernmagd, Paul Bildt: Stabsarzt, Hans Bernuth: Flieger, Ernst Dernburg: Admiral, Erich Dunskus: Bauer nach der Notlandung, Heinz Engelmann: Leutnant Frank, Ilse Fürstenberg: Bäuerin nach der Notlandung, Malte Jäger1. Funker, Ferry Reich2. Funker, Josef Kamper: Bauernknecht, Hilde Land: Kantinenwirtin, Günther Markert: Marineoffizier, Hans Meyer-Hanno: Kantinenwirt, Egon Vogel: Sanitäter, Eduard von Winterstein: Landarzt, Wolfgang Staudte: Marineoffizier, Walter Gross: Funker, Theo Brandt: Fliegeroffizier",,,,"Hans Bertram, Wolf Neumeister",,,,,"Georg Krause, Heinz von Jaworsky (Luftaufnahmen)",,,,,,Robert Küssel,,,,Tobis-Filmkunst Gmb: H (Berlin),,,"Herbert Maisch, Hans Bertram (Flugaufnahmen)",Wolf-Dietrich Friese,,Carl Otto Bartning,,,,Erich Lange,,,,,,"Uraufführung: 26.10.1939, Stralsund",
