Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
"25 Jahre ""Chemische""",https://www.filmportal.de/film/25-jahre-chemische_377dd4d7cfa5482b9bc3ff91de17d9d1,Spielfilm,1934,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abenteuer eines jungen Herrn in Polen,https://www.filmportal.de/film/abenteuer-eines-jungen-herrn-in-polen_1cc4c6114ccf478780a752d71d4f7e2a,Spielfilm,1934,Deutschland,,,"Gustav A. Knauer, Alexander Mügge",,"Gustav Fröhlichvon Keller, Leutnant der K.u.K. österr. Armee, Olga Tschechowa: Gräfin Lubenska, Maria Andergast: Vera, Erika Streithorst: Claire, Otto Tressler: Graf Lubinski, Ernst Stahl-Nachbaur: Oberst von Keller der k.u.k. österr. Armee, Harry Hardt: Stroganoff, Rittmeister, Armin Schweizer: Hartlieb, Hans Richter: Fritz, Walther Jung: General der russischen Armee, Ernst Dumcke: Oberst der rusischen Armee, Friedrich GnaßGefangener, Erich Bartels, Angelo Ferrari, Bernhard Goetzke, Heinz B. Klockow, Anton Krilla, Kurt Mikulski, Rio Nobile, Walter Steinweg",,,,"Hans Martin Cremer, Tr. Georg Wittuhn",,,,,"Reimar Kuntze, Albert Benitz",,,,,,"Eduard Künneke, Franz Marszalek",,,,Itala-Film Gmb: H (Berlin),Alfred Greven,Alberto Giacalone,Gustav Fröhlich,Rudolf van der Noss,,Carl Otto Bartning,,Karl Ewald,,,,,,,,,
Abenteuer im Südexpreß,https://www.filmportal.de/film/abenteuer-im-suedexpress_43dc5ddf6f0d4b169399a2bdebbc47f4,Spielfilm,1934,Deutschland,,,,,"Charlotte Susa: Lisa von Hellwitz, Karl Ludwig Diehl: Hans Lenzfeld, Ralph Arthur Roberts: Prinz Tarnoff, Richard Romanowsky: Prof. Eberhard Degenfeld, Paul Heidemann: Schnäbeli,, Otto Kronburger: Diener des Prinzen, Hans Richter: Max, Baby Gray: Sängerin, Annemarie Schwindt, Hans Stiebner, Michael von Newlinski, Wolfgang von Schwindt, Charly Berger, Elli Blank, Walter Dysing, Angelo Ferrari, Trude Haefelin, Carola Höhn, Fred Immler, Maria Loja",,,,Ernst Marischka,,,,,Carl Drews,,,Robert Neppach,,,Robert Stolz,,Rudolf Perak,,"R. N.-Filmproduktion Gmb: H, Robert Neppach (Berlin)",Adolf Essek,,Erich Waschneck,,,Friedel Buckow,,,,Erich Lange,,,,"35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Abschiedswalzer. Zwei Frauen um Chopin,https://www.filmportal.de/film/abschiedswalzer-zwei-frauen-um-chopin_01a57334585441b7af35c080454aa79f,Spielfilm,1934,Deutschland,,,"Emil Hasler, Artur Schwarz",,"Wolfgang Liebeneiner: Frédéric Chopin, Richard Romanowsky: Professor Elsner, Hanna Waag: Constantia Gladkowska, Julia Serda: Frau Gladkowska, ihre Mutter, Sybille Schmitz: George Sand, Hans Schlenck: Franz Liszt, Gustav Waldau: Friedrich Kalkbrenner, Paul Henckels: Ignaz Pleyel, Albert Hörrmann: Alfred de Musset, Erna Morena: Herzogin von Orléans, Margarethe Schön: Frau Mercier, Herbert Dirmoser: Titus, Fritz Odemar: Grabowsky, Kaufmann, Walter Gross: Kellner, Veit Harlan, Maria Hofen, Karl Morvilius, Claire Reigbert, Josef Reithofer, Michael von Newlinski, Hans Schulz, Otto Stoeckel",,,,Ernst Marischka,,"Franz Lübeck, Helene Hübele, Hans Kothe",,,Werner Brandes,,,,Ernst Marischka,"Oskar Georgi, Willi Grabow",Alois Melichar,,Alois Melichar,Frédéric Chopin,Boston-Films Company mb: H (Berlin),Eduard Kubat,Fritz Fromm,Géza von Bolváry,Walther von Ostmann,"Eduard Brenner, Heinz Hegel",Hermann Haller,,Rudolf Brix,,Erich Lange,Frédéric Chopin,,,,,,
Achtung! Wer kennt diese Frau?,https://www.filmportal.de/film/achtung-wer-kennt-diese-frau_f44d87a241514ad3be316561edf51bc1,Spielfilm,1934,Deutschland,,,Max Seefelder,,"Helmuth Renar: Graf Geza von Teröcky, Hilde von Stolz: Komtesse Ilona von Teröcky, Max Weydner: Karol Meszaros, Schloßverwalter, Emil Höfer: Stephan Kovazs, Schloßkastellan, Helma Rückert: Marischka, seine Frau, Mathias Wieman: Artur von Vabro, Werner Fuetterer: Walter von Molnar, Forstassistent, Otto Wernicke: Thomas Burger, Kurt Holm: Lajos, Kammerdiener, Friedrich GnaßCarlo Fiori, Hanns-Fritz Gerhard, Walter Holten",,,,"Joseph Dalmann, Joe Stöckel",,"Hermann Dor, Dorothea Saumweber",,,Franz Koch,Josef Illig,,,,Heinrich Beckmann,,,,,Bavaria Film AG (München-Geiselgasteig),Franz Seitz Sr.,,Franz Seitz Sr.,,,Max Michel,,Rudolf Reißner,,Karl-Albert Keller,,,,,,,
Alles hört auf mein Kommando,https://www.filmportal.de/film/alles-hoert-auf-mein-kommando_5b5b77ad53bd4c76b762b16b88e43c8f,Spielfilm,1934,Deutschland,"Heinz Landsmann, Heinz Sander",,"Gustav A. Knauer, Alexander Mügge",Heinz Lingen,"Marianne Hoppe: Hella Bergson, Wolfgang Liebeneiner: Erich Neuber, Adele Sandrock: Theaterdirektorin Pauline Neuber, Georg Alexander: Zeitungsverleger Peter Bergson, Hedda Björnson: Betty Tompson, Henry Lorenzen: Bobby Merker, Aulikki Rautavaara: Liane Lenz, Otto Albrecht: Georg Horst, Gertrud Wolle: Frau Piesemeier, Wilhelm Bendow: Herr Balke, Emmy Wyda: Frau Balke, Hans Hermann SchaufußHerr Willig, Heinz Berghaus: Herr Sonntag, Alfred Stein: Herr Kaluweit, Wolfgang von Schwindt: Sänger, Gustav Püttjer: Kellner, Eduard Bornträger: Pianist, Hansi Dege, Josef Eschenbrücher, Erika Grammon, Karl Harbacher, Inge Kadon, Louise Morland, Kurt Max Richter",,,,"Walter F. Fichelscher, Georg Zoch",,,,Ernst Degener,Ewald Daub,,,,,,Walter Meißner,,Otto Dobrindt,,ABC-Film Gmb: H (Berlin),Martin Pichert,"Walter von Ercert, Kurt Peters",Georg Zoch,,,Lothar Buhle,,,,Martin Müller,,,"8 Akte, 2423 m, 88 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",,"Zensur (DE): 17.12.1934, B.38118, Jugendfrei"
Alte Kameraden,https://www.filmportal.de/film/alte-kameraden_ba05b5c4b9224c78a7fccf3b4159bd3c,Spielfilm,1934,Deutschland,,,"Walter Reimann, Bernhard Schwidewski",,"Ralph Arthur Roberts: Freiherr von Achim, Hans Adalbert Schlettow: Wilhelm Markgraf, Fita Benkhoff: Liselotte Klarerdag, Eduard Wesener: Henner Markgraf, Charlott Daudert: Maruschka, Leopold von Ledebur: Schmitt, Paul Beckers: Andreas Schlagiatweit, Paul Henckels: Johann Röttgen, Vilma Bekendorf: Else, Ida Perry: Frau von Utenbruch, Harry Gondi: Egon Osterheld, Walter Gross: Otto Giesenbrecht, Hansi Dege: Franziska, Ernst Behmer: Steuerbeamter",,,,Willy Achsel,,,,,Georg Bruckbauer,,,,,,Hans Carste,,Lewis Ruth,,Aco-Film Gmb: H (Berlin),,,Fred Sauer,,,René Métain,,,,Bruno Suckau,Rudolf Herzog (Roman),,,"35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Das alte Recht,https://www.filmportal.de/film/das-alte-recht_e42476c3c53f461fb1a60339083a7ddc,Spielfilm,1934,Deutschland,,,Franz Schroedter,,"Edith Linn: Resl Waldbaur, Bernhard Goetzke: Johann Ruseler, Bauer, Hans Kettler: Georg, sein Sohn, Fritz Hoopts: Kapitän Freese, Hans Rastede: Tjark, sein Sohn, Agnes Diers: Gesine, die oldenburgische Großbauerntochter",,,,"Igo Martin-Andersen, Armin Petersen",,,,,Georg Krause,,,,,,Wolfgang Zeller,,,,Andersen-Film-Produktion (Berlin),,Igo Martin-Andersen,Igo Martin-Andersen,,,"Igo Martin-Andersen, Franz Schröder",,Ewald Sudrow,,Hans Rütten,,,,,,,
L'Amour en cage,https://www.filmportal.de/film/lamour-en-cage_243edb0d789749918851b68d633d7dc9,Spielfilm,1934,Deutschland/Frankreich,,,Benno von Arent,,"Anny Ondrabaronne de Réze / Anny, René Lefèvre: Charles, André Berleymaître Poincinet, Georges Saillardcommissaire de police, Raymond Rognonidirecteur de la prison, Jane Lugangardienne de prison, Roger Legrispilote, Paul Forgetmaître d'hôtel, Pierre Lugan: Ernest",Jacques Natanson,,,"Peter Ort, Hans H. Zerlett, Henry Kosterlitz",,,,,"Otto Heller, Otto Martini",,,,Jean Nohain,,"Leo Leux (Lied ""Kleines Fäulein"")",,Leo Leux,,"Ondra-Lamac-Film Gmb: H (Berlin), Sol Film S.I.C. (Paris)",Robert Leistenschneider,"Anny Ondra, Carl Lamač, Arthur Hohenberg","Jean de Limur, Carl Lamač",Michel Boudet,,Ella Ensink,,,,Friedrich Wilhelm Dustmann,,,80 min,"35mm, 1:1.33","s/w, Tobis-Klangfilm",,
Annette im Paradies,https://www.filmportal.de/film/annette-im-paradies_444fc3988192490a95c528cec5de05d3,Spielfilm,1934,Deutschland/Tschechoslowakei,,,Stepán Kopecký,,"Ursula Grabley: Annette Karstens, Hans Söhnker: Hans Siebert, Filialleiter, Ida Wüst: Tante Olga, Max Gülstorff: Direktor Bertuch, Oscar Sabo: Papa Stelzke, Geschäftsportier, Jessie Vihrog: Trude, seine Tochter, Hans Joachim SchaufußMaxe",,,,"Georg C. Klaren, Friedrich Walther",,,,,Otto Heller,,,,"Günther Schwenn, Peter Schaeffers, Charles Amberg",,Will Meisel,,Fritz Domina,,"Georg Witt-Film Gmb: H (Berlin), Wolfram-Film, Ernst Kobosil (Prag + Aussig)",,"Georg Witt, Ernst Kobosil",Max Obal,,,Munni Obal,,,,Bedřich Poledník,,,,,,,
