Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Aufforderung zum Tanz,https://www.filmportal.de/film/aufforderung-zum-tanz_aab81d141967414ca3633843d06f8494,Spielfilm,1934,Deutschland,,,,,,,,,Hans Martin Cremer,,,,,Ewald Daub,,,,Edith Hamann,,,,"Franz Grothe, Kurt Stiebitz",Carl Maria Weber (Kompositionen),,,,Rudolf van der Noss,,,,,,,,Carl Maria Weber (Kompositionen),,,,,,
"Badinga, der König der Gorillas",https://www.filmportal.de/film/badinga-der-koenig-der-gorillas_3359b0302d63450e9d6a49a02fea0cac,Spielfilm,1934,Deutschland,,,,,,,,,"Hermann Freyberg, Arnold Fanck",,,,,"Kurt Neubert, Werner Hundhausen",,,,,,Hermann Windt (vorgesehen),,,,,,,Hermann Freyberg,,,,,,,,,,,"35mm, 1:1.33",,,
Die Bande vom Hoheneck,https://www.filmportal.de/film/die-bande-vom-hoheneck_8858718b639b4297821fcc32e2ce0cd7,Spielfilm,1934,Deutschland,,,,,"Wolfgang Staudte: Wulff, Anne-Marie Braun: Hanni, Achim Schmidt: Hannes, Adolf Fischer: Frutz Seifert, Erwin Nic: Karl Krause",,,,Hans F. Wilhelm,,,,,Werner Brandes,,,,,,Hans Ailbout,,,,Czerny-Produktion Gmb: H (Berlin),,Ludwig Czerny (Gesamtleitung),Hans F. Wilhelm,,,Heinz Haber,,,,"Carlheinz Becker, Emil Specht",,,,,,,
Bei der blonden Kathrein,https://www.filmportal.de/film/bei-der-blonden-kathrein_55182f6905064720bf94c25a1edd9cb9,Spielfilm,1934,Deutschland,,,Max Seefelder,,"Liane Haid: Kathrein Hohenadel, Wirtin zur ""Goldenen Gans"", Thea Aichbichler: Minna Fromm, ihre Tante, Fred Hennings: Stefan Birkmeier, Kellermeister in der ""Goldenen Gans"", Joe Stöckel: Valentin Ruhland, genannt Krambambuli, Apotheker, Margarete Kupfer: Konstanze Ruhland, seine Frau, Rolf von Goth: Leopold Ruhland, Korpsstudent, ihr Sohn, Philipp Weichand: Knöpflein, Korpsdiener, Gustl Stark-Gstettenbaur: Kellerjunge in der ""Goldenen Gans"", Walter Lantzsch: Professor, Josef Eichheim: Notar",,,,"Joseph Dalmann, Joe Stöckel",,"Hermann Dor, Dorothea Saumweber",,,Franz Koch,Josef Illig,,,Peter Kringel,Heinrich Beckmann,Leo Leux,,,,Bavaria Film AG (München-Geiselgasteig),Franz Seitz Sr.,,Franz Seitz Sr.,,,Ella Ensink,,Rudolf Reißner,,Karl-Albert Keller,,,"2309 m (2312 m vor Zensur), 84 min","35mm, 1:1.33","s/w, Tobis-Klangfilm",,
Die beiden Seehunde,https://www.filmportal.de/film/die-beiden-seehunde_d6ebf2d7b9fb4d41acfee0d5dacbd967,Spielfilm,1934,Deutschland,Gustav Lorenz,,"Otto Moldenhauer, Kurt Dürnhöfer",Egon Molkow,"Weiß-Ferdl: Kurfürst Christian XVII. / Dienstmann Anton Heßdörfer, Fita Benkhoff: Thekla Heßdörfer, Baby Gray: Tochter Käte Heßdörfer, Harry Gondi: Erbprinz Johannes, Walter Steinbeck: Hofmarschall Graf Berka, Hadrian Maria Netto: Intendant Baron Presch, Franz Stein: Finanzminister Dr. Spärlich, Georgia Lind: Primaballerina Eva Blancetti, Paul Westermeier: Kommerzienrat Oberauer, Else Lüders: Frau Kommerzienrat Oberauer, Franz Weber: Leibkammerdiener Hasselwander, Walter Gross: Brunneninspektor Fritz Wennig, Gerhard Bienert: Händler Friese, Wilhelm Bendow: Polizeikommissar, Albert Hörrmann: Polizeiuntersekretär, Dodo van Doeren: Frau Kleinsucher, Katja Bennefeld, Walter Lieck, Erich Fiedler, Willy Mendau, Josef Reithofer, Arthur Reppert, Beppo Seidler, Carlo Wydey",,,,Reinhold Meißner,,Marie-Luise Arndt,,,Georg Krause,Ewald Sudrow,,,Georg Hurdalek,"Friedrich Havenstein, Walter Pantzer",Walter Ulfig,,Walter Ulfig,,Euphono-Film Gmb: H (Berlin),Franz Vogel,Franz Vogel,Fred Sauer,Wilhelm Schulze-Breiden,Otto Krüerke,Erich Palme,,Reinhold Draber,,Erich Lange,"Carl Rössler (Bühnenstück ""Die beiden Seehunde"")",,,"35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Besuch am Abend,https://www.filmportal.de/film/besuch-am-abend_5c723de2629d4c0794358e7fbfee39d5,Spielfilm,1934,Deutschland,,,"Gustav A. Knauer, Alexander Mügge",,"Liane Haid: Lydia, Tänzerin, Harald Paulsen: Bobby, ihr Tanzpartner und Chansonnier, Paul Hörbiger: Karl Maria Fernebeck, Prokurist, Jakob Tiedtke: Alois Berger, Firmeninhaber, Elfriede Jerra: Sabine, seine Tochter, Erika Glässner: Frau Lukesch, Fernebecks Hauhälterin, Carl Günther: Bruno, Fernebecks Freund, Gustl Stark-Gstettenbaur: Bürobote, Lieselotte Ebel: Karola, Tänzerin, Katja Bennefeld, Else Bötticher, Maja Feist, Walter Gross, Liselotte Hessler, Henriette Steinmann, Hella Tornegg, Elsa Wagner, Josef Zampa",,,,"Bobby E. Lüthge, Georg C. Klaren",,,,,Robert Baberske,,,,"Rudolf Perak, Charles Amberg",,Willy Engel-Berger,,Rudolf Perak,,Patria-Filmproduktions- und Vertriebs Gmb: H (Berlin),Ernst Garden,Hans Geishauer,Georg Jacoby,,Max Klar,Alice Ludwig,,Fritz Vopel,,Carlheinz Becker,,,,,,,
Blutsbrüder. Bosnische Symphonie,https://www.filmportal.de/film/blutsbrueder-bosnische-symphonie_d934bd3a52854f67a32d1267f63d8658,Spielfilm,1934,Deutschland,,,,,"Brigitte Horney, Carl Esmond, Attila Hörbiger, Willi Schur, Friedrich Gnaß, Sophie Otto, Anna von Palen, Erna Heinrich, Josef Reithofer, Hermann Mayer-Falkow",,,,"Franz Tanzler, J. A. Hübler-Kahla",,,,,"Georg Muschner, Paul Rischke",,,,,,Willy Schmidt-Gentner,,,,,,,J. A. Hübler-Kahla,,,,,,,,,,,,,,
Le chanson de l'adieu,https://www.filmportal.de/film/le-chanson-de-ladieu_4f706a3d936c4e86bceeac82c269716c,Spielfilm,1934,Deutschland/Frankreich,,,"Emil Hasler, Artur Schwarz",,"Janine Crispin: Constantia Glodkowska, Jean Servais: Chopin, Lucienne Lemarchand: George Sand, Marcel AndréKalbrenner, Daniel Lecourtois: Liszt, Marcel Vallée: Josef Elsner, Catherine Fonteney, Erna Morena, Christiane Dor, Jean Fay, Paul Asselin, Marc Falbel, Pierre Sergeol",Jacques Natanson,,,Ernst Marischka,,"Franz Lübeck, Helene Hübele, Hans Kothe",,,Werner Brandes,,,,,"Oskar Georgi, Willi Grabow",Alois Melichar,,Alois Melichar,"Frédéric Chopin (Kompositionen), Wolfgang Amadeus Mozart (Kompositionen)","Société des Films Sonores Tobis (Paris), Boston-Films Company mb: H (Berlin)",Eduard Kubat,Fritz Fromm,"Géza von Bolváry, Albert Valentin",Walther von Ostmann,"Eduard Brenner, Heinz Hegel",,,Rudolf Brix,,Erich Lange,"Frédéric Chopin (Kompositionen), Wolfgang Amadeus Mozart (Kompositionen)",,,,,,
Charleys Tante,https://www.filmportal.de/film/charleys-tante_9f4101d6219b405e9959bdd0db4e36da,Spielfilm,1934,Deutschland,,,Franz Schroedter,,"Fritz Rasp: Lord Babberley, Paul Kemp: Fancourt Babberley, sein Sohn, genannt Babbs, Max Gülstorff: Colonel Sir Francis Chesney, Baronet, Albert Lieven: Jack, Chasneys Sohn, Student in Oxford, Erik Ode: Charley Wykeham, Student in Oxford, Paul Henckels: Stephan Spettik, Advokat, Jessie Vihrog: Amy, Spettiks Nichte, Carola Höhn: Kitty, Spettiks Nichte, Ida Wüst: Donna Lucia d'Alvadorez, Vilma Bekendorf: Ela Delahay, ihre Sekretärin, Fita Benkhoff: Mary Fin, Haushälterin bei Spettik, Fritz Odemar: Bressett, Diener bei Jack und Charley, Ernst Legal: Nelson, Gastwirt, Ernst Nessler: Aristophan, Diener bei Lord Babberley, Charlotte Berlow: Miss Bedford, Gesangslehrerin, Henry Pauly: Der Lehrling Smith, Rudolf Platte: Shipmaker, Inhaber eines Hafenbazars",,,,Robert A. Stemmle,,,,,Carl Drews,,,,,,Harald Böhmelt,,,,Minerva-Tonfilm Gmb: H (Berlin),,,Robert A. Stemmle,,,,,,,Carlheinz Becker,"Brandon Thomas (Bühnenstück ""Charley's Aunt"")",,"2503 m, 91 min","35mm, 1:1.33","s/w, Tobis-Klangfilm",,
La crise est finie,https://www.filmportal.de/film/la-crise-est-finie_118dcf4a7a1040ecb75b5d8be874d0ef,Spielfilm,1934,Deutschland,,,,,Ilse Nast,,,,"Friedrich Kohner, Max Kolpé, Jacques Constant",,,,,Eugen Schüfftan,,,,,,"Franz Wachsmann, Jean Lenoir",,,,Nero-Film AG (Berlin),,,Robert Siodmak,,,,,,,,"Kurt Siodmak (Roman), Friedrich Kohner (Roman)",Paramount France (Paris),"2112 m, 77 min","35mm, 1:1,37","s/w, Ton",,
Die Czardasfürstin,https://www.filmportal.de/film/die-czardasfuerstin_2e3e27378b9c4dc49e3516e0acc10765,Spielfilm,1934,Deutschland,Eduard Kubat,,"Robert Herlth, Walter Röhrig",,"Marta Eggerth: Sylva Varescu, Hans Söhnker: Edwin Prinz Weylersheim, Paul Hörbiger: Feri von Kerekes, Paul Kemp: Graf Boni Kancsianu, Ida Wüst: Fürstin Weylersheim, Inge List: Komtesse Stasi von Planitz, Friedrich Ulmer: Fürst Weylersheim, Hans Junkermann: Kommandeur, Edwin Jürgensen: Amerikanischer Manager, Andor Heltai: Zigeunerprimas, Ilse Fürstenberg1. Mädel vom Chantant, Marina von Ditmar2. Mädel vom Chantant, Charlott Daudert3. Mädel vom Chantant, Hedi Höpfner4. Mädel vom Chantant, Margot Höpfner5. Mädel vom Chantant, Karin Lüsebrink6. Mädel vom Chantant, Liselotte Hessler7. Mädel vom Chantant, Olga Engl: Garderobiere, Josef Karma, Toni Bonsch, Otto Sauter-Sarto, Carl Walther Meyer, Hermann Mayer-Falkow",,,,"Hans H. Zerlett, Bobby E. Lüthge, Georg Jacoby",,"Fritz Schilling, Eduard Weinert",,,Carl Hoffmann,Günther Anders,,,"Béla Jenbach, Leo Stein",Waldemar Jabs,"Emmerich Kálmán, Hans-Otto Borgmann",,"Theo Mackeben, Hans-Otto Borgmann (Orchester)",,Universum-Film AG (UFA) (Berlin) (Herstellungsgruppe Max Pfeiffer),Max Pfeiffer,,Georg Jacoby,Herbert B. Fredersdorf,"Emil Freude, Arthur Schwandt",Herbert B. Fredersdorf,,Willi Klitzke,,Carlheinz Becker,"Emmerich Kálmán (Operette), Béla Jenbach (Libretto), Leo Stein (Libretto)",,"10 Akte, 2793 m, 102 min","35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Da stimmt was nicht,https://www.filmportal.de/film/da-stimmt-was-nicht_b9c63d72cbec474ca493bf40bf2e2639,Spielfilm,1934,Deutschland,,,"Erich Czerwonski, Karl Böhm",,"Viktor de Kowa: Baron Albrecht von Weiningen, Adele Sandrock: Baronin von Weiningen, seine Tante, Ralph Arthur Roberts: Kommerzienrat Winkler, Lizzi Holzschuh: Hanna, seine Tochter, Kurt Mühlhardt: Direktor Claasen, Elga Brink: Daisy seine Frau, Paul Heidemann: Anton Pieseke, Hans-Joachim Büttner: Chauffeur Müller, Charlott Daudert: Anny, Stubenmädchen, Hans Nerking: Kriminalkommissar Fürstle, Willy Schaeffers: Hotelgast, Hans Albin, Flora Berthold, Rudolf Biebrach, Ilse von Collani, Blandine Ebinger, Ruth Eweler, Charlotte Haase, Karl Harbacher, Kurt Höllger, Kurt Keller-Nebri, Michael von Newlinski, Gustav Püttjer, Dolly Raphael, Lore von Schenk, Bruno Ziener",,,,Hans H. Zerlett,,"Margarete Sucrow, Johannes Krämer",,,Bruno Mondi,Ernst W. Fiedler,,,Hans H. Zerlett,"Adolf Braun, Willi Grabow",Eduard Künneke,,Franz Marszalek,,Victor Klein-Film Gmb: H (Berlin),Martin Pichert,Viktor Klein,Hans H. Zerlett,Wolfgang Loë-Bagier,"Otto Krüerke, Ernst Thege, Ernst Wassermann",Else Baum,,Karl Lindner,,Erich Lange,,,,,,,
La dernière valse,https://www.filmportal.de/film/la-derniere-valse_42ed733aae474746bfdfb08a7234cfed,Spielfilm,1934,Deutschland/Großbritannien,,,"Emil Hasler, Robert Gys",,"Jarmila Novotnacomtesse Vera-Elisabetha Opalinsky, Jean Martinelli: Comte Dmitri, Josephine Huntley Wright: Babouchka, Armand Bernardvieux général, Gerald Barry: Prince Paul, Charlotte Lysès, Marthe Mellot, Nora Souane, Betty Huntley Wright, Robert Goupil, Paul Sheridan, Pierre Piérade, Gautier Sylla, Robert Guillon",Paul Schiller,,,Reginald Arkell,,,,,Carl Drews,,,,,,Oscar Straus (unter Verwendung eigener Kompositionen),,Paul Hühn,,"Gnom-Tonfilm Gmb: H (Berlin), Warwick Films Ltd. (London)","Hans Wolf, Hans Nerking, Jean Legrand",Jacob Brodsky,Leo Mittler,Hanns Theo Grust,,,,,,Carl Becker,,,90 min,"35mm, 1:1.33",,,
Le diable en bouteille,https://www.filmportal.de/film/le-diable-en-bouteille_1b4b45d2a58c4ea988c03a9e696953f6,Spielfilm,1934,Deutschland,,,Otto Hunte,,"Käthe von Nagy, Pierre Blanchar: Keave, Gina Manès: Rubby, Paul Azaïs: Lopaka, Gabriel Gabrio: Mounier, Roger Karlle marchand, Marguerite de Morlayela comtesse, Suzy Pierson: Bertie, la femme la chambre, Maryanne, Georges Malkine: Vikhom, Roger Legris: Tirill, Daniel Mendaille: Jerry, Bill-Bocketts: Balmez, Léon Roger-Maxime: Hein, Philippe Richard: Macco, Gaston Duboscle Comte, Henri Richardle notaire, Gaston Mauger: Collins, Raoul Marco, Barencey, André Nicolle, Henri Beaulieu, Jean Brochard, Armand Morins, Edouard Hamel, Tellas?, Albert Broquin",Serge Véber,,,"Kurt Heuser, Josef Pelz von Felinau, Liselotte Gravenstein",,,Karl Ritter,,Fritz Arno Wagner,Werner Krien,,,,,Theo Mackeben,,Theo Mackeben,,Universum-Film AG (UFA) (Berlin),,,"Heinz Hilpert, Reinhart Steinbicker",,,,,,,Erich Leistner,,Alliance Cinématographique Européenne (A.C.E.) (Paris),,,,,
Der Doppelbräutigam,https://www.filmportal.de/film/der-doppelbraeutigam_b314a2398e9e4335ab7f09a878cf57cc,Spielfilm,1934,Deutschland/Tschechoslowakei,,,Stepán Kopecký,,"Fritz Kampers: Viktor Lange / Prof. Alfred Ritter, sein Onkel, Jakob Tiedtke: Roland, Musikverleger, Lien Deyers: Eva, seine Tochter, Carsta Löck: Helene, seine Tochter, Werner Jantsch: Morrison, Alois DvorskýHauswirt, Jára Kohout: Käufer im Musikverlag",Hans Fritz Köllner,,,"Hugo Haas, Martin Frič",,,,,Václav Vích,,,,Erich Einegg,,Erich Einegg,,,,"Moldavia-Film AG (Prag), Itala-Film Gmb: H (Berlin)",,Alberto Giacalone,Martin Frič,,,Fernando Tropea,,,,Frantisek Sindelár,,,,,,,
Der Doppelgänger,https://www.filmportal.de/film/der-doppelgaenger_8841af7fa1fa40c199ccda49f6edbe9b,Spielfilm,1934,Deutschland,,,"Erich Zander, Willi Depenau",,"Camilla Horn: Jenny Miller, Georg Alexander: Harry Selsbury, Gerda Maurus: Germaine de Roche, Theo Lingen: Detektiv Superbus, Fritz Odemar: Trentner, Butler bei Harry Selsbury, Jakob Tiedtke: Mister Miller, Josef Eichheim: Raimondo Dempsi, Hans Leisner-Fischer: Bobby Selsbury, Willi Schur, Franz Weber, Michael von Newlinski, Maja Feist",,,,"Curt J. Braun, Peter Ort, Henry Kosterlitz",,"Willi Schlick, Senta Schlick",,,Hugo von Kaweczynski,Erich Großmann,,,,Alois Strasser,Leo Leux,,Leo Leux,,Ondra-Lamac-Film Gmb: H (Berlin),Helmut Schreiber,"Carl Lamač, Arthur Hohenberg",E. W. Emo,Herbert Grünewald,"Johannes Vonberg, Karl Meyer",Ella Ensink,,Josef Höfer,,Emil Specht,"Edgar Wallace (Roman ""Double Dean"")",,"2416 m, 88 min","35mm, 1:1,33","s/w, Ton",,
Dornröschen,https://www.filmportal.de/film/dornroeschen_8f12bbc417ab4aeea3a858a400d9d06e,Spielfilm,1934,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 Akte, 1348 m",,,,"Zensur (DE): 29.10.1934, B.37686, Verbot"
Eine Siebzehnjährige,https://www.filmportal.de/film/eine-siebzehnjaehrige_1bd36ee45734496d88976efff247da99,Spielfilm,1934,Deutschland,,,,,Alfred Abel,,,,,,,,,,,,,,,,,,,,,,Arthur Maria Rabenalt,,,,,,,,,,"2373 m, 87 min","35mm, 1:1.33",s/w,,
