Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Abenteuer in Warschau,https://www.filmportal.de/film/abenteuer-in-warschau_45c53e39772c42d593e12b95d3d9a984,Spielfilm,1937,Polen/Deutschland,,,"Gustav A. Knauer, Alexander Mügge",,"Jadwiga Kenda, Paul Klinger, Georg Alexander, Hedda Björnson, Baby Gray, Robert Dorsay, Richard Romanowsky, Rudolf Carl, Mieczyslawa Cwiklinska",,,,"Bobby E. Lüthge, Konrad Tom",,,,,Georg Krause,,,,Bruno Balz,,Michael Jary,,,,,,,Carl Boese,,,,,,,,,,,,,,
Alarm in Peking,https://www.filmportal.de/film/alarm-in-peking_16ef1cb187b848c4b6300830b8cc9f47,Spielfilm,1937,Deutschland,"Conny Carstennsen, Erich Frisch",,"Willi A. Herrmann, Alfred Bütow",,"Gustav Fröhlich: Oberleutnant Brock, Peter Voss: Captain Cunningham, Paul Westermeier: Sergeant Muck, Hugo Fischer-Köppe: Sergeant Micky, Günther Lüders: Gefreiter Lüdecke, Herbert Hübner: Korvettenkapitän Radain, Leni Marenbach: Mary Valena, Bernhard Minetti: Tu-Hang, Rosa Jung: Yung-Li, Ferdinand Classen: Chang, Carl Günther: Kommandeur, Joachim Rake: Leutnant Torelli, Arthur Reinhardt: Brandes, Teddy Wulff1. Reiter, Adolf Fischer2. Reiter, Walter Steinweg1. Telegrafist, Helmut Heyne2. Telegrafist, Max Wilmsen: Gepäckmeister, Fritz Berghof: Hotelmanager, Lothar Devaal: Französischer Offizier, Horst Breitkopf: Russischer Offizier, Anatol Losseff: Amerikanischer Offizier, Charlie Albert Huber: Belgischer Offizier, Hilde Sonntag: Krankenschwester, Josefine Drost: Begleiterin, Dima Detoor: Offizier, Carl Krenzer: Gastgeber in der Pekinger Gesandtschaft, Hugo Nillius: Französischer Diplomat, Ferdinand Robert: Ausländischer Diplomat in Peking, Charles  François: Ober beim Fest in Peking, Elisabeth von Rüts: Gast beim Fest in Peking, Oskar Höcker, Karl Leander, Maximilian Moris, Walter Bechmann: Arzt im Lazarett, Georg Heinrich Schnell: Gesandter, Leopold von Ledebur: Generalkonsul",,,,"Walter Zerlett-Olfenius, Herbert Selpin",,"Johannes Krämer, Auguste Zademach",,,Friedl Behn-Grund,Franz von Klepacki,,,,Karl Weitschat,Werner Bochmann,,Werner Bochmann,,Minerva-Tonfilm Gmb: H (Berlin),Eduard Kubat,,Herbert Selpin,Helmuth Schönnenbeck,,Lena Neumann,,Rudolf Brix,,"Adolf Jansen, Emil Specht (ungenannt)",,,,"35mm, 1:1,37","s/w, Tobis-Klangfilm",,
Der alte Fritz,https://www.filmportal.de/film/der-alte-fritz_eb28795035da4ddead0a1c05494a4479,Spielfilm,1937,Deutschland,"Otto Lehmann, Kurt Heinz, Kurt Moos, Willi Morrée",,"Hans Sohnle, Otto Erdmann",,"Otto Gebühr: König Friedrich II. von Preußen, Hilde Körber: Friedrichs Schwester Wilhelmine, Lil Dagover: Marquise de Pompadour, Agnes Straub: Zarin Elisabeth, Käte Haack: Kaiserin Maria Theresia, Bernhard Minetti: Graf Wallis, Paul Klinger: Rittmeister von Bonin, Carola Höhn: Louise von Bonin, Lucie Höflich: Mutter Büttner, Paul Dahlke: Generalfeldmarschall von Dessau, Wilhelm H. König: Sohn Büttner, Will Dohm: Baron Warkotsch, Paul Westermeier: Musketier Mampe, Heinrich Schroth: Hauptmann von Droste, Alfred Gerasch: Generalfeldmarschall Daun, Ernst Karchow: Staatskanzler Kaunitz, Hans Mierendorff: Kammerherr von Treskow, Bruno Ziener: Genral Zieten, Hermann Frick: Leutnant Schwarz, Karl Platen: Kammerdiener Fredersdorf, Albert Arid: Russischer Gesandter in Wien, Paul Bildt: Preußischer General von Finck, Dima Detoor: Leibarzt der Zarin Elisabeth, Lothar Devaal: Preußischer Rittmeister, Angelo Ferrari: Französischer Colonel in Wien, Hugo FlinkÖsterreichischer Außenminister Graf Ludwig von Cobenzl, Harry Frank: Französischer Außenminister Herzog Etienne François Choiseul, Harry HardtÖsterreichischer General von Laudon, Walter JanssenÖsterreichischer Kriegsminister, Kurt Keller-Nebri: Preußischer General, Franz Klebusch: Preußischer Musketier, Gustav Püttjer: Musketier Pieter Timm, Fred Goebel2. Musketier, Oskar MarionÖsterreichischer Generalstabschef, Willy Meyer-Sanden: Dorfpastor, Rio Nobile: Französischer Höfling, Josef Peterhans: Preußischer General, Anton Pointner: Kaiser Franz von Österreich, Louis RalphÖsterreichischer Meldereiter, Max Rosenhauer: Vertrauter des Grafen Wallis, Otto Sauter-Sarto: Bauer im hungernden Dorf, Ernst G. SchiffnerÖsterreichischer Stabsoffizier, Franz W. Schröder-Schrom: Preußischer Landrat, Herbert Spalke: Russischer Gesandter in Paris, Carl Auen: Fürst Rajumowski, Kurt Brenkendorf: General, Max Gerhardt: Französischer General, Ellen Ruth Güttingen1. Hofdame Marie Theresias, Lucie Rhoden2. Hofdame Marie Theresias, Gert Klinkhardt: Gesandter von Falkenstein, Carlo Kluge1. Offizier, Hellmuth Neudahl2. Offizier, Friedrich Weigelt3. Offizier, Karl Leander: Französischer Hofkavalier, Erik von Loewis: Stabsoffizier, Max Schmack: General, Walter Steinweg: Junger Dorfbewohner, Alfred Karen1. Honoratior in Berlin, Leopold von Ledebur2. Honoratior in Berlin, Rudolf Biebrach, Bernhard Goetzke, Max Hochstetter, Otto Kronburger, Arthur Reinhardt, Werner Bernhardy, Magda Elgen, Herbert Jacob",,,,"Walter von Molo, Erich Kröhnke",,"Hans Dupke, Fritz Pietsch, Elisabeth Massary",,,Bruno Mondi,,"Peter A. Becker, Theaterkunst Gmb: H (Berlin), Herbert Knötel (Kostüm-Beratung)",,,"Alfred Lehmann (Maske + Frisuren), Karl Weitschat (Maske + Frisuren)",Marc Roland,,,,Diana-Tonfilm Gmb: H (Berlin),Alfred Kern,Hanns Otto,Johannes Meyer,"Auguste Barth, Fritz C. Mauch, Franz M. Lang, Alexander Lang","Erwin Hübenthal, Ernst König","Auguste Barth, Franz M. Lang, Fritz C. Mauch, Alexander Lang",,Josef Höfer,,Erich Lange,Walter von Molo (Roman),,"2677 m, 98 min","35mm, 1:1,33","s/w, Tobis-Klangfilm",,
Andere Welt,https://www.filmportal.de/film/andere-welt_137c6433d7674d26855f9d6bafc7f796,Spielfilm,1937,Frankreich/Deutschland,,,,,"Käthe Gold, Karl Ludwig Diehl, Franz Schafheitlin, Herbert Hübner, Leopoldine Konstantin, Annemarie Steinsieck, Alexander Engel, Karl Meixner, Herbert Spalke, Maria Krahn, Melanie Horeschovsky",,,,Emil Burri,,,,,Jules Krüger,,,,,,Louis Beydts,,,,,,,"Marc Allégret, Alfred Stöger",,,,,,,,"Francis De Croisset (Roman ""La Dame de Malacca"")",,"2514 m, 92 min",35mm,s/w,,"Zensur (DE): 1937, B.46652, Vor Jugendlichen verboten"
L'Appel de la vie,https://www.filmportal.de/film/lappel-de-la-vie_ebf2fd1608984b9e856b5272c84edcc6,Spielfilm,1937,Deutschland,,,,,"Renée Devillers: Jacqueline Bouvoir, Victor Francenprofesseur Rougeon, Suzy Prim: Mme Voisin, Mady Berrymère d'une malade, Jeanne Lourytante Irma, Régine Poncet: Yvonne Coural, Ginette Leclerc: Marcelle, Charlotte Dressanla bonne, Jacqueline Vasset: Mlle Pluchard, Germaine Michel: Mme Boulicot, Daniel Lecourtoisle docteur Lenoir, Robert Arnoux: Marmousot, Auguste Bovériodocteur Pascal, Raymond Aimospréparateur, William Aguet: Marec, René Bergeron: Grenier, Robert Vattier: Pièche, Georges Colin: Castanier, Lucien Dayle: Bernard, Bill-Bocketts: Michelot, Gaston Maugermédecin, Frédéric Mariotti, Georges Tourreil",,,,"Rolf E. Vanloo, Georges Neveux",,,,,,,,,,,,,,,Universum-Film AG (UFA) (Berlin),,,Georges Neveux,,,,,,,,,Alliance Cinématographique Européenne (A.C.E.) (Paris),,,,,
Die Austernlilli,https://www.filmportal.de/film/die-austernlilli_05e7467ca3fb41d681ef60de5f124c7c,Spielfilm,1937,Deutschland,"Hans Naundorf, Kurt Moos",,"Fritz Maurischat, Heinrich Weidemann",Jens Keith,"Gusti Wolf: Austernöffnerin Lilli Dupont, Hermann Thimig""Austernkönig"" van Mühlen, Heinz Salfner: Van Mühlens Kammerdiener Piet, Theo Lingen: Revueautor Lucien Mercour, Oskar Sima: Filialgeschäftsführer Stöckl, Harald Paulsen: Kassierer Aristide, Albert Florath: Hausdiener Marcel, Otto MarléAusternstubenkontrolleur, Franz Weber: Direktor der ""Folies Parisiennes"", Edith Meinhard: Revuegirl Susanne, Margarete Kupfer: Lillis Wirtin Frau Brocard, Josef Reithofer: Van Mühlens Gärtner Hondekotter, Olaf Varnhorn: Lehrjunge, Helene Fichtmüller: Directrice im Modesalon, Max Wilmsen: Briefträger, Lucie Euler: Hauswirtin der ""falschen"" Dupont, Hermann Gees: Wirt im Amsterdamer Lokal, Alfred Karen: Lokalgast, Kurt Getke: Trinkstubenbesitzer, Ida KrillÄltere Hausbewohnerin in Nr. 88, Franz List: Telegrammbote, Sinowie Alexejeff: Blumenmädchen",,,,Grete Illing,,"Frieda Stahl, Dora Grossmann",Herbert Engelsing,,Reimar Kuntze,,"Manon Hahn, Franz Saider",,Bruno Balz (Musikalische Dialoge),"Alfred Lehmann, Adolf Arnold",Robert Stolz,Karl Reibe (Chorleitung),Robert Stolz,,Algefa-Film Gmb: H (Allgemeine Filmaufnahme- und Vertriebs-Gmb: H) (Berlin) (Herstellungsgruppe Herbert Engelsing),Walter Zeiske,"Paul Hörbiger, Karl Künzel",E. W. Emo,Rudolf Hilberg,,René Métain,,Rudolf Brix,,Emil Specht,Robert Stolz (Operette),,"8 Akte, 2281 m, 84 min","35mm, 1:1,37","s/w, Tobis-Klangfilm","Uraufführung (DE): 03.08.1937, München, Gloria-Palast",
"Autobus ""S"". Ein Mann kam nicht nach Hause",https://www.filmportal.de/film/autobus-s-ein-mann-kam-nicht-nach-hause_f8a8ea7642f349ee9377094938a04ca2,Spielfilm,1937,Deutschland,,,,,"Gerhard Dammann, Günther Lüders, Rudolf Platte, Paul Westermeier, Otto Wernicke, Walter Steinbeck, Carsta Löck, Flita von Uhl",,,,,,,,,,,,,,,,,,,,,,Heinz Hille,,,,,,,,,,,,,,
Ball im Metropol,https://www.filmportal.de/film/ball-im-metropol_a0cbfac21c7e4010801f1bd72c95bce3,Spielfilm,1937,Deutschland,"Hans Naundorf, Kurt Moos",,"Fritz Maurischat, Anton Weber",,"Heinrich George: Kammerherr Rudolf von Waltzien, Heinz von Cleve: Eberhard von Waltzien, sein Neffe, Hilde Weissner: Margit Steltendorff, seine Nichte, Franz Schafheitlin: Oberregierungsrat Steltendorff, ihr Mann, Viktoria von Ballasko: Gertrud Selle, genannt Trude, Verkäuferin im Modehaus Hartwig, Elsa Wagner: Frau Selle, ihre Mutter, Ursula Weißbach: Lotte Schultze, Mannequin, Trudes Freundin, Fred Goebel: Studerke, Geschäftleiter des Modehauses, Leopold von Ledebur: Graf Kreßt, Katja Specht: Eva Kreßt, Heinz B. Klockowvon Restrow, S. O. Schoeningvon Prißwitz, Bob Bauervon Puttkammer, Frau Finkelnburg: Baronin Malchin, Margitta Zonewa: Eine Sängerin, Achim von Biel: Gesandter, Fanny Cotta: Direktrice des Modehauses, Fred Köster: Gast beim Ball im Metropol, William Huch: Alter Diener beim Baron von Waltzien, Karl Platen: Werner, Diener bei Eberhard von Waltzien",,Alf Teichs (Chefdramaturg),,"Wolf Neumeister, Ilse Maria Spath, Frank Wysbar",,Elisabeth Massary,,,Erich Claunigk,Franz Buhlmann,,,Bruno Hardt-Warden,"Alfred Lehmann, Luise Lehmann",Walter Kollo,,Siegfried Schulz,,Neucophon Tonfilm-Produktion und Vertriebs-Gmb: H (Berlin),Fred Lyssa,,Frank Wysbar,,,Lena Neumann,,Rudolf Brix,,Bruno Suckau,"Theodor Fontane (Roman ""Irrungen, Wirrungen"")",,,,,,
Der Berg ruft,https://www.filmportal.de/film/der-berg-ruft_afa6220a7ba540dba0e8af5d15207685,Spielfilm,1937,Deutschland,,,"Erich Grave, Herbert Ploberger",,"Luis Trenker: Carrel, Herbert Dirmoser: Whymper, Heidemarie Hatheyer: Felicitas, Peter Elsholtz: Giordano, Lucie Höflich: Mutter Carrel, Blandine Ebinger: Miss Sweaton, Umberto Sacripante: Luc Meynet, Reinhold Pasch: Hudson, Robert Thiem: Hadow, Kunibert Gensichen: Douglas, Luis Gerold: Bergführer Croz, Friedrich Ulmer: Favre, Bruno Hübner: Stefano, Armin Schweizer: Herr Seiler, Lotte Spira: Frau Seiler, Maria Koppenhöfer: Frau Croz, Ernst Legal: Amtsrichter, Walter Franck: Staatsanwalt, Erich Ziegel: Verteidiger, Erich Dunskus: Mailli, Max Holsboer: Taugwalder, Vater, Emmerich Albert: Taugwalder, Sohn, Paul Bildt: Minister Sella, Josef Reithofer, Olga Schaub, Herbert Gernot, Josef Kamper",,,,"Luis Trenker, Hans Sassmann, Richard Billinger",,,Heinrich Schier,,"Sepp Allgeier, Otto Martini (Atelier), Albert Benitz, Walter Riml, Klaus von Rautenfeld (Außenaufnahmen)",,,,,,Giuseppe Becce,,,,Luis Trenker-Film Gmb: H (Berlin),,Luis Trenker,Luis Trenker,,,"Waldemar Gaede, Fritz Stapenhorst",,Ernst Baumann,,"Joachim Thurban, Alfred Zunft",,Terra-Filmkunst Gmb: H (Berlin),"2609 m, 95 min","35mm, 1:1.33","s/w, Tobis-Klangfilm",,
Der Biberpelz,https://www.filmportal.de/film/der-biberpelz_d59567c2f29948b7958d343a8810d37e,Spielfilm,1937,Deutschland,"Conny Carstennsen, Karl Pawel",,"Artur Günther, Robert A. Dietrich",,"Ida Wüst: Waschfrau Auguste Wolff, Heinrich George: Amtsvorsteher Baron von Wehrhahn, Rotraut Richter: Tochter Adelheid Wolff, Sabine Peters: Tochter Leontine Wolff, Heinz von Cleve: Konstrukteur Dr. Fleischer, Ernst Waldow: Forstadjtant a.D. Motes, Ewald Wenck: Julius Wolff, Eduard Wenck: Rentier Krüger, Blandine Ebinger: Frau Krüger, Albert Florath: Schiffer Agust Wulkow, Renée Stobrawa: Almine Wulkow, Fritz Odemar: Fürst August Sigismund, Arthur Schröder: Adjutant von Theerbrügge, Walter Bluhm: Schreiber Glasenapp, Carlheinz Carell: Amtsdiener Mitteldorf, Hilde Seipp: Sängerin, Walter Werner: Amtsvorsteher, S. O. Schoening: Tischnachbar des Amtsvorstehers, Günther Vogdt: Jagdgehilfe Heines, Walter Bechmann: Herr von den Daimler-Werken, Ernst Stimmel: Generaldirektor, Oskar Höcker: Polizist, Charles Willy Kayser2. Adjutant des Fürsten, Gustav Mahncke: Hotelportier, Anita Düvel1. Dame mit Herrn Motes, Gerti Kammerzell2. Dame mit Herrn Motes, Jac Diehl: Kellner im ""Ochsen"", Dorothea Thiess: Hebamme, Willy Meyer-Sanden: Beiwohner der Amtseinführung des Baron von Wehrhahn, Renée Carstennsen: Tochter Elschen Krüger, Wolfgang Dohnberg: Herr von den Daimler-Werken",,,,Georg C. Klaren,,"Edwin Stempel, Margarete Sucrow",,,Georg Krause,Felix Nerlich,Eleanor Behm,,,,Leo Leux,,,,F.D.F. Fabrikation deutscher Filme Gmb: H (Berlin),,Hans von Wolzogen,Jürgen von Alten,"Erich Palme, Hans Günther von Klöden (ungenannt)",,Erich Palme,,Alexander Schmoll,,Bruno Suckau,Gerhart Hauptmann (Bühnenstück),,"8 Akte, 2681 m, 98 min","35mm, 1:1,37","s/w, Tobis-Klangfilm","Uraufführung (DE): 03.12.1937, Breslau, Capitol",
