Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Abel mit der Mundharmonika,https://www.filmportal.de/film/abel-mit-der-mundharmonika_c6e1fb9b3e01458db2be8832b68fce78,Spielfilm,1933,Deutschland,,,"Erich Kettelhut, Max Mellin",,"Karin Hardt: Corinna, Karl Ludwig Schreiber: Abel, Carl Balhaus: Peter, Hans Brausewetter: Ehlers, Götz Wittgenstein: Jumbo, Heinz von Cleve: Mr. Patton, genannt Hurry, Paul Heidemann: Ansager",,,,"Manfred Hausmann, Walter Müller",,,Max Pfeiffer,,"Günther Rittau, Otto Baecker",,,,Walter Müller,,Clemens Schmalstich, Luciano (Mitwirkung),Clemens Schmalstich,,Universum-Film AG (UFA) (Berlin),,,Erich Waschneck,,,Carl Otto Bartning,,,,Werner Kobold,Manfred Hausmann,,"2769 m, 101 min","35mm, 1:1.33","s/w, Klangfilm",,
Adieu les beaux jours,https://www.filmportal.de/film/adieu-les-beaux-jours_4db16377ef3947b786556a589a9ed6ff,Spielfilm,1933,Deutschland,,,"Erich Kettelhut, Max Mellin",,"Brigitte Helm: Olga, Henri Bosc: Alexandre, Jean Gabin: Pierre Lavernay, Julien Carette: Fred, Lucien Dayle: Juwelier Derzan, Henri Vilbert: Professor Ronnay, André Nicolle: Kommissar Marié, Fromet: Der alte Gaston, Ginette Leclerc: Marietta, Thomy Bourdelle: Kommissar Domprel, Mireille Balin: Ein junges Mädchen, Maurice Rémy: Soldat, Bill-Bocketts, Herbert Gernot",André Beucler,,,"Peter Francke, Walter Wassermann",,,,,Friedl Behn-Grund,,,,,,Ernst Erich Buder,,Hans-Otto Borgmann,,Universum-Film AG (UFA) (Berlin),,,"Johannes Meyer, André Beucler",,,,,,,Carlheinz Becker,,Alliance Cinématographique Européenne (A.C.E.) (Paris),"2796 m, 102 min","35mm, 1:1.33","s/w, Tobis-Klangfilm","Uraufführung (FR): 05.10.1933, Paris, Aubert-Palace [P.C.]",
L'Amour qu'il faut aux femmes,https://www.filmportal.de/film/lamour-quil-faut-aux-femmes_a1178e8932a449d485b6c0947b071dc6,Spielfilm,1933,Deutschland/Frankreich,,,"Heinz Fenchel, Botho Höfer",,"Max Maxudiandocteur, Georges Charlia, Gina Manèspremier couple, Germaine Ausseydeuxième couple, Pierre Magnier, Olga Tschechowatroisième couple, Mila Parély, Michèle Béryljeunes filles",Jean de Létraz,,,"Willy Haas, Adolf Trotz",,,,,Georg Krause,,,,,,,,,,"Gnom-Tonfilm Gmb: H (Berlin), Vandor-Film (Paris)",,,Adolf Trotz,,,,,,,Erich Lange,,,,"35mm, 1:1.33",,,
Anna und Elisabeth,https://www.filmportal.de/film/anna-und-elisabeth_e15c2da7dea34d3c99b098cbc04a91b4,Spielfilm,1933,Deutschland,,,"Fritz Maurischat, Heinrich Beisenherz, Hans Curjel (Künstlerischer Beirat)",,"Dorothea Wieck: Elisabeth, Gutsherrin von Salis, Maria Wanck: Elisabeths Schwester Margarete, Hertha Thiele: Bauernmädchen Anna, Dorothea Thiess: Annas Mutter, Carl Wery: Annas Vater, Carl Balhaus: Martin, Wilhelm Kaiser-Heyl: Pfarrer, Roma Bahn: Mary Lane, Margarete Kestra: Helena, Doris Thalmer: Nena, Karl Platen: Dorfarzt, Sibyl Smolowa: Schiefhals, Robert Eckert: Gutsnachbar, S. Elfeld: Geistlicher des Bischöflichen Ordinariats, Mathias Wieman: Organist Mathias Testa, José Maria Lepanto: Geistlicher des Bischöflichen Ordinariats",,,,"Gina Fink, Frank Wysbar",,"Otto Sucrow, Hans Kothe",,,Franz Weihmayr,Josef Weihmayr,,,,,Paul Dessau,,,,Kollektiv-Film Gmb: H (Berlin),Max G. Hüske,"Frank Wysbar, Hermann Ephraim",Frank Wysbar,,,Alice Ludwig,,Eugen Klagemann,,Hermann Birkhofer,,Terra-Film AG (Berlin),"2057 m, 76 min",35mm,s/w,,
Au bout du monde,https://www.filmportal.de/film/au-bout-du-monde_934a2659f10544f8b30087b7afcc5e3a,Spielfilm,1933,Deutschland,,,"Robert Herlth, Walter Röhrig",,"Käthe von Nagy, Line Noro: Line, Raymond Cordy: Dédé, Pierre-Louis: Pierre, Mady Berry: Marie-Jeanne, René Bergeron: Malinger, Hans Adalbert Schlettowle bucheron, Raymond Aimosle hassard, Pierre Piérade: Peuplier, Fritz Genschowle sibérien, Vera Baranowskajala femme russe, Andrews Engelmannle commissaire russe, Henri Chomette",Henri Chomette,,,Gerhard Menzel,,,,,Fritz Arno Wagner,,,,,,"Herbert Windt, Ernst Erich Buder",,,,Universum-Film AG (UFA) (Berlin),,Günther Stapenhorst,"Gustav Ucicky, Henri Chomette",,,,,,,Hermann Fritzsching,,Alliance Cinématographique Européenne (A.C.E.) (Paris),,,,,
Die blonde Christl,https://www.filmportal.de/film/die-blonde-christl_2b55c8193e6e47a094bcd5ac26de9648,Spielfilm,1933,Deutschland,,,Max Seefelder,,"Karin Hardt: Christine Schröder, Theodor Loos: Benedikt Oberbucher, Rolf von Goth: Hans Brandtner, Otto Wernicke: Franz Lechner, Gertrud de Lalsky: Frau Schröder, Joe Stöckel, Vera Comployer, Rosa Kirchner-Lang, Emil Matousek",,,,"Joseph Dalmann, Joe Stöckel",,Dorothea Saumweber,,,Franz Koch,Josef Illig,,,"Joe Stöckel, Toni Thoms",Heinrich Beckmann,Toni Thoms,,Toni Thoms,,Tonfilm-Produktion Franz Seitz (München),,Franz Seitz Sr.,Franz Seitz Sr.,,,Gottlieb Madl,,Heinz Ritter,,"Max Benzinger, Friedrich Wilhelm Dustmann",,,,,,,
Die Blume von Hawaii,https://www.filmportal.de/film/die-blume-von-hawaii_2cb65160ada44820b6c5937d86e11c65,Spielfilm,1933,Deutschland,,,Franz Schroedter,,"Marta Eggerth: Laya/Susanne Lamond, Hans Fidesser: Lilo Taro, Iván Petrovich: Capitän Stone, Hans Junkermann: Harrison, Baby Gray: Bessy, Ernö Verebes: Buffy, Fritz Fischer: Jim Boy, Ferdinand Hart: Kanako Hilo, Eugen Rex: Kililo, Carl Auen: Capitän Taylor, Georg John: Oberpriester von Hawaii, Herbert Washington, Thomas ül Kno-Ghambi, Alice Bindernagel, Kläre Bäuerle, Marietta Olly, Louis Brody",,,,Heinz Goldberg,,"Hans Kothe, Luise Leder",,,Reimar Kuntze,Walter Chmillon,,,"Alfred Grünwald, Fritz Löhner-Beda",Adolf Doelle,Paul Abraham,,"Alfred Strasser, Rolf Jacoby (Kapellmeister)",,Rio-Film Gmb: H (Berlin),,Richard Oswald,Richard Oswald,Heinz Josten,,Friedel Buckow,,Karl Ewald,,Eugen Hrich,,,"2367 m, 86 min","35mm, 1:1.33","s/w, Tobis-Klangfilm","Uraufführung (DE): 21.03.1933, Leipzig",
Das Blumenmädchen vom Grand-Hotel,https://www.filmportal.de/film/das-blumenmaedchen-vom-grand-hotel_d2e552a889e54f92b3b3102ec73061f5,Spielfilm,1933,Deutschland,Karl Sander,,"Gustav A. Knauer, Alexander Mügge",,"Elsa Merlini: Lis, Blumenmädchen, Georg Alexander: Eduard Swalt, Hans Brausewetter: Fritz Peters, Fritz Odemar: Diener, Julius Falkenstein: Hoppe,Droschkenchauffeur, Hans Richter: Tommy, Straßenjunge, Jakob Tiedtke: Flindt, Theaterdirektor, Theo Lingen: Thumser, Spielleiter, Alfred Beierle: Putzke, Warenhausbesitzer, Hans Hemes: Brösicke, Rayonchef, Annie Markart: Gaby, Revuestar, Hertha von Walther: Warenhausdetektivin, Werner Finck, Erich Fiedler",,,,Robert A. Stemmle,,"Fritz Pietsch, Ida Hilgert",,,Eduard Hoesch,,,,Charles Amberg,"Friedrich Havenstein, Paul Albert Lange",Eduard Künneke,,Eduard Künneke,,Itala-Film Gmb: H (Berlin),Max Paetz,Alberto Giacalone,Carl Boese,,,Hildegard Grebner,,Karl Ewald,,Erich Lange,"Eberhard Frowein (Roman ""Das Mädel und der Diamant"")",,"2192 m, 80 min","35mm, 1:1.33","s/w, Tobis-Klangfilm",,
Brennendes Geheimnis,https://www.filmportal.de/film/brennendes-geheimnis_bba9cf5973df4af3b5033aaa16004719,Spielfilm,1933,Deutschland,,,"Robert A. Dietrich, Hans Blanke, Ruth Sternau",,"Willi Forst: Haller, Hilde Wagener: Die Frau, Alfred Abel: Der Mann, Hans Joachim SchaufußEdgar, Lucie Höflich: Die Mutter der Frau, Alfred Beierle: Müller, Hans Richter: Fritz, Ernst Dumcke: Baron Tosse, Rina Marsa: De la Roche, Heinz Berghaus, Edwin Jürgensen, Franz W. Schröder-Schrom, Lotte Stein, Kurt Pulvermacher, Babette Jensen","Alfred Polgar, Robert Siodmak, Friedrich Karl Hartmann",,,Friedrich Kohner,,,,,"Robert Baberske, Richard Angst",Walter Pindter,"Senta Schlick, Otto Sucrow",,Max Kolpé,"Alois Strasser, Willi Grabow",Allan Gray,,,,Tonal-Film Gmb: H (Berlin),Günther Mamlock,Alfred Sternau,Robert Siodmak,Max Brenner,,Max Brenner,,Walter Lichtenstein,,"Charles Métain, Hermann Stör",Stefan Zweig (Roman),,"2519 m, 92 min","35mm, 1:1,33","s/w, Tobis-Klangfilm",,
La canzone del sole,https://www.filmportal.de/film/la-canzone-del-sole_69748c3313584c2aa23c986f2eda7500,Spielfilm,1933,Italien/Deutschland,,,,,"Vittorio De Sicaavv. Paladino, Giacomo Lauri Volpise stesso, Umberto Melnatiimpresario Bardelli, Eva Magni, Celeste Calza, Livio C. Pavanelli, Tina Zucchi",,,,"Giovacchino Forzano, Hans Fritz Köllner",,,,,Augusto Tiezzi,,,,,,"Pietro Mascagni, Cesare Andrea Bixio (Lieder), Luigi Cherubini (Lieder), Galdieri (Lieder), Moleti (Lieder)",,,,"Italfono/S.A.P.F. (Rom), Itala-Film Gmb: H (Berlin)",,Angelo Besozzi,Max Neufeld,,,Fernando Tropea,,,,,,,"2265 m, 83 min","35mm, 1:1.33",s/w,,
