Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Abenteuer einer schönen Frau,https://www.filmportal.de/film/abenteuer-einer-schoenen-frau_af285360a7654769bd6aa89dceb668d3,Spielfilm,1922,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Der Absturz,https://www.filmportal.de/film/der-absturz_d422eb2520a945debadfbc4c35a9a766,Spielfilm,1922,Deutschland,,,"Fritz Seyffert, Heinrich Beisenherz",,"Asta Nielsen: Operettendiva Kaja Falk, Albert Bozenhard: Kajas Ehemann Frank Lorris, Grigori Chmara: Fischer Peter Karsten, Adele Sandrock: Mutter Karsten, Charlotte Schultz: Fischermädchen Henrike Thomsen, Iwan Bulatoff: Graf Lamotte, Ida Wogau: Kajas Kammerfrau, Hans Waßmann: Besucher, Arthur Kistenmacher, Giuseppe Becce",,,,Ludwig Wolff,,,,,"Axel Graatkjær, Georg Krause",,,,,,Giuseppe Becce (Kino-Musik),,,,Art-Film Gmb: H (Berlin),,,Ludwig Wolff,Max Maximilian,,,,,,,,,"6 Akte, 2421 m","35mm, 1:1,33","s/w, stumm","Uraufführung (DE): März 1923, Düsseldorf, Decla-Theater",
Alexandra,https://www.filmportal.de/film/alexandra_eb2d34322971467abf5d5e96e2874857,Spielfilm,1922,Niederlande/Deutschland,,,Rochus Gliese,,"Margit Barnay: Gräfin Alexandra, Paul de Groot: Edward Buchanan, Coen Hissink: Hamul Afid, Oskar Marion: Raoul, Henny Schröder: Veronica, Alexandras Krankenschwester, Vera van Haefken: Zofe, Annie de Freese: Sonja, Wilhelm Kaiser-Heyl: James Buchanan, Robert Scholz: Graf Maxim Andronowitsch, Theo Frenkel: Edwards Freund, Annie Frenkel-Wesling: Frau an der Hotel-Bar",,,,Theo Frenkel,,,,,Willy Großstück,,,,,,,,,,"Amsterdam Film Cie (Amsterdam), Turma-Film Gmb: H (Berlin)",,,Theo Frenkel,,,,,,,,,,"6 Akte, 1896 m","35mm, 1:1.33","s/w, stumm",,
Der alte Gospodar,https://www.filmportal.de/film/der-alte-gospodar_a9ea906122d547f1ac913c1586635328,Spielfilm,1922,Deutschland,,,Gustav A. Knauer,,"Rolf Randolf, Helga Molander, Ernst Deutsch: Doppelrolle, Rudolf Hilberg, Victor Senger, Wolfgang von Schwindt, Ludwig Körner, Fritz Kampers, Sadjah Gezza, Herta Héden",,,,Willy Rath,,,,,"Hans Bloch, Ernst Krohn",,,,,,,,,,Rolf Randolf-Film (München),,,Rolf Randolf,,,,,,,,,,"6 Akte, 1998 m","35mm, 1:1.33","s/w, stumm",,
Am Brunnen vor dem Tore,https://www.filmportal.de/film/am-brunnen-vor-dem-tore_5606aa38fe0648739442503554975820,Spielfilm,1922,Deutschland,,,Rudolf Eilers,,"Franz Czerny: Wirt, Melitta Klefer: Liesel, seine Tochter, Tilly Feiner: Bärbel, Magd, Fritz Russ: Hufschmied Jakob, André Pilot: Hans, sein Neffe",,,,Hans Felsing,,,,,Charles Paulus,,,,,,Georg Enders,,,,Sing-Film Gmb: H (Berlin),,,Hans Felsing,,,,,,,,,,,,,,
Am Rande der Großstadt,https://www.filmportal.de/film/am-rande-der-grossstadt_12d8f3ef4c1f402ab9eb93c18c314ee1,Spielfilm,1922,Deutschland,,,Robert A. Dietrich,,"Evi Eva, Fritz Kortner, Grete Diercks, Hertha von Walther, Maria West, Emilie Unda, Rudolf Forster, Georg Jaworski, Ernst Rotmund, Friedrich August Koch",,,,"Paul Reno, Hanns Kobe",,,,,Marius Holdt,,,,,,,,,,Ungo-Film Unger & Gottschalk (Berlin),,,Hanns Kobe,,,,,,,,,,"6 Akte, 2138 m","35mm, 1:1.33","s/w, stumm",,
Arme reiche Vesta,https://www.filmportal.de/film/arme-reiche-vesta_b52caef0dd9949f6aeb7b159ff3c29aa,Spielfilm,1922,Deutschland,,,,,"Ernst Martens: Antonio, Merceda Orloff: Vesta, seine Frau, Kind Eiselt: Fatme, ihr Kind, Oskar Marion: Lucian, Antonios Bruder, Carl Jädicke: Howard, Antonios Sekretär, Paul Bühler: Urban, Antonios Diener",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Das Auge des Buddha, der Geheimschatz im Brahmanentempel",https://www.filmportal.de/film/das-auge-des-buddha-der-geheimschatz-im-brahmanentempel_8bd72e62c50a41e8a5818bfca420c839,Spielfilm,1922,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Das Auge des Toten,https://www.filmportal.de/film/das-auge-des-toten_912a5dcbc5e24bd38ee6d9ebe585e04c,Spielfilm,1922,Deutschland,,,"Willy Reiber, Jacek Rotmil",,"Vilma Bánky, Grete Hollmann, Theo Shall, Hermann Pfanz",,,,Max Neal,,,,,,,,,,,,,,,,,,Carl Boese,,,,,,,,,,"6 Akte, 1619 m","35mm, 1:1.33","s/w, stumm",,
Aus dem Gebiete des Okkultismus,https://www.filmportal.de/film/aus-dem-gebiete-des-okkultismus_97daf24b0d454e14a70f4a3265925b79,Spielfilm,1922,Deutschland,,,,,,,,,,,,,,Edmund Epkens,,,,,,,,,,,,,Walter Gölzer,,,,,,,,,,,,,,
Die Auswanderer,https://www.filmportal.de/film/die-auswanderer_2ea85212eb1547c4a7da4a70c1263ef1,Spielfilm,1922,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
